id|nct_id|group_type|title|description
59297216|NCT03097770|Experimental|anti-CD19/20 CAR T cells|Patients receive anti-CD19/20-CAR retroviral vector-transduced autologous or donor-derived T cells on day 1 in the absence of disease progression or unacceptable toxicity.
59297584|NCT03599375|Experimental|B-ALL treated with CD19 CART cell|The qualified CD19-targeted CART cells will be transferred to patient for 3 days as follow:D1,10% fraction;D2,30%;D3 60%. The number of CART cells for each course will be about 1×106/kg. If complete response (CR) or complete response with incomplete hemogram recovery (CRi) in hemogram is achieved after the first course of treatment, further treatment will be decided according to the clinical assessment and the wishes of the patient.If partial response (PR) is achieved after the first course, 1 or 2 courses of treatment will be continued. If there is no response (NR) after the first course, the treatment will be ceased or restarted based on the clinical assessment or patients' wishes. Treatent may be discontinued due to any severe toxicity, such as cytokine release syndrom.
59297739|NCT03407859|Experimental|Sequential therapy with different CART|Sequential therapy With different CART including one kind of CD20/CD22/CD10-CART After CD19-CART therapy in CD19-negative relapse ALL patients, subjects will receive 1-5 x 10^6/Kg transduced CAR T cells at one time.
59973046|NCT04855253|Experimental|Dose level 1 : E7777 at 5 mcg/kg|Single dose of E7777 given on Day -7 two days prior to the start of lymphodepleting chemotherapy
59973047|NCT04855253|Experimental|Dose level 1 : E7777 at 7 mcg/kg|Single dose of E7777 given on Day -7 two days prior to the start of lymphodepleting chemotherapy
59973048|NCT04855253|Experimental|Dose level 1 : E7777 at 9 mcg/kg|Single dose of E7777 given on Day -7 two days prior to the start of lymphodepleting chemotherapy
59298170|NCT04191941|Experimental|Novel CAR-T|Novel CAR-T cells will be administered intravenously
59973049|NCT04855253|Experimental|MTD from phase 1|Single dose of E7777 (Maximum tolerated dose level identified in phase 1) given on Day -7 two days prior to the start of lymphodepleting chemotherapy
59973089|NCT04715191|Experimental|CARE T cells + Fludarabine and Cytoxan|GPC3-CAR and the IL15 plus IL21 (CARE T cells) along with lymphodepleting chemotherapy (Cytoxan and Fludarabine) will be administered to patients with GPC3-positive solid tumors.
59973173|NCT04377932|Experimental|AGAR T cells|GPC3-CAR and the IL15 (AGAR T cells) will be administered to patients with GPC3-positive solid tumors.
59973216|NCT04240808|Experimental|UCD19 CAR T Cells|Participants will receive lymphodepleting chemotherapy followed by infusion of UCD19 CAR T Cells (Lentiviral Vector [LV] Transduced Autologous Peripheral Blood Lymphocytes
59973253|NCT04049383|Experimental|5 x 10^5 CAR-20/19-T cells/kg|The study will utilize a 3+3 dose escalation design in ALL followed by a six-patient expansion cohort.
59973254|NCT04049383|Experimental|1 x10^6 CAR-20/19-T cells/kg|The study will utilize a 3+3 dose escalation design in ALL followed by a six-patient expansion cohort.
59973255|NCT04049383|Experimental|2.5 x10^6 CAR-20/19-T cells/kg|The study will utilize a 3+3 dose escalation design in ALL followed by a six-patient expansion cohort.
59973256|NCT04049383|Experimental|Dose Expansion Phase|The study will utilize a 3+3 dose escalation design in ALL followed by a six-patient expansion cohort. Subjects will receive one of three dose levels. The dose expansion arm will be updated with the appropriate dose in the future based on the escalation results.
59299673|NCT04249947|Experimental|P-PSMA-101 CAR-T cells (Single Dose - Part 1a)|Single ascending dose cohorts, given in a single intravenous infusion of CAR-T cells, following conditioning chemotherapy regimen A. Rimiducid may be administered as indicated.
59299674|NCT04249947|Experimental|P-PSMA-101 CAR-T cells (Multiple Dose - Part 1b)|Cyclic administration of ascending dose cohorts, given in a single intravenous infusion of CAR-T cells, following conditioning chemotherapy regimen A. Rimiducid may be administered as indicated.
59299675|NCT04249947|Experimental|P-PSMA-101 CAR-T cells (Single Dose - Part 1c)|Single ascending dose cohorts, given in a single intravenous infusion of CAR-T cells, following conditioning chemotherapy regimen B. Rimiducid may be administered as indicated.
59299676|NCT04249947|Experimental|P-PSMA-101 CAR-T cells (Multiple Dose - Part 1d)|Cyclic administration of ascending dose cohorts, given via intravenous infusions of CAR-T cells, following conditioning chemotherapy regimen B. Rimiducid may be administered as indicated.
59299715|NCT05619861|Experimental|CAR-T|Autologous CAR-T cells, intravenous infusion, infusion dose 0.1-3 × 106CAR-T cells/kg
59973599|NCT03564977|Experimental|CD19-targeted CAR-T cells|
59300498|NCT03154775|Experimental|C-CAR011|Lymphocytes will be transduced with lentiviral vector containing CAR-CD19 gene
59301070|NCT03018093|Experimental|C-CAR011|In day 0, 1 and 2, CAR011 cells will be intravenous infused at the 10%, 30% and 60% ratio respectively.
59291511|NCT05066022|Experimental|Experimental: CT0590 CAR T cells|Dose-escalated CAR T cells infusion
59292650|NCT03155191|Experimental|Dose Level -1 to 2|"0.3 to 3 x 10^6 autologous CD19-CAR-T cells/kg per patient will be administered intravenously after a conditioning chemotherapy with cyclophosphamide.~cohort -1: 3×10^5 cells/kg cohort 1: 1×10^6 cells/kg cohort 2: 3×10^6 cells/kg."
59974023|NCT03545815|Experimental|anti-mesothelin CAR-T cells|"Patients receive mesothelin-directed CAR-T cells infusion with dose escalation will occur using a standard 3+3 dose escalation approach, beginning in dose level I with dose cohorts and rules for escalation and de- escalation.~Patients receive anti-mesothelin-CAR T cells on day 0."
59302449|NCT05105867|Experimental|Anti-CD19 Universal CAR-T Cells injection|Anti-CD19 Universal CAR-T Cells injection will be administered by vein after lymphodepletion .
59303040|NCT03915184|Experimental|CAR-BCMA T Cells|Phase 1b will include a dose escalation followed by an expansion cohort to determine the recommended dose for the expansion part. After recommended Phase 2 is determined, patients in Phase 2 will be treated.
59291592|NCT04662294|Experimental|T-ALL|
59291593|NCT04662294|Experimental|T-NHL|
59291594|NCT04662294|Experimental|AML|
59304891|NCT03818165|Experimental|CAR2 Anti-CEA CAR-T cell|3 doses of CAR2 Anti-CEA CAR-T cells for each cycle; up to 3 additional cycles received per investigator discretion
59305401|NCT04129099|Experimental|CAR-T treatment group|The patients will receive one dose of GC022F. GC022F dosage ranges from 6×10^4 to 1.5×10^5 CAR+T/Kg.
59306712|NCT04916860|Experimental|CD7 CAR-T|
59307582|NCT04943016|Experimental|CD19 Chimeric Antigen Receptor (CAR) T Cells|The dose is escalated in standard 3 +3 design with a starting dose of 1x10^6 cell/kilogram and maximum treatment dose of 5 x 10^6 cell/kilogram. The minimum number of 9 subjects would occur if no dose-limiting toxicities are observed in the 3 dose escalation cohorts. The maximum sample size of 18 subjects would be enrolled in 3 dose escalation cohorts (six in each cohort) for meeting dose-limiting toxicities request. In addition, we hypothesize that we will be able to successfully manufacture CAR T cells to meet the established release criteria at a minimum target dose of 1 X 106 +-30% cells/kilogram in this patient population using the Miltenyi CliniMACS Prodigy® closed transduction system.
59975709|NCT03060356|Active Comparator|Melanoma|Intravenous infusion 1x10^8 total T cells modified with RNA anti-cMET CAR
59975710|NCT03060356|Active Comparator|Breast|Intravenous infusion 1x10^8 total T cells modified with RNA anti-cMET CAR
59308114|NCT02744287|Experimental|Arm 1: Phase 1 Dose Escalation|Participants with advanced prostate cancer will receive an intravenous infusion of BPX-601 followed by one or more intravenous infusions of rimiducid. Dose escalation of BPX-601 will continue until the recommended cell dose level is reached.
59308115|NCT02744287|Experimental|Arm 2: Phase 2 Dose Expansion|Participants with advanced prostate cancer will receive an intravenous infusion of BPX-601 at the recommended cell dose level followed by one or more intravenous infusions of rimiducid.
59308167|NCT04037241|Experimental|2nd Line: Anti-CEA CAR-T Cells + gemcitabine/nab paclitaxel|"Patients in the anti-CEA CAR-T Cells plus gemcitabine/nab paclitaxel arm will have achieved at least stable disease during the Bridging Therapy Period with gemcitabine/nab paclitaxel, and will receive the CAR-T cells in Cycles 1 and 3 and the gemcitabine/nab paclitaxel regimen they received during the Bridging Therapy Period in Cycle 2 and Cycles ≥ 4 of the Treatment Period. Treatment will continue until the development of disease progression."
59308168|NCT04037241|Experimental|2nd Line: Anti-CEA CAR-T Cells Plus NLIR+FU/FA|"Patients in the anti-CEA CAR-T Cells plus and nanolipsomal irinotecan (NLIR) + Fluorouracil/folinic acid (FU/FA) will have achieved at least stable disease during the Bridging Therapy Period with NLIR + FU/FA, and will receive the CAR-T cells in Cycles 1 and 3 and the NLIR/FU/FA regimen they received during the Bridging Therapy Period in Cycle 2 and Cycles ≥ 4 of the Treatment Period. Treatment will continue until the development of disease progression."
59308169|NCT04037241|Active Comparator|2nd Line: Gemcitabine /nab paclitaxel Alone|Patients in the chemotherapy alone treatment arm who achieved at least stable disease during the Bridging Therapy Period while receiving gemcitabine plus nab paclitaxel will continue treatment with the chemotherapy regimen they received during the Treatment Period. This regimen will be administered in 28-day cycles until the development of disease progression.
59308170|NCT04037241|Active Comparator|2nd Line: NLIR + FU/FA Alone|Patients in the chemotherapy alone treatment arm who achieved at least stable disease during the Bridging Therapy Period while receiving nanoliposomal irinotecan (NLIR) + Fluorouracil/folinic acid (FU/FA) will continue treatment with the chemotherapy regimen they received during the Treatment Period. This regimen will be administered in 28-day cycles until the development of disease progression.
59308171|NCT04037241|Experimental|3rd Line: Anti-CEA CAR-T Cells Plus NLIR+FU/FA|Patients randomized to the anti-CEA CAR-T Cells plus chemotherapy treatment arm who developed disease progression during the Bridging Therapy Period will receive the CAR-T cells in Cycles 1 and 3. Nanoliposomal irinotecan plus fluorouracil/leucovorin chemotherapy will be administered in Cycle 2 and Cycles ≥ 4 of the Treatment Period to patients who progressed on nab paclitaxel plus gemcitabine during the Bridging Therapy Period. Treatment will continue until the development of disease progression.
59308172|NCT04037241|Experimental|3rd Line: Anti-CEA CAR-T Cells Plus Capecitabine|Patients randomized to the anti-CEA CAR-T Cells plus chemotherapy treatment arm who developed disease progression during the Bridging Therapy Period will receive the CAR-T cells in Cycles 1 and 3. Capecitabine chemotherapy will be administered in Cycle 2 and Cycles ≥ 4 of the Treatment Period to patients who progressed on nanoliposomal irinotecan fluorouracil/leucovorin during the Bridging Therapy Period. Treatment will continue until the development of disease progression.
59308173|NCT04037241|Active Comparator|3rd Line: NLIR+FU/FA Alone|Patients randomized to the chemotherapy alone treatment arm who developed disease progression during the Bridging Therapy Period while receiving nab paclitaxel plus gemcitabine will be treated with nanoliposomal irinotecan plus fluorouracil/leucovorin during the Treatment Period.
59308174|NCT04037241|Active Comparator|3rd Line: Capecitabine Alone|Patients that developed disease progression during the Bridging Therapy Period while receiving nanoliposomal irinotecan plus 5-FU/leucovorin will be treated with capecitabine during the Treatment Period.
59976243|NCT03559439|Experimental|CD19 CAR T|CD19 CAR T cells transduced with a lentiviral vector to express anti-CD19 scFv CD3z:CD28 administered by IV infusion.
59310087|NCT05634785|Experimental|ATLCAR.CD30|Single Group Assignment: Subjects with Nonseminomatous Germ Cell Tumors who meet eligibility criteria for cellular therapy.
59310283|NCT05366179|Experimental|Single Arm|"CAR.B7-H3 T cells:~Subjects with refractory or recurrent glioblastoma multiforme, have cells collected following their initial surgical resection to manufacture CAR.B7-H3 T cells, preferably before initiation of adjuvant chemoradiation."
59976507|NCT04934774|Experimental|anti-CD7 CAR T cells|anti-CD7 CAR T cells Dose escalation phase: anti-CD7 CAR T cells transduced with a lentiviral vector to express CD7 chimeric receptor domain on T cells with an escalation approach, 1 e6 to 5 e6 CAR-T cells/kg.
59310489|NCT04995003|Experimental|Arm A|autologous HER2 CAR T cells infused in combination with lymphodepletion chemotherapy and the PD-1 antibody pembrolizumab
59310490|NCT04995003|Experimental|Arm 2|autologous HER2 CAR T cells infused in combination with lymphodepletion chemotherapy and the PD-1 antibody nivolumab
59310500|NCT04977024|Experimental|Arm I (COH04S1)|Patients receive one dose of COH04S1 IM in the upper arm on days 0 and 28.
59310501|NCT04977024|Experimental|Arm II (EUA SARS-CoV-2 vaccine)|Patients receive one dose of EUA SARS-CoV-2 vaccine IM in the upper arm on days 0 and 28.
59632373|NCT02725125|Experimental|Single-arm|Name:The Chimeric Antigen Receptor T Cell Immunotherapy (CAR-T) Dosage form：injection Dosage:100ml/time Frequency:0days,the first day,the second day,28 days,29 days Duration:total five times
59310984|NCT03721068|Experimental|iC9.GD2.CAR.IL-15 T-cells|The continuous reassessment method (CRM) will be used to estimate the maximum-tolerated dose (MTD) of cells that to be given in dose escalation cohorts comprised of 2-6 subjects. The final MTD will be the dose with estimated probability of dose limiting toxicity (DLT) closest to the target toxicity rate of 20%. Three cell doses will be evaluated: 0.5 x 10^6 cells/kg, 1.0 x 10^6 cells/kg, 1.5 x 10^6 cells/kg. Cohort enrollment will be staggered and each subject must complete at least 2 weeks of the cell treatment without incident of DLT before another subject can be enrolled at that dose level. A minimum of two subjects must complete the 4-week post-infusion DLT period before enrollment at the next higher dose level will be considered. If dose level 1 is determined to be above a tolerable dose, de-escalation would occur to dose level -1 where subjects would receive 0.25 x 10^6 cells/kg.
59311000|NCT03672318|Experimental|CAR138 T cells|The first 3 subjects enrolled in the study will receive 5x10^6 CAR138 T-cells/m^2 via infusion. The number of cells for the infusion will be increased to 1x10^7 CAR138 T-cells/m^2 and then, 2.5x10^7 CAR138 T-cells/m^2, 5x10^7 CAR138 T-cells/m^2, 1x10^8 CAR138 T-cells/m^2 and 2x10^8 CAR138 T-cells/m^2 in subsequent cohorts of 3 subjects provided no dose limiting toxicities (DLTs) are observed within 4 weeks of the cell infusion. Cohort enrollment will be staggered, requiring each subject to complete at least 2 weeks of safety monitoring following CAR138 T-cell infusion at the designated dose level for the cohort before another subject is allowed to enroll in the cohort.
59311132|NCT03016377|Experimental|iC9-CAR19 cells|The 3+3 design in adult subjects and an independent study using 3+3 design in pediatric subjects. The starting dose of 5 x 10^5 transduced cells/kg will enroll 3 adult subjects in the initial cohort. If there are no dose limiting toxicities w/in 4 weeks of the cell infusion in these 3 subjects, then the next cohort will evaluate 1 x10^6 transduced cells/kg in adults. If there is toxicity in 1/3 patients in the initial cohort, the cohort will be expanded to enroll up to 6 adult patients. If the dose level 1 is determined to be above the tolerated cell dose, de-escalation would occur to dose level -1 where subjects would receive 1 x 10^5 transduced cells/kg. All subjects will receive a lymphodepleting regimen of fludarabine and cyclophosphamide before administration of iC9-CAR19 T cells.
59311133|NCT03016377|Experimental|Expansion Cohort Second Administration of iC9-CAR19 cells|"After the recommended phase 2 dose (RP2D) of iC9-CAR19 T cells has been determined in adults, up to 18 additional adult subjects will be enrolled in an expansion cohort at the RP2D. In the expansion cohort, subjects will be offered a second infusion of iC9-CAR19 T cells based on B-cell recovery and minimal residual disease (MRD) status. All subjects will receive a lymphodepleting regimen of fludarabine and cyclophosphamide before second administration of iC9-CAR19 T cells.~Subjects in the expansion cohort who experience ≥grade 2 CRS or ICANS, did not respond to the initial dose of the standard of care treatment will be enrolled in a sub-study of rimiducid."
59311630|NCT03050190|Experimental|Therapeutic 4SCAR19 cells|Patients who have relapsed and refractory B cell leukemia after chemotherapy will be treated prophylactically with CD19-specific gene-engineered T cells.
59312250|NCT04121273|Experimental|CAR-T cells|CAR-T cells targeting GPC3 will be administered to enrolled patients with hepatocellular carcinoma.
59312437|NCT04884984|Experimental|CLL1 positive relapsed or refractory acute myeloid leukemia|
59312480|NCT03825731|Experimental|GC022|The patients will receive GC022 CAR-T treatment. GC022 dosage ranges from 3×10^5 to 1×10^7 CAR+T/Kg.
59977912|NCT04888442|Experimental|pCAR-19B cells|Infusion of pCAR-19B cells by dose-escalating
59312814|NCT04863066|Experimental|CAR-T-cell therapy|Four patients with plasma HIV RNA <50 copies/ml and CD4+T cell count more than 350 cells/μl receiving at least one-year antiviral treatment are injected intravenously with 1×10^5 CAR-T cells/kg body weight. If the dosage of 1×10^5 CAR-T cells/kg body weight is well tolerated, 5×10^5 CAR-T cells/kg body weight will be infused for another 4 subjects who meet the inclusion and exclusion criteria.
59632926|NCT02710149|Experimental|B Cell Malignancies|The trial will be conducted in a manner of simon two-stage design with Anti-CD20-CAR-transduced T cells, beginning in the first stage with the aim of over 30% reaction rate among 15 patients with B cell malignancies. Only when the expected reaction rate is achieved the 30 patients left can be recruited.
59314488|NCT04822974|Experimental|STUDY ARM|blood samples collection
59314934|NCT04780529|Experimental|Patients with late malignant digestive tract tumor|Patients with late malignant digestive tract tumor, for example metastatic colorectal cancer, pancreatic cancer, gastric cancer and so on. because of this is a open, single arm trail, there is no control group.
59315515|NCT04796688|Experimental|Fludarabine + Cyclophosphamide + AT19 cells|Patients will received lymphodepletion with fludarabine (30 mg/kg) and cyclophosphamide (300 mg/kg) on days -5, -4, and -3, followed by the infusions of AT19 cells on day 0-2. The study will be divided into three groups: B-ALL, B-CLL, and B-cell lymphoma. Doses of 0.5×10^7, 1.0×10^7, and 2.0×10^7 CAR+ T cells (with an allowance of ±20%) will be tested in each group in the 3+3 dose-escalation study. Each dose group has 3 patients. If no DLT emerges in the group, then the next group uses the subsequent higher dose. If DLT emerges in a single subject in any dose level, 3 more subjects will be enrolled to the same dose level.The maximum dose could be extended.
59315856|NCT02247609|Experimental|CAR T cells|Autologous 4th generation anti-CD19-CAR T cells
59316162|NCT05613348|Experimental|humanized CAR19T2 T cell to B-cell acute lymphoblastic leukemia/lymphoma|Patients received fludarabine and cyclophosphamide (Flu/Cy) for lymphodepletion (Cy at 300-500 mg/m2/dose for four days and Flu at 20-30 mg/m2/dose for two days) before CAR19T2 T cells administration. This CAR19T2 T cell will be infused over 30 minutes on days Day 0.
59980619|NCT04412174|Experimental|GC022F|The patients will receive GC022F CAR-T treatment. GC022F dosage ranges from 3×10^5 to 1×10^6 CAR+T/Kg.
59316962|NCT01897415|Experimental|Autologous T cells|Autologous T cells transfected with chimeric anti-mesothelin immunoreceptor SS1
59317884|NCT05123001|Experimental|Device physiological monitoring|Patients will receive wearable sensor devices (Biostrap arm band)
59317885|NCT05123001|No Intervention|Microsampling|Blood microsamples will be collected at start of conditioning chemotherapy, daily while in the hospital, and after leaving the hospital and outpatient appointments.
59317886|NCT05123001|No Intervention|Biostrap mobile App|Data collection from wearable sensor.
59318065|NCT05577000|Experimental|Dose Escalation (150 x 10^6 CAR + T cells/ infusion)|Participants will undergo apheresis with collection of autologous peripheral blood mononuclear cells that will be used to generate CAR-T cells. After successful generation of the anti-BCMA CAR-T cells, participants will undergo lymphodepleting chemotherapy with fludarabine and cyclophosphamide followed by 2-5 days of rest. A single infusion of anti-BCMA CAR-T cells at the starting dose of 150 x 10^6 flat dose will then be given on Day 1.
59318066|NCT05577000|Experimental|Dose Escalation (450 x 10^6 CAR + T cells/ infusion)|Participants will undergo apheresis with collection of autologous peripheral blood mononuclear cells that will be used to generate CAR-T cells. After successful generation of the anti-BCMA CAR-T cells, and no dose limiting toxicities were reported for the previous dose level, participants will undergo lymphodepleting chemotherapy with fludarabine and cyclophosphamide followed by 2-5 days of rest. A single infusion of anti-BCMA CAR-T cells at the next highest dose of 450 x 10^6 flat dose will then be given on Day 1.
59318067|NCT05577000|Experimental|Dose Escalation (600 x 10^6 CAR + T cells/ infusion)|Participants will undergo apheresis with collection of autologous peripheral blood mononuclear cells that will be used to generate CAR-T cells. After successful generation of the anti-BCMA CAR-T cells, and no dose limiting toxicities were reported for the previous dose level, participants will undergo lymphodepleting chemotherapy with fludarabine and cyclophosphamide followed by 2-5 days of rest. A single infusion of anti-BCMA CAR-T cells at the next highest dose of 600 x 10^6 flat dose will then be given on Day 1.
59318068|NCT05577000|Experimental|Dose Expansion: Maximum Tolerated Dose (MTD)|Participants will undergo apheresis with collection of autologous peripheral blood mononuclear cells that will be used to generate CAR-T cells. After successful generation of the anti-BCMA CAR-T cells, and no dose limiting toxicities were reported for the previous dose level, participants will undergo lymphodepleting chemotherapy with fludarabine and cyclophosphamide followed by 2-5 days of rest. A single infusion of anti-BCMA CAR-T cells at the MTD will then be given on Day 1.
59318304|NCT04767308|Experimental|Arm 1|"The tolerability and safety of CT125A cells will be assessed according to the 3+3 dose escalation design. There will be three dose levels, 1×10^6, 2×10^6, and 3×10^6, CAR+T cells/kg. For each level, 1-3 subjects will be enrolled. If no dose limited toxicity (DLT) occurs, next level will be assessed for DLT. If DLT occurs in one subject, 3 more subjects will be enrolled in this cohort for the evaluation of DLT. If DLT occurs in ≤ 1/6 subjects, next level will be assessed for DLT. If DLT occurs in ≥ 2 subjects, no more subjects will be enrolled in this cohort and dose escalation will be canceled. For each cohort, following subjects can only receive CT125A infusion at least 14 days after the first subject received CT125A infusion. If DLT occurs in 2 subjects at Dose Level 1, whether to explore a lower dose will be determined by the investigator. After dose escalation phase is completed, the dose for extension phase will be determined based on safety and PK data."
59982053|NCT02706405|Experimental|Group I (JCAR014, durvalumab) Early - Dose Level 2|"Patients receive JCAR014 IV over 20-30 minutes on day 0 and durvalumab IV over 60 minutes on day 21 (may occur as early as day 7) and then every 4 weeks for up to 10 doses in the absence of disease progression or unacceptable toxicity.~Group 1 - early: start durvalumab no earlier than 7 days after JCAR014.~Group 1 Dose Level 2 is 750 mg Durvalumab, up to 2 x 106/kg CAR T cells"
59982054|NCT02706405|Experimental|Group I (JCAR014, durvalumab) Late- Dose Level 1|"Patients receive JCAR014 IV over 20-30 minutes on day 0 and durvalumab IV over 60 minutes on day 21 (may occur as early as day 7) and then every 4 weeks for up to 10 doses in the absence of disease progression or unacceptable toxicity.~Group 1 - late: start durvalumab no earlier than 21 days after JCAR014~Group 1 Dose Level 1 is 225 mg Durvalumab, up to 2 x 106/kg CAR T cells~."
59982055|NCT02706405|Experimental|Group I (JCAR014, durvalumab) Late - Dose Level 2|"Patients receive JCAR014 IV over 20-30 minutes on day 0 and durvalumab IV over 60 minutes on day 21 (may occur as early as day 7) and then every 4 weeks for up to 10 doses in the absence of disease progression or unacceptable toxicity.~Group 1 - late: start durvalumab no earlier than 21 days after JCAR014~Group 1 Dose Level 2 is 750 mg Durvalumab, up to 2 x 106/kg CAR T cells"
59982056|NCT02706405|Experimental|Group II (durvalumab, JCAR014) - Dose Level 1|"Patients receive durvalumab IV over 60 minutes on day -1, JCAR014 IV over 20-30 minutes on day 0, then up to 10 additional doses of durvalumab every 4 weeks in the absence of disease progression or unacceptable toxicity.~Group 2 Dose Level 1 is 7.5 mg Durvalumab, up to 2 x 106/kg CAR T cells"
59982057|NCT02706405|Experimental|Group II (durvalumab, JCAR014) - Dose Level 2|"Patients receive durvalumab IV over 60 minutes on day -1, JCAR014 IV over 20-30 minutes on day 0, then up to 10 additional doses of durvalumab every 4 weeks in the absence of disease progression or unacceptable toxicity.~Group 2 Dose Level 2 is 22.5 mg Durvalumab, up to 2 x 106/kg CAR T cells"
59982058|NCT02706405|Experimental|Group II (durvalumab, JCAR014) - Dose Level 3|"Patients receive durvalumab IV over 60 minutes on day -1, JCAR014 IV over 20-30 minutes on day 0, then up to 10 additional doses of durvalumab every 4 weeks in the absence of disease progression or unacceptable toxicity.~Group 2 Dose Level 3 is 75 mg Durvalumab, up to 2 x 106/kg CAR T cells"
59982059|NCT02706405|Experimental|Group II (durvalumab, JCAR014) - Dose Level 4|"Patients receive durvalumab IV over 60 minutes on day -1, JCAR014 IV over 20-30 minutes on day 0, then up to 10 additional doses of durvalumab every 4 weeks in the absence of disease progression or unacceptable toxicity.~Group 2 Dose Level 4 is 225 mg Durvalumab, up to 2 x 106/kg CAR T cells"
59982060|NCT02706405|Experimental|Group II (durvalumab, JCAR014) - Dose Level 5|"Patients receive durvalumab IV over 60 minutes on day -1, JCAR014 IV over 20-30 minutes on day 0, then up to 10 additional doses of durvalumab every 4 weeks in the absence of disease progression or unacceptable toxicity.~Group 2 Dose Level 5 is 750 mg Durvalumab, up to 2 x 106/kg CAR T cells"
59982235|NCT03179007|Experimental|Anti-CTLA-4/PD-1 expressing MUC1-CAR-T|This study have only one arm that is anti-CTLA-4/PD-1 expressing MUC1-CAR-T group. All patients with advanced solid tumor will take part in the screening, who matching all the conditions will be chosen for the treatment using CTLA-4 and PD-1 antibodies expressing MUC1-targeted CAR-T cells. New CAR-T cells are cultured from PBMC and returned to the patients by venous transfusion.
59982260|NCT02761915|Other|Dose Level 1|Patients in Dose Level 1 will receive 1x10^7 1RG-CART/m^2 intravenously (IV) on Day 0.
59982261|NCT02761915|Other|Dose Level 2|Patients in Dose Level 2 will receive 300 mg/m^2/day of cyclophosphamide for four days (Days -4 to -1) followed by 1x10^7 1RG-CART/m^2 IV on Day 0.
59982262|NCT02761915|Other|Dose Level 3|Patients in Dose Level 3 will receive 300 mg/m^2/day of cyclophosphamide for four days (Days -7 to -4) and 25 mg/m^2/day of fludarabine for five days (Days -8 to -4), followed by 1x10^7 1RG-CART/m^2 IV on Day 0.
