id|nct_id|responsible_party_type|name|title|organization|affiliation|old_name_title
30863880|NCT05013372|Principal Investigator|Xiao-Jun Huang|Prof.||Peking University People's Hospital|
30863887|NCT04214886|Principal Investigator|Nasheed Hossain|MD, Assistant Professor||Loyola University|
30863905|NCT05621486|Sponsor|||||
30946566|NCT03960060|Sponsor|||||
31122503|NCT05239676|Principal Investigator|He Huang|The President of The First Affiliated Hospital, College of Medicine, Zhejiang University||Zhejiang University|
30865907|NCT05431608|Sponsor|||||
30865919|NCT05397496|Sponsor|||||
30947390|NCT01818323|Principal Investigator|John Maher|Consultant and Senior Lecturer in Immunology||King's College London|
31123168|NCT01109095|Principal Investigator|Nabil Ahmed|Associate Professor||Baylor College of Medicine|
30867161|NCT02663297|Sponsor|||||
30867181|NCT02159495|Sponsor|||||
30867905|NCT03013712|Sponsor|||||
30868507|NCT05544526|Sponsor|||||
31212218|NCT02443831|Sponsor|||||
31123657|NCT05371093|Sponsor|||||
31123659|NCT05364424|Sponsor|||||
30868715|NCT03602612|Principal Investigator|James Kochenderfer, M.D.|Principal Investigator||National Cancer Institute (NCI)|
31212262|NCT05202782|Sponsor|||||
31123746|NCT04989803|Sponsor|||||
31029716|NCT03617198|Sponsor|||||
31029737|NCT02844062|Sponsor|||||
31123768|NCT04897321|Sponsor|||||
30948587|NCT05020444|Sponsor-Investigator|Marcela V. Maus, M.D.,Ph.D.|Sponsor Investigator||Massachusetts General Hospital|
30948704|NCT04214392|Sponsor|||||
31123872|NCT04196413|Sponsor-Investigator|Crystal Mackall, MD|Professor of Pediatrics and of Medicine||Stanford University|
31212321|NCT05191472|Sponsor-Investigator|Alfred Chung, MD|Principal Investigator||University of California, San Francisco|
30869478|NCT02050347|Principal Investigator|Carlos Ramos|Assistant Professor||Baylor College of Medicine|
31212779|NCT04219163|Principal Investigator|LaQuisa Hill|Assistant Professor||Baylor College of Medicine|
31213180|NCT05206357|Sponsor|||||
30869650|NCT03287817|Sponsor|||||
30869771|NCT05445765|Sponsor|||||
31213280|NCT04577326|Sponsor|||||
31030295|NCT04237428|Sponsor|||||
30870382|NCT05141253|Principal Investigator|Qinglei Gao|Professor||Tongji Hospital|
31213379|NCT03792633|Sponsor|||||
30949893|NCT05432882|Sponsor|||||
30949922|NCT02958384|Principal Investigator|Shiqi Li|Principal Investigator of Biotherapy Center||Southwest Hospital, China|
30871232|NCT03029273|Principal Investigator|ShiYue Li|MD,Professor||Guangzhou Institute of Respiratory Disease|
30950498|NCT04727008|Principal Investigator|Ting Niu|Director of Department of Hematology||West China Hospital|
30871562|NCT04499573|Sponsor|||||
31030781|NCT05627323|Sponsor|||||
30871981|NCT04351022|Sponsor|||||
30872067|NCT04835519|Sponsor|||||
31030893|NCT05117008|Principal Investigator|Meera Mohan, MD|Assistant Professor||Medical College of Wisconsin|
31030914|NCT04984356|Sponsor|||||
30951619|NCT02963038|Sponsor|||||
30951820|NCT02968472|Principal Investigator|Xun Lai|chief physician||The First People's Hospital of Yunnan|
30873064|NCT02959151|Sponsor|||||
30873153|NCT05362331|Sponsor|||||
30824424|NCT02935257|Sponsor|||||
30873551|NCT04827745|Sponsor|||||
30873661|NCT02445222|Sponsor|||||
30873700|NCT02976857|Sponsor|||||
30873771|NCT04003649|Sponsor|||||
30873855|NCT02975687|Principal Investigator|wang, jianxiang|Dr.||Institute of Hematology & Blood Diseases Hospital|
30874305|NCT03430011|Sponsor|||||
30953345|NCT02958410|Principal Investigator|Shiqi Li|Principal Investigator of Biotherapy Center||Southwest Hospital, China|
30953393|NCT04717999|Sponsor|||||
30953431|NCT02965092|Sponsor|||||
31125566|NCT03874897|Principal Investigator|Shen Lin|Professor||Peking University|
31031857|NCT05168748|Sponsor|||||
30875392|NCT04740203|Principal Investigator|He Huang|Professor||Zhejiang University|
31125669|NCT03929107|Sponsor-Investigator|Wenbin Qian|Doctor, Professor||First Affiliated Hospital of Zhejiang University|
30875483|NCT00586391|Principal Investigator|Carlos Ramos|Assistant Professor||Baylor College of Medicine|
30875628|NCT05445011|Principal Investigator|MEI HENG|Proferssor, Cheif Doctor||Wuhan Union Hospital, China|
30954685|NCT05518253|Sponsor-Investigator|Weijia Fang, MD|Director,Principal Investigato||Zhejiang University|
30954711|NCT05489991|Sponsor|||||
30954731|NCT05468190|Sponsor|||||
30954753|NCT05442515|Sponsor|||||
30876036|NCT05326243|Sponsor|||||
30954773|NCT05420545|Sponsor|||||
30954774|NCT05420519|Sponsor|||||
31032232|NCT02772198|Sponsor|||||
30954792|NCT05400109|Sponsor-Investigator|Changchun Deng, MD|Medical Director, Lymphoma and CLL, UH Seidman Cancer Center Associate Professor, CWRU School of Medicine||Case Comprehensive Cancer Center|
30955011|NCT05035407|Sponsor|||||
30955030|NCT05003895|Sponsor|||||
30876573|NCT03019055|Principal Investigator|Nirav Shah|Associate Professor||Medical College of Wisconsin|
30955293|NCT04420754|Sponsor|||||
30955295|NCT04416984|Sponsor|||||
30955353|NCT04227275|Sponsor|||||
30955428|NCT04029038|Sponsor|||||
30955754|NCT02315612|Sponsor|||||
30877937|NCT05620342|Sponsor|||||
30878231|NCT05257083|Sponsor|||||
30878399|NCT05032820|Sponsor-Investigator|Marcelo Pasquini, MD|Primary Investigator||Medical College of Wisconsin|
30956550|NCT05539430|Sponsor|||||
30878421|NCT05000450|Sponsor|||||
30878499|NCT04855136|Sponsor|||||
30878521|NCT04792489|Sponsor|||||
30878682|NCT04467853|Principal Investigator|Jin Li|Director||Shanghai East Hospital|
30956873|NCT01853631|Principal Investigator|Carlos Ramos|Professor||Baylor College of Medicine|
30878817|NCT04093596|Sponsor|||||
30879137|NCT02690545|Sponsor|||||
30957306|NCT04601831|Principal Investigator|Kiran Kumar|Principal Investigator, Assistant Professor, Chief of Lymphoma & Pediatrics Radiation Oncology Service||University of Texas Southwestern Medical Center|
30957340|NCT04316624|Principal Investigator|Zou Dehui|Chief Physician||Institute of Hematology & Blood Diseases Hospital|
30957380|NCT04036019|Principal Investigator|Aibin Liang，MD，Ph.D.|Director，Department of Hematology||Shanghai Tongji Hospital, Tongji University School of Medicine|
30879542|NCT05577091|Principal Investigator|Wei Zhang|Department of neurosurgery||Beijing Tiantan Hospital|
31033399|NCT05659628|Sponsor|||||
30932714|NCT01886976|Principal Investigator|Han weidong|principal investigator||Chinese PLA General Hospital|
31033433|NCT02537977|Principal Investigator|Aibin Liang，MD，Ph.D.|Director，Department of Hematology||Shanghai Tongji Hospital, Tongji University School of Medicine|
31033495|NCT05379569|Principal Investigator|Xianmin Song, MD|Department of Hematology，Director, Head of Otolaryngology, Principal Investigator,||Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine|
30880374|NCT05312411|Principal Investigator|Colleen Annesley|Medical Director, Seattle Children's Therapeutics||Seattle Children's Hospital|
30880437|NCT05105152|Principal Investigator|Colleen Annesley|Medical Director, Seattle Children's Therapeutics||Seattle Children's Hospital|
30880573|NCT04571138|Principal Investigator|Colleen Annesley|Medical Director, Seattle Children's Therapeutics||Seattle Children's Hospital|
30880610|NCT04450069|Sponsor|||||
31126748|NCT05155189|Principal Investigator|TingBo Liang|professor||Zhejiang University|
30880779|NCT03684889|Principal Investigator|Colleen Annesley|Medical Director, Seattle Children's Therapeutics||Seattle Children's Hospital|
30880846|NCT03330691|Principal Investigator|Colleen Annesley|Medical Director, Seattle Children's Therapeutics||Seattle Children's Hospital|
30880858|NCT03244306|Principal Investigator|Colleen Annesley|Medical Director, Seattle Children's Therapeutics||Seattle Children's Hospital|
30880866|NCT03186118|Principal Investigator|Colleen Annesley|Medical Director, Seattle Children's Therapeutics||Seattle Children's Hospital|
31126843|NCT00924326|Principal Investigator|Steven Rosenberg, M.D.|Principal Investigator||National Cancer Institute (NCI)|
30880960|NCT02028455|Principal Investigator|Colleen Annesley|Medical Director, Seattle Children's Therapeutics||Seattle Children's Hospital|
30880981|NCT01683279|Principal Investigator|Colleen Annesley|Medical Director, Seattle Children's Therapeutics||Seattle Children's Hospital|
31033753|NCT05382377|Sponsor-Investigator|jianming xu|Leading Site Principal Investigator||The Affiliated Hospital of the Chinese Academy of Military Medical Sciences|
30881050|NCT03994705|Sponsor|||||
30881202|NCT05651100|Sponsor|||||
31033950|NCT05639972|Sponsor-Investigator|Christian Hinrichs|Co-director, Duncan and Nancy MacMillan Cancer Immunology and Metabolism Center of Excellence||Rutgers, The State University of New Jersey|
30881419|NCT05416554|Sponsor|||||
30881997|NCT05616468|Sponsor|||||
31034748|NCT05588440|Sponsor|||||
30959200|NCT05373147|Principal Investigator|LouJinxing|Chief Physician||Shanghai Mengchao Cancer Hospital|
30883280|NCT02650999|Sponsor|||||
30883450|NCT05436223|Sponsor|||||
31127308|NCT03483688|Sponsor|||||
31214892|NCT03323944|Sponsor|||||
30883773|NCT04186520|Principal Investigator|Nirav Shah|Associate Professor||Medical College of Wisconsin|
30883901|NCT05349266|Principal Investigator|He Huang|President/Proffessor||First Affiliated Hospital of Zhejiang University|
30883912|NCT05336383|Sponsor|||||
30883971|NCT04337606|Principal Investigator|Han weidong|Principal Investigator||Chinese PLA General Hospital|
30884094|NCT04336501|Sponsor|||||
30960073|NCT03085173|Sponsor|||||
30960560|NCT04514029|Sponsor|||||
31214989|NCT04795882|Sponsor|||||
31036084|NCT05172596|Sponsor|||||
30886384|NCT04816526|Sponsor|||||
31127699|NCT03716856|Sponsor|||||
30886653|NCT05531708|Sponsor|||||
30886666|NCT05513612|Sponsor|||||
31127732|NCT03902197|Sponsor|||||
31128041|NCT03881761|Sponsor|||||
30824678|NCT05204160|Principal Investigator|Ajay Nooka|Principal Investigator||Emory University|
31037705|NCT03666000|Sponsor|||||
30962396|NCT04691284|Sponsor|||||
30962406|NCT04691713|Sponsor|||||
30888579|NCT05190653|Principal Investigator|Reanne Booker|Principal Investigator||Alberta Health Services, Calgary|
30889212|NCT04608487|Principal Investigator|Caron A. Jacobson, MD|Principal Investigator||Dana-Farber Cancer Institute|
31038381|NCT04185038|Principal Investigator|Rebecca Gardner|Medical Director, Immunotherapy||Seattle Children's Hospital|
30889292|NCT03676504|Principal Investigator|Prof. Dr. Michael Schmitt|Head of the GMP Core Facility University Hospital Heidelberg, Principal Investigator, Clinical Professor for Cellular Immunotherapy||University Hospital Heidelberg|
31038550|NCT02723942|Sponsor|||||
31038553|NCT05015972|Sponsor|||||
31038570|NCT02715362|Sponsor|||||
30962892|NCT05667506|Sponsor|||||
30962955|NCT05266950|Sponsor|||||
30962982|NCT05098613|Sponsor|||||
30889770|NCT04562298|Sponsor|||||
31038844|NCT02706782|Sponsor|||||
30889937|NCT01593696|Principal Investigator|Nirali N. Shah, M.D.|Principal Investigator||National Cancer Institute (NCI)|
31039043|NCT04154709|Sponsor-Investigator|Kai Lin Xu; Jun Nian Zheng|President||Xuzhou Medical University|
30963315|NCT04723914|Sponsor-Investigator|YuLi|Professor||Shenzhen University General Hospital|
31039160|NCT05344664|Sponsor|||||
30963480|NCT02937844|Sponsor|||||
30963496|NCT02937103|Principal Investigator|Shiqi Li|Researcher of Biotherapy Center||Southwest Hospital, China|
30963542|NCT02935153|Principal Investigator|Shiqi Li|Researcher of Biotherapy Center||Southwest Hospital, China|
30890673|NCT04406610|Sponsor|||||
30963795|NCT02919046|Sponsor|||||
31128775|NCT03711864|Principal Investigator|Lu Zhang|Attending doctor||Peking Union Medical College Hospital|
31040299|NCT04033302|Sponsor|||||
30964584|NCT05415475|Sponsor|||||
30891225|NCT03696030|Sponsor|||||
30891332|NCT03774654|Principal Investigator|Carlos Ramos|Associate Professor||Baylor College of Medicine|
30964782|NCT05075603|Sponsor|||||
31040883|NCT04169022|Sponsor|||||
31040893|NCT04186052|Sponsor|||||
30965126|NCT03768310|Principal Investigator|Rayne Rouce|Assistant Professor||Baylor College of Medicine|
31041385|NCT04184414|Sponsor|||||
31041436|NCT02813837|Sponsor|||||
31041768|NCT05652920|Sponsor|||||
31041781|NCT04236011|Principal Investigator|Weijun Fu|Director of Hematology Department||Shanghai Changzheng Hospital|
31041937|NCT02794961|Sponsor-Investigator|Kai Lin Xu; Jun Nian Zheng|President||Xuzhou Medical University|
30892409|NCT04390542|Sponsor|||||
30965795|NCT05022849|Sponsor|||||
30965820|NCT04923893|Sponsor|||||
30965880|NCT04662099|Principal Investigator|MEI HENG|Proferssor, Cheif Doctor||Wuhan Union Hospital, China|
30965981|NCT04181827|Sponsor|||||
30965989|NCT04133636|Sponsor|||||
30966158|NCT01430390|Sponsor|||||
30966592|NCT04723901|Principal Investigator|YuLi|Professor||Shenzhen University General Hospital|
30967093|NCT04655677|Sponsor|||||
31043369|NCT02765243|Principal Investigator|Yang Lihua|Associate Director||Zhujiang Hospital|
30967136|NCT04653649|Sponsor|||||
30967137|NCT04653493|Sponsor|||||
30967179|NCT04650724|Sponsor|||||
30967219|NCT04637503|Sponsor|||||
30967232|NCT04637269|Principal Investigator|Xi Zhang, MD|Chef of Hematology Department||Xinqiao Hospital of Chongqing|
31004858|NCT04264078|Principal Investigator|Xi Zhang, MD|Chef of Hematology Department||Xinqiao Hospital of Chongqing|
30893932|NCT05256641|Sponsor|||||
30894001|NCT04735471|Sponsor|||||
30894009|NCT04661384|Sponsor|||||
31044581|NCT02735291|Sponsor|||||
31044713|NCT02737085|Principal Investigator|Jieping Chen|Head of Hematology Department||Southwest Hospital, China|
31045103|NCT02721407|Principal Investigator|Qingzhu Jia, M.D.|Director of Department of Cancer||Xinqiao Hospital of Chongqing|
30894534|NCT05620680|Principal Investigator|YuLi|Professor||Shenzhen University General Hospital|
31045450|NCT05260957|Sponsor-Investigator|Lazaros Lekakis|Associate Professor of Clinical||University of Miami|
31045712|NCT04162340|Sponsor|||||
31045829|NCT03999697|Sponsor|||||
31045939|NCT05263817|Principal Investigator|He Huang|The President of The First Affiliated Hospital, College of Medicine, Zhejiang University||Zhejiang University|
30968904|NCT04666168|Sponsor|||||
31129827|NCT05470777|Principal Investigator|Sheng-Li Xue, MD|Professor||The First Affiliated Hospital of Soochow University|
30968922|NCT04665076|Sponsor|||||
30968996|NCT04661020|Principal Investigator|He Huang|Clinical Professor||Zhejiang University|
30969240|NCT04626739|Sponsor|||||
31046549|NCT02617134|Sponsor|||||
30895963|NCT04650451|Sponsor|||||
30895977|NCT04526834|Sponsor|||||
31046842|NCT04156178|Sponsor|||||
30896016|NCT04257578|Sponsor|||||
30969572|NCT04610125|Sponsor|||||
30969857|NCT04594135|Sponsor|||||
30969945|NCT04213469|Sponsor|||||
31047322|NCT04151186|Sponsor-Investigator|suhaichuan|professor||Tang-Du Hospital|
31047843|NCT02624258|Sponsor|||||
31216214|NCT03497819|Principal Investigator|Meng-Tao Zhou|Director||First Affiliated Hospital of Wenzhou Medical University|
31130083|NCT04257175|Principal Investigator|Prof Arnon Nagler|M.D., M.Sc, Professor of Medicine Tel Aviv University, Director Hematology Division, Chaim Sheba Medical Center||Sheba Medical Center|
30896973|NCT05315778|Sponsor|||||
31048326|NCT04182581|Sponsor|||||
31130174|NCT03931421|Principal Investigator|Wenbin Qian|clinical professor||First Affiliated Hospital of Zhejiang University|
31048567|NCT02672501|Sponsor|||||
31130203|NCT04823091|Principal Investigator|MEI HENG|Proferssor, Cheif Doctor||Wuhan Union Hospital, China|
31049073|NCT02644655|Sponsor|||||
30897563|NCT05464719|Sponsor|||||
31049391|NCT04160195|Principal Investigator|James Kochenderfer, M.D.|Principal Investigator||National Cancer Institute (NCI)|
30897638|NCT05274451|Sponsor|||||
30971097|NCT04546906|Sponsor|||||
30971131|NCT04541368|Principal Investigator|He Huang|Clinical Professor||Zhejiang University|
30897876|NCT04432506|Sponsor|||||
31049760|NCT05096234|Principal Investigator|David Miklos|Professor of Medicine (Blood and Marrow Transplantation and Cellular Therapy)||Stanford University|
30897940|NCT04071366|Sponsor|||||
30898022|NCT03435796|Sponsor|||||
31050189|NCT04153799|Principal Investigator|Li Zhang, MD|Professor, Medical doctor||Sun Yat-sen University|
30898159|NCT01087294|Sponsor|||||
31170985|NCT04430530|Sponsor|||||
30898444|NCT03882840|Sponsor|||||
30898453|NCT03198546|Sponsor|||||
31050599|NCT05574114|Sponsor|||||
31050604|NCT05535855|Sponsor|||||
31050694|NCT05010564|Principal Investigator|Bahey Salem MD|Assistant Professor||Baylor College of Medicine|
30898623|NCT03590574|Sponsor|||||
31050747|NCT04555551|Sponsor|||||
31130603|NCT03814447|Principal Investigator|Zhao Hui|professor||Shanghai 6th People's Hospital|
31130621|NCT05164042|Principal Investigator|YuLi|Professor||Shenzhen University General Hospital|
30971769|NCT04532281|Principal Investigator|He Huang|Clinical Professor||Zhejiang University|
30971771|NCT04532203|Principal Investigator|He Huang|Clinical Professor||Zhejiang University|
31051479|NCT05298995|Principal Investigator|Franco Locatelli|Head of the Department of Pediatric Hematology/Oncology and Cell and Gene Therapy||Bambino Gesù Hospital and Research Institute|
31130772|NCT03815383|Sponsor|||||
30972144|NCT04718883|Sponsor|||||
30899180|NCT05665062|Sponsor|||||
30899213|NCT05322330|Sponsor|||||
31217132|NCT01865617|Principal Investigator|Alexandre Hirayama|Research Associate||Fred Hutchinson Cancer Center|
31217418|NCT05320081|Principal Investigator|Jianfeng Zhou|Director of the Division of Hematology||Huazhong University of Science and Technology|
31217478|NCT04938115|Sponsor|||||
30899846|NCT05212584|Sponsor|||||
31217663|NCT03593109|Sponsor|||||
31131457|NCT05176275|Principal Investigator|Miao Liyan|Chief Pharmacist||The First Affiliated Hospital of Soochow University|
31217928|NCT04928105|Sponsor|||||
31131580|NCT03790891|Sponsor|||||
31053927|NCT04094766|Sponsor|||||
31131791|NCT05438368|Sponsor|||||
31131808|NCT05234190|Sponsor|||||
30900457|NCT03330834|Principal Investigator|Li Zhang, MD|Professor||Sun Yat-sen University|
30974489|NCT04715217|Sponsor|||||
31132048|NCT03706326|Principal Investigator|Size Chen|Associate Professor||The First Affiliated Hospital of Guangdong Pharmaceutical University|
30974650|NCT04714827|Sponsor|||||
30974826|NCT04714593|Sponsor|||||
31054895|NCT05325801|Principal Investigator|He Huang|Prof.||Zhejiang University|
31055083|NCT02587689|Sponsor|||||
31132261|NCT03064269|Sponsor|||||
31055469|NCT02580747|Principal Investigator|Han weidong|PI||Chinese PLA General Hospital|
30975862|NCT03271515|Sponsor|||||
30975921|NCT03271632|Principal Investigator|Lung-Ji Chang|Principal Investigator||Shenzhen Geno-Immune Medical Institute|
31132778|NCT04903080|Sponsor|||||
30976100|NCT04702841|Sponsor|||||
31132901|NCT03767725|Principal Investigator|Wei-Hong Chen, MD|professor, Chief physician, principal investigator||Shenzhen Second People's Hospital|
31132968|NCT03916679|Sponsor|||||
31056915|NCT03740256|Principal Investigator|Bora Lim|Associate Professor, Center for Cell and Gene Therapy||Baylor College of Medicine|
30901823|NCT04148430|Sponsor|||||
30901828|NCT03467256|Sponsor|||||
30976638|NCT04700319|Sponsor|||||
31133348|NCT04697290|Sponsor|||||
31133604|NCT03289455|Sponsor|||||
30976997|NCT02893189|Sponsor|||||
30902552|NCT05576220|Sponsor|||||
31058240|NCT02631044|Sponsor|||||
31133807|NCT05275062|Sponsor|||||
31218955|NCT04412889|Sponsor|||||
31219000|NCT04447573|Sponsor|||||
30977974|NCT04516551|Principal Investigator|Xi Zhang, MD|Chef of Hematology Department||Xinqiao Hospital of Chongqing|
30977998|NCT04324996|Sponsor|||||
31058916|NCT04067414|Principal Investigator|Qiu Lugui|principal investigator||Institute of Hematology & Blood Diseases Hospital|
30978138|NCT04513431|Principal Investigator|Mei Wang|Director of Oncology||Ruijin Hospital|
30824973|NCT05023707|Sponsor|||||
30903936|NCT05269914|Sponsor|||||
30903947|NCT05262673|Sponsor|||||
30904025|NCT05052528|Sponsor-Investigator|Mehrdad Abedi, MD|Principal Investigator||University of California, Davis|
30978284|NCT05639179|Sponsor|||||
31219333|NCT03904069|Sponsor|||||
30904197|NCT04260945|Sponsor|||||
30904198|NCT04260932|Sponsor|||||
31219391|NCT04506983|Sponsor|||||
30904347|NCT03373071|Principal Investigator|Franco Locatelli|Haematology-Oncology Department Chief||Bambino Gesù Hospital and Research Institute|
30978692|NCT02954445|Principal Investigator|Shiqi Li|Principal Investigator of Biotherapy Center||Southwest Hospital, China|
31219506|NCT03380039|Sponsor|||||
30978762|NCT02274584|Principal Investigator|Jun Zhu|Director||Peking University|
31171148|NCT04861480|Sponsor|||||
31059465|NCT04561557|Principal Investigator|Wei Wang|Professor of Neurology, President of Tongji Hospital||Tongji Hospital|
31135168|NCT05181501|Sponsor|||||
31219756|NCT03383965|Principal Investigator|Xiulian Sun|Principal Investigator||Immune Cell, Inc.|
30979428|NCT05143151|Principal Investigator|YuLi|Professor||Shenzhen University General Hospital|
30979431|NCT05143112|Principal Investigator|YuLi|Professor||Shenzhen University General Hospital|
31220053|NCT05127135|Sponsor|||||
30979571|NCT05149391|Principal Investigator|Jun Zhu|Professor||Peking University Cancer Hospital & Institute|
30979640|NCT04692948|Sponsor|||||
31135991|NCT03370198|Sponsor|||||
31220253|NCT03349255|Sponsor|||||
31136198|NCT03356782|Principal Investigator|Lung-Ji Chang|President||Shenzhen Geno-Immune Medical Institute|
30979866|NCT04691349|Sponsor|||||
31136261|NCT05239689|Principal Investigator|He Huang|The President of The First Affiliated Hospital, College of Medicine, Zhejiang University||Zhejiang University|
31136442|NCT04503538|Sponsor|||||
31061210|NCT00889954|Principal Investigator|Stephen Gottschalk|Associate Professor Pediatric Hematology/Oncology Center for Cell and Gene Therapy||Baylor College of Medicine|
31061283|NCT04037566|Principal Investigator|Gao Guangxun|Director of Hematology Department||Xijing Hospital|
31061294|NCT02541370|Principal Investigator|Han weidong|PI||Chinese PLA General Hospital|
31220692|NCT05430945|Principal Investigator|He Huang|Clinical Professor||Zhejiang University|
31137407|NCT03840317|Sponsor|||||
31221215|NCT03322735|Sponsor|||||
30907012|NCT05418088|Sponsor-Investigator|Sumithira Vasu|Principal Investigator||Ohio State University Comprehensive Cancer Center|
30907191|NCT03098355|Sponsor|||||
30981339|NCT05594797|Sponsor|||||
30981357|NCT02933775|Sponsor|||||
30981425|NCT05467254|Principal Investigator|He Huang|Professor||Zhejiang University|
31221912|NCT03312205|Sponsor|||||
30981638|NCT05467202|Principal Investigator|He Huang|Professor||Zhejiang University|
31222049|NCT05044039|Sponsor|||||
31138415|NCT03811457|Sponsor|||||
31171232|NCT04429438|Sponsor|||||
30982171|NCT04206943|Sponsor|||||
30982297|NCT05562024|Sponsor|||||
30908932|NCT03761056|Sponsor|||||
31222445|NCT03281551|Sponsor|||||
31138619|NCT05463640|Principal Investigator|He Huang|Professor||Zhejiang University|
31222561|NCT03356795|Principal Investigator|Lung-Ji Chang|President||Shenzhen Geno-Immune Medical Institute|
31138696|NCT03798509|Sponsor|||||
31138796|NCT03799913|Principal Investigator|Zhigang Zhang|Dr||Zhejiang University|
31063170|NCT05350852|Principal Investigator|He Huang|President/Proffessor||Zhejiang University|
31063232|NCT03825718|Sponsor|||||
31223057|NCT04500431|Principal Investigator|Aibin Liang，MD，Ph.D.|Vice President of Tongji Hospital||Shanghai Tongji Hospital, Tongji University School of Medicine|
31223120|NCT03121625|Sponsor|||||
31139120|NCT03720457|Sponsor|||||
31063922|NCT05201781|Sponsor|||||
31223302|NCT03344705|Sponsor|||||
30984152|NCT05664217|Sponsor|||||
30984176|NCT05621291|Sponsor|||||
30984379|NCT04960579|Sponsor|||||
30984443|NCT04637763|Sponsor|||||
30984468|NCT04530565|Sponsor|||||
30984536|NCT04099797|Principal Investigator|Bilal Omer|Assistant Professor||Baylor College of Medicine|
30984542|NCT04013802|Principal Investigator|John Craddock|Associate Professor||Baylor College of Medicine|
31064630|NCT04008394|Principal Investigator|MEI HENG|Principal Investigator||Wuhan Union Hospital, China|
31139952|NCT03628612|Sponsor|||||
30984644|NCT02830724|Sponsor|||||
31064773|NCT05277987|Principal Investigator|LiuTao|Principal Investigator||Shenzhen Fifth People's Hospital|
30984975|NCT04639739|Principal Investigator|Xi Zhang, MD|Chef of Hematology Department||Xinqiao Hospital of Chongqing|
31064925|NCT04048434|Sponsor|||||
31223852|NCT05016063|Principal Investigator|Xi Zhang, MD|Chef of Hematology Department||Xinqiao Hospital of Chongqing|
31065211|NCT05306080|Sponsor|||||
30985557|NCT02930993|Principal Investigator|Jinwen Sun|director of Department of General Surgery and Surgical Oncology||China Meitan General Hospital|
31140779|NCT03198052|Sponsor|||||
31224233|NCT03076437|Sponsor|||||
31140928|NCT03298828|Principal Investigator|Xiaoyun Shang|Principal Investigator||Third Military Medical University|
30914637|NCT05239143|Sponsor|||||
