id|nct_id|result_group_id|ctgov_group_code|title|period|description|count|milestone_description|count_units
44312367|NCT01865617|59570129|FG007|COMPLETED|Overall Study||0||
44312368|NCT01865617|59570130|FG008|COMPLETED|Overall Study||9||
44312369|NCT01865617|59570131|FG009|COMPLETED|Overall Study||2||
44312370|NCT01865617|59570132|FG010|COMPLETED|Overall Study||17||
44312371|NCT01865617|59570133|FG011|COMPLETED|Overall Study||4||
44312372|NCT01865617|59570134|FG012|COMPLETED|Overall Study||7||
44312373|NCT01865617|59570122|FG000|NOT COMPLETED|Overall Study||30||
44312374|NCT01865617|59570123|FG001|NOT COMPLETED|Overall Study||3||
44312375|NCT01865617|59570124|FG002|NOT COMPLETED|Overall Study||1||
44312376|NCT01865617|59570125|FG003|NOT COMPLETED|Overall Study||1||
44312377|NCT01865617|59570126|FG004|NOT COMPLETED|Overall Study||7||
44312378|NCT01865617|59570127|FG005|NOT COMPLETED|Overall Study||1||
44312379|NCT01865617|59570128|FG006|NOT COMPLETED|Overall Study||12||
44312380|NCT01865617|59570129|FG007|NOT COMPLETED|Overall Study||1||
44312381|NCT01865617|59570130|FG008|NOT COMPLETED|Overall Study||11||
44312382|NCT01865617|59570131|FG009|NOT COMPLETED|Overall Study||3||
44312383|NCT01865617|59570132|FG010|NOT COMPLETED|Overall Study||32||
44312384|NCT01865617|59570133|FG011|NOT COMPLETED|Overall Study||6||
44312385|NCT01865617|59570134|FG012|NOT COMPLETED|Overall Study||13||
44318994|NCT01318317|59576490|FG000|STARTED|Overall Study||1||
44318995|NCT01318317|59576491|FG001|STARTED|Overall Study||4||
44318996|NCT01318317|59576492|FG002|STARTED|Overall Study||3||
44318997|NCT01318317|59576490|FG000|COMPLETED|Overall Study||1||
44318998|NCT01318317|59576491|FG001|COMPLETED|Overall Study||4||
44318999|NCT01318317|59576492|FG002|COMPLETED|Overall Study||3||
44319000|NCT01318317|59576490|FG000|NOT COMPLETED|Overall Study||0||
44319001|NCT01318317|59576491|FG001|NOT COMPLETED|Overall Study||0||
44319002|NCT01318317|59576492|FG002|NOT COMPLETED|Overall Study||0||
44204796|NCT03338972|59470149|FG000|STARTED|Overall Study||7||
44204797|NCT03338972|59470150|FG001|STARTED|Overall Study||8||
44204798|NCT03338972|59470151|FG002|STARTED|Overall Study||7||
44204799|NCT03338972|59470152|FG003|STARTED|Overall Study||3||
44204800|NCT03338972|59470149|FG000|COMPLETED|Overall Study||5||
44204801|NCT03338972|59470150|FG001|COMPLETED|Overall Study||7||
44204802|NCT03338972|59470151|FG002|COMPLETED|Overall Study||7||
44204803|NCT03338972|59470152|FG003|COMPLETED|Overall Study||3||
44204804|NCT03338972|59470149|FG000|NOT COMPLETED|Overall Study||2||
44204805|NCT03338972|59470150|FG001|NOT COMPLETED|Overall Study||1||
44204806|NCT03338972|59470151|FG002|NOT COMPLETED|Overall Study||0||
44204807|NCT03338972|59470152|FG003|NOT COMPLETED|Overall Study||0||
44206825|NCT03287804|59471645|FG000|STARTED|Overall Study||12||
44206826|NCT03287804|59471645|FG000|Leukaperesed|Overall Study||12||
44206827|NCT03287804|59471645|FG000|Started Pre-conditioning Therapy|Overall Study||11||
44206828|NCT03287804|59471645|FG000|Received Study Treatment|Overall Study||11||
44206829|NCT03287804|59471645|FG000|COMPLETED|Overall Study||1||
44206830|NCT03287804|59471645|FG000|NOT COMPLETED|Overall Study||11||
44217919|NCT00924326|59481857|FG000|STARTED|Dose Administration||8||
44217920|NCT00924326|59481858|FG001|STARTED|Dose Administration||2||
44217921|NCT00924326|59481859|FG002|STARTED|Dose Administration||5||
44217922|NCT00924326|59481860|FG003|STARTED|Dose Administration||6||
44217923|NCT00924326|59481861|FG004|STARTED|Dose Administration||7||
44217924|NCT00924326|59481862|FG005|STARTED|Dose Administration||10||
44217925|NCT00924326|59481863|FG006|STARTED|Dose Administration||1||
44217926|NCT00924326|59481864|FG007|STARTED|Dose Administration||2||
44217927|NCT00924326|59481865|FG008|STARTED|Dose Administration||2||
44217928|NCT00924326|59481857|FG000|COMPLETED|Dose Administration||8||
44217929|NCT00924326|59481858|FG001|COMPLETED|Dose Administration||2||
44217930|NCT00924326|59481859|FG002|COMPLETED|Dose Administration||5||
44217931|NCT00924326|59481860|FG003|COMPLETED|Dose Administration||6||
44217932|NCT00924326|59481861|FG004|COMPLETED|Dose Administration||7||
44217933|NCT00924326|59481862|FG005|COMPLETED|Dose Administration||10||
44217934|NCT00924326|59481863|FG006|COMPLETED|Dose Administration||1||
44217935|NCT00924326|59481864|FG007|COMPLETED|Dose Administration||2||
44217936|NCT00924326|59481865|FG008|COMPLETED|Dose Administration||2||
44217937|NCT00924326|59481857|FG000|NOT COMPLETED|Dose Administration||0||
44217938|NCT00924326|59481858|FG001|NOT COMPLETED|Dose Administration||0||
44217939|NCT00924326|59481859|FG002|NOT COMPLETED|Dose Administration||0||
44217940|NCT00924326|59481860|FG003|NOT COMPLETED|Dose Administration||0||
44217941|NCT00924326|59481861|FG004|NOT COMPLETED|Dose Administration||0||
44217942|NCT00924326|59481862|FG005|NOT COMPLETED|Dose Administration||0||
44217943|NCT00924326|59481863|FG006|NOT COMPLETED|Dose Administration||0||
44217944|NCT00924326|59481864|FG007|NOT COMPLETED|Dose Administration||0||
44217945|NCT00924326|59481865|FG008|NOT COMPLETED|Dose Administration||0||
44217946|NCT00924326|59481857|FG000|STARTED|1x10^9-1x10^10 + High Dose Retreat||3||
44217947|NCT00924326|59481858|FG001|STARTED|1x10^9-1x10^10 + High Dose Retreat||0||
44217948|NCT00924326|59481859|FG002|STARTED|1x10^9-1x10^10 + High Dose Retreat||0||
44217949|NCT00924326|59481860|FG003|STARTED|1x10^9-1x10^10 + High Dose Retreat||0||
44217950|NCT00924326|59481861|FG004|STARTED|1x10^9-1x10^10 + High Dose Retreat||0||
44217951|NCT00924326|59481862|FG005|STARTED|1x10^9-1x10^10 + High Dose Retreat||0||
44217952|NCT00924326|59481863|FG006|STARTED|1x10^9-1x10^10 + High Dose Retreat||0||
44217953|NCT00924326|59481864|FG007|STARTED|1x10^9-1x10^10 + High Dose Retreat||0||
44217954|NCT00924326|59481865|FG008|STARTED|1x10^9-1x10^10 + High Dose Retreat||0||
44217955|NCT00924326|59481857|FG000|COMPLETED|1x10^9-1x10^10 + High Dose Retreat||3||
44217956|NCT00924326|59481858|FG001|COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217957|NCT00924326|59481859|FG002|COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217958|NCT00924326|59481860|FG003|COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217959|NCT00924326|59481861|FG004|COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217960|NCT00924326|59481862|FG005|COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217961|NCT00924326|59481863|FG006|COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217962|NCT00924326|59481864|FG007|COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217963|NCT00924326|59481865|FG008|COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217964|NCT00924326|59481857|FG000|NOT COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217965|NCT00924326|59481858|FG001|NOT COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217966|NCT00924326|59481859|FG002|NOT COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217967|NCT00924326|59481860|FG003|NOT COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217968|NCT00924326|59481861|FG004|NOT COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217969|NCT00924326|59481862|FG005|NOT COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217970|NCT00924326|59481863|FG006|NOT COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217971|NCT00924326|59481864|FG007|NOT COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44217972|NCT00924326|59481865|FG008|NOT COMPLETED|1x10^9-1x10^10 + High Dose Retreat||0||
44324061|NCT02659943|59581599|FG000|STARTED|Overall Study||3||
44324062|NCT02659943|59581600|FG001|STARTED|Overall Study||2||
44324063|NCT02659943|59581601|FG002|STARTED|Overall Study||1||
44324064|NCT02659943|59581602|FG003|STARTED|Overall Study||4||
44324065|NCT02659943|59581603|FG004|STARTED|Overall Study||2||
44324066|NCT02659943|59581604|FG005|STARTED|Overall Study||9||
44324067|NCT02659943|59581605|FG006|STARTED|Overall Study||6||
44324068|NCT02659943|59581599|FG000|COMPLETED|Overall Study||2||
44324069|NCT02659943|59581600|FG001|COMPLETED|Overall Study||0||
44324070|NCT02659943|59581601|FG002|COMPLETED|Overall Study||0||
44324071|NCT02659943|59581602|FG003|COMPLETED|Overall Study||1||
44324072|NCT02659943|59581603|FG004|COMPLETED|Overall Study||0||
44324073|NCT02659943|59581604|FG005|COMPLETED|Overall Study||4||
44324074|NCT02659943|59581605|FG006|COMPLETED|Overall Study||0||
44324075|NCT02659943|59581599|FG000|NOT COMPLETED|Overall Study||1||
44324076|NCT02659943|59581600|FG001|NOT COMPLETED|Overall Study||2||
44324077|NCT02659943|59581601|FG002|NOT COMPLETED|Overall Study||1||
44324078|NCT02659943|59581602|FG003|NOT COMPLETED|Overall Study||3||
44324079|NCT02659943|59581603|FG004|NOT COMPLETED|Overall Study||2||
44324080|NCT02659943|59581604|FG005|NOT COMPLETED|Overall Study||5||
44324081|NCT02659943|59581605|FG006|NOT COMPLETED|Overall Study||6||
44328143|NCT03288493|59585546|FG000|STARTED|Overall Study||69||
44328144|NCT03288493|59585547|FG001|STARTED|Overall Study||3||
44328145|NCT03288493|59585548|FG002|STARTED|Overall Study||1||
44328146|NCT03288493|59585549|FG003|STARTED|Overall Study||8||
44328147|NCT03288493|59585550|FG004|STARTED|Overall Study||5||
44328148|NCT03288493|59585551|FG005|STARTED|Overall Study||16||
44328149|NCT03288493|59585552|FG006|STARTED|Overall Study||3||
44328150|NCT03288493|59585546|FG000|COMPLETED|Overall Study||3|Completed Study is defined as a subject completing Post-Treatment Follow-up Visits to Month 24.|
44328151|NCT03288493|59585547|FG001|COMPLETED|Overall Study||0|Completed Study is defined as a subject completing Post-Treatment Follow-up Visits to Month 24.|
44328152|NCT03288493|59585548|FG002|COMPLETED|Overall Study||0|Completed Study is defined as a subject completing Post-Treatment Follow-up Visits to Month 24.|
44328153|NCT03288493|59585549|FG003|COMPLETED|Overall Study||0|Completed Study is defined as a subject completing Post-Treatment Follow-up Visits to Month 24.|
44328154|NCT03288493|59585550|FG004|COMPLETED|Overall Study||0|Completed Study is defined as a subject completing Post-Treatment Follow-up Visits to Month 24.|
44328155|NCT03288493|59585551|FG005|COMPLETED|Overall Study||0|Completed Study is defined as a subject completing Post-Treatment Follow-up Visits to Month 24.|
44328156|NCT03288493|59585552|FG006|COMPLETED|Overall Study||0|Completed Study is defined as a subject completing Post-Treatment Follow-up Visits to Month 24.|
44328157|NCT03288493|59585546|FG000|NOT COMPLETED|Overall Study||66||
44328158|NCT03288493|59585547|FG001|NOT COMPLETED|Overall Study||3||
44328159|NCT03288493|59585548|FG002|NOT COMPLETED|Overall Study||1||
44328160|NCT03288493|59585549|FG003|NOT COMPLETED|Overall Study||8||
44328161|NCT03288493|59585550|FG004|NOT COMPLETED|Overall Study||5||
44328162|NCT03288493|59585551|FG005|NOT COMPLETED|Overall Study||16||
44328163|NCT03288493|59585552|FG006|NOT COMPLETED|Overall Study||3||
44328239|NCT02935543|59585643|FG000|STARTED|Overall Study||1||
44328240|NCT02935543|59585643|FG000|COMPLETED|Overall Study||1||
44328241|NCT02935543|59585643|FG000|NOT COMPLETED|Overall Study||0||
44328367|NCT02030847|59585805|FG000|STARTED|Overall Study||42||
44328368|NCT02030847|59585805|FG000|COMPLETED|Overall Study||5||
44328369|NCT02030847|59585805|FG000|NOT COMPLETED|Overall Study||37||
44225855|NCT03289455|59489146|FG000|STARTED|Overall Study||4||
44225856|NCT03289455|59489147|FG001|STARTED|Overall Study||5||
44225857|NCT03289455|59489148|FG002|STARTED|Overall Study||6||
44225858|NCT03289455|59489146|FG000|COMPLETED|Overall Study|Completed = Received AUTO3 infusion and completed 24 months visit|0||
44225859|NCT03289455|59489147|FG001|COMPLETED|Overall Study|Completed = Received AUTO3 infusion and completed 24 months visit|0||
44225860|NCT03289455|59489148|FG002|COMPLETED|Overall Study|Completed = Received AUTO3 infusion and completed 24 months visit|0||
44225861|NCT03289455|59489146|FG000|NOT COMPLETED|Overall Study||4||
44225862|NCT03289455|59489147|FG001|NOT COMPLETED|Overall Study||5||
44225863|NCT03289455|59489148|FG002|NOT COMPLETED|Overall Study||6||
44355920|NCT02348216|59613220|FG000|STARTED|Overall Study||8||
44355921|NCT02348216|59613221|FG001|STARTED|Overall Study||81||
44355922|NCT02348216|59613222|FG002|STARTED|Overall Study||30||
44355923|NCT02348216|59613223|FG003|STARTED|Overall Study||42||
44355924|NCT02348216|59613224|FG004|STARTED|Overall Study||46||
44355925|NCT02348216|59613225|FG005|STARTED|Overall Study||58||
44355926|NCT02348216|59613226|FG006|STARTED|Overall Study||42||
44355927|NCT02348216|59613220|FG000|COMPLETED|Overall Study||0||
44355928|NCT02348216|59613221|FG001|COMPLETED|Overall Study||0||
44355929|NCT02348216|59613222|FG002|COMPLETED|Overall Study||0||
44355930|NCT02348216|59613223|FG003|COMPLETED|Overall Study||0||
44355931|NCT02348216|59613224|FG004|COMPLETED|Overall Study||0||
44355932|NCT02348216|59613225|FG005|COMPLETED|Overall Study||0||
44355933|NCT02348216|59613226|FG006|COMPLETED|Overall Study||0||
44355934|NCT02348216|59613220|FG000|NOT COMPLETED|Overall Study||8||
44355935|NCT02348216|59613221|FG001|NOT COMPLETED|Overall Study||81||
44355936|NCT02348216|59613222|FG002|NOT COMPLETED|Overall Study||30||
44355937|NCT02348216|59613223|FG003|NOT COMPLETED|Overall Study||42||
44355938|NCT02348216|59613224|FG004|NOT COMPLETED|Overall Study||46||
44355939|NCT02348216|59613225|FG005|NOT COMPLETED|Overall Study||58||
44355940|NCT02348216|59613226|FG006|NOT COMPLETED|Overall Study||42||
44372384|NCT01454596|59629730|FG000|STARTED|Overall Study||1||
44372385|NCT01454596|59629731|FG001|STARTED|Overall Study||1||
44372386|NCT01454596|59629732|FG002|STARTED|Overall Study||1||
44372387|NCT01454596|59629733|FG003|STARTED|Overall Study||1||
44372388|NCT01454596|59629734|FG004|STARTED|Overall Study||1||
44372389|NCT01454596|59629735|FG005|STARTED|Overall Study||1||
44372390|NCT01454596|59629736|FG006|STARTED|Overall Study||1||
44372391|NCT01454596|59629737|FG007|STARTED|Overall Study||3||
44372392|NCT01454596|59629738|FG008|STARTED|Overall Study||3||
44372393|NCT01454596|59629739|FG009|STARTED|Overall Study||3||
44372394|NCT01454596|59629740|FG010|STARTED|Overall Study||1||
44372395|NCT01454596|59629741|FG011|STARTED|Overall Study||1||
44372396|NCT01454596|59629730|FG000|COMPLETED|Overall Study||1||
44372397|NCT01454596|59629731|FG001|COMPLETED|Overall Study||1||
44372398|NCT01454596|59629732|FG002|COMPLETED|Overall Study||1||
44372399|NCT01454596|59629733|FG003|COMPLETED|Overall Study||1||
44372400|NCT01454596|59629734|FG004|COMPLETED|Overall Study||1||
44372401|NCT01454596|59629735|FG005|COMPLETED|Overall Study||1||
44372402|NCT01454596|59629736|FG006|COMPLETED|Overall Study||1||
44372403|NCT01454596|59629737|FG007|COMPLETED|Overall Study||3||
44372404|NCT01454596|59629738|FG008|COMPLETED|Overall Study||3||
44372405|NCT01454596|59629739|FG009|COMPLETED|Overall Study||2||
44372406|NCT01454596|59629740|FG010|COMPLETED|Overall Study||0||
44372407|NCT01454596|59629741|FG011|COMPLETED|Overall Study||1||
44372408|NCT01454596|59629730|FG000|NOT COMPLETED|Overall Study||0||
44372409|NCT01454596|59629731|FG001|NOT COMPLETED|Overall Study||0||
44372410|NCT01454596|59629732|FG002|NOT COMPLETED|Overall Study||0||
44372411|NCT01454596|59629733|FG003|NOT COMPLETED|Overall Study||0||
44372412|NCT01454596|59629734|FG004|NOT COMPLETED|Overall Study||0||
44372413|NCT01454596|59629735|FG005|NOT COMPLETED|Overall Study||0||
44372414|NCT01454596|59629736|FG006|NOT COMPLETED|Overall Study||0||
44372415|NCT01454596|59629737|FG007|NOT COMPLETED|Overall Study||0||
44372416|NCT01454596|59629738|FG008|NOT COMPLETED|Overall Study||0||
44372417|NCT01454596|59629739|FG009|NOT COMPLETED|Overall Study||1||
44372418|NCT01454596|59629740|FG010|NOT COMPLETED|Overall Study||1||
44372419|NCT01454596|59629741|FG011|NOT COMPLETED|Overall Study||0||
44372709|NCT02215967|59630142|FG000|STARTED|Overall Study||3||
44372710|NCT02215967|59630143|FG001|STARTED|Overall Study||3||
44372711|NCT02215967|59630144|FG002|STARTED|Overall Study||5||
44372712|NCT02215967|59630145|FG003|STARTED|Overall Study||19||
44372713|NCT02215967|59630142|FG000|COMPLETED|Overall Study||3||
44372714|NCT02215967|59630143|FG001|COMPLETED|Overall Study||3||
44372715|NCT02215967|59630144|FG002|COMPLETED|Overall Study||4||
44372716|NCT02215967|59630145|FG003|COMPLETED|Overall Study||16||
44372717|NCT02215967|59630142|FG000|NOT COMPLETED|Overall Study||0||
44372718|NCT02215967|59630143|FG001|NOT COMPLETED|Overall Study||0||
44372719|NCT02215967|59630144|FG002|NOT COMPLETED|Overall Study||1||
44372720|NCT02215967|59630145|FG003|NOT COMPLETED|Overall Study||3||
44247357|NCT04097301|59508041|FG000|STARTED|Overall Study|Enrolled patients. Overall, 8 patients were enrolled in the study and underwent the screening phase to evaluate the compliance to the clinical inclusion / exclusion criteria as well as the CD44v6 expression by tumor cells.|8||
44247358|NCT04097301|59508041|FG000|Treated Patients|Overall Study|Of the 8 enrolled patients, 2 were treated with MLM-CAR44.1 T-cell at the first dose level.|2||
44247359|NCT04097301|59508041|FG000|COMPLETED|Overall Study||1||
44247360|NCT04097301|59508041|FG000|NOT COMPLETED|Overall Study||7||
44255189|NCT03318861|59514961|FG000|STARTED|Overall Study||3||
44255190|NCT03318861|59514962|FG001|STARTED|Overall Study||4||
44255191|NCT03318861|59514963|FG002|STARTED|Overall Study||3||
44255192|NCT03318861|59514964|FG003|STARTED|Overall Study||4||
44255193|NCT03318861|59514965|FG004|STARTED|Overall Study||3||
44255194|NCT03318861|59514961|FG000|COMPLETED|Overall Study||0||
44255195|NCT03318861|59514962|FG001|COMPLETED|Overall Study||0||
44255196|NCT03318861|59514963|FG002|COMPLETED|Overall Study||0||
44255197|NCT03318861|59514964|FG003|COMPLETED|Overall Study||0||
44255198|NCT03318861|59514965|FG004|COMPLETED|Overall Study||0||
44255199|NCT03318861|59514961|FG000|NOT COMPLETED|Overall Study||3||
44255200|NCT03318861|59514962|FG001|NOT COMPLETED|Overall Study||4||
44255201|NCT03318861|59514963|FG002|NOT COMPLETED|Overall Study||3||
44255202|NCT03318861|59514964|FG003|NOT COMPLETED|Overall Study||4||
44255203|NCT03318861|59514965|FG004|NOT COMPLETED|Overall Study||3||
44075846|NCT03483103|59336763|FG000|STARTED|Pre-Treatment Phase||74|Participants who underwent leukapheresis|
44075847|NCT03483103|59336763|FG000|COMPLETED|Pre-Treatment Phase||63|Participants who completed leukapheresis and continued to lymphodepleting chemotherapy (LDC) treatment period|
44075848|NCT03483103|59336763|FG000|NOT COMPLETED|Pre-Treatment Phase||11||
44075849|NCT03483103|59336763|FG000|STARTED|Treatment Phase||63|Participants who underwent lymphodepleting chemotherapy (LDC) treatment|
44075850|NCT03483103|59336763|FG000|Received JCAR017|Treatment Phase||61||
44075851|NCT03483103|59336763|FG000|Received Nonconforming Product|Treatment Phase||1||
44075852|NCT03483103|59336763|FG000|Did Not Receive Either JAR017 or Nonconforming Product|Treatment Phase||1||
44075853|NCT03483103|59336763|FG000|COMPLETED|Treatment Phase||7|Completed study|
44075854|NCT03483103|59336763|FG000|NOT COMPLETED|Treatment Phase||56||
44097621|NCT04160195|59359961|FG000|STARTED|Overall Study||2||
44097622|NCT04160195|59359962|FG001|STARTED|Overall Study||0||
44097623|NCT04160195|59359961|FG000|COMPLETED|Overall Study||1||
44097624|NCT04160195|59359962|FG001|COMPLETED|Overall Study||0||
44097625|NCT04160195|59359961|FG000|NOT COMPLETED|Overall Study||1||
44097626|NCT04160195|59359962|FG001|NOT COMPLETED|Overall Study||0||
44277834|NCT02601313|59538438|FG000|STARTED|Overall Study||14||
44277835|NCT02601313|59538439|FG001|STARTED|Overall Study||74||
44277836|NCT02601313|59538440|FG002|STARTED|Overall Study||17||
44277837|NCT02601313|59538438|FG000|COMPLETED|Overall Study||8||
44277838|NCT02601313|59538439|FG001|COMPLETED|Overall Study||0||
44277839|NCT02601313|59538440|FG002|COMPLETED|Overall Study||0||
44277840|NCT02601313|59538438|FG000|NOT COMPLETED|Overall Study||6||
44277841|NCT02601313|59538439|FG001|NOT COMPLETED|Overall Study||74||
44277842|NCT02601313|59538440|FG002|NOT COMPLETED|Overall Study||17||
44281024|NCT02706392|59541546|FG000|STARTED|Overall Study||2||
44281025|NCT02706392|59541547|FG001|STARTED|Overall Study||1||
44281026|NCT02706392|59541548|FG002|STARTED|Overall Study||2||
44281027|NCT02706392|59541549|FG003|STARTED|Overall Study||3||
44281028|NCT02706392|59541550|FG004|STARTED|Overall Study||11||
44281029|NCT02706392|59541551|FG005|STARTED|Overall Study||2||
44281030|NCT02706392|59541546|FG000|COMPLETED|Overall Study||1||
44281031|NCT02706392|59541547|FG001|COMPLETED|Overall Study||1||
44281032|NCT02706392|59541548|FG002|COMPLETED|Overall Study||0||
44281033|NCT02706392|59541549|FG003|COMPLETED|Overall Study||1||
44281034|NCT02706392|59541550|FG004|COMPLETED|Overall Study||6||
44281035|NCT02706392|59541551|FG005|COMPLETED|Overall Study||0||
44281036|NCT02706392|59541546|FG000|NOT COMPLETED|Overall Study||1||
44281037|NCT02706392|59541547|FG001|NOT COMPLETED|Overall Study||0||
44281038|NCT02706392|59541548|FG002|NOT COMPLETED|Overall Study||2||
44281039|NCT02706392|59541549|FG003|NOT COMPLETED|Overall Study||2||
44281040|NCT02706392|59541550|FG004|NOT COMPLETED|Overall Study||5||
44281041|NCT02706392|59541551|FG005|NOT COMPLETED|Overall Study||2||
44281543|NCT02535364|59541991|FG000|STARTED|Part A Screening Through Leukapheresis||82||
44281544|NCT02535364|59541991|FG000|COMPLETED|Part A Screening Through Leukapheresis||57||
44281545|NCT02535364|59541991|FG000|NOT COMPLETED|Part A Screening Through Leukapheresis||25||
44281546|NCT02535364|59541991|FG000|STARTED|Part B Screening||57||
44281547|NCT02535364|59541991|FG000|COMPLETED|Part B Screening||40||
44281548|NCT02535364|59541991|FG000|NOT COMPLETED|Part B Screening||17||
44281549|NCT02535364|59541991|FG000|STARTED|Study Treatment||40||
44281550|NCT02535364|59541991|FG000|COMPLETED|Study Treatment||38||
44281551|NCT02535364|59541991|FG000|NOT COMPLETED|Study Treatment||2||
44281552|NCT02535364|59541991|FG000|STARTED|12-Month Follow-up Period||38||
44281553|NCT02535364|59541991|FG000|COMPLETED|12-Month Follow-up Period||3||
44281554|NCT02535364|59541991|FG000|NOT COMPLETED|12-Month Follow-up Period||35||
43954488|NCT01593696|59207716|FG000|STARTED|Dose Escalation||16||
43954489|NCT01593696|59207717|FG001|STARTED|Dose Escalation||5||
43954490|NCT01593696|59207718|FG002|STARTED|Dose Escalation||0||
43954491|NCT01593696|59207719|FG003|STARTED|Dose Escalation||0||
43954492|NCT01593696|59207716|FG000|Prior Transplant|Dose Escalation||7||
43954493|NCT01593696|59207717|FG001|Prior Transplant|Dose Escalation||1||
43954494|NCT01593696|59207718|FG002|Prior Transplant|Dose Escalation||0||
43954495|NCT01593696|59207719|FG003|Prior Transplant|Dose Escalation||0||
43954496|NCT01593696|59207716|FG000|No Prior Transplant|Dose Escalation||9||
43954497|NCT01593696|59207717|FG001|No Prior Transplant|Dose Escalation||4||
43954498|NCT01593696|59207718|FG002|No Prior Transplant|Dose Escalation||0||
43954499|NCT01593696|59207719|FG003|No Prior Transplant|Dose Escalation||0||
43954500|NCT01593696|59207716|FG000|COMPLETED|Dose Escalation||14||
43954501|NCT01593696|59207717|FG001|COMPLETED|Dose Escalation||5||
43954502|NCT01593696|59207718|FG002|COMPLETED|Dose Escalation||0||
43954503|NCT01593696|59207719|FG003|COMPLETED|Dose Escalation||0||
43954504|NCT01593696|59207716|FG000|NOT COMPLETED|Dose Escalation||2||
43954505|NCT01593696|59207717|FG001|NOT COMPLETED|Dose Escalation||0||
43954506|NCT01593696|59207718|FG002|NOT COMPLETED|Dose Escalation||0||
43954507|NCT01593696|59207719|FG003|NOT COMPLETED|Dose Escalation||0||
43954508|NCT01593696|59207716|FG000|STARTED|Dose Expansion||0||
43954509|NCT01593696|59207717|FG001|STARTED|Dose Expansion||0||
43954510|NCT01593696|59207718|FG002|STARTED|Dose Expansion||16||
43954511|NCT01593696|59207719|FG003|STARTED|Dose Expansion||16||
43954512|NCT01593696|59207716|FG000|COMPLETED|Dose Expansion||0||
43954513|NCT01593696|59207717|FG001|COMPLETED|Dose Expansion||0||
43954514|NCT01593696|59207718|FG002|COMPLETED|Dose Expansion||15||
