id|nct_id|outcome_type|measure|time_frame|population|description
191443618|NCT03370198|secondary|The occurrence of AEs and SAEs during the study treatment until 30 days after the last study treatment administration (Visit Day 57)|From study treatment start (Day 1) till 30 days after the last study treatment administration (Day 57)||AEs and SAEs collection
191443619|NCT03370198|secondary|The occurrence and duration of objective clinical response (complete response (CR), partial response (PR))|through study completion (up to month 24)||Complete response (CR), partial response (PR)
191443620|NCT03370198|secondary|The occurrence and duration of clinical benefit (complete response (CR), partial response (PR) and stable disease (SD))|through study completion (up to month 24)||Complete response (CR), partial response (PR) and stable disease (SD)
191443621|NCT03370198|secondary|The occurrence and duration of mixed response (MR)|through study completion (up to month 24)||"The different types of MR are defined according to the following criteria: at least 30% decrease in the longest diameter (or shortest diameter for nodal lesions) occurring in at least one target lesion recorded and measured at baseline. Such response occurring in otherwise SD or PD status of the sum of diameters of target lesions and without the appearance of one or more new lesions will be classified as MR (SD), which corresponds to a SD with target lesion regression or MR (PD), which corresponds to PD with target lesion regression and, the appearance of new lesion(s) in otherwise PR status of the sum of diameters of target lesions will be classified as MR (PR), which corresponds to a PR with new lesion."
191443622|NCT03370198|secondary|The resection rate at Visits Day 57 and Month 3|At visits Day 57 and Month 3||Assessment of R0, R1 and R2 resections
191443623|NCT03370198|secondary|The progression-free survival (PFS)|through study completion (up to month 24)||The progression-free survival (PFS) is defined from registration in the study to the disease progression or death from any cause
191443624|NCT03370198|secondary|The event-free survival (EFS)|through study completion (up to month 24)||The event-free survival (EFS) is defined as the time from registration in the study to any of the following events: progression, local or distant recurrence, or death from any cause
191443625|NCT03370198|secondary|The overall survival (OS).|through study completion (up to month 24)||The overall survival (OS) is defined as the time from registration in the study to death. If death does not occur before the patient's last study visit, then the survival will be censored at the date when patient is known to be alive
189779244|NCT05509530|primary|Number of participants with Adverse Events, with abnormal vital signs, abnormal physical examination findings, abnormal laboratory test results, abnormal ECGs and abnormal echocardiograms.|12 months||
189779245|NCT05509530|secondary|overall response rate (ORR) according to the International Myeloma Working Group (IMWG) Uniform Response Criteria for MM|24 months||Percentage of subjects who achieved a CR, VGR, PR according to IMWG Uniform Response Criteria for Multiple Myeloma (MM)
189779246|NCT05509530|secondary|complete response (CR) according to the International Myeloma Working Group (IMWG) Uniform Response Criteria for MM|24 months||Percentage of subjects who achieved a CR according to IMWG Uniform Response Criteria for Multiple Myeloma (MM)
189779247|NCT05509530|secondary|very good partial response (VGPR) according to the International Myeloma Working Group (IMWG) Uniform Response Criteria for MM|24 months||Percentage of subjects who achieved a VGPR according to IMWG Uniform Response Criteria for Multiple Myeloma (MM)
189779248|NCT05509530|secondary|partial response (PR) according to the International Myeloma Working Group (IMWG) Uniform Response Criteria for MM|24 months||Percentage of subjects who achieved a PR according to IMWG Uniform Response Criteria for Multiple Myeloma (MM)
191444756|NCT03356782|primary|Safety of CART cells in patients using CTCAE version 4.0 standard to evaluate the level of adverse events|3 months||Physiological parameter (measuring cytokine response)
191444757|NCT03356782|secondary|Persistence and proliferation of CART cells in patients|3 months||The expansion and functional persistence of CART cells in the peripheral blood of patients will be measured by qPCR on Day 7, 14, 21, 28, 60 and 90 after infusion.
191444758|NCT03356782|other|Anti-tumor effects|1 year||Objective response, such as complete response (CR), partial response (PR), stable disease (SD), or progressive disease (PD) will be assessed by the Response Evaluation Criteria in Solid Tumors (RECIST) v1.1 criteria.
191445192|NCT05239689|primary|Dose-limiting toxicity (DLT)|Baseline up to 28 days after CD38 CAR T-cells infusion||Adverse events assessed according to NCI-CTCAE v5.0 criteria
191445193|NCT05239689|primary|Incidence of treatment-emergent adverse events (TEAEs)|Up to 90 days after CD38 CAR T-cells infusion||Incidence of treatment-emergent adverse events [Safety and Tolerability]
191445194|NCT05239689|secondary|Concentration of CAR-T cells|From admission to the end of the follow-up, up to 2 years||In peripheral blood and bone marrow
191445195|NCT05239689|secondary|Disease control rate, DCR|From Day 28 CD38 CAR-T infusion up to 2 years||The percentage of patients with remission and stable disease after treatment in the total evaluable cases.
191445196|NCT05239689|secondary|Duration of remission, DOR|24 months post CD38 CAR-T cells infusion||The time from the first assessment of remission or partial remission of the disease to the first assessment of disease progression or death from any cause
191445197|NCT05239689|secondary|Progression-free survival, PFS|24 months post CD38 CAR-Tcells infusion||The time from cell reinfusion to the first assessment of disease progression or death from any cause
191445198|NCT05239689|secondary|Overall survival, OS|From CD38 CAR-T infusion to death，up to 2 years||The time from the cell reinfusion to death due to any cause
191998005|NCT03312205|primary|Tumor load|Up to 24 months||Tumor load will be quantified with radiology, bone marrow and/or blood samples dependent on diagnosis.
191998006|NCT03312205|secondary|CAR-T cell persistence|Up to 24 months||CAR-T cell persistence will be quantified with flow cytometry and qPCR
191446243|NCT04503538|primary|Number of Successfully Completed Telemedicine Visits|3 years||To determine feasibility of telemedicine for outpatient cytokine release syndrome and neurotoxicity assessment. Investigators will consider telemedicine feasible in this population if at least 13 of the 15 patients successfully complete 80% of telemedicine visits. A visit will be considered successful if all measurements are recorded OR if the visit is interrupted because the participant needs to come into the CAR-T unit for assessment. If a patient is admitted, then the 80% benchmark will be calculated based on the number of days the patient was outpatient at 11 pm. The proportion meeting the 80% benchmark will be reported along with an exact 95% confidence interval.
191446244|NCT04503538|secondary|Number of Times a Telemedicine Visit Triggered Action|3 years||To determine how many times a telemedicine visit triggered an inpatient admission or outpatient observation status
191446245|NCT04503538|secondary|Number of Patients to Have Cytokine Release Syndrome|3 years||Descriptive statistics will be used to characterize the number of cases of cytokine release syndrome based on telemedicine visits.
191446246|NCT04503538|secondary|Number of Patients to Have Neurotoxicity|3 years||Descriptive statistics will be used to characterize the number neurotoxicities reported based on telemedicine visits.
191998845|NCT05044039|primary|Toxicity as measured by number of adverse events|Through Day 56 for dose expansion and Cohort A and Through Day 210 for Cohort B||Toxicity is graded using NCI CTCAE v 5.0
191998846|NCT05044039|secondary|Cumulative incidence of cytokine release syndrome (CRS)|By Day 28||-Any and grade 3-4 per ASTCT criteria
191998847|NCT05044039|secondary|Cumulative incidence of immune effector cell-associated neurotoxicity syndrome (ICANS)|By Day 28||-Any and grade 3-4 per ASCT criteria
191998848|NCT05044039|secondary|Number of participants who receive anti-IL-6 agents for treatment of cytokine release syndrome (CRS)|Through completion of follow-up (estimated to be 6 months)||
191998849|NCT05044039|secondary|Number of participants who receive steroids for treatment of cytokine release syndrome (CRS)|Through completion of follow-up (estimated to be 6 months)||
191998850|NCT05044039|secondary|Number of participants with complete response (CR)|Through completion of follow-up (estimated to be 6 months)||
191998851|NCT05044039|secondary|Best overall response rate|At 1 month||-Defined as proportion of subjects with complete response (CR) or partial response (PR) by Lugano criteria
191998852|NCT05044039|secondary|Best overall response rate|At 3 months||-Defined as proportion of subjects with complete response (CR) or partial response (PR)
191998853|NCT05044039|secondary|Best overall response rate|At 6 months||-Defined as proportion of subjects with complete response (CR) or partial response (PR)
191998854|NCT05044039|secondary|Progression-free survival (PFS)|Through completion of follow-up (estimated to be 5 years)||
191998855|NCT05044039|secondary|Overall survival (OS)|Through completion of follow-up (estimated to be 5 years)||
191998856|NCT05044039|secondary|Proportion of participants with partial response (PR) on Day 30 with improved response on Day 90|Day 90||
191998857|NCT05044039|secondary|Proportion of participants with partial response (PR) on Day 30 with improved response on Day 180|Day 180||
189783758|NCT04544592|primary|Dose limiting toxicities|Up to 21 months||Adverse events (toxicity assessments) will be done by medical staff at different time points
189783759|NCT04544592|secondary|Overall Survival|5 years||The subject will be followed throughout the study and up to 5 years after the study for overall survival.
189783760|NCT04544592|secondary|Time to Transplant|5 years||The subject will be followed throughout the study and up to 5 years after the study for time to transplant.
189783761|NCT04544592|secondary|Relapse|5 years||The subject will be followed throughout the study and up to 15 years after the study for relapse.
189783762|NCT04544592|secondary|Non-Relapse Mortality|5 years||The subject will be followed throughout the study and up to 15 years after the study for non-relapse mortality
189789564|NCT04394650|primary|Adverse Events (AEs)|From the time of informed consent and follow up to 2 years after infusion of CC-98633:||incidence and severity of AEs. An AE is any noxious, unintended, or untoward medical occurrence that may appear or worsen in a subject during the course of a study. It may be a new intercurrent illness, a worsening concomitant illness, an injury, or any concomitant impairment of the subject's health, including laboratory test values, regardless of etiology. Any worsening (ie, any clinically significant adverse change in the frequency or intensity of a preexisting condition) should be considered an AE.
189789565|NCT04394650|secondary|Overall Response Rate (ORR)|Up to 2 years after CC-98633 infusion||The proportion of subjects with a partial response (PR) or better by the IMWG criteria.
189789566|NCT04394650|secondary|Complete Response (CR) Rate|Up to 2 years after CC-99633 infusion||The proportion of subjects achieving stringent CR or CR.
189789567|NCT04394650|secondary|Duration of response (DOR)|Up to 2 years after CC-98633 infusion||The time from first response (sCR, CR, VGPR, or PR) to progressive disease (PD) or death.
189789568|NCT04394650|secondary|Time to response (TTR)|Up to 2 years after CC-98633 infusion||Time from CC-98633 infusion to the first documentation of response (sCR, CR, VGPR or PR).
189789569|NCT04394650|secondary|Time to complete response (TTCR)|Up to 2 years after CC-98633 infusion||Time from CC-98633 infusion to the first documentation of sCR or CR
189789570|NCT04394650|secondary|Progression free survival (PFS)|Up to 2 years after CC-98633 infusion||Time from CC-98633 infusion to the first documentation of PD, or death from any cause, whichever occurs first
189789571|NCT04394650|secondary|Overall survival (OS)|Up to 2 years after CC-98633 infusion||Time from CC-98633 infusion to death
189789572|NCT04394650|secondary|Pharmacokinetics - maximum serum concentration (Cmax)|Up to 2 years after CC-98633 infusion||Maximum blood concentration
189789573|NCT04394650|secondary|Pharmacokinetics -time to peak serum concentration (tmax)|Up to 2 years after CC-98633 infusion||Time to peak (maximum) blood concentration
189789574|NCT04394650|secondary|Pharmacokinetics - Area under curve (AUC)|Up to 2 years after CC-98633 infusion||Area under the curve
189789575|NCT04394650|secondary|Very good partial response (VGPR) or better|Up to 2 years after CC-98633 infusion||Is define as proportion of subjects achieving sCR, CR, or VGPR
189789655|NCT03081910|primary|Dose limiting toxicity (DLT) rate|6 weeks post-infusion||Defined as the proportion of subjects in each group with DLT evaluated as per the CTCAE 4.0 with the exception of Cytokine Release Syndrome (CRS) and neurological toxicities that are related to T cell infusions.
189789656|NCT03081910|secondary|Overall Response Rate|4 weeks pre-infusion and 6 weeks post-infusion||Overall response rate is calculated as the proportion of subjects with the best overall response according to a revised response criteria for malignant lymphoma or bone marrow analyses for leukemia. Evaluations of tumor size will be performed within 4 weeks of beginning treatment and 6-8 weeks after T cell infusion (earlier if clinically indicated).
189792624|NCT04605666|primary|ORR|3 months||Overall Response Rate includes Complete Remission (CR) and Complete Remission with Incomplete Blood Count Recovery (CRi), as determined by assessments of peripheral blood, bone marrow, CNS symptoms, physical exam (PE) and CSF. The primary endpoint will be based on the IRC assessment. The local investigator's assessed results will be used for sensitivity analysis.
189792625|NCT04605666|secondary|ORR|6 months||
189792626|NCT04605666|secondary|ORR|12 months||
189792627|NCT04605666|secondary|Adverse Events|12 months||
189792628|NCT04605666|secondary|OS|1 year||overall survival
189792629|NCT04605666|secondary|DFS|1 year||disease-free survival
189792650|NCT04531046|primary|Complete Metabolic Response (CMR) - determined by investigator|3 months from axi-cel infusion||CMR from axi-cel infusion (without additional anticancer therapy) based on investigator disease assessment according to PET-scan (using the Lugano Response Criteria)
189792651|NCT04531046|secondary|Complete Metabolic Response (CMR) - determined by central imaging review|3 months from axi-cel infusion||CMR from axi-cel infusion (without additional anticancer therapy) determined by central imaging review (using the Lugano Response Criteria)
189792652|NCT04531046|secondary|Best objective response|between Day 14 and Month 12||Percentage of CMR and Partial MR determined by investigator disease assessment
189792653|NCT04531046|secondary|Number of Serious Adverse Events (SAE)|at 30 days after axi-cel infusion||
189792654|NCT04531046|secondary|Event-free survival (EFS) based on investigator disease assessment|at 3 months||
189792655|NCT04531046|secondary|Event-free survival (EFS) based on investigator disease assessment|at 6 months||
189792656|NCT04531046|secondary|Event-free survival (EFS) based on investigator disease assessment|at 12 months||
189792657|NCT04531046|secondary|Event-free survival (EFS) based on central imaging review|at 3 months||
189792658|NCT04531046|secondary|Event-free survival (EFS) based on central imaging review|at 6 months||
189792659|NCT04531046|secondary|Event-free survival (EFS) based on central imaging review|at 12 months||
189792660|NCT04531046|secondary|Modified EFS (mEFS) based on investigator assessment|at 6 months||
189792661|NCT04531046|secondary|Modified EFS (mEFS) based on investigator assessment|at 12 months||
189792662|NCT04531046|secondary|Modified EFS (mEFS) based on central imaging review|at 6 months||
189792663|NCT04531046|secondary|Modified EFS (mEFS) based on central imaging review|at 12 months||
189792664|NCT04531046|secondary|Best objective response|at 2 years||
189792665|NCT04531046|secondary|Best objective response|at 3 years||
189792666|NCT04531046|secondary|Duration of response (DOR)|at 2 years||
189792667|NCT04531046|secondary|Duration of response (DOR)|at 3 years||
189792668|NCT04531046|secondary|Overall survival (OS) from leukaphaeresis and Axi-cel infusion|at 2 years||
189792669|NCT04531046|secondary|Overall survival (OS) from leukaphaeresis and Axi-cel infusion|at 3 years||
190897063|NCT02735291|primary|The overall efficiency|5 years||The number of complete remission (CR) +The number of complete remission with incomplete hematologic recovery (CRi)/Total number of cases being treated
192001219|NCT03281551|primary|Incidence of Treatment Related Adverse Events|1 year||To evaluate the safety of adoptive transfer of gene-modified autologous CD19-specific T cells in relapsed/ refractory B-cell Acute Lymphoblastic Leukemia/B cell Lymphoma.
192001220|NCT03281551|secondary|Overall response rate (ORR)|2 months||Proportion of patients with reduction in tumor burden.
192001221|NCT03281551|secondary|Overall survival (OS)|6 months||Time from study enrollment until death.
192001222|NCT03281551|secondary|Minimal residual disease negative remission rate(MRD)|2 months||Proportion of MRD-negative patients.
189766277|NCT03030001|primary|Safety of infusion of autologous mesothelin specific CAR T cells|2 years||Safety of infusion of autologous mesothelin specific CAR T cells with PD-1 antibody expressing in patients with relapsed or refractory advanced solid malignancies using the NCI CTCAE V4.0 criteria
189766278|NCT03030001|secondary|the response evaluation criteria of solid tumor|2 years||Defined as the overall response rate (ORR), the proportion of patients who achieved complete remission (CR), partial remission (PR), stable disease (SD), or progressive disease (PD) based on the response evaluation criteria in solid tumor version 1.1 (RECIST1.1).
189766279|NCT03030001|secondary|progression free survival|1 year||
189766280|NCT03030001|secondary|overall survival|2 years||
189766281|NCT03030001|other|Change of life quality after treatment|2 years||
189766282|NCT03030001|other|proliferation and persistence of mesothelin specific CAR T cells in patients after treatment|6 months||
189766283|NCT03030001|other|expression of PD-1 antibody in patients after treatment|6 months||
190897934|NCT02737085|primary|Adverse Events That Are Related to Treatment|2 years||Determine the toxicity profile of the CD19-targeted and CD20-targeted CAR-T cells with Common Toxicity Criteria for Adverse Effects (CTCAE) version 4.0.
191452294|NCT03840317|primary|Tumor load|up to one month||Tumor load will be quantified with radiology, bone marrow and/or blood samples dependent on diagnosis.
191452295|NCT03840317|secondary|CAR T cell expansion|up to one month||The percentage of CAR-T cells (CAR+/CD3+ T cells) in the bone marrow samples, quantified by flow cytometry.
191452296|NCT03840317|secondary|CAR T cell persistence|up to one month||The method to detect CAR-T cell persistence is by determining the exact copies of CAR per ug DNA in BM through quantitative polymerase chain reaction（qPCR）
190903309|NCT04162340|primary|Number of adverse events after CD4 CAR T cells cell infusion|2 years particularly the first 28 days after infusion||Determine the toxicity profile of CD4 CAR T cell therapy
190903310|NCT04162340|secondary|Incidence of treatment-emergent adverse events|up to 6 months||Incidence of treatment-emergent adverse events
190903311|NCT04162340|secondary|Disease Free Survival (DFS)|up to 2 years||Disease Free Survival (DFS) (IMWG criteria)
190903312|NCT04162340|secondary|Progression-Free Survival (PFS)|up to 2 years||Progression-Free Survival (IMWG criteria)
190903313|NCT04162340|secondary|Overall Survival (OS)|up to 2 years||overall survival
192001952|NCT03356795|primary|Safety of CART cells in patients using CTCAE version 4.0 standard to evaluate the level of adverse events|3 months||Physiological parameter (measuring cytokine response)
192001953|NCT03356795|secondary|Persistence and proliferation of CART cells in patients|3 months||The expansion and functional persistence of CART cells in the peripheral blood of patients will be measured by qPCR on Day 7, 14, 21, 28, 60 and 90 after infusion.
192001954|NCT03356795|secondary|Anti-tumor effects|1 year||Objective response, such as complete response (CR), partial response (PR), stable disease (SD), or progressive disease (PD) will be assessed by the Response Evaluation Criteria in Solid Tumors (RECIST) v1.1 criteria.
190900095|NCT02721407|primary|Safety measured by occurrence of study related adverse effects defined by NCI CTCAE 4.0|4 Weeks||
190900096|NCT02721407|secondary|Overall complete remission rate defined by the standard response criteria for malignant lymphoma for each arm|8 Weeks||
190900097|NCT02721407|secondary|Duration of CAR-positive T cells in circulation|6 months||
190900098|NCT02721407|secondary|Total number of CAR-positive T cells infiltrated into lymphoma tissue|6 months||
189800531|NCT05621096|primary|Feasibility of the intervention in the proposed study population|Up to 90 days||The percentage of subjects who receive a chimeric antigen receptor (CAR) T-cell infusion after receiving bridging radiation therapy. A one-sided Binomial test will be conducted to assess whether acceptable percentage (>70% vs <70%) of patients receive CAR T-cell perfusion after undergoing the radiation therapy.
189800532|NCT05621096|secondary|Incidence of treatment-emergent adverse events to assess the safety of the proposed intervention|Up to 120 days||Assessed via the incidence of combined Grade 3 and 4 cytokine release syndrome (CRS) or immune effector cell associated neurotoxicity syndrome (ICANS) events as measured by the American Society of Transplant and Cellular Therapy (ASTCT) consensus grading. The grading scale ranges from Grade 1 to 4, with a higher grade indicating a worse outcome. Assessed from the cumulative CRS and ICANS events occurring by the D+30 visit.
189800533|NCT05621096|secondary|Evaluate the response to the study intervention of radiation and CAR T-cell therapy|Up to 190 days||Response rate will be assessed via PET/CT (positron emission tomography/computed tomography) using Lugano criteria. Overall response rate (ORR) will be defined as the proportion of patients with either a complete response (CR) or a partial response (PR) at D+100. For ORR, CR, and PR: two-sided exact binomial 95% confidence interval of response rate will be constructed to assess the precision of the point estimate.
189800534|NCT05621096|secondary|Evaluate progression-free survival (PFS) following the study intervention|Measured from first day of apheresis to death or disease progression, whichever comes first, up to two years||PFS will be measured using the Kaplan-Meier method. Disease progression will be measured according to clinical and imaging assessment (Lugano criteria) and will require biopsy confirmation.
189800535|NCT05621096|secondary|Evaluate duration of response (DOR) following CAR T-cell therapy|Up to 2 years||DOR will be summarized using the Kaplan-Meier method, but only for patients who have achieved a response of at least partial response. DOR is defined by time of first response (D+30 visit) to disease progression, start of new antineoplastic therapy due to efficacy concerns, or death from any cause.
189800536|NCT05621096|secondary|Evaluate overall survival (OS) following study intervention|Up to 2 years||OS will be analyzed by the Kaplan-Meier method. Subjects alive at last follow up will be censored.
189800537|NCT05621096|secondary|Evaluate the rate of prolonged cytopenias following the intervention|Up to 190 days||"The rate of prolonged cytopenias will be measured as a proportion of subjects with Grade 3 or higher hematologic toxicities per Common Terminology Criteria for Adverse Events (CTCAE) v5.0 criteria at the D+100 visit. The 95% confidence interval will be estimated.~The CTCAE v5.0 grading system ranges from Grade 0 to 5, with a higher grade indicating a worse outcome."
189800538|NCT05621096|secondary|Monitor overall safety and toxicity of the intervention|Up to 270 days||"Toxicity will be graded using CTCAE v5.0 guidelines. Grade 3 or higher toxicities will be tabulated using percentages at each follow up.~The Common Terminology Criteria for Adverse Events (CTCAE) v5.0 grading system ranges from Grade 0 to 5, with a higher grade indicating a worse outcome."
189800539|NCT05621096|secondary|Monitor overall safety and toxicity of the intervention|Up to 270 days||"cytokine release syndrome (CRS) and Immune effector cell-associated neurotoxicity syndrome (ICANS) toxicity events will be collected for all grades as measured by American Society for Transplantation and Cellular Therapy (ASTCT) consensus criteria.~The ASTCT consensus criteria grading system ranges from Grade 1 to 4, with a higher grade indicating a worse outcome."
189800540|NCT05621096|other|Prospectively bank serum and peripheral blood mononuclear cells (PBMCs)|Up to 270 days||Storage for subsequent correlative analyses in future research. No analysis plan is provided.
189800541|NCT05621096|other|Prospectively bank stool samples for future gut microbiome exploratory analyses|Up to 270 days||Sample storage at indicated timepoints. No specific analysis is intended on this protocol
189800542|NCT05621096|other|Evaluate in-field versus out-of-field disease progression following radiation therapy|Up to 270 days||Proportion of individual disease sites with local progression by Lugano criteria defined by within the treated radiation field versus outside the treated radiation field
190901859|NCT05260957|primary|Complete Response Rate|3 Months||Complete Response (CR) rate will be reported as the percentage of participants achieving complete response (CR) to study treatment. Response to therapy will be assessed using Positron Emission Tomography (PET)/ Computerized Tomography (CT) scan following Lugano 2014 criteria (Cheson et al, Journal of Clinical Oncology (JCO), 2014) at 3 months (Day +90) of study treatment. For equivocal PET-CT results, biopsy will be performed after day +90 PET/CT to assess true CR or persistent lymphoma.
190901860|NCT05260957|secondary|Overall Response Rate (ORR)|Up to 3 months||Overall response rate (ORR) will be reported as the percentage of participants achieving either complete response (CR) or partial response (ORR = CR + PR) to study treatment. Response to therapy will be assessed using Positron Emission Tomography (PET)/ Computerized Tomography (CT) scan following Lugano 2014 criteria (Cheson et al, Journal of Clinical Oncology (JCO), 2014) up to Day +90 of study treatment.
190901861|NCT05260957|secondary|Progression free survival (PFS) Rate|Up to 2 years||PFS is defined as the elapsed time from the date of starting treatment to the date of progression, or date of death from any cause; whichever comes first. PFS rate will be reported as the percentage of participants without progressive disease after start of treatment.
190901862|NCT05260957|secondary|Overall Survival (OS) Rate|Up to 2 years||Overall survival is defined as the elapsed time from the date of starting treatment to the date of death from any cause. OS rate will be reported as the percentage of participants still alive after start of treatment.
190901863|NCT05260957|secondary|Minimal residual disease (MRD) negativity|Up to 1 year||Minimal residual disease (MRD) negativity will be reported as the percentage of participants showing absence of measurable disease in peripheral blood after start of CAR-T Cell therapy. MRD negativity will be assessed by using the Clustering and Alignment of Polymorphic Sequences (CAPSeq) assay.
190901864|NCT05260957|secondary|Duration of Response (DoR)|Up to 2 years||Duration of response is defined as the elapsed time from date of complete response (CR) to the date of progression or death, whichever is first. DoR will be reported as the percentage of participants who relapsed after achieving CR on the Day +90 PET/CT scan. Relapse rate applies to unequivocal metabolic relapse or/and biopsy confirmed relapse among the patients who achieved CR on day +90 PET-CT
190901865|NCT05260957|secondary|Toxicity Rate of CAR-T Cell Therapy: ICANS Events|Up to 6 months||Toxicity rate of CAR-T Cell Therapy will be reported as the percentage of participants with treatment-emergent Immune Effector Cell Associated Neurotoxicity Syndrome (ICANS), after start of therapy, as evaluated by treating physician. The severity of ICANS events in participants will be assessed using American Society for Transplantation and Cellular Therapy (ASTCT) Consensus grading criteria (Lee et al, Biol Blood Marrow Transplant., 2019).
190901866|NCT05260957|secondary|Toxicity Rate of CAR-T Cell Therapy: CRS Events|Up to 6 months||Toxicity rate of CAR-T Cell Therapy will be reported as the percentage of participants with treatment-emergent Cytokine Release Syndrome (CRS) events, after start of therapy, as evaluated by treating physician. The severity of CRS events in participants will be assessed using American Society for Transplantation and Cellular Therapy (ASTCT) Consensus grading criteria (Lee et al, Biol Blood Marrow Transplant., 2019).
192004860|NCT04500431|primary|Occurrence of study related adverse events|12 weeks||Incidence and severity of Treatment emergent adverse events
192004861|NCT04500431|secondary|Overall response rate (ORR)|12 months||
192004862|NCT04500431|secondary|Duration of remission (DOR)|12 months||
192004863|NCT04500431|secondary|Progression free survival (PFS)|12 months||
192004864|NCT04500431|secondary|Overall survival (OS)|12 weeks, 6 months, 12 months||
192005269|NCT03121625|primary|Tumor load|Up to 24 months||Tumor load will be quantified with radiology, bone marrow and/or blood samples dependent on diagnosis.
192005270|NCT03121625|secondary|CAR T cell persistence|Up to 24 months]||CAR T cell persistence will be quantified with flow cytometry and qPCR
192006113|NCT03344705|primary|Occurrence of study related adverse events|2 years||defined as >= Grade 3 signs/symptoms,laboratory toxicities,and clinical events that are possibly,likely,or definitely related to study treatment Adverse events assessed according to NCI-CTCAE v4.0 criteria 2.
192006114|NCT03344705|secondary|Overall response rate|2 years||2. Overall response rate An objective response is defined as: (1) a morphologic complete response (CR) or (2) a complete response with incomplete recovery of counts (CRi) (based on NCCN guidelines (National Comprehensive Cancer Network (NCCN), 2014) or (3) a negative minimal residual disease assessed by flow cytometry
189806293|NCT05070156|primary|Evaluate incidence of treatment-emergent adverse events [Safety and Tolerability] after B010-A injection.|Up to 24 months post B010-A injection.||
189806294|NCT05070156|secondary|Evaluate the cellular kinetics of subjects after B010-A injection.|Up to 24 months post B010-A injection.||Copy number of transgenes of GPC3-CAR-T (qPCR).
189806295|NCT05070156|secondary|Evaluate the cellular kinetics of subjects after B010-A injection.|Up to 24 months post B010-A injection.||Copy number of CAR-T cell transgene level detection (flow cytometry).
189806296|NCT05070156|secondary|Evaluate the pharmacodynamics of subjects after B010-A injection.|Up to 24 months post B010-A injection.||Measurement of cytokine.
189806297|NCT05070156|secondary|Evaluate the pharmacodynamics of subjects after B010-A injection.|Up to 24 months post B010-A injection.||Measurement of C-reactive protein (CRP).
189806298|NCT05070156|secondary|Evaluate the preliminary efficacy of B010-A after injection.|Up to 24 months post B010-A injection.||Measurement of free GPC3 protein in peripheral blood, and lymphocyte subpopulation.
189806299|NCT05070156|secondary|Progression-free survival (PFS)|Up to 24 months post B010-A injection.||Determination of the progression-free survival of all subjects
189806300|NCT05070156|secondary|Overall survival (OS)|Up to 24 months post B010-A injection.||Determination of the overall survival of all subjects
189806301|NCT05070156|secondary|Objective remission rate (ORR)|Up to 24 months post B010-A injection.||Determination of the objective remission rate of all subjects
189806302|NCT05070156|secondary|Disease control rate (DCR)|Up to 24 months post B010-A injection.||Determination of the disease control rate of all subjects
189806303|NCT05070156|secondary|Duration of remission (DOR)|Up to 24 months post B010-A injection.||Determination of the duration of remission of all subjects
189806304|NCT05070156|secondary|Disease control Time (DDC)|Up to 24 months post B010-A injection.||Determination of the disease control time of all subjects
