id|nct_id|mesh_term|downcase_mesh_term|mesh_type
209900298|NCT03564977|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209900299|NCT03564977|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209900300|NCT03564977|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209900301|NCT03564977|Immune System Diseases|immune system diseases|mesh-ancestor
209900302|NCT03564977|Leukemia, Lymphoid|leukemia, lymphoid|mesh-ancestor
209900303|NCT03564977|Leukemia|leukemia|mesh-ancestor
209901805|NCT03545815|Neoplasms|neoplasms|mesh-list
209907545|NCT03060356|Melanoma|melanoma|mesh-list
209907546|NCT03060356|Neuroendocrine Tumors|neuroendocrine tumors|mesh-ancestor
209907547|NCT03060356|Neuroectodermal Tumors|neuroectodermal tumors|mesh-ancestor
209907548|NCT03060356|Neoplasms, Germ Cell and Embryonal|neoplasms, germ cell and embryonal|mesh-ancestor
209907549|NCT03060356|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209907550|NCT03060356|Neoplasms|neoplasms|mesh-ancestor
209907551|NCT03060356|Neoplasms, Nerve Tissue|neoplasms, nerve tissue|mesh-ancestor
209907552|NCT03060356|Nevi and Melanomas|nevi and melanomas|mesh-ancestor
209909408|NCT03559439|Neoplasms|neoplasms|mesh-list
209909409|NCT03559439|Precursor Cell Lymphoblastic Leukemia-Lymphoma|precursor cell lymphoblastic leukemia-lymphoma|mesh-list
209909410|NCT03559439|Leukemia, Lymphoid|leukemia, lymphoid|mesh-ancestor
209909411|NCT03559439|Leukemia|leukemia|mesh-ancestor
209909412|NCT03559439|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209909413|NCT03559439|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209909414|NCT03559439|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209909415|NCT03559439|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209909416|NCT03559439|Immune System Diseases|immune system diseases|mesh-ancestor
209910340|NCT04934774|Lymphoma|lymphoma|mesh-list
209910341|NCT04934774|Precursor Cell Lymphoblastic Leukemia-Lymphoma|precursor cell lymphoblastic leukemia-lymphoma|mesh-list
209910342|NCT04934774|Leukemia, Lymphoid|leukemia, lymphoid|mesh-list
209910343|NCT04934774|Lymphoma, T-Cell|lymphoma, t-cell|mesh-list
209910344|NCT04934774|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|precursor t-cell lymphoblastic leukemia-lymphoma|mesh-list
209910345|NCT04934774|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209910346|NCT04934774|Neoplasms|neoplasms|mesh-ancestor
209910347|NCT04934774|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209910348|NCT04934774|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209910349|NCT04934774|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209910350|NCT04934774|Immune System Diseases|immune system diseases|mesh-ancestor
209910351|NCT04934774|Leukemia|leukemia|mesh-ancestor
209910352|NCT04934774|Lymphoma, Non-Hodgkin|lymphoma, non-hodgkin|mesh-ancestor
209915387|NCT04888442|Leukemia|leukemia|mesh-list
209915388|NCT04888442|Precursor Cell Lymphoblastic Leukemia-Lymphoma|precursor cell lymphoblastic leukemia-lymphoma|mesh-list
209915389|NCT04888442|Leukemia, Lymphoid|leukemia, lymphoid|mesh-list
209915390|NCT04888442|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209915391|NCT04888442|Neoplasms|neoplasms|mesh-ancestor
209915392|NCT04888442|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209915393|NCT04888442|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209915394|NCT04888442|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209915395|NCT04888442|Immune System Diseases|immune system diseases|mesh-ancestor
209924421|NCT04412174|Lymphoma, B-Cell|lymphoma, b-cell|mesh-list
209924422|NCT04412174|Lymphoma, Non-Hodgkin|lymphoma, non-hodgkin|mesh-ancestor
209924423|NCT04412174|Lymphoma|lymphoma|mesh-ancestor
209924424|NCT04412174|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209924425|NCT04412174|Neoplasms|neoplasms|mesh-ancestor
209924426|NCT04412174|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209924427|NCT04412174|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209924428|NCT04412174|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209924429|NCT04412174|Immune System Diseases|immune system diseases|mesh-ancestor
209929346|NCT02706405|Lymphoma|lymphoma|mesh-list
209929347|NCT02706405|Lymphoma, Non-Hodgkin|lymphoma, non-hodgkin|mesh-list
209929348|NCT02706405|Lymphoma, B-Cell|lymphoma, b-cell|mesh-list
209929349|NCT02706405|Lymphoma, Large B-Cell, Diffuse|lymphoma, large b-cell, diffuse|mesh-list
209929350|NCT02706405|Recurrence|recurrence|mesh-list
209929351|NCT02706405|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209929352|NCT02706405|Neoplasms|neoplasms|mesh-ancestor
209929353|NCT02706405|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209929354|NCT02706405|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209929355|NCT02706405|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209929356|NCT02706405|Immune System Diseases|immune system diseases|mesh-ancestor
209929357|NCT02706405|Disease Attributes|disease attributes|mesh-ancestor
209929358|NCT02706405|Pathologic Processes|pathologic processes|mesh-ancestor
209929919|NCT03179007|Neoplasms|neoplasms|mesh-list
209929982|NCT02761915|Neuroblastoma|neuroblastoma|mesh-list
209929983|NCT02761915|Neuroectodermal Tumors, Primitive, Peripheral|neuroectodermal tumors, primitive, peripheral|mesh-ancestor
209929984|NCT02761915|Neuroectodermal Tumors, Primitive|neuroectodermal tumors, primitive|mesh-ancestor
209929985|NCT02761915|Neoplasms, Neuroepithelial|neoplasms, neuroepithelial|mesh-ancestor
209929986|NCT02761915|Neuroectodermal Tumors|neuroectodermal tumors|mesh-ancestor
209929987|NCT02761915|Neoplasms, Germ Cell and Embryonal|neoplasms, germ cell and embryonal|mesh-ancestor
209929988|NCT02761915|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209929989|NCT02761915|Neoplasms|neoplasms|mesh-ancestor
209929990|NCT02761915|Neoplasms, Glandular and Epithelial|neoplasms, glandular and epithelial|mesh-ancestor
209929991|NCT02761915|Neoplasms, Nerve Tissue|neoplasms, nerve tissue|mesh-ancestor
209937484|NCT05626322|Lymphoma|lymphoma|mesh-list
209937485|NCT05626322|Lymphoma, B-Cell|lymphoma, b-cell|mesh-list
209937486|NCT05626322|Lymphoma, Large B-Cell, Diffuse|lymphoma, large b-cell, diffuse|mesh-list
209937487|NCT05626322|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209937488|NCT05626322|Neoplasms|neoplasms|mesh-ancestor
209937489|NCT05626322|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209937490|NCT05626322|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209937491|NCT05626322|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209937492|NCT05626322|Immune System Diseases|immune system diseases|mesh-ancestor
209937493|NCT05626322|Lymphoma, Non-Hodgkin|lymphoma, non-hodgkin|mesh-ancestor
209937926|NCT05396885|Multiple Myeloma|multiple myeloma|mesh-list
209937927|NCT05396885|Neoplasms, Plasma Cell|neoplasms, plasma cell|mesh-list
209937928|NCT05396885|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209937929|NCT05396885|Neoplasms|neoplasms|mesh-ancestor
209937930|NCT05396885|Hemostatic Disorders|hemostatic disorders|mesh-ancestor
209937931|NCT05396885|Vascular Diseases|vascular diseases|mesh-ancestor
209937932|NCT05396885|Cardiovascular Diseases|cardiovascular diseases|mesh-ancestor
209937933|NCT05396885|Paraproteinemias|paraproteinemias|mesh-ancestor
209937934|NCT05396885|Blood Protein Disorders|blood protein disorders|mesh-ancestor
209937935|NCT05396885|Hematologic Diseases|hematologic diseases|mesh-ancestor
209937936|NCT05396885|Hemorrhagic Disorders|hemorrhagic disorders|mesh-ancestor
209937937|NCT05396885|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209937938|NCT05396885|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209937939|NCT05396885|Immune System Diseases|immune system diseases|mesh-ancestor
209940626|NCT02107963|Sarcoma|sarcoma|mesh-list
209940627|NCT02107963|Neuroblastoma|neuroblastoma|mesh-list
209940628|NCT02107963|Osteosarcoma|osteosarcoma|mesh-list
209940629|NCT02107963|Neuroectodermal Tumors|neuroectodermal tumors|mesh-ancestor
209940630|NCT02107963|Neoplasms, Germ Cell and Embryonal|neoplasms, germ cell and embryonal|mesh-ancestor
209940631|NCT02107963|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209940632|NCT02107963|Neoplasms|neoplasms|mesh-ancestor
209940633|NCT02107963|Neoplasms, Nerve Tissue|neoplasms, nerve tissue|mesh-ancestor
209940634|NCT02107963|Neoplasms, Connective and Soft Tissue|neoplasms, connective and soft tissue|mesh-ancestor
209940635|NCT02107963|Neuroectodermal Tumors, Primitive, Peripheral|neuroectodermal tumors, primitive, peripheral|mesh-ancestor
209940636|NCT02107963|Neuroectodermal Tumors, Primitive|neuroectodermal tumors, primitive|mesh-ancestor
209940637|NCT02107963|Neoplasms, Neuroepithelial|neoplasms, neuroepithelial|mesh-ancestor
209940638|NCT02107963|Neoplasms, Glandular and Epithelial|neoplasms, glandular and epithelial|mesh-ancestor
209940639|NCT02107963|Neoplasms, Bone Tissue|neoplasms, bone tissue|mesh-ancestor
209940640|NCT02107963|Neoplasms, Connective Tissue|neoplasms, connective tissue|mesh-ancestor
209949718|NCT02203825|Leukemia|leukemia|mesh-list
209949719|NCT02203825|Leukemia, Myeloid|leukemia, myeloid|mesh-list
209949720|NCT02203825|Multiple Myeloma|multiple myeloma|mesh-list
209949721|NCT02203825|Neoplasms, Plasma Cell|neoplasms, plasma cell|mesh-list
209949722|NCT02203825|Leukemia, Myeloid, Acute|leukemia, myeloid, acute|mesh-list
209949723|NCT02203825|Preleukemia|preleukemia|mesh-list
209949724|NCT02203825|Myelodysplastic Syndromes|myelodysplastic syndromes|mesh-list
209949725|NCT02203825|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209949726|NCT02203825|Neoplasms|neoplasms|mesh-ancestor
209949727|NCT02203825|Hemostatic Disorders|hemostatic disorders|mesh-ancestor
209949728|NCT02203825|Vascular Diseases|vascular diseases|mesh-ancestor
209949729|NCT02203825|Cardiovascular Diseases|cardiovascular diseases|mesh-ancestor
209949730|NCT02203825|Paraproteinemias|paraproteinemias|mesh-ancestor
209949731|NCT02203825|Blood Protein Disorders|blood protein disorders|mesh-ancestor
209949732|NCT02203825|Hematologic Diseases|hematologic diseases|mesh-ancestor
209949733|NCT02203825|Hemorrhagic Disorders|hemorrhagic disorders|mesh-ancestor
209949734|NCT02203825|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209949735|NCT02203825|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209949736|NCT02203825|Immune System Diseases|immune system diseases|mesh-ancestor
209949737|NCT02203825|Bone Marrow Diseases|bone marrow diseases|mesh-ancestor
209949738|NCT02203825|Precancerous Conditions|precancerous conditions|mesh-ancestor
209960036|NCT04473937|Neoplasms|neoplasms|mesh-list
209960037|NCT04473937|Hematologic Neoplasms|hematologic neoplasms|mesh-list
209960038|NCT04473937|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209960039|NCT04473937|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209960040|NCT04473937|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209960041|NCT04473937|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209960042|NCT04473937|Immune System Diseases|immune system diseases|mesh-ancestor
209960043|NCT04473937|Neoplasms by Site|neoplasms by site|mesh-ancestor
209960044|NCT04473937|Hematologic Diseases|hematologic diseases|mesh-ancestor
209961247|NCT04923919|Leukemia|leukemia|mesh-list
209961248|NCT04923919|Leukemia, Myeloid|leukemia, myeloid|mesh-list
209961249|NCT04923919|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209961250|NCT04923919|Neoplasms|neoplasms|mesh-ancestor
209972006|NCT01953900|Neuroblastoma|neuroblastoma|mesh-list
209972007|NCT01953900|Osteosarcoma|osteosarcoma|mesh-list
209972008|NCT01953900|Sarcoma|sarcoma|mesh-ancestor
209972009|NCT01953900|Neoplasms, Connective and Soft Tissue|neoplasms, connective and soft tissue|mesh-ancestor
209972010|NCT01953900|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209972011|NCT01953900|Neoplasms|neoplasms|mesh-ancestor
209972012|NCT01953900|Neuroectodermal Tumors, Primitive, Peripheral|neuroectodermal tumors, primitive, peripheral|mesh-ancestor
209972013|NCT01953900|Neuroectodermal Tumors, Primitive|neuroectodermal tumors, primitive|mesh-ancestor
209972014|NCT01953900|Neoplasms, Neuroepithelial|neoplasms, neuroepithelial|mesh-ancestor
209972015|NCT01953900|Neuroectodermal Tumors|neuroectodermal tumors|mesh-ancestor
209972016|NCT01953900|Neoplasms, Germ Cell and Embryonal|neoplasms, germ cell and embryonal|mesh-ancestor
209972017|NCT01953900|Neoplasms, Glandular and Epithelial|neoplasms, glandular and epithelial|mesh-ancestor
209972018|NCT01953900|Neoplasms, Nerve Tissue|neoplasms, nerve tissue|mesh-ancestor
209972019|NCT01953900|Neoplasms, Bone Tissue|neoplasms, bone tissue|mesh-ancestor
209972020|NCT01953900|Neoplasms, Connective Tissue|neoplasms, connective tissue|mesh-ancestor
209972326|NCT03528421|Lymphoma|lymphoma|mesh-list
209972327|NCT03528421|Lymphoma, Non-Hodgkin|lymphoma, non-hodgkin|mesh-list
209972328|NCT03528421|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209972329|NCT03528421|Neoplasms|neoplasms|mesh-ancestor
209972330|NCT03528421|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209972331|NCT03528421|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209972332|NCT03528421|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209972333|NCT03528421|Immune System Diseases|immune system diseases|mesh-ancestor
209973621|NCT03927261|Leukemia|leukemia|mesh-list
209973622|NCT03927261|Leukemia, Myeloid|leukemia, myeloid|mesh-list
209973623|NCT03927261|Leukemia, Myeloid, Acute|leukemia, myeloid, acute|mesh-list
209973624|NCT03927261|Preleukemia|preleukemia|mesh-list
209973625|NCT03927261|Myelodysplastic Syndromes|myelodysplastic syndromes|mesh-list
209973626|NCT03927261|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209973627|NCT03927261|Neoplasms|neoplasms|mesh-ancestor
209973628|NCT03927261|Bone Marrow Diseases|bone marrow diseases|mesh-ancestor
209973629|NCT03927261|Hematologic Diseases|hematologic diseases|mesh-ancestor
209973630|NCT03927261|Precancerous Conditions|precancerous conditions|mesh-ancestor
209976402|NCT04581473|Adenocarcinoma|adenocarcinoma|mesh-list
209976403|NCT04581473|Pancreatic Neoplasms|pancreatic neoplasms|mesh-list
209976404|NCT04581473|Esophageal Neoplasms|esophageal neoplasms|mesh-list
209976405|NCT04581473|Carcinoma|carcinoma|mesh-ancestor
209976406|NCT04581473|Neoplasms, Glandular and Epithelial|neoplasms, glandular and epithelial|mesh-ancestor
209976407|NCT04581473|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209976408|NCT04581473|Neoplasms|neoplasms|mesh-ancestor
209976409|NCT04581473|Digestive System Neoplasms|digestive system neoplasms|mesh-ancestor
209976410|NCT04581473|Neoplasms by Site|neoplasms by site|mesh-ancestor
209976411|NCT04581473|Endocrine Gland Neoplasms|endocrine gland neoplasms|mesh-ancestor
209976412|NCT04581473|Digestive System Diseases|digestive system diseases|mesh-ancestor
209976413|NCT04581473|Pancreatic Diseases|pancreatic diseases|mesh-ancestor
209976414|NCT04581473|Endocrine System Diseases|endocrine system diseases|mesh-ancestor
209976415|NCT04581473|Gastrointestinal Neoplasms|gastrointestinal neoplasms|mesh-ancestor
209976416|NCT04581473|Head and Neck Neoplasms|head and neck neoplasms|mesh-ancestor
209976417|NCT04581473|Esophageal Diseases|esophageal diseases|mesh-ancestor
209976418|NCT04581473|Gastrointestinal Diseases|gastrointestinal diseases|mesh-ancestor
209981629|NCT03497533|Lymphoma|lymphoma|mesh-list
209981630|NCT03497533|Lymphoma, Non-Hodgkin|lymphoma, non-hodgkin|mesh-list
209981631|NCT03497533|Lymphoma, B-Cell|lymphoma, b-cell|mesh-list
209981632|NCT03497533|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209981633|NCT03497533|Neoplasms|neoplasms|mesh-ancestor
209981634|NCT03497533|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209981635|NCT03497533|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209981636|NCT03497533|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209981637|NCT03497533|Immune System Diseases|immune system diseases|mesh-ancestor
209987620|NCT02443831|Burkitt Lymphoma|burkitt lymphoma|mesh-list
209987621|NCT02443831|Leukemia|leukemia|mesh-list
209987622|NCT02443831|Neoplasms|neoplasms|mesh-list
209987623|NCT02443831|Precursor Cell Lymphoblastic Leukemia-Lymphoma|precursor cell lymphoblastic leukemia-lymphoma|mesh-list
209987624|NCT02443831|Leukemia, Lymphoid|leukemia, lymphoid|mesh-list
209987625|NCT02443831|Hematologic Neoplasms|hematologic neoplasms|mesh-list
209987626|NCT02443831|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
