id|nct_id|description
33032025|NCT02587689|The purpose of this study is to determine whether autologous T cells bearing chimeric antigen receptor that can specifically recognize (Mucin 1) MUC1 is safe and effective for patients with relapsed or refractory solid tumor.
33109695|NCT03706326|The study is to assess the safety and efficacy of the immunotherapies using anti-MUC1 CAR T cells and /or PD-1 knockout engineered T cells in the treatment of patients with advanced esophageal cancer.
33109907|NCT03064269|This study will evaluates the safety and efficacy of Chimeric antigen receptor T cells (CAR-T) in treating central nervous system B-cell acute lymphocytic leukemia.
33032411|NCT02580747|"RATIONALE: Placing a tumor antigen chimeric receptor that has been created in the laboratory into patient autologous or donor-derived T cells may make the body build immune response to kill cancer cells.~PURPOSE: This clinical trial is studying genetically engineered lymphocyte therapy in treating patients with Relapsed and/or Chemotherapy Refractory Advanced Malignancies."
33201906|NCT03076437|"Autologous T cells engineered to express an anti-CD19 chimeric antigen receptor (CAR) will be infused back to patients with B cell malignancies, including lymphoma and leukemia. The patients will be monitored after infusion of anti-CD19 CAR-transduced T cells for adverse events, persistence of anti-CD19 CAR-transduced T cells and treatment efficacy.~Objectives:~To evaluate the safety and the efficacy of anti-CD19 CAR-transduced T cell therapy for patients with B cell malignancies.~Eligibility:~Patients between 1 and 80 years of age, who have relapsed or refractory CD19-expressing B-cell malignancies (leukemia or lymphoma) that have not responded to standard treatments.~Patients with a history of allogeneic stem cell transplant who meet all eligibility criteria are eligible to participate.~Patients must have adequate organ functions.~Design:~Peripheral blood from patients will be collected for isolation of peripheral blood mononuclear cells (PBMCs), which will be transduced with a lentiviral or retroviral vector encoding anti-CD19 CAR containing a CD28 or 4-1BB and a CD3 zeta as costimulatory domains.~Patients will receive a lymphodepleting preconditioning regimen to prepare their immune system to accept modified T cells.~Patients will receive an infusion of their own modified T cells. They will remain in the hospital to be monitored for adverse events until they have recovered from the treatment.~Patients will have frequent follow-up visits to monitor the persistence of modified T cells and efficacy of the treatment."
33110421|NCT04903080|This is a Phase I study to evaluate the safety profile of a type of immune therapy called HER2 CAR T cells (short for HER2 chimeric antigen receptor T cells). In addition to looking for side effects, we will study how well this treatment works against a brain tumor called ependymoma that has come back after treatment (recurrent) or has not responded well to treatment (progressive) in children. The HER2 CAR T cells used in this trial are made from the patient's own blood. A new gene, called the HER2 CAR, will be inserted into patient's T cells to allow them recognize a protein on the tumor called HER2. These HER2-specific CAR T cells may be able to target and kill ependymoma tumors that express HER2. This research is also studying how doable it is to provide this type of CAR T cell treatment to children being treated at different hospitals.
33110544|NCT03767725|This phase I trial studies the side effects and best dose of BCMA CART cells in treating patients with BCMA positive multiple myeloma that have not respond to chemotherapy and autologous Hematopoietic Stem Cell Transplantation (Auto-HSCT). B-cell maturation antigen (BCMA), a cell surface protein expressed on mutiple maloma cells, has emerged as a very selective antigen to be targeted in novel immunotherpy for MM. Targeting postulated CD19 positive myeloma stem cells with anti-CD19 CAR-T cells is a novel approach to MM therapy.
33110611|NCT03916679|The goal of this clinical trial is to study the feasibility and efficacy of anti-MESO antigen receptors (CARs) T cell therapy for relapsed and refractory epithelial ovarian cancer.
32835058|NCT03430011|This is an open-label, multicenter, Phase 1/2 study to determine the safety and efficacy of JCARH125, a CAR T-cell product that targets B-cell maturation antigen (BCMA), in adult subjects with relapsed and/or refractory multiple myeloma. The study will include a Phase 1 part to determine the recommended dose of JCARH125 in subjects with relapsed and/or refractory multiple myeloma, followed by a Phase 2 part to further evaluate the safety and efficacy of JCARH125 at the recommended dose. The safety and tolerability of JCARH125 in subjects who receive prophylactic treatment with anakinra will be evaluated in a separate Phase 1 cohort. The antitumor activity of JCARH125 in subjects who have been previously treated with BCMA-directed therapy will be evaluated in separate Phase 2a cohorts.
33110990|NCT04697290|This is a single center, single arm, open-label, phase I study to evaluate the safety and efficacy of CD19/CD20 Dual-CAR-T cells in patients with refractory or relapsed B-NHL.
33033864|NCT03740256|"This study is a first in human Phase 1 study that involves patients with a type of cancer called HER2 (Human Epidermal Growth Factor Receptor 2) positive cancer.~This study asks patients to volunteer to take part in a research study investigating the safety and efficacy of using special immune cells called HER2 chimeric antigen receptor specific cytotoxic T lymphocytes (HER2 specific CAR T cells), in combination with intra-tumor injection of CAdVEC, an oncolytic adenovirus that is designed to help the immune system including HER2 specific CAR T cell react to the tumor.~The study is looking at combining these two treatments together, because we think that the combination of treatments will work better than each treatment alone. We also hope to learn the best dose level of the treatments and whether or not it is safe to use them together.~In this study, CAdVEC will be injected into participants tumor at one tumor site which is most easiest to reach. Once it infects the cancer cells, activation of the immune response will occur so it can attack and kill cancer cells. (This approach may have limited effects on the other tumor sites that have not received the oncolytic virus injection, so, patients will also receive specific T cells following the intratumor CAdVEC injection.) These T cells are special infection-fighting blood cells that can kill cells infected with viruses and tumor cells.~Investigators want to see if these cells can survive in the blood and affect the tumor. Both CAdVEC and HER2-specific autologous CAR T are investigational products. They are not approved by the FDA."
33111246|NCT03289455|The purpose of this study is to test the safety and efficacy of AUTO3, a CAR T cell treatment targeting CD19 and CD22 in paediatric or young adult patients with relapsed or refractory B cell acute lymphoblastic leukaemia.
33111449|NCT05275062|This is a open-label, single center to determine the efficacy and safety of IM92 CAR-T cells in Patients With advanced gastric/esophagogastric combination adenocarcinoma that has failed at least second-line therapy and advanced pancreatic cancer that has failed at least first-line therapy.
33112815|NCT05181501|This study is a multi-center, single-arm clinical study to evaluate the efficacy, safety, pharmacokinetics and pharmacodynamic characteristics of CT103A as the first-line treatment in newly diagnosed high-risk multiple myeloma subjects with induction chemotherapy as bridging therapy.
33203362|NCT05179603|"The is a phase 2 multi-cohort, un-controlled, non-randomized, open-label, multi-center study assessing the antitumor activity and safety of non-alpha interleukin (IL-2) SAR444245 with or without other anticancer therapies in participants aged 12 years and older with relapsed or refractory B cell lymphoma. This study is structured as a master protocol with separate sub studies designed to investigate the use of SAR444245 either with or without other anticancer therapies for the treatment of relapsed or refractory B cell lymphoma.~Substudy 1-Cohort A aims to establish safety and preliminary anti-tumor activity for non-alpha interleukin (IL-2) SAR444245 combined with the anti-PD1 antibody, pembrolizumab in trial participants with classic Hodgkin lymphoma (cHL) who are anti-PD-(L)1-naive and have received at least 2 or 3 lines of systemic therapy.~Substudy 3-Cohort C1 aims to establish safety and preliminary anti-tumor activity for SAR444245 as monotherapy in trial participants with diffuse large B-cell lymphoma (DLBCL). Trial participants in this study must have received at least 2 lines of systemic therapy and have either stable or progressive disease 1-3 months post Health Authority approved Chimeric Antigen Receptor T-cell (CAR-T) treatment when given as last systemic treatment prior to study enrollment."
33035207|NCT02631044|This open-label Phase 1 study will evaluate the safety, PK, and antitumor activity of modified T cells (JCAR017) administered to adult patients with relapsed or refractory B-cell NHL. The dose and schedule of JCAR017 will be evaluated and modified, as needed, for safety and antitumor activity. We will also determine how long the modified T cells stay in the patient's body and how well JCAR017 works in treating patients with non-Hodgkin's lymphoma whose disease has come back or has not responded to treatment.
33203386|NCT03283631|The goal of this protocol is to transfer autologous peripheral blood mononuclear cells (PBMCs) transduced with genes encoding a chimeric antigen receptor (CAR) that recognizes epidermal growth factor receptor variant III (EGFRvIII) tumor-specific antigen into patients with recurrent glioblastoma (GBM) following stereotactic radiosurgery (SRS). The CAR used is targeted to a tumor-specific mutation of the epidermal growth factor receptor, EGFRvIII, which is expressed on a subset of patients. Normal PBMCs derived from patients with GBM are genetically engineered with a viral vector encoding the CAR and infused directly into the patient's tumor with the aim of mediating regression of their tumors. Despite our CAR being targeted to a tumor specific antigen, given the prior toxicity using CARs that were not targeted to tumor-specific antigens, the investigators elected to begin with very low doses of cells. Enrollment on this study was suspended in April 2020 while an amendment to reduce the anticipated number of participants was under review and approved. The decision to terminate the study was made in January, 2021 to shift toward the next iteration of a related CAR T cell trial.
32936165|NCT05415475|This trial is an open-label, single-arm clinical study. The main purpose is to verify the safety and efficacy of CAR-T cell preparations in the treatment of CEA-positive advanced malignant tumors, and to obtain the recommended dose and infusion scheme of CAR-T cell preparations for the treatment of patients with CEA-positive advanced malignant tumors.
33203511|NCT03267173|Immunotherapy has become the major breakthrough and the most promising treatment, with the host of development of tumor biology, molecular biology and immunology. It has become the fourth tumor treatment model after traditional tumor therapies (surgery, chemotherapy, radiotherapy) . Mesothelin, PSCA, CEA, HER2, MUC1 and EGFRvIII are potential targets and spectacular paradigm in the diagnosis and treatment of pancreatic cancer. This study is for evaluation of the safety and efficacy of Mesothelin, PSCA, CEA, HER2, MUC1, EGFRvIII targeted and other CAR-T cell immunotherapy for pancreatic cancer.
33203591|NCT03258047|"It's a single arm, open label prospective study, in which the safety and efficacy of autologous CAR-T are evaluated in refractory/relapsed B cell lymphoma patients.~Abbreviation: CAR-T: Chimeric Antigen Receptor T-Cell Immunotherapy."
33113637|NCT03370198|The purpose of this study is to test an experimental anti-cancer immunotherapy called NKR-2 (modified T cells), to treat colorectal cancer with unresectable liver metastases. The trial will test three dose levels (dose escalation). At each dose, the patients will receive three successive hepatic transarterial administrations, two weeks apart, of NKR-2 cells. The study will enroll up to 18 patients.
33203730|NCT04966143|CLDN 18.2 chimeric antigen receptor T cells Clinical research plan for the treatment of recurrent or refractory pancreatic cancer.
32936367|NCT05075603|This is a multicenter Phase 1b study evaluating the safety, tolerability, and preliminary anti-tumor activity of NT-I7 administration following standard of care CD19 CAR T-cell therapy for eligible subjects with r/r LBCL.
33113845|NCT03356782|The aim of this clinical trial is to assess the feasibility, safety and efficacy of CAR T cells immunotherapy in patients who have sarcoma that is relapsed or late staged. Another goal of the study is to assess the safety and efficacy of the therapy that combines CAR T cells and IgT cells to treat sarcoma.
33035893|NCT04067414|This is an open-label, multicenter, dose-escalation phase 1 study to determine the safety and efficacy of BZ019 in relapsed or refractory CD19+ B-cell Lymphoma.
32836181|NCT04740203|Clinical Trial for the Safety and Efficacy of Sequential CD19 and CD22 CAR-T Therapy for Adult Patients With Newly Diagnosed Ph Chromosome Negative B-cell Acute Lymphoblastic Leukemia
33113908|NCT05239689|Clinical Study on the Safety and Effectiveness of CD38 CAR-T Cells in the Treatment of CD38-positive Hematological Malignancies
32836272|NCT00586391|"Patients on this study have a type of lymph gland cancer called non-Hodgkin Lymphoma, Acute Lymphocytic Leukemia, or chronic Lymphocytic Leukemia (these diseases will be referred to as Lymphoma or Leukemia). Their Lymphoma or Leukemia has come back or has not gone away after treatment (including the best treatment known for these cancers). This research study is a gene transfer study using special immune cells.~The body has different ways of fighting infection and disease. No one way seems perfect for fighting cancers. This research study combines two different ways of fighting disease, antibodies and T cells, hoping that they will work together. Antibodies are types of proteins that protect the body from bacterial and other diseases. T cells, also called T lymphocytes, are special infection-fighting blood cells that can kill other cells including tumor cells. Both antibodies and T cells have been used to treat patients with cancers; they have shown promise, but have not been strong enough to cure most patients.~T lymphocytes can kill tumor cells but there normally are not enough of them to kill all the tumor cells. Some researchers have taken T cells from a person's blood, grown more of them in the laboratory and then given them back to the person.~The antibody used in this study is called anti-CD19. It first came from mice that have developed immunity to human lymphoma. This antibody sticks to cancer cells because of a substance on the outside of these cells called CD19. CD19 antibodies have been used to treat people with lymphoma and Leukemia. For this study anti-CD19 has been changed so that instead of floating free in the blood it is now joined to the T cells. When an antibody is joined to a T cell in this way it is called a chimeric receptor.~In the laboratory, investigators have also found that T cells work better if they also put a protein that stimulates T cells called CD28. Investigators hope that adding the CD28 might also make the cells last for a longer time in the body.~These CD19 chimeric receptor T cells with C28 T cells are investigational products not approved by the Food and Drug Administration.~The purpose of this study is to find the biggest dose of chimeric T cells that is safe, to see how the T cell with this sort of chimeric receptor lasts, to learn what the side effects are and to see whether this therapy might help people with lymphoma or leukemia."
32836419|NCT05445011|This is a clinical trial of Anti-FLT3 CAR-T Cell (TAA05 Cell Injection) in the treatment of patients with relapsed / refractory acute myeloid leukemia. The purpose is to evaluate the safety and efficacy of anti-FLT3 CAR-T cells in patients with relapsed / refractory acute myeloid leukemia.
32936770|NCT03768310|"This study is for patients that are having a bone marrow or stem cell transplant for either a type of cancer of the blood called Leukemia or a cancer of the lymph nodes called Non-Hodgkin's Lymphoma (NHL). Although a transplant can cure leukemia or lymphoma, some people will relapse (return of the disease). In those who relapse, current treatment cures only a very small percentage. This study is being conducted to evaluate the safety of a new type of therapy that may help to decrease the risk of relapse or treat relapse after it has occurred.~The body has different ways of fighting infection and disease. This study combines two of those ways, antibodies and T cells. Antibodies are proteins that protect the body from bacterial and other diseases. T cells are infection-fighting blood cells that can kill other cells, including tumor cells. Antibodies and T cells have been used to treat patients with cancers; they have shown promise, but have not been strong enough to cure most patients.~The antibody used in this study is called anti-CD19. This antibody is attracted to cancer cells because of a substance on the outside of these cells called CD19. For this study, the anti-CD19 antibody has been changed so that instead of floating free in the blood it is now joined to T cells. When an antibody is joined to a T cell in this way it is called a chimeric receptor (also known as a CAR T cell). Although anti-CD19 antibodies or chimeric receptors can kill cancer cells, unfortunately they sometimes do not last long enough to destroy all of the cancer cells.~These CD19 chimeric receptor multivirus specific T cells are an investigational product not approved by the Food and Drug Administration.~The purpose of this study is to find the biggest dose of chimeric T cells that is safe to administer, to determine what the side effects are, to see how long the T cells last and to evaluate whether this therapy might help prevent infections and relapse in people with CD19+ leukemia or lymphoma having a bone marrow transplant."
32836839|NCT05326243|This is a multiple center, non-randomized, open-label, phase 1/2 study. The primary objective of Phase 1 is to evaluate the safety of PL001 and find the recommended Phase 2 dose (RP2D). The objective of Phase 2 is to evaluate the safety and efficacy of CD19 CAR-T(known as PL001).
33114090|NCT04503538|"The purpose of this research is to replace one of participants' outpatient chimeric antigen receptor T-cell (CAR-T) therapy follow up visits with a virtual or telemedicine visit. The telemedicine visit will use an electronic tablet with a camera and a microphone that allows participants to communicate with their physicians and nurses. Participants will be provided with the necessary equipment to complete these visits."
32842273|NCT05416554|This study aims to assess the feasibility of performing neuropsychological testing to measure the cognitive performance of individuals following Axicabtagene ciloleucel CAR-T therapy at Stanford.
33036443|NCT04561557|Antibody-mediated idiopathic inflammatory diseases of the nervous system (also known as autoimmune diseases of the nervous system) are autoimmune diseases in which autoimmune cells and immune molecules attack the nervous system as the main pathogenic mechanism. In the immune response, pathogenic antibodies acting on autoantigens of the nervous system are collectively referred to as autoantibodies of the nervous system, and antibody-mediated idiopathic inflammatory diseases of the nervous system can occur in the central nervous system, peripheral nervous system, and neuromuscular junctions , and muscles. In this study, we will recruit three kinds of autoimmune diseases of nervous system including Neuromyelitis Optica Spectrum Disorder (NMOSD), Myasthenia Gravis (MG), Chronic Inflammatory Demyelinating Polyradiculoneuropathy (CIDP) and Immune-Mediated Necrotizing Myopathy (IMNM). B-cell maturation antigen (BCMA) is expressed on the surface of plasma cells, thus making it an ideal target for targeted therapies. Chimeric antigen receptor (CAR) T cells against BCMA offers another potential therapeutic option to eliminate plasma cells in patients with neurological autoimmune diseases driven by abnormal antibody who still suffer recurrent attacks from conventional treatments. In the current study, the safety and efficacy of a novel CAR-T cell therapy using CT103A cells, are evaluated in patients with relapsed/refractory antibody-mediated idiopathic inflammatory diseases.
32837380|NCT03019055|This is a phase 1/1b, interventional single arm, open label, treatment study designed to evaluate the safety and feasibility of infusion of autologous T cells engineered to contain an anti-cluster of differentiation 19 (CD19) and anti-cluster of differentiation 20 (CD20) single chain variable fragment (scFv) coupled to cluster of differentiation CD3ζ (CD3ζ) and co-stimulatory domain 4-1BB (4-1BB) signaling domains in patients with relapsed and/or refractory CD19 or CD20 positive B cell malignancies
32941548|NCT04666168|This study is a multicenter, non randomized, single arm, open clinical trial. The selected disease was relapsed / refractory NHL, and the disease was classified into highly aggressive lymphoma, invasive lymphoma and inert lymphoma; Highly invasive NHL included Burkitt lymphoma (BL), lymphoblastic lymphoma (LBL), high-grade B-cell lymphoma, etc; Invasive NHL includes diffuse large B-cell lymphoma, mantle cell lymphoma and peripheral T-cell lymphoma; Inert NHL contains follicular lymphoma, small lymphocytic lymphoma and marginal zone lymphoma.
33204402|NCT04430595|The purpose of this study is to assess the feasibility, safety and efficacy of multiple 4th generation CAR-T cells targeting Her2, GD2, and CD44v6 surface antigen in breast cancer. Another goal of the study is to learn more about the activities of the multi-CAR T cells and their persistency in the patients.
33204602|NCT04864821|Cd276 (B7-H3) is an ideal target for car-t treatment because of its high expression on the surface of neuroblastoma, osteosarcoma, gastric cancer and lung cancer cells, but not in normal peripheral cells or tissues. In conclusion, car-t cell therapy has achieved exciting results in blood tumors, but it has been stopped in solid tumor. The main reason for the poor effect is the existence of tumor microenvironment of solid tumor, which inhibits the chemotaxis and infiltration of car-t cells to tumor site. Therefore, in this clinical experiment, we will explore the best model of car-t therapy for solid tumor by intravenous and local tumor injection, which will bring new hope to patients with osteosarcoma, neuroblastoma and gastric cancer
32937486|NCT05022849|The purpose of this study is to determine recommended Phase 2 dose (RP2D) regimen(s) of JNJ-75229414 in Part 1 (Dose Escalation and to determine safety at the RP2D regimen(s) in Part 2 (Dose Expansion).
32937511|NCT04923893|The purpose of this study is to compare the efficacy of Bortezomib, Lenalidomide and Dexamethasone (VRd) induction followed by a single administration of ciltacabtagene autoleucel (cilta-cel) versus VRd induction followed by Lenalidomide and Dexamethasone (Rd) maintenance in newly diagnosed multiple myeloma participants for whom ASCT is not planned as initial therapy in terms of Progression Free Survival (PFS).
32937571|NCT04662099|This is a single-center, open-label, single-arm study to evaluate the safety and efficacy of the bispecific CAR T cells targeting CS1 and BCMA in patients with relapsed or refractory multiple myeloma.
32937671|NCT04181827|The purpose of this study is to compare the efficacy of JNJ-68284528 (ciltacabtagene autoleucel [cilta-cel]) with standard therapy, either Pomalidomide, Bortezomib and Dexamethasone (PVd) or Daratumumab, Pomalidomide and Dexamethasone (DPd).
32937679|NCT04133636|The purpose of this study is to evaluate the overall minimal residual disease (MRD) negative rate of participants who receive JNJ-68284528.
33115059|NCT03840317|This is an open, two arms, mask phase I clinical study to evaluate efficacy and safety of two different chimeric antigen receptor T cell immunotherapies (Senl_1904A and Senl_1904B) targeting cluster of differentiation antigen 19 （CD19） in the treatment of Acute lymphocytic Leukemia. A total of 20 patients are planned to be enrolled following up half a year.
32937848|NCT01430390|"The purpose of this study is to test the safety of giving the patient special cells from a donor called Modified T-cells. The goal is to assess the toxicities of T-cells for patients with relapsed B cell leukemia or lymphoma after a blood SCT organ SCT or for patients who are at high risk for relapse of their B cell leukemia or lymphoma."
33038210|NCT00889954|"Patients have advanced stage cancer. This study is a gene transfer research study using special immune cells.~The body has different ways of fighting infection and disease. No single way seems perfect for fighting cancers. This research study combines two different ways of fighting cancer: antibodies and T cells. Investigators hope that both will work better together. Antibodies are proteins that protect the body from diseases caused from infectious diseases and possibly cancer. T cells, also called T lymphocytes, are special infection-fighting blood cells that can kill other cells, including tumor cells or cells that are infected with germs. Both antibodies and T cells have been used to treat patients with cancers: they both have shown promise, but have not been strong enough to cure most patients.~T lymphocytes can kill tumor cells but there are normally not enough of them or they are not able to kill all the tumor cells. We have done research in which we have grown extra T lymphocytes. We have added genes to those T lymphocytes to help them to recognize tumor cells. Although the results have been promising, we are still doing more research in this area.~Antibodies usually circulate in blood and are secreted by other cells of the immune system in response to the presence of germs or abnormal cells in the body. The antibody used in this study is called anti-HER2 (Human Epidermal Growth Factor Receptor 2). This antibody sticks to HER2-positive cancer cells because of a substance on the outside of these cells called HER2."
32838753|NCT05620342|"This is a phase 1, single-center, open-label study that enrolls adult subjects with extensive stage lung cancer or stage IV non-small cell lung cancer that is platinum-refractory and received PD-1 and/or PD-L1 therapy. The purpose of this study is to test the safety of using a new treatment called autologous T lymphocyte chimeric antigen receptor cells against the GD2 antigen (iC9-GD2.CAR.IL-15 T cells) in subjects with lung cancer. How much (dose) of the iC9-GD2.CAR.IL-15 T cells are safe to use without causing too many side effects and what is the maximum dose that could be tolerated will be studied.~Modified immune cells as an experimental treatment that combines antibodies and T cells will be used. Antibodies are proteins that protect the body from foreign invaders like bacteria. T cells, also called T lymphocytes, are special infection-fighting blood cells that can kill viruses and other cells, including tumor cells. Although antibodies and T cells have been used to treat cancer and they both have shown promise, neither alone has been able to cure most patients. This study will combine T cells and antibodies to create a more effective treatment.~The treatment that is being researched in this study is called autologous T lymphocyte chimeric antigen receptor cells targeted against the disialoganglioside (GD2) antigen that expresses Interleukin (IL)-15, and the inducible caspase 9 safety switch (iC9). The short name for this treatment is iC9.GD2.CAR.IL-15 T cells therapy is an experimental therapy and has not been approved by the Food and Drug Administration. There are two steps. In the first step, blood will be collected from the subjects to prepare the iC9-GD2.CAR.IL-15 T cells. T cells will be isolated from the blood and modified to make iC9-GD2.CAR.IL-15. In the second step, the iC9-GD2.CAR.IL-15 T cells produced from the subject's own blood will be administered to the subject."
33038283|NCT04037566|This is a first-in-human trial proposed to test CD19-specific CAR-T cells with edited endogenous HPK1 (XYF19 CAR-T cells) in patients with relapsed or refractory CD19+ leukemia or lymphoma. This is an investigational study designed as a single-center, open-label and single-arm clinical trial.
33038294|NCT02541370|"RATIONALE: Placing a tumor antigen chimeric receptor that has been created in the laboratory into patient autologous or donor-derived T cells may make the body build immune response to kill cancer cells.~PURPOSE: This clinical trial is studying genetically engineered lymphocyte therapy in treating patients with Relapsed and/or Chemotherapy Refractory Advanced Malignancies."
33205135|NCT04853277|The purpose of this research is to provide an educational visit addressing common emotional stressors involved in the transplant/CAR-T process, and determine if this added education improves levels of anxiety, depression, and fatigue after transplant/CART in comparison to people who do not receive the brief educational visit.
32938345|NCT04723901|Prospectively evaluate the safety and effectiveness of CD19/CD22 dual-target CAR-T cells in the treatment of relapsed/refractory B-cell acute lymphoblastic leukemia.
33205496|NCT03232619|This study aims to evaluate the safety and efficacy of a novel CD19-CART in the treatment of refractory or recurrent ALL.
33205546|NCT04792593|This study is an open, dose-escalating clinical study, taking patients with relapsed or refractory acute lymphoblastic leukemia as the test subjects, including mouse-derived CAR-T treatment failure or relapse, or for any reason cannot bridge the transplant r/r B-ALL.
33205615|NCT05473221|This is an open label, phase I study to assess the safety and efficacy of CD33 CAR-T in patients with relapsed and refractory acute myeloid leukemia
33205792|NCT04745559|The purpose of the study is to evaluate whether receiving the pneumococcal 13-valent conjugate vaccine (PCV13) before and after CD19-targeted CAR T cell therapy will optimize cellular and humoral immunity to pneumococcus.
33205825|NCT05554575|"This is a single center, single arm, open-lable phase I study to determine the safety and efficacy of T cells expressing CD7 chimeric antigen receptors (referred to as BT-007 CAR-T cells) in patients with relapsed or refractory acute T cell lymphoblastic lymphoma (R/R T-LBL)."
33205827|NCT01318317|This phase I/II trial studies the side effects and best dose of genetically engineered lymphocyte therapy and to see how well it works after peripheral blood stem cell transplant (PBSCT) in treating patients with high-risk, intermediate-grade, B-cell non-Hodgkin lymphoma (NHL). Genetically engineered lymphocyte therapy may stimulate the immune system in different ways and stop cancer cells from growing. Giving rituximab together with chemotherapy before a PBSCT stops the growth of cancer cells by stopping them from dividing or killing them. Giving colony-stimulating factors, such as filgrastim (G-CSF), or plerixafor helps stem cells move from the bone marrow to the blood so they can be collected and stored. More chemotherapy or radiation therapy is given to prepare the bone marrow for the stem cell transplant. The stem cells are then returned to the patient to replace the blood-forming cells that were destroyed by the chemotherapy. Giving genetically engineered lymphocyte therapy after PBSCT may be an effective treatment for NHL.
33205840|NCT04325841|The investigators will conduct a phase II clinical trial of autologous murine anti-CD19 chimeric antigen receptor T cells treating refractory or relapsed B acute lymphoblastic leukemia children in Beijing Boren Hospital. The study will be approved by the institutional review board of Beijing Boren Hospital, and informed consent will be obtained in accordance with the Declaration of Helsinki. All these participants will be matched the diagnostic criteria for (r/r) B-ALL according to the WHO classiﬁcation and complete morphological evaluation, immunophenotype analysis by flow cytometry (FCM), cytogenetic analysis by routine G-banding karyotype analysis and leukemia fusion gene screening by multiplex nested reverse transcriptase-polymerase chain reaction (PCR). Participants will be eligible if they are heavily treated B-ALL who failed from re-induction chemotherapy after relapse or continued MRD+ for more than three months, and had positive CD19 expression on leukemia blasts by FCM (>95% CD19). After CAR T-cell infusion, clinical outcomes including overall survival (OS), Disease-free survival (DFS), adverse effects and relapse will be evaluated.
33205977|NCT05538195|This study is a single-arm, open-label, dose-escalating + dose-expansion clinical study, aiming to evaluate the safety and efficacy of CEA-targeted CAR-T cell preparations, and to preliminarily observe the study drug in CEA-positive advanced malignant tumors. The pharmacokinetic characteristics of CAR-T cell preparations for the treatment of patients with CEA-positive advanced malignancies were obtained and the recommended dose and infusion schedule.
32938998|NCT04655677|This is a single-center, non-randomized study to evaluate the safety and efficacy of EXP039 in relapsed and/or refractory NHL patients.
33116064|NCT03811457|B cell malignancies comprise a heterogeneous group of neoplasms including a vast majority of non-Hodgkin's lymphomas (NHL), lymphoblastic leukemias (ALL) and chronic lymphocytic leukemias (CLL). Current treatments for B cell malignancies include chemotherapy, radiation therapy, bone marrow transplantation, and peripheral blood stem cell transplantation. Despite these treatment modalities, most patients will remain incurable. Welgenaleucel (UWC19) is a CD19-directed genetically-modified autologous immunotherapy. This study is designed to evaluate safety and feasibility of administering Welgenaleucel (UWC19) transduced with anti-CD19 lentiviral vector to patients with advanced refractory hematologic malignancies, including DLBCL and ALL.
32939046|NCT04653649|"HSP-CAR30 is a cell suspension of genetically modified T-cells to express a second generation (4-1BBz) chimeric antigen receptor (CAR) directed against CD30.~This is a phase I/IIa, interventional, single arm, open label, treatment study to evaluate the safety, tolerability and efficacy of HSP-CAR30 in patients with relapsed/refractory Hodgkin lymphoma and relapsed/refractory T-cell lymphoma expressing CD30."
32939048|NCT04653493|This is a single-arm, open-label, phase I study (safety and dose escalation) of autologous Chimeric Antigen Receptor (CAR) T-cells targeting CD19 in patients with relapsed/refractory B cell acute lymphoblastic leukemia (ALL).
32939097|NCT04650724|"Chimeric antigen receptor T cells (car-t) is one of the most effective therapies for malignant tumors (especially hematological tumors). Like other immunotherapies, the basic principle is to use the patient's own immune cells to clear cancer cells. Chimeric antigen receptor (car) is the core component of car-t, which endows T cells with the ability to recognize tumor antigens in an independent manner, which enables car modified T cells to recognize a wider range of targets than natural T cell surface receptors (TCR). The basic design of car includes a tumor associated antigen binding region (usually derived from scFv segment of monoclonal antibody antigen binding region), transmembrane region and intracellular signal region. The selection of target antigen is a key determinant for the specificity and effectiveness of car and the safety of genetically modified T cells.~BCMA is a specific surface protein of B lymphocytes, which plays an important role in the development, proliferation and differentiation of B cells. BCMA is highly expressed in malignant mm plasma cells and provides a large number of anti apoptotic signals, which makes bcam an ideal target in targeted immunotherapy. At present, a variety of immunotherapy strategies targeting BCMA are being carried out in laboratory and clinical practice, which have achieved encouraging therapeutic effects in multiple myeloma and effectively promoted the development of targeted immunotherapy."
32939149|NCT04637503|The purpose of this clinical trial is to assess the feasibility, safety and efficacy of multiple 4SCAR-T cell therapy which targets GD2, PSMA and CD276 surface antigens in patients with relapsed and refractory neuroblastoma (NB). Another goal of the study is to understand the function of the multi-CAR-T cells and their persistency in the patients.
33116268|NCT05463640|This is an open label, phase I study to assess the safety and efficacy of ADGRE2 CAR-T in patients with relapsed and refractory acute myeloid leukemia
32939164|NCT04637269|Although the anti-CD19 CAR-T cell therapies have gained significant results in patients with relapsed and refractory B-cell hematologic malignancies. There are few effective treatments for MM(multiple myeloma). BCMA (B cell maturation antigen) is a promising target for malignant plasma cells. Therefore, we designed a clinical trial using anti-BCMA CAR-T cell therapy for patients with relapsed and refractory multiple myeloma.
33116345|NCT03798509|To evaluate the safety and tolerance of human CD19 targeted T Cells injection for the treatment of relapsed and refractory CD19-positive B-cell acute lymphoblastic leukemia. Patients will be given a conditioning chemotherapy regimen of fludarabine and cyclophosphamide followed by a single infusion of CD19 CAR+ T cells.
33116445|NCT03799913|The goal of this clinical trial is to study the feasibility and efficacy of anti-MESO antigen receptors (CARs) T cell therapy for relapsed and refractory ovarian cancer.
33040202|NCT05350852|This is an open label, phase I study to assess the safety, efficacy and pharmacokinetics of ThisCART19A in patients with MRD+ B-ALL
