id|nct_id|agency_class|lead_or_collaborator|name
51911590|NCT04283006|INDUSTRY|collaborator|Yake Biotechnology Ltd.
52063691|NCT03751293|OTHER|lead|Hebei Yanda Ludaopei Hospital
51650696|NCT03019055|OTHER|lead|Medical College of Wisconsin
51650697|NCT03019055|OTHER|collaborator|Children's Hospital and Health System Foundation, Wisconsin
51782392|NCT02963038|INDUSTRY|lead|Hebei Senlang Biotechnology Inc., Ltd.
51782393|NCT02963038|OTHER|collaborator|The Second Hospital of Hebei Medical University
51782951|NCT02968472|OTHER|lead|The First People's Hospital of Yunnan
51782952|NCT02968472|OTHER|collaborator|Shenzhen Geno-Immune Medical Institute
51652813|NCT05620342|OTHER|lead|UNC Lineberger Comprehensive Cancer Center
51652814|NCT05620342|INDUSTRY|collaborator|Bellicum Pharmaceuticals
51653325|NCT05257083|NETWORK|lead|European Myeloma Network
51653326|NCT05257083|INDUSTRY|collaborator|Janssen Research & Development, LLC
51653611|NCT05032820|OTHER|lead|Marcelo Pasquini, MD
51653612|NCT05032820|NIH|collaborator|National Heart, Lung, and Blood Institute (NHLBI)
51653613|NCT05032820|NETWORK|collaborator|Blood and Marrow Transplant Clinical Trials Network
51653614|NCT05032820|NIH|collaborator|National Cancer Institute (NCI)
51653615|NCT05032820|OTHER|collaborator|National Marrow Donor Program
51653616|NCT05032820|UNKNOWN|collaborator|Celgene a wholly owned subsidiary of BMS
51653665|NCT05000450|INDUSTRY|lead|Allogene Therapeutics
52064436|NCT04077866|OTHER|lead|Second Affiliated Hospital, School of Medicine, Zhejiang University
52064437|NCT04077866|UNKNOWN|collaborator|Ningbo Yinzhou People's Hospital
52064438|NCT04077866|OTHER|collaborator|Huizhou Municipal Central Hospital
52064439|NCT04077866|UNKNOWN|collaborator|BoYuan RunSheng Pharma (Hangzhou) Co., Ltd.
51653795|NCT04855136|INDUSTRY|lead|Celgene
51653827|NCT04792489|INDUSTRY|lead|Miltenyi Biomedicine GmbH
51654102|NCT04467853|OTHER|lead|Shanghai East Hospital
51654103|NCT04467853|INDUSTRY|collaborator|Nanjing Legend Biotech Co.
51654362|NCT04093596|INDUSTRY|lead|Allogene Therapeutics
51654970|NCT02690545|OTHER|lead|UNC Lineberger Comprehensive Cancer Center
51787033|NCT02958410|OTHER|lead|Southwest Hospital, China
51787148|NCT04717999|INDUSTRY|lead|UWELL Biopharma
51787252|NCT02965092|INDUSTRY|lead|Wuhan Sian Medical Technology Co., Ltd
51787253|NCT02965092|OTHER|collaborator|Wuhan Union Hospital, China
51787254|NCT02965092|OTHER|collaborator|Jingzhou Central Hospital
51787255|NCT02965092|OTHER|collaborator|Xiangyang Central Hospital
51787256|NCT02965092|UNKNOWN|collaborator|People Hospital Of Yichang
51655698|NCT05577091|OTHER|lead|Beijing Tiantan Hospital
51655699|NCT05577091|OTHER|collaborator|Beijing Neurosurgical Institute
51655700|NCT05577091|INDUSTRY|collaborator|Tasly Pharmaceutical Group Co., Ltd
51789531|NCT05518253|OTHER|lead|Weijia Fang, MD
51789532|NCT05518253|INDUSTRY|collaborator|Chongqing Precision Biotech Co., Ltd
51789578|NCT05489991|INDUSTRY|lead|Tceleron Therapeutics, Inc.
51789604|NCT05468190|INDUSTRY|lead|Chongqing Precision Biotech Co., Ltd
51789639|NCT05442515|NIH|lead|National Cancer Institute (NCI)
51789668|NCT05420545|INDUSTRY|lead|Chongqing Precision Biotech Co., Ltd
51789669|NCT05420519|INDUSTRY|lead|Chongqing Precision Biotech Co., Ltd
51789690|NCT05400109|OTHER|lead|Changchun Deng, MD
51657151|NCT05312411|OTHER|lead|Seattle Children's Hospital
51657152|NCT05312411|UNKNOWN|collaborator|Umoja BioPharma, Inc.
51657250|NCT05105152|OTHER|lead|Seattle Children's Hospital
51657251|NCT05105152|INDUSTRY|collaborator|2seventy bio
51790007|NCT05035407|NIH|lead|National Cancer Institute (NCI)
51790043|NCT05003895|NIH|lead|National Cancer Institute (NCI)
52065237|NCT05268172|OTHER|lead|Affiliated Hospital of Jiangnan University
52065238|NCT05268172|OTHER|collaborator|Sichuan University
52065239|NCT05268172|OTHER|collaborator|Zhejiang Provincial People's Hospital
52065240|NCT05268172|OTHER|collaborator|Hunan Cancer Hospital
52065241|NCT05268172|OTHER|collaborator|West China Hospital
52065242|NCT05268172|OTHER|collaborator|Wuxi People's Hospital
52065243|NCT05268172|OTHER|collaborator|Shenzhen Second People's Hospital
51790451|NCT04420754|INDUSTRY|lead|AffyImmune Therapeutics, Inc.
51790457|NCT04416984|INDUSTRY|lead|Allogene Therapeutics
51790557|NCT04227275|INDUSTRY|lead|Tceleron Therapeutics, Inc.
51790699|NCT04029038|OTHER|lead|M.D. Anderson Cancer Center
51790700|NCT04029038|NIH|collaborator|National Cancer Institute (NCI)
51657523|NCT04571138|OTHER|lead|Seattle Children's Hospital
51657573|NCT04450069|OTHER|lead|Calibr, a division of Scripps Research
51791217|NCT02315612|NIH|lead|National Cancer Institute (NCI)
51657836|NCT03684889|OTHER|lead|Seattle Children's Hospital
51657946|NCT03330691|OTHER|lead|Seattle Children's Hospital
51657979|NCT03244306|OTHER|lead|Seattle Children's Hospital
51657991|NCT03186118|OTHER|lead|Seattle Children's Hospital
51658169|NCT02028455|OTHER|lead|Seattle Children's Hospital
51658201|NCT01683279|OTHER|lead|Seattle Children's Hospital
51792753|NCT05539430|INDUSTRY|lead|Legend Biotech USA Inc
51658325|NCT03994705|INDUSTRY|lead|Cartesian Therapeutics
51793302|NCT01853631|OTHER|lead|Baylor College of Medicine
51793303|NCT01853631|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
51793304|NCT01853631|OTHER|collaborator|The Methodist Hospital Research Institute
51658568|NCT05651100|INDUSTRY|lead|Kecellitics Biotech Company Ltd
51658569|NCT05651100|OTHER|collaborator|Hebei Yanda Ludaopei Hospital
51658941|NCT05416554|OTHER|lead|Stanford University
51794009|NCT04601831|OTHER|lead|University of Texas Southwestern Medical Center
51794063|NCT04316624|OTHER|lead|Institute of Hematology & Blood Diseases Hospital
51794064|NCT04316624|INDUSTRY|collaborator|Cellular Biomedicine Group Ltd.
51794123|NCT04036019|OTHER|lead|Shanghai Tongji Hospital, Tongji University School of Medicine
51794124|NCT04036019|INDUSTRY|collaborator|Cellular Biomedicine Group Ltd.
52214420|NCT02443831|OTHER|lead|University College, London
51660018|NCT05616468|OTHER|lead|The Affiliated Hospital of Xuzhou Medical University
51660019|NCT05616468|UNKNOWN|collaborator|Guangzhou Bioresette Biomedical Technology Co., Ltd.
52214498|NCT05202782|OTHER|lead|Northwestern University
52214499|NCT05202782|NIH|collaborator|National Cancer Institute (NCI)
52214590|NCT05191472|OTHER|lead|Alfred Chung, MD
52214591|NCT05191472|INDUSTRY|collaborator|Merck Sharp & Dohme LLC
51798235|NCT05373147|OTHER|lead|Shanghai Mengchao Cancer Hospital
51798236|NCT05373147|INDUSTRY|collaborator|Shanghai Cell Therapy Group Co.,Ltd
51662449|NCT02650999|OTHER|lead|Abramson Cancer Center at Penn Medicine
51800073|NCT03085173|OTHER|lead|Memorial Sloan Kettering Cancer Center
51800074|NCT03085173|INDUSTRY|collaborator|Juno Therapeutics, Inc.
51662729|NCT05436223|INDUSTRY|lead|Hrain Biotechnology Co., Ltd.
51662730|NCT05436223|OTHER|collaborator|Shanghai Zhongshan Hospital
51801281|NCT04514029|OTHER|lead|Masonic Cancer Center, University of Minnesota
51663242|NCT04186520|OTHER|lead|Medical College of Wisconsin
51663517|NCT05349266|OTHER|lead|Zhejiang University
51663537|NCT05336383|OTHER|lead|M.D. Anderson Cancer Center
51663629|NCT04337606|OTHER|lead|Chinese PLA General Hospital
51914694|NCT03744676|INDUSTRY|lead|Juno Therapeutics, a Subsidiary of Celgene
51914695|NCT03744676|INDUSTRY|collaborator|Bristol-Myers Squibb
51663856|NCT04336501|INDUSTRY|lead|Beijing Immunochina Medical Science & Technology Co., Ltd.
52067532|NCT02186860|OTHER|lead|Affiliated Hospital to Academy of Military Medical Sciences
51914826|NCT04162353|INDUSTRY|lead|iCell Gene Therapeutics
51914827|NCT04162353|INDUSTRY|collaborator|iCAR Bio Therapeutics Ltd.
51914828|NCT04162353|OTHER|collaborator|Peking University Shenzhen Hospital
51914867|NCT04162119|OTHER|lead|Chinese PLA General Hospital
51915140|NCT04156269|INDUSTRY|lead|iCell Gene Therapeutics
51915141|NCT04156269|OTHER|collaborator|Peking University Shenzhen Hospital
51915142|NCT04156269|OTHER|collaborator|Chengdu Military General Hospital
51915143|NCT04156269|INDUSTRY|collaborator|iCAR Bio Therapeutics Ltd.
52215370|NCT04219163|OTHER|lead|Baylor College of Medicine
52215371|NCT04219163|OTHER|collaborator|The Methodist Hospital Research Institute
52215372|NCT04219163|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
52068506|NCT02259556|OTHER|lead|Chinese PLA General Hospital
51804852|NCT04691284|OTHER_GOV|lead|National Cancer Institute, Slovakia
51804853|NCT04691284|OTHER_GOV|collaborator|Slovak Academy of Sciences
51804879|NCT04691713|INDUSTRY|lead|PersonGen BioTherapeutics (Suzhou) Co., Ltd.
51916833|NCT03741127|INDUSTRY|lead|Poseida Therapeutics, Inc.
51916834|NCT03741127|OTHER|collaborator|California Institute for Regenerative Medicine (CIRM)
51916850|NCT03601078|INDUSTRY|lead|Celgene
51805740|NCT05667506|INDUSTRY|lead|Juventas Cell Therapy Ltd.
51917431|NCT05286164|OTHER_GOV|lead|Tel-Aviv Sourasky Medical Center
51917432|NCT05286164|INDUSTRY|collaborator|Novartis
51805827|NCT05266950|OTHER|lead|Beijing Boren Hospital
51805880|NCT05098613|OTHER|lead|University of Colorado, Denver
51667768|NCT04816526|INDUSTRY|lead|Cartesian Therapeutics
52069138|NCT05239676|OTHER|lead|Zhejiang University
52069139|NCT05239676|INDUSTRY|collaborator|Yake Biotechnology Ltd.
51806532|NCT04723914|OTHER|lead|YuLi
51918289|NCT03614858|INDUSTRY|lead|Shanghai Unicar-Therapy Bio-medicine Technology Co.,Ltd
51918290|NCT03614858|OTHER|collaborator|The First Affiliated Hospital of Soochow University
51918353|NCT05064787|INDUSTRY|lead|Pack Health
51918354|NCT05064787|OTHER|collaborator|M.D. Anderson Cancer Center
51918355|NCT05064787|INDUSTRY|collaborator|Bristol-Myers Squibb
51668383|NCT05531708|OTHER|lead|Shanghai Pudong Hospital
51668384|NCT05531708|INDUSTRY|collaborator|UTC Therapeutics Inc.
51668408|NCT05513612|OTHER|lead|Shanghai Pudong Hospital
51668409|NCT05513612|INDUSTRY|collaborator|UTC Therapeutics Inc.
51806857|NCT02937844|OTHER|lead|Beijing Sanbo Brain Hospital
51806858|NCT02937844|INDUSTRY|collaborator|Marino Biotechnology Co., Ltd.
51806890|NCT02937103|OTHER|lead|Southwest Hospital, China
51806979|NCT02935153|OTHER|lead|Southwest Hospital, China
51918917|NCT04712864|INDUSTRY|lead|Legend Biotech USA Inc
51807427|NCT02919046|INDUSTRY|lead|Sinobioway Cell Therapy Co., Ltd.
51807428|NCT02919046|OTHER|collaborator|Nanjing Children's Hospital
51807429|NCT02919046|OTHER|collaborator|Children's Hospital of Fudan University
52215947|NCT05206357|INDUSTRY|lead|AbbVie
52215948|NCT05206357|INDUSTRY|collaborator|Genmab
51920131|NCT03617198|OTHER|lead|University of Pennsylvania
51920174|NCT02844062|OTHER|lead|Beijing Sanbo Brain Hospital
51920175|NCT02844062|INDUSTRY|collaborator|Marino Biotechnology Co., Ltd.
51921071|NCT04237428|INDUSTRY|lead|PersonGen BioTherapeutics (Suzhou) Co., Ltd.
51921072|NCT04237428|OTHER|collaborator|The First Affiliated Hospital of Zhengzhou University
52216105|NCT04577326|OTHER|lead|Memorial Sloan Kettering Cancer Center
52216106|NCT04577326|INDUSTRY|collaborator|Atara Biotherapeutics
51809207|NCT05415475|INDUSTRY|lead|Chongqing Precision Biotech Co., Ltd
51921795|NCT05627323|INDUSTRY|lead|Chimeric Therapeutics
51921979|NCT05117008|OTHER|lead|Medical College of Wisconsin
51922013|NCT04984356|INDUSTRY|lead|Wugen, Inc.
51809518|NCT05075603|INDUSTRY|lead|NeoImmuneTech
51672712|NCT05190653|OTHER|lead|Alberta Health Services, Calgary
51672713|NCT05190653|OTHER|collaborator|Alberta Cancer Foundation
51672714|NCT05190653|OTHER|collaborator|University of Victoria
52216313|NCT03792633|OTHER|lead|University of Pennsylvania
51810229|NCT03768310|OTHER|lead|Baylor College of Medicine
51810230|NCT03768310|OTHER|collaborator|The Methodist Hospital Research Institute
51810231|NCT03768310|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
52216314|NCT03792633|OTHER|collaborator|Children's Hospital of Philadelphia
51923497|NCT05168748|INDUSTRY|lead|Novartis Pharmaceuticals
51924092|NCT02772198|OTHER_GOV|lead|Sheba Medical Center
51674063|NCT04608487|OTHER|lead|Dana-Farber Cancer Institute
51674064|NCT04608487|INDUSTRY|collaborator|Kite, A Gilead Company
52070261|NCT01109095|OTHER|lead|Baylor College of Medicine
51674202|NCT03676504|OTHER|lead|University Hospital Heidelberg
52070262|NCT01109095|OTHER|collaborator|The Methodist Hospital Research Institute
52070263|NCT01109095|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
51674912|NCT04562298|OTHER|lead|Shanghai East Hospital
51674913|NCT04562298|INDUSTRY|collaborator|Nanjing Legend Biotech Co.
51674914|NCT04562298|UNKNOWN|collaborator|East Clinical Center of Oncology
51674915|NCT04562298|OTHER_GOV|collaborator|Anhui Provincial Hospital
51811338|NCT05022849|INDUSTRY|lead|Janssen Research & Development, LLC
51811370|NCT04923893|INDUSTRY|lead|Janssen Research & Development, LLC
51811451|NCT04662099|OTHER|lead|Wuhan Union Hospital, China
51811452|NCT04662099|UNKNOWN|collaborator|Wuhan Si'an Medical Technology Co., Ltd
51675139|NCT01593696|NIH|lead|National Cancer Institute (NCI)
51925925|NCT05659628|OTHER|lead|Ningbo No. 1 Hospital
51925926|NCT05659628|OTHER|collaborator|Zhejiang University
51925988|NCT02537977|OTHER|lead|Shanghai Tongji Hospital, Tongji University School of Medicine
51811606|NCT04181827|INDUSTRY|lead|Janssen Research & Development, LLC
51926092|NCT05379569|OTHER|lead|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine
51811627|NCT04133636|INDUSTRY|lead|Janssen Research & Development, LLC
51926494|NCT05382377|OTHER|lead|jianming xu
51926495|NCT05382377|OTHER|collaborator|KAEDI
51926785|NCT05639972|OTHER|lead|Christian Hinrichs
51926786|NCT05639972|NIH|collaborator|National Cancer Institute (NCI)
51811908|NCT01430390|OTHER|lead|Memorial Sloan Kettering Cancer Center
51676267|NCT04406610|OTHER|lead|Fuda Cancer Hospital, Guangzhou
51928034|NCT05588440|INDUSTRY|lead|Oncternal Therapeutics, Inc
51812665|NCT04723901|OTHER|lead|Shenzhen University General Hospital
51677124|NCT03696030|OTHER|lead|City of Hope Medical Center
51677125|NCT03696030|NIH|collaborator|National Cancer Institute (NCI)
51677126|NCT03696030|OTHER|collaborator|California Institute for Regenerative Medicine (CIRM)
51677300|NCT03774654|OTHER|lead|Baylor College of Medicine
51677301|NCT03774654|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
51677302|NCT03774654|OTHER|collaborator|The Methodist Hospital Research Institute
52071038|NCT05371093|INDUSTRY|lead|Kite, A Gilead Company
52071040|NCT05364424|INDUSTRY|lead|Hoffmann-La Roche
51930384|NCT05172596|INDUSTRY|lead|Novartis Pharmaceuticals
52071157|NCT04989803|INDUSTRY|lead|Kite, A Gilead Company
52071189|NCT04897321|OTHER|lead|St. Jude Children's Research Hospital
51813639|NCT04655677|OTHER|lead|Peking Union Medical College Hospital
51813714|NCT04653649|OTHER|lead|Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau
51813715|NCT04653649|OTHER|collaborator|Josep Carreras Leukaemia Research Institute
51813716|NCT04653649|OTHER_GOV|collaborator|Instituto de Salud Carlos III
51813718|NCT04653493|INDUSTRY|lead|Sabz Biomedicals
51813719|NCT04653493|UNKNOWN|collaborator|Gene Therapy Research Center, Shariati Hospital, Tehran University of Medical Sciences, Iran
51813720|NCT04653493|UNKNOWN|collaborator|Research Institute for Oncology- Hematology and Cell Therapy (RIOHCT), Tehran University of Medical Sciences, Iran
51813793|NCT04650724|INDUSTRY|lead|PersonGen BioTherapeutics (Suzhou) Co., Ltd.
51813794|NCT04650724|OTHER|collaborator|Sir Run Run Shaw Hospital
51813888|NCT04637503|OTHER|lead|Shenzhen Geno-Immune Medical Institute
51813889|NCT04637503|OTHER_GOV|collaborator|Shenzhen Children's Hospital
51813915|NCT04637269|OTHER|lead|Xinqiao Hospital of Chongqing
51813916|NCT04637269|INDUSTRY|collaborator|Carbiogene Therapeutics Co. Ltd.
52071361|NCT04196413|OTHER|lead|Crystal Mackall, MD
52071362|NCT04196413|OTHER|collaborator|California Institute for Regenerative Medicine (CIRM)
52071363|NCT04196413|UNKNOWN|collaborator|CureSearch
52071364|NCT04196413|NIH|collaborator|National Institutes of Health (NIH)
51679145|NCT04390542|OTHER|lead|Case Comprehensive Cancer Center
51933042|NCT03666000|INDUSTRY|lead|Precision BioSciences, Inc.
51934229|NCT04185038|OTHER|lead|Seattle Children's Hospital
51934491|NCT02723942|OTHER|lead|Fuda Cancer Hospital, Guangzhou
51934498|NCT05015972|OTHER|lead|920th Hospital of Joint Logistics Support Force of People's Liberation Army of China
51934499|NCT05015972|INDUSTRY|collaborator|Nanjing Bioheng Biotech Co., Ltd.
51934525|NCT02715362|INDUSTRY|lead|Shanghai GeneChem Co., Ltd.
51934935|NCT02706782|INDUSTRY|lead|Shanghai GeneChem Co., Ltd.
51935285|NCT04154709|OTHER|lead|Kai Lin Xu; Jun Nian Zheng
51935286|NCT04154709|INDUSTRY|collaborator|Nanjing Bioheng Biotech Co., Ltd.
51935475|NCT05344664|OTHER|lead|Peking University
51937232|NCT04033302|OTHER|lead|Shenzhen Geno-Immune Medical Institute
