id|nct_id|outcome_type|title|description|time_frame|population|anticipated_posting_date|anticipated_posting_month_year|units|units_analyzed|dispersion_type|param_type
32989013|NCT02028455|Secondary|Number of Participants With Recrudescence or Development of Acute GVHD (Graft Versus Host Disease) Symptoms Post CAR T Infusion||Initial CAR T Infusion through Day 63 post infusion assessment (+/- 14 days)|Number of participants with a history of prior allogeneic HSCT (hematopoietic stem cell transplantation) who received CAR T infusion|||Participants|||Count of Participants
32989014|NCT02028455|Secondary|Number of Participants That Received Cetuximab Who Have T Cells Successfully Ablated|The efficacy of cetuximab to ablate the T cells will be measured by loss of detection of T cells and any associated toxicities as well as facilitating B cell recovery.|3 years|Number of subjects receiving cetuximab on study for ablation of CAR T cells|||Participants|||Count of Participants
33282390|NCT02706405|Primary|Count of Participants Who Experienced Adverse Events|Toxicity graded using National Cancer Institute Common Terminology Criteria for Adverse Events version 4.03.|28 days post last infusion of Durvalumab, up to 1 year||||Participants|||Count of Participants
33282391|NCT02706405|Primary|Dose Limiting Toxicity (DLT) Rates|Will be summarized based on the dose limiting toxicity evaluable analysis set. The target toxicity rate for the maximum tolerated dose is 30%. Outcome will be reported as a count of patients in each arm that experienced a DLT.|28 days post first infusion of Durvalumab (for participants in Group 1) or 28 days post infusion of JCAR (for participants in Group 2)||||Participants|||Count of Participants
33282392|NCT02706405|Primary|Highest Treatment Dose Administered on Study|Reporting outcome as the maximum durvalumab dose that we reached on the study. Patients were monitored for 28 days post infusion for dose limiting toxicities. The DLT rate was used to determine dose escalation. The study was terminated prior to reaching the maximum tolerated dose.|28 days||||mg|||Number
33282393|NCT02706405|Primary|Maximum JCAR014 Cmax by Flow Cytometry|Absolute CD4+ and CD8+ CAR-T cell counts were determined by multiplying the percentages of CD3+CD4+CD8-EGFRt+ and CD3+CD4-CD8+EGFRt+ events, respectively, in a viable CD45+ lymphocyte forward/side scatter gate by an absolute lymphocyte count performed on the same day. Excluding 1 patient in Group 2 Dose Level 5 who received an out-of-specification JCAR014 product.|Up to 12 months||||CD3+ CAR-T cells/μL||Full Range|Mean
33282394|NCT02706405|Primary|Area Under the Curve (AUC) of JCAR014 by Flow Cytometry|Absolute CD4+ and CD8+ CAR-T cell counts were determined by multiplying the percentages of CD3+CD4+CD8-EGFRt+ and CD3+CD4-CD8+EGFRt+ events, respectively, in a viable CD45+ lymphocyte forward/side scatter gate by an absolute lymphocyte count performed on the same day. Subjects had samples analyzed at approximately days 0, 3, 7, 10, 14, 21, and 28 after CAR-T cell infusion to generate the AUC from day 0 to 28. The areas under the curve of CAR T-cell counts by flow cytometry and qPCR between time points were calculated by using a trapezoidal rule computational algorithm. Excluding 1 patient in Group 2 Dose Level 5 who received an out-of-specification JCAR014 product.|Up to 28 days||||Days x CD3+ CAR-T cells/μL||Full Range|Mean
33282395|NCT02706405|Primary|Maximum JCAR014 Cmax in Blood by Quantitative Polymerase Chain Reaction (qPCR) Analysis|The number of copies of the CAR transgene/μg of DNA in the blood was determined by using quantitative polymerase chain reaction (qPCR) to detect the integrated Flap-EF1⍺ sequence, with a lower limit of detection of 10 transgene copies/μg of DNA. Excluding 1 patient in Group 2 Dose Level 5 who received an out-of-specification JCAR014 product.|Up to 12 months||||CAR transgene copies/μg DNA||Full Range|Mean
33282396|NCT02706405|Primary|AUC of JCAR014 Cells by qPCR Analysis|The number of copies of the CAR transgene/μg of DNA in the blood was determined by using quantitative polymerase chain reaction (qPCR) to detect the integrated Flap-EF1⍺ sequence, with a lower limit of detection of 10 transgene copies/μg of DNA. Subjects had samples analyzed at approximately days 0, 3, 7, 10, 14, 21, and 28 after CAR-T cell infusion to generate the AUC from day 0 to 28.The areas under the curve of CAR T-cell counts by flow cytometry and qPCR between time points were calculated by using a trapezoidal rule computational algorithm. Excluding 1 patient in Group 2 Dose Level 5 who received an out-of-specification JCAR014 product.|Up to 28 days||||CAR transgene copies/μg DNA x days||Full Range|Mean
33282397|NCT02706405|Primary|Time to Loss of JCAR014 Detection in Blood by qPCR Analysis|The number of copies of the CAR transgene/μg of DNA in the blood was determined by using quantitative polymerase chain reaction (qPCR) to detect the integrated Flap-EF1⍺ sequence, with a lower limit of detection of 10 transgene copies/μg of DNA. Excluding 1 patient in Group 2 Dose Level 5 who received an out-of-specification JCAR014 product.|Up to 12 months, +/- 30 days|Participants analyzed are the participants with documented loss of detection of JCAR014 in blood by qPCR during follow-up.|||days||Full Range|Mean
33282398|NCT02706405|Secondary|Rate of Complete Response (CR) by Investigator Assessment Using Lugano Criteria|This outcome is a count of participants who experienced a best response of complete response (CR) by investigator assessment using Lugano criteria. 1 patient in Group 1 Early Dose Level 2 could not be analyzed for the outcome because they expired before their first response assessment.|Up to 1 year||||Participants|||Count of Participants
33282399|NCT02706405|Secondary|Rate of Partial Response (PR) by Investigator Assessment Using Lugano Criteria|This outcome is a count of participants who experienced a best response of partial response (PR) by investigator assessment using Lugano criteria. 1 patient in Group 1 Early Dose Level 2 could not be analyzed for the outcome because they expired before their first response assessment.|Up to 1 year||||Participants|||Count of Participants
33282400|NCT02706405|Secondary|Objective Response Rate by Investigator Assessment Using Lugano Criteria|ORR, defined as a count of participant with a best response of either complete response or partial response. 1 patient in Group 1 Early Dose Level 2 could not be analyzed for the outcome because they expired before their first response assessment.|Up to 1 year||||Participants|||Count of Participants
33282401|NCT02706405|Secondary|Duration of Response|Duration of response will be an average amount of days from first response assessment until progression or death for treated patients. Total number analyzed will be the patients that progressed or died, excluding those that did not progress or die. 1 patient in Group 1 Early Dose Level 2 could not be analyzed for the outcome because they expired before their first response assessment.|From first response to progressive disease or death, assessed up to 1 year|Total number analyzed will be the patients that progressed or died, excluding those that did not progress or die. 1 patient in Group 1 Early Dose Level 2 could not be analyzed for the outcome because they expired before their first response assessment.|||days||Full Range|Mean
33282402|NCT02706405|Secondary|Progression Free Survival|Outcome will be reported as a count of those who did not progress and did not die while on study.|From date of first study treatment to progressive disease or death, assessed up to 1 year||||Participants|||Count of Participants
33282403|NCT02706405|Secondary|Overall Survival|Outcome will be reported as a count of participants who survived while on study. Survival was assessed up to 1 year.|From date of first study treatment to death, assessed up to 1 year||||Participants|||Count of Participants
33282404|NCT02706405|Other Pre-specified|B-cell Depletion in Circulation, Profile of Soluble Circulating Proteins Such as Cytokines and Chemokines, and Changes in the Level of Detectable Soluble PD-L1||Up to 12 months|||||||
33282405|NCT02706405|Other Pre-specified|Change in the Phenotype of Tumor Cells (e.g., Expression of PD-L1) and of the Tumor Microenvironment (e.g., Infiltration by Chimeric Antigen Receptor [CAR] T Cells)|Flow cytometry may be used in the blood, bone marrow, and cerebrospinal fluid (CSF) (if applicable).|Baseline up to 12 months|||||||
33282406|NCT02706405|Other Pre-specified|Phenotype and/or Genetic Profile of Endogenous Immune Cells and CAR T Cells|Flow cytometry may be used in the blood, bone marrow, and CSF (if applicable).|Up to 12 months|||||||
33282407|NCT02706405|Other Pre-specified|Cmax of Durvalumab in Serum||Up to 12 months|||||||
33282408|NCT02706405|Other Pre-specified|AUC of Durvalumab in Serum||Up to 12 months|||||||
33282409|NCT02706405|Other Pre-specified|Clearance of Durvalumab in Serum||Up to 12 months|||||||
33282410|NCT02706405|Other Pre-specified|Terminal Half-life of Durvalumab in Serum||Up to 12 months|||||||
33282411|NCT02706405|Other Pre-specified|Antibodies and Cellular Immune Responses to JCAR014|Cellular immune responses to JCAR014 will be considered in patients who have two consecutive negative assays for JCAR014 or who have recovered endogenous B cells. Cellular responses to JCAR014 will be evaluated by assessing reactivity of patient peripheral T cells to JCAR014. Peripheral blood will be collected for these studies.|Up to 12 months|||||||
33282412|NCT02706405|Other Pre-specified|Anti-drug Antibodies Directed Against Durvalumab|Will be assessed using a validated immunoassay in serum samples.|Up to 12 months|||||||
33282434|NCT02761915|Primary|To Evaluate the Feasibility of 1RG-CART Therapy in Patients With Relapsed or Refractory Neuroblastoma|Feasibility of 1RG-CART therapy assessed as the number of patients who commence T-cell processing and are subsequently evaluable for 1RG-CART engraftment at Day 14.|Day 14|All eligible patients enrolled for leukapheresis/venepuncture. Patients who were enrolled for leukapheresis/venepuncture in error (due to ineligibility or administrative error) were excluded.|||Participants|||Count of Participants
33282435|NCT02761915|Primary|Safety and Tolerability of 1RG-CART Therapy|Number of serious adverse events, non-serious adverse events and adverse events that are related to fludarabine, cyclophosphamide or 1RG-CART.|From the time of informed consent to leukapheresis until withdrawal from the trial or start of other anti-cancer therapy (a median time period of 132 days [range 68 to 301 days])|All eligible patients who received at least one dose of 1RG-CART, cyclophosphamide or fludarabine.|||Events|||Number
33282436|NCT02761915|Primary|To Determine Recommended Phase II Regimen by Assessing the Number of DLTs at Each Dose Level|Number of dose limiting toxicities (DLTs) at each dose level.|From the time of informed consent to leukapheresis until withdrawal from the trial or start of other anti-cancer therapy (a median time period of 132 days [range 68 to 301 days])|All eligible patients who received at least one dose of 1RG-CART, cyclophosphamide or fludarabine.|||DLT events|||Number
33282437|NCT02761915|Secondary|1RG-CART Counts in the Peripheral Blood|Number of patients with 1RG-CART levels in peripheral blood above the limit of quantification for the assay (10 cells/µL) by flow cytometry.|From Day 0 until end of trial (median 38.5 days, range 20 to 233 days)|All eligible patients who received 1RG-CART and provided at least one post-treatment blood sample taken on or after Day 14 for 1RG-CART analysis.|||Participants|||Count of Participants
33282438|NCT02761915|Secondary|Assessment of Tumour Response From Baseline (RECIST)|Assessment of best tumour response from baseline according to Response Evaluation Criteria in Solid Tumours (RECIST) v1.1.|Day 28, 2 months and 4 months|All eligible patients who received at least one dose of 1RG-CART and had a baseline assessment of disease and at least one repeat disease assessment measured according to Response Evaluation Criteria in Solid Tumours (RECIST) version 1.1.|||Participants|||Count of Participants
33282439|NCT02761915|Secondary|Assessment of Tumour Response From Baseline (irRC)|Assessment of best tumour response from baseline according to Immune Related Response Criteria (irRC).|Day 28, 2 months and 4 months|All eligible patients who received at least one dose of 1RG-CART and had a baseline assessment of disease and at least one repeat disease assessment measured according to Immune Related Response Criteria (irRC).|||Participants|||Count of Participants
33282440|NCT02761915|Secondary|Assessment of Tumour Response From Baseline (INRC)|Assessment of best tumour response from baseline according to International Neuroblastoma Response Criteria (INRC).|Day 28, 2 months and 4 months|All eligible patients who received at least one dose of 1RG-CART and had a baseline assessment of disease and at least one repeat disease assessment measured according to International Neuroblastoma Response Criteria (INRC).|||Participants|||Count of Participants
33282441|NCT02761915|Secondary|To Evaluate Anti-tumour Activity (Progression Free Survival)|Progression free survival (progression by RECIST criteria).|Up to 2 years|All eligible patients who received 1RG-CART and completed a baseline assessment of disease and at least one repeat disease assessment.|||Days||Full Range|Median
33282442|NCT02761915|Secondary|To Evaluate Anti-tumour Activity (Overall Survival)|Overall survival.|Up to 2 years|Patients who received 1RG-CART.|||Days||Full Range|Median
32891884|NCT01583686|Primary|Number of Patients With Objective Tumor Regression|Objective tumor regression response was assessed by the Response Evaluation Criteria in Solid Tumors (RECIST)v1.0. Complete Response (CR) is disappearance of all target lesions. Partial Response (PR) is at least a 30% decrease in the sum of the longest diameter (LD) of target lesions taking as reference the baseline sum LD. Stable Disease (SD) is neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for progressive disease taking as reference the smallest sum LD. Progressive Disease (PD) is at least a 20% increase in the sum of the longest diameter (LD) of target lesions taking as reference the smallest sum LD recorded since the treatment started or the appearance of one or more new lesions.|3.5 mos.||||Participants|||Count of Participants
32891885|NCT01583686|Primary|Number of Participants With Serious and Non-serious Adverse Events Assessed by the Common Terminology Criteria in Adverse Events (CTCAE v4.0)|Here is the count of participants with serious and non-serious adverse events assessed by the Common Terminology Criteria in Adverse Events (CTCAE v4.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Date treatment consent signed to date off study, approximately 6 months and 17 days for Group A01, 16 months and 13 days for Group A02, 13 months and 3 days for Group A03, 10 months and 16 days for Group A04, and 11 months and 26 days for Group A05.||||Participants|||Count of Participants
32994102|NCT02650999|Primary|Dose-limiting Toxicity|Percentage of subjects who discontinued therapy due to dose-limiting toxicity|3 years||||percentage of subjects||95% Confidence Interval|Number
32994103|NCT02650999|Secondary|Overall Response Rates|3 months Overall response rates|3 months||||percentage of subjects||95% Confidence Interval|Number
33291353|NCT01865617|Primary|Death Within 8 Weeks of the Study Cell Infusion Thought to be Definitely or Probably Related to Chimeric Antigen Receptor (CAR) T Cell Therapy|Death within 8 weeks of the study cell infusion thought to be definitely or probably related to CAR T cell therapy will be assessed.|Within 8 weeks of the study cell infusion||||Participants|||Count of Participants
33291354|NCT01865617|Primary|Dose Limiting Toxicities|Outcome will be reported as a count of participants that experienced a dose limiting toxicity on the study within 30 days post infusion.|30 days||||Participants|||Count of Participants
33291355|NCT01865617|Primary|Objective Response Rate of Complete Response and Partial Response|"Outcome will be reported as the count of patients per arm that experienced a complete response/partial response.~Complete response (CR): CR per Lugano criteria for nodal disease and minimal residual disease (MRD)-negative CR by flow cytometry for marrow disease.~Partial response (PR): > 50% reduction of the sum of the products of the perpendicular diameters of marker lesions, no progression of any existing lesions, and no new lesions."|Up to 1 year||||Participants|||Count of Participants
33291356|NCT01865617|Primary|Overall Survival|Outcome will be reported as a count of patients who survived up to 1 year post infusion.|Up to 1 year||||Participants|||Count of Participants
33291357|NCT01865617|Primary|Progression Free Survival|Outcome will be reported as the count of patients per arm that survived and whose disease did not progress in the 1 year timeframe post infusion.|Up to 1 year||||Participants|||Count of Participants
33291358|NCT01865617|Secondary|Duration of Persistence of Adoptively Transferred CD19 Chimeric Antigen Receptor (CAR)-T Cells|Duration of persistence of adoptively transferred CD19 chimeric antigen receptor (CAR)-T cells. Outcome will be reported for each of the 3 cohorts on the study. Outcome data is both count of patients alive after 1 year and count of patients with CAR-T cells detected at 1 year.|Up to day 365|Cohorts for this outcome are combined into disease type. The first row is a count of participants that were alive at the 1 year post infusion point within these cohorts. The second row is a count of participants who had CAR-T cells present at the 1 year follow up. This count has a lower number analyzed because it is out of the participants who had available CAR-T data at the 1 year followup timepoint.|||Participants|||Count of Participants
33291359|NCT01865617|Secondary|Migration of Adoptively Transferred CD19 Chimeric Antigen Receptor (CAR)-T Cells|Migration of adoptively transferred CD19 chimeric antigen receptor (CAR)-T cells. Outcome will be reported for each of the 3 cohorts on the study. Outcome data is both count of patients with bone marrow disease involvement and count of patients with CAR-T cells detected in bone marrow at restaging.|Up to 1 year|This outcome is split into arms by disease type. The first row is a count of participants out of those treated that had bone marrow disease involvement. The second row reports the count of participants with CAR-T cells detected in bone marrow at restaging. The total number analyzed for the count of participants with CAR-T cells detected in bone marrow at restaging is lower than the overall number analyzed because it is those who had available bone marrow data at the time of restaging.|||Participants|||Count of Participants
33296074|NCT01318317|Primary|Number of Participants With Dose Limiting Toxicities (DLTs)|"Number of DLTs per dose level are reported.~A DLT is defined as:~Any grade 3 or higher toxicity, with the exception of expected adverse events; and designated as definitely or probably related (level of attribution) to the infusion of the TCM cells; and occurring within 28 days of T-cell infusion; Any toxicity requiring the use of steroids to ablate side effects attributable to the infusion of the TCM cells, and occurring within 28 days of T-cell infusion; Any toxicity which is a lower grade, but that increases in grade to a grade 3 or higher as a direct result of the TCM, and occurring within 28 days of T-cell infusion; Any grade 2 or greater autoimmune toxicity, and occurring within 28 days of T-cell infusion."|Within 28 days of T-cell infusion||||Participants|||Count of Participants
33296075|NCT01318317|Primary|Woodchuck Hepatitis Virus Post-transcriptional Regulatory Element (WPRE) Detection Above Background|Peak expansion of WPRE is expressed in CAR copy number/mL of blood is summarized with median and range|28 days post T cell infusion|1 participant in dose level 1 did not have any whole blood samples to analyze. Overall median was reported due to small samples sizes in each dose level.|||CAR copy number/mL||Full Range|Median
33296076|NCT01318317|Primary|Number of Days of Quantifiable CD19 CAR Post T-cell Infusion|WPRE persistence of quantifiable CD19 CAR summarized with mean and standard deviation|28 days post T cell infusion|1 participant in dose level 1 did not have any whole blood samples to analyze. Overall mean was reported due to small samples sizes in each dose level.|||days||Standard Deviation|Mean
33296077|NCT01318317|Secondary|Failure to Engraft|Count of participants who fail to engraft post transplant.|Within 21 days post T-cell infusion||||Participants|||Count of Participants
33296078|NCT01318317|Secondary|Progression-free Survival at 1 Year|"Estimated using the Kaplan-Meier methods.~Progression is defined using the revised IWG response criteria, as any new lesion or increase by ≥50% of previously involved sites from nadir."|Up to 1 year||||percentage of participants||95% Confidence Interval|Number
33299900|NCT02659943|Primary|Percentage of Enrolled Participants Who Actually Get Treated|Percentage of participants enrolled who received treatment with Chimeric Antigen Receptor (CAR) T cells, Fludarabine and cyclophosphamide.|4-5 weeks after the first dose|Data is combined for this outcome measure because it is not possible to draw firm conclusions from the small number of participants in each dose level; the data drawn from the overall participant population through the course of the trial is much more meaningful and conclusive. 26/27 participants were analyzed because one participant was enrolled and cells were collected, then came off study because of ineligibility and re-enrolled much later and did receive cells at that time.|||percentage of participants|||Number
33299901|NCT02659943|Secondary|Number of Participants Who Had a Best Response of Complete Remission (CR), Partial Remission (PR), Stable Disease (SD), and Progressive Disease (PD)|Response was assessed by the Revised Response Criteria for Malignant Lymphoma, and Recommendations for Initial Evaluation, Staging, and Response Assessment of Hodgkin and Non-Hodgkin Lymphoma: The Lugano Classification. Complete Remission is complete disappearance of all detectable clinical evidence of disease. Partial Remission is ≥50% decrease in sum of the product of the diameters (SPD) of up to 6 of the largest dominant nodes or nodal masses. Progressive Disease is ≥50% increase from nadir in the sum of the products of at least two lymph nodes, or if a single node is involved at least a 50% increase in the product of the diameters of this one node. Stable Disease is neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for progressive disease.|30 days post Chimeric Antigen Receptor (CAR) T-cells up to 5 years|6 participants were enrolled but not treated and one participant was enrolled and cells were collected, then came off study because of ineligibility and re-enrolled much later and did receive cells at that time.|||Participants|||Count of Participants
33299902|NCT02659943|Secondary|Number of Participants With a Duration of Best Response in Months|Best Response defined as the first documentation of response was assessed by the Revised Response Criteria for Malignant Lymphoma, and Recommendations for Initial Evaluation, Staging, and Response Assessment of Hodgkin and Non-Hodgkin Lymphoma: The Lugano Classification.|Response duration is the time from first documentation of response, which is one month after cell infusion in all participants, until progression, initiation of off-study treatment or the last documentation on ongoing response, approx. one month -5 years.|No participants were analyzed in the participants enrolled but not treated Arm/Group, thus the table is not included.|||Participants|||Count of Participants
33299903|NCT02659943|Secondary|Number of Participants That Had Any Grade 2, 3, 4 and 5 Adverse Events|Adverse Events were assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0). Grade1 is mild, Grade 2 is moderate, Grade 3 is severe, Grade 4 is life-threatening or disabling, and Grade 5 is fatal.|Date treatment consent signed to date off study, approximately 49 months and 19 days.|6 participants were enrolled but not treated and one participant was enrolled and cells were collected, then came off study because of ineligibility and re-enrolled much later and did receive cells at that time.|||Adverse events|||Number
33299904|NCT02659943|Secondary|Median Peak Chimeric Antigen Receptor (CAR) T Cells Level for Participants Treated|A quantitative polymerase chain reaction (PCR) assay or a flow cytometry assay will be used to quantitate Chimeric Antigen Receptor (CAR) + T cells. The absolute number of CAR+ peripheral blood mononuclear cells (PBMC) will be estimated by multiplying the percentage of CAR+ PBMC determined by PCR by the absolute number of lymphocytes plus monocytes per microliter of blood.|All post-infusion time-points up to at least 2 months after infusion, and CAR+ T cell analysis will continue until the CAR+ T cell level drops to undetectable levels unless a stable low level of CAR+ T cells is present at more than 3 years after infusion.|6 participants were enrolled but not treated and one participant was enrolled and cells were collected, then came off study because of ineligibility and re-enrolled much later and did receive cells at that time.|||CAR+cell/microliter of blood||Full Range|Median
33299905|NCT02659943|Secondary|Number of Participants Who Had a Second or Third Infusion of Chimeric Antigen Receptor (CAR)+ T Cells|Number of participants who had a second or third Infusion Chimeric Antigen Receptor (CAR)+ T cells. Participants were eligible for a subsequent CAR T-cell infusion if the response at one month after CAR T-cell infusion was partial remission (PR) or stable disease (SD). Participants could also receive a subsequent CAR T-cell infusion if the response was complete remission (CR) but the malignancy later relapsed. CR, PR, and SD was assessed by the Revised Response Criteria for Malignant Lymphoma, and Recommendations for Initial Evaluation, Staging, and Response Assessment of Hodgkin and Non-Hodgkin Lymphoma: The Lugano Classification. Complete Remission is complete disappearance of all detectable clinical evidence of disease. Partial Remission is ≥50% decrease in sum of the product of the diameters (SPD) of up to 6 of the largest dominant nodes or nodal masses. Stable Disease is neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for progressive disease.|Participants could receive subsequent cell infusions any time 1 month after CAR T-cell infusion until 5 years after cell infusion.|6 participants were enrolled but not treated and one participant was enrolled and cells were collected, then came off study because of ineligibility and re-enrolled much later and did receive cells at that time.|||Participants|||Count of Participants
33299906|NCT02659943|Secondary|Number of Participants Who Had Anti-Lymphoma Activity|Depending on the type of disease, we use PET/CT imaging, tumor biopsies as well as bone marrow biopsies using immunohistochemistry and flow cytometry.|14 days up to 5 years post cell infusion.|6 participants were enrolled but not treated and one participant was enrolled and cells were collected, then came off study because of ineligibility and re-enrolled much later and did receive cells at that time.|||Participants|||Count of Participants
33299907|NCT02659943|Secondary|Number of Participants With Evidence of Immunogenicity of the Chimeric Antigen Receptor (CAR) T-cell Product|Enzyme-linked spot (ELISPOT) assays were performed to look for anti-CAR T-cell responses.|9 days to 6 weeks after CAR T-cell infusion|6 participants were enrolled but not treated and one participant was enrolled and cells were collected, then came off study because of ineligibility and re-enrolled much later and did receive cells at that time.|||Participants|||Count of Participants
