id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
30132772|NCT00924326|EG002|serious|Total, serious adverse events|2|2|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132773|NCT00924326|EG002|other|Total, other adverse events|2|2|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132774|NCT00924326|EG002|deaths|Total, all-cause mortality|0|2|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132775|NCT00924326|EG003|serious|Total, serious adverse events|3|5|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132776|NCT00924326|EG003|other|Total, other adverse events|5|5|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132777|NCT00924326|EG003|deaths|Total, all-cause mortality|1|5|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132778|NCT00924326|EG004|serious|Total, serious adverse events|2|6|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132779|NCT00924326|EG004|other|Total, other adverse events|6|6|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132780|NCT00924326|EG004|deaths|Total, all-cause mortality|0|6|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132781|NCT00924326|EG005|serious|Total, serious adverse events|2|7|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132782|NCT00924326|EG005|other|Total, other adverse events|7|7|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132783|NCT00924326|EG005|deaths|Total, all-cause mortality|0|7|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132784|NCT00924326|EG006|serious|Total, serious adverse events|7|10|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132785|NCT00924326|EG006|other|Total, other adverse events|10|10|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132786|NCT00924326|EG006|deaths|Total, all-cause mortality|0|10|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132787|NCT00924326|EG007|serious|Total, serious adverse events|1|1|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132788|NCT00924326|EG007|other|Total, other adverse events|1|1|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132789|NCT00924326|EG007|deaths|Total, all-cause mortality|0|1|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132790|NCT00924326|EG008|serious|Total, serious adverse events|2|2|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132791|NCT00924326|EG008|other|Total, other adverse events|2|2|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132792|NCT00924326|EG008|deaths|Total, all-cause mortality|0|2|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132793|NCT00924326|EG009|serious|Total, serious adverse events|2|2|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132794|NCT00924326|EG009|other|Total, other adverse events|2|2|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132795|NCT00924326|EG009|deaths|Total, all-cause mortality|0|2|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30137578|NCT03289455|EG000|serious|Total, serious adverse events|1|4|2023-09-03 19:39:53.40286|2023-09-03 19:39:53.40286
30137579|NCT03289455|EG000|other|Total, other adverse events|4|4|2023-09-03 19:39:53.40286|2023-09-03 19:39:53.40286
30137580|NCT03289455|EG000|deaths|Total, all-cause mortality|3|4|2023-09-03 19:39:53.40286|2023-09-03 19:39:53.40286
30137581|NCT03289455|EG001|serious|Total, serious adverse events|2|5|2023-09-03 19:39:53.40286|2023-09-03 19:39:53.40286
30137582|NCT03289455|EG001|other|Total, other adverse events|5|5|2023-09-03 19:39:53.40286|2023-09-03 19:39:53.40286
30137583|NCT03289455|EG001|deaths|Total, all-cause mortality|3|5|2023-09-03 19:39:53.40286|2023-09-03 19:39:53.40286
30137584|NCT03289455|EG002|serious|Total, serious adverse events|3|6|2023-09-03 19:39:53.40286|2023-09-03 19:39:53.40286
30137585|NCT03289455|EG002|other|Total, other adverse events|6|6|2023-09-03 19:39:53.40286|2023-09-03 19:39:53.40286
30137586|NCT03289455|EG002|deaths|Total, all-cause mortality|3|6|2023-09-03 19:39:53.40286|2023-09-03 19:39:53.40286
30150055|NCT04097301|EG000|serious|Total, serious adverse events|2|2|2023-09-03 22:53:48.211743|2023-09-03 22:53:48.211743
30150056|NCT04097301|EG000|other|Total, other adverse events|2|2|2023-09-03 22:53:48.211743|2023-09-03 22:53:48.211743
30150057|NCT04097301|EG000|deaths|Total, all-cause mortality|1|2|2023-09-03 22:53:48.211743|2023-09-03 22:53:48.211743
30154642|NCT03318861|EG000|serious|Total, serious adverse events|0|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154643|NCT03318861|EG000|other|Total, other adverse events|3|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154644|NCT03318861|EG000|deaths|Total, all-cause mortality|1|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154645|NCT03318861|EG001|serious|Total, serious adverse events|0|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154646|NCT03318861|EG001|other|Total, other adverse events|3|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154647|NCT03318861|EG001|deaths|Total, all-cause mortality|2|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154648|NCT03318861|EG002|serious|Total, serious adverse events|1|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154649|NCT03318861|EG002|other|Total, other adverse events|3|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154650|NCT03318861|EG002|deaths|Total, all-cause mortality|2|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154651|NCT03318861|EG003|serious|Total, serious adverse events|0|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154652|NCT03318861|EG003|other|Total, other adverse events|3|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154653|NCT03318861|EG003|deaths|Total, all-cause mortality|1|3|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154654|NCT03318861|EG004|serious|Total, serious adverse events|0|2|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154655|NCT03318861|EG004|other|Total, other adverse events|2|2|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30154656|NCT03318861|EG004|deaths|Total, all-cause mortality|1|2|2023-09-03 23:40:16.139224|2023-09-03 23:40:16.139224
30217903|NCT02348216|EG000|serious|Total, serious adverse events|5|7|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217904|NCT02348216|EG000|other|Total, other adverse events|7|7|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217905|NCT02348216|EG000|deaths|Total, all-cause mortality|5|8|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217906|NCT02348216|EG001|serious|Total, serious adverse events|41|77|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217907|NCT02348216|EG001|other|Total, other adverse events|77|77|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217908|NCT02348216|EG001|deaths|Total, all-cause mortality|31|81|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217909|NCT02348216|EG002|serious|Total, serious adverse events|11|24|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217910|NCT02348216|EG002|other|Total, other adverse events|23|24|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217911|NCT02348216|EG002|deaths|Total, all-cause mortality|7|30|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217912|NCT02348216|EG003|serious|Total, serious adverse events|24|38|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217913|NCT02348216|EG003|other|Total, other adverse events|38|38|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217914|NCT02348216|EG003|deaths|Total, all-cause mortality|22|42|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217915|NCT02348216|EG004|serious|Total, serious adverse events|20|41|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217916|NCT02348216|EG004|other|Total, other adverse events|41|41|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217917|NCT02348216|EG004|deaths|Total, all-cause mortality|14|46|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217918|NCT02348216|EG005|serious|Total, serious adverse events|26|50|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217919|NCT02348216|EG005|other|Total, other adverse events|50|50|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217920|NCT02348216|EG005|deaths|Total, all-cause mortality|28|58|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217921|NCT02348216|EG006|serious|Total, serious adverse events|19|40|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217922|NCT02348216|EG006|other|Total, other adverse events|40|40|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217923|NCT02348216|EG006|deaths|Total, all-cause mortality|8|42|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217924|NCT02348216|EG007|serious|Total, serious adverse events|1|1|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217925|NCT02348216|EG007|other|Total, other adverse events|1|1|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217926|NCT02348216|EG007|deaths|Total, all-cause mortality|0|1|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217927|NCT02348216|EG008|serious|Total, serious adverse events|4|8|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217928|NCT02348216|EG008|other|Total, other adverse events|8|8|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217929|NCT02348216|EG008|deaths|Total, all-cause mortality|0|8|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217930|NCT02348216|EG009|serious|Total, serious adverse events|0|1|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217931|NCT02348216|EG009|other|Total, other adverse events|1|1|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217932|NCT02348216|EG009|deaths|Total, all-cause mortality|0|1|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217933|NCT02348216|EG010|serious|Total, serious adverse events|1|2|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217934|NCT02348216|EG010|other|Total, other adverse events|2|2|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217935|NCT02348216|EG010|deaths|Total, all-cause mortality|0|2|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217936|NCT02348216|EG011|serious|Total, serious adverse events|0|1|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217937|NCT02348216|EG011|other|Total, other adverse events|1|1|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217938|NCT02348216|EG011|deaths|Total, all-cause mortality|0|1|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217939|NCT02348216|EG012|serious|Total, serious adverse events|1|2|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217940|NCT02348216|EG012|other|Total, other adverse events|2|2|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217941|NCT02348216|EG012|deaths|Total, all-cause mortality|0|2|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217942|NCT02348216|EG013|serious|Total, serious adverse events|0|0|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217943|NCT02348216|EG013|other|Total, other adverse events|0|0|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30217944|NCT02348216|EG013|deaths|Total, all-cause mortality|0|0|2023-09-05 01:04:57.537438|2023-09-05 01:04:57.537438
30228784|NCT01454596|EG000|serious|Total, serious adverse events|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228785|NCT01454596|EG000|other|Total, other adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228786|NCT01454596|EG000|deaths|Total, all-cause mortality|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228787|NCT01454596|EG001|serious|Total, serious adverse events|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228788|NCT01454596|EG001|other|Total, other adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228789|NCT01454596|EG001|deaths|Total, all-cause mortality|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228790|NCT01454596|EG002|serious|Total, serious adverse events|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228791|NCT01454596|EG002|other|Total, other adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228792|NCT01454596|EG002|deaths|Total, all-cause mortality|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228793|NCT01454596|EG003|serious|Total, serious adverse events|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228794|NCT01454596|EG003|other|Total, other adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228795|NCT01454596|EG003|deaths|Total, all-cause mortality|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228796|NCT01454596|EG004|serious|Total, serious adverse events|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228797|NCT01454596|EG004|other|Total, other adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228798|NCT01454596|EG004|deaths|Total, all-cause mortality|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228799|NCT01454596|EG005|serious|Total, serious adverse events|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228800|NCT01454596|EG005|other|Total, other adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228801|NCT01454596|EG005|deaths|Total, all-cause mortality|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228802|NCT01454596|EG006|serious|Total, serious adverse events|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228803|NCT01454596|EG006|other|Total, other adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228804|NCT01454596|EG006|deaths|Total, all-cause mortality|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228805|NCT01454596|EG007|serious|Total, serious adverse events|0|3|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228806|NCT01454596|EG007|other|Total, other adverse events|3|3|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228807|NCT01454596|EG007|deaths|Total, all-cause mortality|0|3|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228808|NCT01454596|EG008|serious|Total, serious adverse events|0|3|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228809|NCT01454596|EG008|other|Total, other adverse events|3|3|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228810|NCT01454596|EG008|deaths|Total, all-cause mortality|0|3|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228811|NCT01454596|EG009|serious|Total, serious adverse events|0|3|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228812|NCT01454596|EG009|other|Total, other adverse events|3|3|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228813|NCT01454596|EG009|deaths|Total, all-cause mortality|0|3|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228814|NCT01454596|EG010|serious|Total, serious adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228815|NCT01454596|EG010|other|Total, other adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228816|NCT01454596|EG010|deaths|Total, all-cause mortality|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228817|NCT01454596|EG011|serious|Total, serious adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228818|NCT01454596|EG011|other|Total, other adverse events|1|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30228819|NCT01454596|EG011|deaths|Total, all-cause mortality|0|1|2023-09-05 02:04:43.150165|2023-09-05 02:04:43.150165
30229069|NCT02215967|EG000|serious|Total, serious adverse events|1|3|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229070|NCT02215967|EG000|other|Total, other adverse events|3|3|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229071|NCT02215967|EG000|deaths|Total, all-cause mortality|0|3|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229072|NCT02215967|EG001|serious|Total, serious adverse events|0|3|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229073|NCT02215967|EG001|other|Total, other adverse events|3|3|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229074|NCT02215967|EG001|deaths|Total, all-cause mortality|0|3|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229075|NCT02215967|EG002|serious|Total, serious adverse events|1|4|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229076|NCT02215967|EG002|other|Total, other adverse events|4|4|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229077|NCT02215967|EG002|deaths|Total, all-cause mortality|0|4|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229078|NCT02215967|EG003|serious|Total, serious adverse events|11|16|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229079|NCT02215967|EG003|other|Total, other adverse events|16|16|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
30229080|NCT02215967|EG003|deaths|Total, all-cause mortality|0|16|2023-09-05 02:05:48.196427|2023-09-05 02:05:48.196427
29906089|NCT03602612|EG000|serious|Total, serious adverse events|6|6|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906090|NCT03602612|EG000|other|Total, other adverse events|6|6|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906091|NCT03602612|EG000|deaths|Total, all-cause mortality|1|6|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906092|NCT03602612|EG001|serious|Total, serious adverse events|1|3|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906093|NCT03602612|EG001|other|Total, other adverse events|3|3|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906094|NCT03602612|EG001|deaths|Total, all-cause mortality|0|3|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906095|NCT03602612|EG002|serious|Total, serious adverse events|2|2|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906096|NCT03602612|EG002|other|Total, other adverse events|2|2|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906097|NCT03602612|EG002|deaths|Total, all-cause mortality|0|2|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906098|NCT03602612|EG003|serious|Total, serious adverse events|2|3|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906099|NCT03602612|EG003|other|Total, other adverse events|3|3|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906100|NCT03602612|EG003|deaths|Total, all-cause mortality|0|3|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906101|NCT03602612|EG004|serious|Total, serious adverse events|3|3|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906102|NCT03602612|EG004|other|Total, other adverse events|3|3|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906103|NCT03602612|EG004|deaths|Total, all-cause mortality|0|3|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906104|NCT03602612|EG005|serious|Total, serious adverse events|6|8|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906105|NCT03602612|EG005|other|Total, other adverse events|8|8|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906106|NCT03602612|EG005|deaths|Total, all-cause mortality|0|8|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906107|NCT03602612|EG006|serious|Total, serious adverse events|1|1|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906108|NCT03602612|EG006|other|Total, other adverse events|1|1|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
29906109|NCT03602612|EG006|deaths|Total, all-cause mortality|0|1|2023-08-31 19:57:13.504508|2023-08-31 19:57:13.504508
30054151|NCT04160195|EG000|serious|Total, serious adverse events|1|1|2023-09-02 20:50:08.014853|2023-09-02 20:50:08.014853
30054152|NCT04160195|EG000|other|Total, other adverse events|1|1|2023-09-02 20:50:08.014853|2023-09-02 20:50:08.014853
30054153|NCT04160195|EG000|deaths|Total, all-cause mortality|0|1|2023-09-02 20:50:08.014853|2023-09-02 20:50:08.014853
30054154|NCT04160195|EG001|serious|Total, serious adverse events|0|0|2023-09-02 20:50:08.014853|2023-09-02 20:50:08.014853
30054155|NCT04160195|EG001|other|Total, other adverse events|0|0|2023-09-02 20:50:08.014853|2023-09-02 20:50:08.014853
30054156|NCT04160195|EG001|deaths|Total, all-cause mortality|0|0|2023-09-02 20:50:08.014853|2023-09-02 20:50:08.014853
30169669|NCT02601313|EG000|serious|Total, serious adverse events|8|10|2023-09-04 08:31:20.066015|2023-09-04 08:31:20.066015
30169670|NCT02601313|EG000|other|Total, other adverse events|10|10|2023-09-04 08:31:20.066015|2023-09-04 08:31:20.066015
30169671|NCT02601313|EG000|deaths|Total, all-cause mortality|2|10|2023-09-04 08:31:20.066015|2023-09-04 08:31:20.066015
30169672|NCT02601313|EG001|serious|Total, serious adverse events|46|68|2023-09-04 08:31:20.066015|2023-09-04 08:31:20.066015
30169673|NCT02601313|EG001|other|Total, other adverse events|68|68|2023-09-04 08:31:20.066015|2023-09-04 08:31:20.066015
30169674|NCT02601313|EG001|deaths|Total, all-cause mortality|16|68|2023-09-04 08:31:20.066015|2023-09-04 08:31:20.066015
30169675|NCT02601313|EG002|serious|Total, serious adverse events|8|14|2023-09-04 08:31:20.066015|2023-09-04 08:31:20.066015
30169676|NCT02601313|EG002|other|Total, other adverse events|14|14|2023-09-04 08:31:20.066015|2023-09-04 08:31:20.066015
30169677|NCT02601313|EG002|deaths|Total, all-cause mortality|4|14|2023-09-04 08:31:20.066015|2023-09-04 08:31:20.066015
30076975|NCT02664363|EG000|serious|Total, serious adverse events|1|3|2023-09-03 02:36:41.541143|2023-09-03 02:36:41.541143
30076976|NCT02664363|EG000|other|Total, other adverse events|3|3|2023-09-03 02:36:41.541143|2023-09-03 02:36:41.541143
30076977|NCT02664363|EG000|deaths|Total, all-cause mortality|3|3|2023-09-03 02:36:41.541143|2023-09-03 02:36:41.541143
30077431|NCT03958656|EG000|serious|Total, serious adverse events|0|3|2023-09-03 02:40:13.677862|2023-09-03 02:40:13.677862
