id|nct_id|result_group_id|ctgov_group_code|classification|category|title|description|units|param_type|param_value|param_value_num|dispersion_type|dispersion_value|dispersion_value_num|dispersion_lower_limit|dispersion_upper_limit|explanation_of_na|number_analyzed|number_analyzed_units|population_description|calculate_percentage
135929042|NCT02348216|59613218|BG006||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||40|||No
135929043|NCT02348216|59613219|BG007||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|1|1.0|||||||277|||No
135929044|NCT02348216|59613212|BG000|Race|Asian|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||7|||No
135929045|NCT02348216|59613213|BG001|Race|Asian|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||77|||No
135929046|NCT02348216|59613214|BG002|Race|Asian|Race/Ethnicity, Customized||Participants|Count of Participants|3|3.0|||||||24|||No
135929047|NCT02348216|59613215|BG003|Race|Asian|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||38|||No
135929048|NCT02348216|59613216|BG004|Race|Asian|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||41|||No
135929049|NCT02348216|59613217|BG005|Race|Asian|Race/Ethnicity, Customized||Participants|Count of Participants|5|5.0|||||||50|||No
135929050|NCT02348216|59613218|BG006|Race|Asian|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||40|||No
135929051|NCT02348216|59613219|BG007|Race|Asian|Race/Ethnicity, Customized||Participants|Count of Participants|10|10.0|||||||277|||No
135929052|NCT02348216|59613212|BG000|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||7|||No
135929053|NCT02348216|59613213|BG001|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|3|3.0|||||||77|||No
135929054|NCT02348216|59613214|BG002|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||24|||No
135929055|NCT02348216|59613215|BG003|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|3|3.0|||||||38|||No
135929056|NCT02348216|59613216|BG004|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||41|||No
135929057|NCT02348216|59613217|BG005|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|2|2.0|||||||50|||No
135929058|NCT02348216|59613218|BG006|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||40|||No
135929059|NCT02348216|59613219|BG007|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|11|11.0|||||||277|||No
135929060|NCT02348216|59613212|BG000|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|6|6.0|||||||7|||No
135929061|NCT02348216|59613213|BG001|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|71|71.0|||||||77|||No
135929062|NCT02348216|59613214|BG002|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|19|19.0|||||||24|||No
135929063|NCT02348216|59613215|BG003|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|31|31.0|||||||38|||No
135929064|NCT02348216|59613216|BG004|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|33|33.0|||||||41|||No
135929065|NCT02348216|59613217|BG005|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|33|33.0|||||||50|||No
135929066|NCT02348216|59613218|BG006|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|34|34.0|||||||40|||No
135929067|NCT02348216|59613219|BG007|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|227|227.0|||||||277|||No
135929068|NCT02348216|59613212|BG000|Race|Others|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||7|||No
135929069|NCT02348216|59613213|BG001|Race|Others|Race/Ethnicity, Customized||Participants|Count of Participants|2|2.0|||||||77|||No
135929070|NCT02348216|59613214|BG002|Race|Others|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||24|||No
135929071|NCT02348216|59613215|BG003|Race|Others|Race/Ethnicity, Customized||Participants|Count of Participants|3|3.0|||||||38|||No
135929072|NCT02348216|59613216|BG004|Race|Others|Race/Ethnicity, Customized||Participants|Count of Participants|7|7.0|||||||41|||No
135929073|NCT02348216|59613217|BG005|Race|Others|Race/Ethnicity, Customized||Participants|Count of Participants|10|10.0|||||||50|||No
135929074|NCT02348216|59613218|BG006|Race|Others|Race/Ethnicity, Customized||Participants|Count of Participants|5|5.0|||||||40|||No
135929075|NCT02348216|59613219|BG007|Race|Others|Race/Ethnicity, Customized||Participants|Count of Participants|28|28.0|||||||277|||No
135929076|NCT02348216|59613212|BG000|Race|Unknown or Not Reported|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||7|||No
135929077|NCT02348216|59613213|BG001|Race|Unknown or Not Reported|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||77|||No
135929078|NCT02348216|59613214|BG002|Race|Unknown or Not Reported|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||24|||No
135929079|NCT02348216|59613215|BG003|Race|Unknown or Not Reported|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||38|||No
135929080|NCT02348216|59613216|BG004|Race|Unknown or Not Reported|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||41|||No
135929081|NCT02348216|59613217|BG005|Race|Unknown or Not Reported|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||50|||No
135929082|NCT02348216|59613218|BG006|Race|Unknown or Not Reported|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||40|||No
135929083|NCT02348216|59613219|BG007|Race|Unknown or Not Reported|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||277|||No
135929084|NCT02348216|59613212|BG000|Canada||Region of Enrollment||participants|Number|0|0.0|||||||7|||
135929085|NCT02348216|59613213|BG001|Canada||Region of Enrollment||participants|Number|0|0.0|||||||77|||
135929086|NCT02348216|59613214|BG002|Canada||Region of Enrollment||participants|Number|0|0.0|||||||24|||
135929087|NCT02348216|59613215|BG003|Canada||Region of Enrollment||participants|Number|1|1.0|||||||38|||
135929088|NCT02348216|59613216|BG004|Canada||Region of Enrollment||participants|Number|7|7.0|||||||41|||
135929089|NCT02348216|59613217|BG005|Canada||Region of Enrollment||participants|Number|15|15.0|||||||50|||
135929090|NCT02348216|59613218|BG006|Canada||Region of Enrollment||participants|Number|0|0.0|||||||40|||
135929091|NCT02348216|59613219|BG007|Canada||Region of Enrollment||participants|Number|23|23.0|||||||277|||
135929092|NCT02348216|59613212|BG000|France||Region of Enrollment||participants|Number|0|0.0|||||||7|||
135929093|NCT02348216|59613213|BG001|France||Region of Enrollment||participants|Number|0|0.0|||||||77|||
135929094|NCT02348216|59613214|BG002|France||Region of Enrollment||participants|Number|0|0.0|||||||24|||
135929095|NCT02348216|59613215|BG003|France||Region of Enrollment||participants|Number|0|0.0|||||||38|||
135929096|NCT02348216|59613216|BG004|France||Region of Enrollment||participants|Number|9|9.0|||||||41|||
135929097|NCT02348216|59613217|BG005|France||Region of Enrollment||participants|Number|13|13.0|||||||50|||
135929098|NCT02348216|59613218|BG006|France||Region of Enrollment||participants|Number|8|8.0|||||||40|||
135929099|NCT02348216|59613219|BG007|France||Region of Enrollment||participants|Number|30|30.0|||||||277|||
135929100|NCT02348216|59613212|BG000|Germany||Region of Enrollment||participants|Number|0|0.0|||||||7|||
135929101|NCT02348216|59613213|BG001|Germany||Region of Enrollment||participants|Number|0|0.0|||||||77|||
135929102|NCT02348216|59613214|BG002|Germany||Region of Enrollment||participants|Number|0|0.0|||||||24|||
135929103|NCT02348216|59613215|BG003|Germany||Region of Enrollment||participants|Number|0|0.0|||||||38|||
135929104|NCT02348216|59613216|BG004|Germany||Region of Enrollment||participants|Number|12|12.0|||||||41|||
135929105|NCT02348216|59613217|BG005|Germany||Region of Enrollment||participants|Number|9|9.0|||||||50|||
135929106|NCT02348216|59613218|BG006|Germany||Region of Enrollment||participants|Number|0|0.0|||||||40|||
135929107|NCT02348216|59613219|BG007|Germany||Region of Enrollment||participants|Number|21|21.0|||||||277|||
135929108|NCT02348216|59613212|BG000|Israel||Region of Enrollment||participants|Number|0|0.0|||||||7|||
135929109|NCT02348216|59613213|BG001|Israel||Region of Enrollment||participants|Number|0|0.0|||||||77|||
135929110|NCT02348216|59613214|BG002|Israel||Region of Enrollment||participants|Number|1|1.0|||||||24|||
135929111|NCT02348216|59613215|BG003|Israel||Region of Enrollment||participants|Number|2|2.0|||||||38|||
135929112|NCT02348216|59613216|BG004|Israel||Region of Enrollment||participants|Number|2|2.0|||||||41|||
135929113|NCT02348216|59613217|BG005|Israel||Region of Enrollment||participants|Number|0|0.0|||||||50|||
135929114|NCT02348216|59613218|BG006|Israel||Region of Enrollment||participants|Number|1|1.0|||||||40|||
135929115|NCT02348216|59613219|BG007|Israel||Region of Enrollment||participants|Number|6|6.0|||||||277|||
135929116|NCT02348216|59613212|BG000|Netherlands||Region of Enrollment||participants|Number|0|0.0|||||||7|||
135929117|NCT02348216|59613213|BG001|Netherlands||Region of Enrollment||participants|Number|0|0.0|||||||77|||
135929118|NCT02348216|59613214|BG002|Netherlands||Region of Enrollment||participants|Number|0|0.0|||||||24|||
135929119|NCT02348216|59613215|BG003|Netherlands||Region of Enrollment||participants|Number|5|5.0|||||||38|||
135929120|NCT02348216|59613216|BG004|Netherlands||Region of Enrollment||participants|Number|11|11.0|||||||41|||
135929121|NCT02348216|59613217|BG005|Netherlands||Region of Enrollment||participants|Number|13|13.0|||||||50|||
135929122|NCT02348216|59613218|BG006|Netherlands||Region of Enrollment||participants|Number|6|6.0|||||||40|||
135929123|NCT02348216|59613219|BG007|Netherlands||Region of Enrollment||participants|Number|35|35.0|||||||277|||
135929124|NCT02348216|59613212|BG000|United States||Region of Enrollment||participants|Number|7|7.0|||||||7|||
135929125|NCT02348216|59613213|BG001|United States||Region of Enrollment||participants|Number|77|77.0|||||||77|||
135929126|NCT02348216|59613214|BG002|United States||Region of Enrollment||participants|Number|23|23.0|||||||24|||
135929127|NCT02348216|59613215|BG003|United States||Region of Enrollment||participants|Number|30|30.0|||||||38|||
135929128|NCT02348216|59613216|BG004|United States||Region of Enrollment||participants|Number|0|0.0|||||||41|||
135929129|NCT02348216|59613217|BG005|United States||Region of Enrollment||participants|Number|0|0.0|||||||50|||
135929130|NCT02348216|59613218|BG006|United States||Region of Enrollment||participants|Number|25|25.0|||||||40|||
135929131|NCT02348216|59613219|BG007|United States||Region of Enrollment||participants|Number|162|162.0|||||||277|||
135570543|NCT04097301|59508040|BG000||<=18 years|Age, Categorical||Participants|Count of Participants|0|0.0|||||||8|||
135570544|NCT04097301|59508040|BG000||Between 18 and 65 years|Age, Categorical||Participants|Count of Participants|7|7.0|||||||8|||
135570545|NCT04097301|59508040|BG000||>=65 years|Age, Categorical||Participants|Count of Participants|1|1.0|||||||8|||
135570546|NCT04097301|59508040|BG000|||Age, Continuous||years|Median|56|56.0|Full Range|||41.0|66.0||8|||
135570547|NCT04097301|59508040|BG000||Female|Sex: Female, Male||Participants|Count of Participants|2|2.0|||||||8|||
135570548|NCT04097301|59508040|BG000||Male|Sex: Female, Male||Participants|Count of Participants|6|6.0|||||||8|||
135570549|NCT04097301|59508040|BG000||American Indian or Alaska Native|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||8|||
135570550|NCT04097301|59508040|BG000||Asian|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||8|||
135570551|NCT04097301|59508040|BG000||Native Hawaiian or Other Pacific Islander|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||8|||
135570552|NCT04097301|59508040|BG000||Black or African American|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||8|||
135570553|NCT04097301|59508040|BG000||White|Race (NIH/OMB)||Participants|Count of Participants|8|8.0|||||||8|||
135570554|NCT04097301|59508040|BG000||More than one race|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||8|||
135570555|NCT04097301|59508040|BG000||Unknown or Not Reported|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||8|||
135570556|NCT04097301|59508040|BG000|Italy||Region of Enrollment||participants|Number|5|5.0|||||||8|||
135570557|NCT04097301|59508040|BG000|Czechia||Region of Enrollment||participants|Number|3|3.0|||||||8|||
135570558|NCT04097301|59508040|BG000|||Confirmed diagnosis of MM||Participants|Count of Participants|8|8.0|||||||8|||
135570559|NCT04097301|59508040|BG000|||Patients with relapse or refractory disease||Participants|Count of Participants|8|8.0|||||||8|||
135595541|NCT03318861|59514955|BG000|||Age, Continuous||years|Mean|52.3|52.3|Full Range|||50.0|56.0||3|||
135595542|NCT03318861|59514956|BG001|||Age, Continuous||years|Mean|59.8|59.8|Full Range|||49.0|71.0||4|||
135595543|NCT03318861|59514957|BG002|||Age, Continuous||years|Mean|59.3|59.3|Full Range|||49.0|67.0||3|||
135595544|NCT03318861|59514958|BG003|||Age, Continuous||years|Mean|54.3|54.3|Full Range|||47.0|58.0||4|||
135595545|NCT03318861|59514959|BG004|||Age, Continuous||years|Mean|56.3|56.3|Full Range|||47.0|65.0||3|||
135595546|NCT03318861|59514960|BG005|||Age, Continuous||years|Mean|56.5|56.5|Full Range|||47.0|71.0||17|||
135595547|NCT03318861|59514955|BG000||Female|Sex: Female, Male||Participants|Count of Participants|0|0.0|||||||3|||No
135595548|NCT03318861|59514956|BG001||Female|Sex: Female, Male||Participants|Count of Participants|1|1.0|||||||4|||No
135595549|NCT03318861|59514957|BG002||Female|Sex: Female, Male||Participants|Count of Participants|2|2.0|||||||3|||No
135595550|NCT03318861|59514958|BG003||Female|Sex: Female, Male||Participants|Count of Participants|2|2.0|||||||4|||No
135595551|NCT03318861|59514959|BG004||Female|Sex: Female, Male||Participants|Count of Participants|2|2.0|||||||3|||No
135595552|NCT03318861|59514960|BG005||Female|Sex: Female, Male||Participants|Count of Participants|7|7.0|||||||17|||No
135595553|NCT03318861|59514955|BG000||Male|Sex: Female, Male||Participants|Count of Participants|3|3.0|||||||3|||No
135595554|NCT03318861|59514956|BG001||Male|Sex: Female, Male||Participants|Count of Participants|3|3.0|||||||4|||No
135595555|NCT03318861|59514957|BG002||Male|Sex: Female, Male||Participants|Count of Participants|1|1.0|||||||3|||No
135595556|NCT03318861|59514958|BG003||Male|Sex: Female, Male||Participants|Count of Participants|2|2.0|||||||4|||No
135595557|NCT03318861|59514959|BG004||Male|Sex: Female, Male||Participants|Count of Participants|1|1.0|||||||3|||No
135595558|NCT03318861|59514960|BG005||Male|Sex: Female, Male||Participants|Count of Participants|10|10.0|||||||17|||No
135595559|NCT03318861|59514955|BG000||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||3|||No
135595560|NCT03318861|59514956|BG001||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||4|||No
135595561|NCT03318861|59514957|BG002||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||3|||No
135595562|NCT03318861|59514958|BG003||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||4|||No
135595563|NCT03318861|59514959|BG004||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|1|1.0|||||||3|||No
135595564|NCT03318861|59514960|BG005||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|1|1.0|||||||17|||No
135595565|NCT03318861|59514955|BG000||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|3|3.0|||||||3|||No
135595566|NCT03318861|59514956|BG001||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|4|4.0|||||||4|||No
135595567|NCT03318861|59514957|BG002||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|3|3.0|||||||3|||No
135595568|NCT03318861|59514958|BG003||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|4|4.0|||||||4|||No
135595569|NCT03318861|59514959|BG004||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|2|2.0|||||||3|||No
135595570|NCT03318861|59514960|BG005||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|16|16.0|||||||17|||No
135595571|NCT03318861|59514955|BG000||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||3|||No
135595572|NCT03318861|59514956|BG001||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||4|||No
135595573|NCT03318861|59514957|BG002||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||3|||No
135595574|NCT03318861|59514958|BG003||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||4|||No
135595575|NCT03318861|59514959|BG004||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||3|||No
135595576|NCT03318861|59514960|BG005||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||17|||No
135595577|NCT03318861|59514955|BG000|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||3|||No
135595578|NCT03318861|59514956|BG001|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||4|||No
135595579|NCT03318861|59514957|BG002|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||3|||No
135595580|NCT03318861|59514958|BG003|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||4|||No
135595581|NCT03318861|59514959|BG004|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||3|||No
135595582|NCT03318861|59514960|BG005|Race|Black or African American|Race/Ethnicity, Customized||Participants|Count of Participants|3|3.0|||||||17|||No
135595583|NCT03318861|59514955|BG000|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|3|3.0|||||||3|||No
135595584|NCT03318861|59514956|BG001|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|3|3.0|||||||4|||No
135595585|NCT03318861|59514957|BG002|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||3|||No
135595586|NCT03318861|59514958|BG003|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|3|3.0|||||||4|||No
135595587|NCT03318861|59514959|BG004|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|3|3.0|||||||3|||No
135595588|NCT03318861|59514960|BG005|Race|White|Race/Ethnicity, Customized||Participants|Count of Participants|13|13.0|||||||17|||No
135595589|NCT03318861|59514955|BG000|Race|Other|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||3|||No
135595590|NCT03318861|59514956|BG001|Race|Other|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||4|||No
135595591|NCT03318861|59514957|BG002|Race|Other|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||3|||No
135595592|NCT03318861|59514958|BG003|Race|Other|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||4|||No
135595593|NCT03318861|59514959|BG004|Race|Other|Race/Ethnicity, Customized||Participants|Count of Participants|0|0.0|||||||3|||No
135595594|NCT03318861|59514960|BG005|Race|Other|Race/Ethnicity, Customized||Participants|Count of Participants|1|1.0|||||||17|||No
134794736|NCT03330834|59242898|BG000|age||Age, Customized||years|Mean|61|61.0|Full Range|||61.0|61.0||1|||
134794737|NCT03330834|59242898|BG000||Female|Sex: Female, Male||Participants|Count of Participants|0|0.0|||||||1|||
134794738|NCT03330834|59242898|BG000||Male|Sex: Female, Male||Participants|Count of Participants|1|1.0|||||||1|||
134794739|NCT03330834|59242898|BG000||American Indian or Alaska Native|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||1|||
134794740|NCT03330834|59242898|BG000||Asian|Race (NIH/OMB)||Participants|Count of Participants|1|1.0|||||||1|||
134794741|NCT03330834|59242898|BG000||Native Hawaiian or Other Pacific Islander|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||1|||
134794742|NCT03330834|59242898|BG000||Black or African American|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||1|||
134794743|NCT03330834|59242898|BG000||White|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||1|||
134794744|NCT03330834|59242898|BG000||More than one race|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||1|||
134794745|NCT03330834|59242898|BG000||Unknown or Not Reported|Race (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||1|||
