nct_id|nlm_download_date_description|study_first_submitted_date|results_first_submitted_date|disposition_first_submitted_date|last_update_submitted_date|study_first_submitted_qc_date|study_first_posted_date|study_first_posted_date_type|results_first_submitted_qc_date|results_first_posted_date|results_first_posted_date_type|disposition_first_submitted_qc_date|disposition_first_posted_date|disposition_first_posted_date_type|last_update_submitted_qc_date|last_update_posted_date|last_update_posted_date_type|start_month_year|start_date_type|start_date|verification_month_year|verification_date|completion_month_year|completion_date_type|completion_date|primary_completion_month_year|primary_completion_date_type|primary_completion_date|target_duration|study_type|acronym|baseline_population|brief_title|official_title|overall_status|last_known_status|phase|enrollment|enrollment_type|source|limitations_and_caveats|number_of_arms|number_of_groups|why_stopped|has_expanded_access|expanded_access_type_individual|expanded_access_type_intermediate|expanded_access_type_treatment|has_dmc|is_fda_regulated_drug|is_fda_regulated_device|is_unapproved_device|is_ppsd|is_us_export|biospec_retention|biospec_description|ipd_time_frame|ipd_access_criteria|ipd_url|plan_to_share_ipd|plan_to_share_ipd_description|created_at|updated_at|source_class|delayed_posting|expanded_access_nctid|expanded_access_status_for_nctid|fdaaa801_violation|baseline_type_units_analyzed
NCT04037241||2019-07-26|||2022-03-30|2019-07-26|2019-07-30|Actual|||||||2022-03-30|2022-04-01|Actual|November 1, 2021|Anticipated|2021-11-01|March 2022|2022-03-31|January 1, 2022|Anticipated|2022-01-01|January 1, 2022|Anticipated|2022-01-01||Interventional|||Study of Anti-CEA CAR-T + Chemotherapy VS Chemotherapy Alone in Patients With CEA+Pancreatic Cancer & Liver Metastases|A Randomized Open-Label Phase 2b Study of Hepatic Infusions of Anti-CEA CAR-T Cells Alternating With Systemic Chemotherapy Versus Chemotherapy Alone In Patients With Liver Metastases Due To CEA-Expressing Pancreatic Adenocarcinoma|Withdrawn||Phase 2/Phase 3|0|Actual|Sorrento Therapeutics, Inc.||8||Sponsor terminated|f||||t|t|f|||||||||||2023-08-31 13:01:34.349333|2023-08-31 13:01:34.349333|INDUSTRY|||||
NCT03029338||2017-01-20|||2022-01-24|2017-01-20|2017-01-24|Estimate|||||||2022-01-24|2022-01-26|Actual|June 8, 2017|Actual|2017-06-08|January 2022|2022-01-31|June 22, 2021|Actual|2021-06-22|May 22, 2019|Actual|2019-05-22||Interventional|||CD19 CAR T Cells in Patients With Relapsed or Refractory CD19 Positive B-cell Lymphoma|CD19 CAR T Cells in Patients With Relapsed or Refractory CD19 Positive B-cell Lymphoma|Completed||Phase 1|20|Actual|Institute of Hematology & Blood Diseases Hospital||1|||f|||||f|f|||||||||Undecided||2023-08-31 08:07:29.966291|2023-08-31 08:07:29.966291|OTHER|||||
NCT05239702||2021-12-01|||2022-02-13|2022-02-13|2022-02-15|Actual|||||||2022-02-13|2022-02-15|Actual|February 28, 2022|Anticipated|2022-02-28|February 2022|2022-02-28|December 1, 2024|Anticipated|2024-12-01|December 1, 2024|Anticipated|2024-12-01||Interventional|||Clinical Study of Targeting CD7 CAR-T Cells in the Treatment of Autoimmune Diseases|A Clinical Study on the Safety and Effectiveness of Targeting CD7 Chimeric Antigen Receptor T Cells in the Treatment of Autoimmune Diseases|Recruiting||Early Phase 1|75|Anticipated|Zhejiang University||5|||f||||t|f|f|||||||||||2023-09-03 11:29:13.308468|2023-09-03 11:29:13.308468|OTHER|||||
NCT05620706||2022-11-11|||2022-11-17|2022-11-11|2022-11-17|Actual|||||||2022-11-17|2022-11-22|Actual|November 1, 2022|Actual|2022-11-01|November 2022|2022-11-30|October 31, 2028|Anticipated|2028-10-31|October 31, 2025|Anticipated|2025-10-31||Interventional|||Study of GPC-3 CAR-T Cells in Treating With Hepatocellular Carcinoma|Study of GPC-3 CAR-T Cells in Advanced Hepatocellular Carcinoma|Recruiting||Not Applicable|20|Anticipated|Shenzhen University General Hospital||1|||f|||||f|f|||||||||No||2023-09-03 11:36:37.686925|2023-09-03 11:36:37.686925|OTHER|||||
NCT02935257||2016-10-14|||2022-09-15|2016-10-14|2016-10-17|Estimate|||||||2022-09-15|2022-09-19|Actual|September 29, 2017|Actual|2017-09-29|September 2022|2022-09-30|December 2033|Anticipated|2033-12-31|December 2024|Anticipated|2024-12-31||Interventional|ALLCAR19||Immunotherapy for High Risk/Relapsed CD19+ Acute Lymphoblastic Leukaemia, B-cell Non-Hodgkin's Lymphoma (B-NHL) and Chronic Lymphocytic Leukaemia (CLL)/ Small Lymphocytic Lymphoma (SLL) Using CAR T-cells to Target CD19|Immunotherapy for High Risk/Relapsed CD19+ Acute Lymphoblastic Leukaemia, B-cell Non-Hodgkin's Lymphoma (B-NHL) and Chronic Lymphocytic Leukaemia (CLL)/ Small Lymphocytic Lymphoma (SLL) Using CAR T-cells to Target CD19|Recruiting||Phase 1|60|Anticipated|University College, London||1|||f||||t|f|f|||f||||||No||2023-08-31 08:11:45.369131|2023-08-31 08:11:45.369131|OTHER|||||
NCT05204160||2022-01-11|||2023-04-20|2022-01-11|2022-01-24|Actual|||||||2023-04-20|2023-04-24|Actual|April 11, 2022|Actual|2022-04-11|April 2023|2023-04-30|October 21, 2024|Anticipated|2024-10-21|October 21, 2024|Anticipated|2024-10-21||Interventional|||Pembrolizumab as Salvage Therapy for the Treatment of Multiple Myeloma in Patients Progressing on CAR-T Cell Therapy|Phase II Study of Pembrolizumab as Salvage Therapy Among Multiple Myeloma Patients Progressing on CAR-T Cell Therapy|Recruiting||Phase 2|30|Anticipated|Emory University||1|||f||||t|t|f|||f||||||||2023-08-31 08:15:04.917066|2023-08-31 08:15:04.917066|OTHER|||||
NCT03778346||2018-12-14|||2020-11-16|2018-12-17|2018-12-19|Actual|||||||2020-11-16|2020-11-18|Actual|November 15, 2018|Actual|2018-11-15|November 2020|2020-11-30|December 31, 2022|Anticipated|2022-12-31|June 30, 2022|Anticipated|2022-06-30||Interventional|||Integrin β7, BCMA, CS1, CD38 and CD138 as the Single or Compound Targets for the Fourth Genenation of CAR-T Cells|Integrin β7, BCMA, CS1, CD38 and CD138 as the Single or Compound Targets for the Fourth Genenation of CAR-T Cells|Unknown status|Recruiting|Phase 1|30|Anticipated|The Sixth Affiliated Hospital of Wenzhou Medical University||1|||f|||||f|f|||||||||Undecided||2023-09-03 11:40:32.780824|2023-09-03 11:40:32.780824|OTHER|||||
NCT05023707||2021-08-10|||2021-12-29|2021-08-23|2021-08-26|Actual|||||||2021-12-29|2021-12-30|Actual|December 31, 2021|Anticipated|2021-12-31|July 2021|2021-07-31|June 30, 2025|Anticipated|2025-06-30|June 30, 2023|Anticipated|2023-06-30||Interventional|||Anti-FLT3 CAR T-cell Therapy in FLT3 Positive Relapsed/Refractory Acute Myeloid Leukemia|Pilot Study of the Safety and Efficacy of Anti-FLT3 Chimeric Antigen Receptor Engineered T-Cells in the Treatment of Relapsed or Refractory Acute Myeloid Leukemia (AML)|Recruiting||Phase 1/Phase 2|5|Anticipated|The First Affiliated Hospital of Soochow University||1|||f|||||f|f|||||||||||2023-08-31 08:19:21.94645|2023-08-31 08:19:21.94645|OTHER|||||
NCT04148430||2019-10-30|||2023-02-23|2019-10-31|2019-11-01|Actual|||||||2023-02-23|2023-02-24|Actual|October 30, 2019|Actual|2019-10-30|February 2023|2023-02-28|October 2024|Anticipated|2024-10-31|October 2024|Anticipated|2024-10-31||Interventional|||A Study of Anakinra to Prevent or Treat Severe Side Effects for Patients Receiving CAR-T Cell Therapy|A Phase II Study of IL-1 Receptor Antagonist Anakinra to Prevent Severe Neurotoxicity and Cytokine Release Syndrome in Patients Receiving CD19-Specific Chimeric Antigen Receptor (CAR) T Cells|Active, not recruiting||Phase 2|62|Actual|Memorial Sloan Kettering Cancer Center||1|||f|||||t|f|||||||||Yes|• Memorial Sloan Kettering Cancer Center supports the international committee of medical journal editors (ICMJE) and the ethical obligation of responsible sharing of data from clinical trials. The protocol summary, a statistical summary, and informed consent form will be made available on clinicaltrials.gov when required as a condition of Federal awards, other agreements supporting the research and/or as otherwise required. Requests for deidentified individual participant data can be made beginning 12 months after publication and for up to 36 months post publication. Deidentified individual participant data reported in the manuscript will be shared under the terms of a Data Use Agreement and may only be used for approved proposals. Requests may be made to: crdatashare@mskcc.org.|2023-09-01 06:38:38.717925|2023-09-01 06:38:38.717925|OTHER|||||
NCT03467256||2018-03-09|||2023-02-22|2018-03-14|2018-03-15|Actual|||||||2023-02-22|2023-02-24|Actual|May 14, 2018|Actual|2018-05-14|February 2023|2023-02-28|October 15, 2025|Anticipated|2025-10-15|October 15, 2020|Actual|2020-10-15||Interventional|||CD19 T-CAR for Treatment of Children and Young Adults With r/r B-ALL|A Single-Arm Phase I/II Study Evaluating the Safety and Clinical Efficacy Of the 2-nd Generation CD19 Autologous CAR T Cells on the CliniMACS Prodigy Automated Manufacturing Platform in Treatment of Paediatric And Young Adult Patients With Relapsed/Refractory B-lineage Acute Lymphoblastic Leukemia|Active, not recruiting||Phase 1/Phase 2|18|Anticipated|Federal Research Institute of Pediatric Hematology, Oncology and Immunology||1|||f||||t|f|f|||||||||||2023-09-01 06:38:45.863589|2023-09-01 06:38:45.863589|OTHER|||||
NCT05194709||2022-01-04|||2022-01-18|2022-01-14|2022-01-18|Actual|||||||2022-01-18|2022-02-02|Actual|December 30, 2021|Actual|2021-12-30|January 2022|2022-01-31|December 30, 2022|Anticipated|2022-12-30|December 30, 2022|Anticipated|2022-12-30||Interventional|||Study of Anti-5T4 CAR-NK Cell Therapy in Advanced Solid Tumors|Clinical Trial of Anti-5T4 Oncofetal Trophoblast Glycoprotein (5T4) Conjugated Antibody Redirecting Natural Killer (CAR-NK) Cells in Advanced Solid Tumors|Recruiting||Early Phase 1|40|Anticipated|Wuxi People's Hospital||1|||f||||f|f|f|||||||||No||2023-09-04 09:18:31.425435|2023-09-04 09:18:31.425435|OTHER|||||
NCT05576220||2022-10-02|||2023-03-13|2022-10-08|2022-10-12|Actual|||||||2023-03-13|2023-03-14|Actual|April 30, 2023|Anticipated|2023-04-30|March 2023|2023-03-31|July 30, 2023|Anticipated|2023-07-30|April 30, 2023|Anticipated|2023-04-30||Interventional|||Remote Temperature Monitoring of Adult Subjects Undergoing Outpatient Stem Cell Transplant or CAR-T Cell Therapy|Remote Temperature Monitoring of Adult Subjects Undergoing Outpatient Stem Cell Transplant or CAR-T Cell Therapy at Risk for Developing Infections and/or Cytokine Release Syndrome|Not yet recruiting||Not Applicable|210|Anticipated|IDION Inc.||2|||f||||f|f|t|t||f||||||No||2023-09-01 06:48:33.683056|2023-09-01 06:48:33.683056|INDUSTRY|||||
NCT03291444||2017-09-20|||2021-08-01|2017-09-21|2017-09-25|Actual|||||||2021-08-01|2021-08-09|Actual|September 23, 2017|Actual|2017-09-23|August 2021|2021-08-31|June 1, 2025|Anticipated|2025-06-01|December 31, 2024|Anticipated|2024-12-31||Interventional|||CAR-T Cells Combined With Peptide Specific Dendritic Cell in Relapsed/Refractory Leukemia/MDS|A Clinical Study of Chimeric Antigen Receptor T Cells Combined With Eps8 Peptide Specific Dendritic Cell for Patients With Relapsed/Refractory Leukemia and Myelodysplastic Syndromes|Recruiting||Phase 1|30|Anticipated|Zhujiang Hospital||2|||f||||t|f|f|||||||||No||2023-08-31 08:29:09.373231|2023-08-31 08:29:09.373231|OTHER|||||
NCT05269914||2021-12-03|||2022-03-04|2022-03-04|2022-03-08|Actual|||||||2022-03-04|2022-03-08|Actual|April 2022|Anticipated|2022-04-30|March 2022|2022-03-31|June 30, 2023|Anticipated|2023-06-30|December 31, 2022|Anticipated|2022-12-31||Interventional|||Safety, Efficacy and Pharmacokinetics of XKDCT023 in DLBCL|Safety, Efficacy and Pharmacokinetics of XKDCT023 in Adult Patients With Recurrent or Refractory Diffuse Large B-cell Lymphoma|Not yet recruiting||Not Applicable|10|Anticipated|The Affiliated Hospital of Qingdao University||1|||f||||t|f|f|||||||||||2023-09-01 07:07:13.443663|2023-09-01 07:07:13.443663|OTHER|||||
NCT05262673||2022-02-21|||2022-03-07|2022-02-21|2022-03-02|Actual|||||||2022-03-07|2022-03-08|Actual|March 1, 2022|Anticipated|2022-03-01|March 2022|2022-03-31|December 31, 2025|Anticipated|2025-12-31|December 31, 2024|Anticipated|2024-12-31||Interventional|||NGS-MRD Assessment of Combination Immunotherapies Targeting B-ALL|NGS-MRD Evaluation of Antigen-specific T Cells and DC Vaccine Combination Targeting B-cell Acute Lymphoblastic Leukemia|Recruiting||Phase 1|10|Anticipated|Shenzhen Geno-Immune Medical Institute||1|||f||||f|f|f|||||||||||2023-09-01 07:07:20.74085|2023-09-01 07:07:20.74085|OTHER|||||
NCT05052528||2021-09-13|||2022-03-08|2021-09-13|2021-09-22|Actual|||||||2022-03-08|2022-03-10|Actual|September 17, 2021|Actual|2021-09-17|March 2022|2022-03-31|February 15, 2025|Anticipated|2025-02-15|August 15, 2024|Anticipated|2024-08-15||Interventional|||Fludarabine and Cyclophosphamide With or Without Rituximab Before CD19 Chimeric Antigen Receptor T Cells for the Treatment of Relapsed or Refractory Diffuse Large B-Cell Lymphoma|A Phase I Study to Evaluate the Safety of Escalating Doses of Lymphodepleting Conditioning Chemotherapy Prior to CD19 Chimeric Antigen Receptor T Cells in Subjects With Relapsed/Refractory Diffuse Large B-cell Lymphoma|Recruiting||Phase 1|36|Anticipated|University of California, Davis||6|||f||||t|t|f|||f||||||||2023-09-01 07:08:28.043923|2023-09-01 07:08:28.043923|OTHER|||||
NCT04260945||2020-02-06|||2022-03-06|2020-02-06|2020-02-07|Actual|||||||2022-03-06|2022-03-08|Actual|March 10, 2020|Actual|2020-03-10|August 2021|2021-08-31|February 10, 2022|Actual|2022-02-10|October 10, 2021|Actual|2021-10-10||Interventional|||CD19/CD20 Dual-CAR-T in B-cell Leukemia Patients|CD19/CD20 Dual-CAR-T for Patients With B-cell Leukemia|Completed||Phase 1|12|Actual|Hebei Yanda Ludaopei Hospital||1|||f||||t|f|f|||||||||||2023-09-01 07:10:59.113473|2023-09-01 07:10:59.113473|OTHER|||||
NCT04260932||2020-02-06|||2022-03-06|2020-02-06|2020-02-07|Actual|||||||2022-03-06|2022-03-08|Actual|March 1, 2020|Actual|2020-03-01|August 2021|2021-08-31|September 10, 2021|Actual|2021-09-10|May 10, 2021|Actual|2021-05-10||Interventional|||CD19/CD20 Dual-CAR-T in B-cell Lymphoma Patients|CD19/CD20 Dual-CAR-T for Patients With B-cell Lymphoma|Completed||Phase 1|12|Actual|Hebei Yanda Ludaopei Hospital||1|||f||||t|f|f|||||||||||2023-09-01 07:10:59.777953|2023-09-01 07:10:59.777953|OTHER|||||
NCT03373071||2017-12-06|||2022-03-09|2017-12-08|2017-12-14|Actual|||||||2022-03-09|2022-03-10|Actual|December 23, 2017|Actual|2017-12-23|March 2022|2022-03-31|April 8, 2036|Anticipated|2036-04-08|May 11, 2021|Actual|2021-05-11||Interventional|||Anti-CD19 CAR T Cells in Pediatric Patients Affected by Relapsed/Refractory CD19+ ALL and NHL|Phase I/II Study of Anti-CD19 Chimeric Antigen Receptor-Expressing T Cells in Pediatric Patients Affected by Relapsed/Refractory CD19+ Acute Lymphoblastic Leukemia and Non Hodgkin Lymphoma|Active, not recruiting||Phase 1/Phase 2|29|Actual|Bambino Gesù Hospital and Research Institute||1|||f||||t|f|f|||||||||Undecided||2023-09-01 07:13:08.7679|2023-09-01 07:13:08.7679|OTHER|||||
NCT04943016||2021-06-04|||2021-06-28|2021-06-28|2021-06-29|Actual|||||||2021-06-28|2021-06-29|Actual|July 1, 2021|Anticipated|2021-07-01|May 2021|2021-05-31|December 31, 2024|Anticipated|2024-12-31|December 31, 2024|Anticipated|2024-12-31||Interventional|||CD19 CAR T Cells in Children and Adults With Relapsed or Refractory CD19 Positive B Cell Malignancies|Phase I Clinical Trial of CD19 Chimeric Antigen Receptor (CAR) T Cells in Children and Adults With Relapsed or Refractory CD19 Positive B Cell Malignancies|Not yet recruiting||Phase 1|12|Anticipated|National Taiwan University Hospital||1|||f||||f|f|f|||||||||No||2023-08-31 12:56:46.26289|2023-08-31 12:56:46.26289|OTHER|||||
NCT05605197||2022-10-03|||2022-10-29|2022-10-29|2022-11-04|Actual|||||||2022-10-29|2022-11-04|Actual|October 19, 2022|Actual|2022-10-19|October 2022|2022-10-31|October 8, 2025|Anticipated|2025-10-08|October 8, 2023|Anticipated|2023-10-08||Interventional|||U87 CART in Treatment of Advanced Pancreatic Cancer|Clinical Study to Evaluate the Safety and Efficacy of U87 CART in Treatment of Advanced Pancreatic Cancer|Recruiting||Phase 1|12|Anticipated|Shanghai Unicar-Therapy Bio-medicine Technology Co.,Ltd||1|||f|||||f|f|||||||||No||2023-08-31 08:37:29.971982|2023-08-31 08:37:29.971982|INDUSTRY|||||
NCT02439788||2015-05-07|||2017-06-09|2015-05-07|2015-05-12|Estimate|||||||2017-06-09|2017-06-14|Actual|August 2017|Anticipated|2017-08-31|June 2017|2017-06-30|October 2030|Anticipated|2030-10-31|September 2019|Anticipated|2019-09-30||Interventional|GINAKIT||3RD GENERATION GD2 SPECIFIC CHIMERIC ANTIGEN RECEPTOR TRANSDUCED AUTOLOGOUS NATURAL KILLER T-CELLS FOR NEUROBLASTOMA|3RD GENERATION GD2 SPECIFIC CHIMERIC ANTIGEN RECEPTOR AND INDUCIBLE CASPASE 9 SAFETY SWITCH TRANSDUCED AUTOLOGOUS NATURAL KILLER T-CELLS TO TREAT CHILDREN WITH NEUROBLASTOMA (GINAKIT)|Withdrawn||Phase 1|0|Actual|Baylor College of Medicine||1||Based on newly available preclinical data we changed the CAR construct to a more effective version and will now study that product on a different protocol.|f||||t|t|f|||||||||||2023-09-04 09:21:25.338391|2023-09-04 09:21:25.338391|OTHER|||||
NCT03196830||2017-06-20|||2019-04-14|2017-06-21|2017-06-23|Actual|||||||2019-04-14|2019-04-16|Actual|June 1, 2017|Actual|2017-06-01|April 2019|2019-04-30|May 31, 2021|Anticipated|2021-05-31|May 31, 2021|Anticipated|2021-05-31||Interventional|||CAR-T for R/R B-NHL|Safety and Efficacy of Chimeric Antigen Receptor T Cell (CAR-T) Treating Relaspe/Refractory CD19/CD20/CD22/CD30 Postive Non-Hodgkin Lymphoma|Unknown status|Recruiting|Phase 2|10|Anticipated|The First Affiliated Hospital of Soochow University||1|||f||||f|f|f|||||||||No||2023-08-31 08:50:48.853964|2023-08-31 08:50:48.853964|OTHER|||||
NCT03182816||2017-06-05|||2017-06-07|2017-06-07|2017-06-09|Actual|||||||2017-06-07|2017-06-09|Actual|June 7, 2017|Anticipated|2017-06-07|June 2017|2017-06-30|April 20, 2019|Anticipated|2019-04-20|January 20, 2019|Anticipated|2019-01-20||Interventional|||CTLA-4 and PD-1 Antibodies Expressing EGFR-CAR-T Cells for EGFR Positive Advanced Solid Tumor|A Clinical Study of CTLA-4 and PD-1 Antibodies Expressing EGFR-CAR-T Cells for Patients With EGFR Positive Advanced Solid Tumors|Unknown status|Recruiting|Phase 1/Phase 2|40|Anticipated|Shanghai Cell Therapy Research Institute||1|||f||||f|f|f|||||||||No||2023-09-04 09:25:30.49962|2023-09-04 09:25:30.49962|OTHER|||||
