id|nct_id|intervention_type|name|description
56421405|NCT03881774|Biological|CAR-T cells|collecting cord blood for CAR-T cells culture; three days later, FC regimen (fludarabine 30mg/m2/d x 3, cyclophosphamide 600-800mg/m2/d x 2) another two days later, transfusing CAR-T cell with a dose of 0.5-3x106/kg
55955297|NCT04916860|Biological|Senl-T7|Patients will be treated with CD7 CAR-T cells
55956028|NCT04943016|Drug|CD19 Chimeric Antigen Receptor (CAR) T Cells|This study seeks to examine the feasibility and safety of the administration of autologous T cells that have been modified through the introduction of a chimeric antigen receptor targeting the B cell surface antigen CD19 following administration of chemotherapy lymphodepletion regimen in children and adults with relapsed/refractory B cell malignancies. The overall goal of this study is to validate the safety profile of administration CD19 CAR T cells and describe the toxicities in children and adults with relapsed/ refractory B cell malignancies. Each patient implements leukapheresis 2 weeks after enrollment and infuse CD19 CAR-T cell around 2 weeks after leukapheresis, and administrated chemotherapy lymphodepletion regimen 1 week before infusion. Furthermore, the treated subject would be following up around 2 years.
55956476|NCT02744287|Biological|BPX-601|Autologous T cells genetically modified with retrovirus vector containing PSCA-specific CAR and an inducible MyD88/Cluster Designation (CD)40 (iMC) co-stimulatory domain
55956477|NCT02744287|Drug|Rimiducid|Dimerizer infusion to activate the iMC of the BPX-601 cells for improved proliferation and persistence
55956525|NCT04037241|Biological|Anti-CEA CAR-T cells|Doses will be delivered by hepatic arterial infusions using a pressure enabled drug delivery (PEDD) device
55956526|NCT04037241|Drug|gemcitabine/nab paclitaxel|systemic chemotherapy regimen
55956527|NCT04037241|Drug|NLIR+FU/FA|systemic chemotherapy regimen
55956528|NCT04037241|Drug|Capecitabine|systemic chemotherapy regimen
56580204|NCT05117138|Biological|AMT-116 CAR-T cells|"Classical 3+3 dose escalation will be applied to 9 subjects with moderate or far advanced non-small cell lung carcinoma (NSCLC) enrolled.~Classical 3+3 dose escalation will be applied to 9 subjects with moderate or far advanced head and neck Squamous Cell Carcinoma (HNSCC) enrolled."
56580205|NCT05117138|Biological|AMT-253 CAR-T cells|"1.The classic 3 + 3 dose escalation will be applied to 9 selected subjects with moderate or far advanced melanoma by intravenous drip.~2.3 ~ 6 patients with intermediate and advanced melanoma will be injected intratumorally at a dose of ≤ 1 × 10^8 cells.~3.3 ~ 6 patients with operable advanced melanoma will be treated with postoperative adjuvant treatment at a dose of ≤ 1 × 10^8 cells ≤ intravenous drip on Day 1 of each 42 days cycle (8 cycle maximum)."
56422765|NCT03448978|Biological|Descartes-08|autologous CD8+ T-cells transiently expressing an anti-BCMA chimeric antigen receptor
56422766|NCT03448978|Drug|Fludarabine|intravenous fludarabine
56422767|NCT03448978|Drug|Cyclophosphamide|intravenous cyclophosphamide
55958178|NCT05634785|Biological|ATLCAR.CD30 Cells|The cellular product consists of ATLCAR.CD30 cells will be administered via intravenous injection, over 5 - 10 minutes after lymphodepletion. The expected volume will be 1 - 50 mL, the prescribed dose will be 2 × 108 CAR-T cells per meter square and the maximum dose will be 5 × 108 CAR-T cells per meter square.
55958179|NCT05634785|Drug|Cyclophosphamid|Two to 14 days prior to the initial ATLCAR.CD30 infusion, subjects will receive a lymphodepletion regimen that includes 300 mg per square meter of intravenous cyclophosphamide.
55958180|NCT05634785|Drug|Fludarabine|Two to 14 days prior to the initial ATLCAR.CD30 infusion, subjects will receive a lymphodepletion regimen that includes daily 30 mg per square meter of intravenous fludarabine infusion for 3 days.
55958314|NCT05366179|Drug|CAR.B7-H3T cells infusion|"The Chimeric Antigen Receptors (CAR).B7-H3T cells will be administered via intraventricular infusion up to 3 weekly infusions. A 0.5 mL suspension of T cells infusion is given, over 5-10 minutes, via a Rickham catheter and will be followed by a normal-saline flush of 3-5 mL over 5-10 minutes.~Dose escalation will be performed considering the dose limiting toxicities (DLTs) listed in the protocol. Six doses will be explored. The starting dose will be 2 × 10^6 transduced cells/infusion (Dose Level (DL) 1) and will enroll at least 3 subjects. If there are no dose DLTs within 4 weeks of the third cellular product administration in the first 3 subjects, then the next cohort will evaluate 5 × 10^6 transduced cells/infusion (DL2)."
55958508|NCT04995003|Genetic|T cells or CAR T cells|"There are 2 dose levels:~Dose Level 1 (1x10^8 cells/m2) and Dose Level -1 (5x10^7 cells/m2). In the event that Dose Level 1 is not tolerable, de-escalation to Dose Level -1 will occur."
55958509|NCT04995003|Drug|Pembrolizumab Injectable Product|2 mg/kg/dose (max 200 mg/dose) every 3 weeks
55958510|NCT04995003|Drug|Nivolumab Injectable Product|3 mg/kg/dose (<40kg) or 124 mg (≥40 kg) every 2 weeks
55958521|NCT04977024|Biological|COVID-19 Vaccine|Receive EUA SARS-CoV-2 vaccine IM
55958522|NCT04977024|Other|Diagnostic Laboratory Biomarker Analysis|Correlative studies
55958523|NCT04977024|Biological|Synthetic MVA-based SARS-CoV-2 Vaccine COH04S1|Given IM
56580288|NCT03327285|Biological|C-CAR011|CBM.CD19-targeted chimeric antigen receptor T cells(C-CAR011)
55958961|NCT03721068|Biological|iC9.GD2.CAR.IL-15 T-cells|Three dose levels are being evaluated: 0.5 x 10^6, 1.0 x 10^6, 1.5 x 10^6
55958962|NCT03721068|Drug|Cyclophosphamide|500 mg/m^2 IV dose on days 1-2 for lymphodepletion prior to cell infusion
55958963|NCT03721068|Drug|Fludarabine|30 mg/m^2 IV dose on days 1-4 for lymphodepletion prior to cell infusion
55958984|NCT03672318|Drug|CAR138 T Cells|"The MTD is defined as the dose at which approximately 0.20 of subjects experience DLT dose escalation guided by the continual reassessment method (CRM).~Six dose levels will be evaluated:~Dose level 1: 5X10^6 cells/m^2 Dose level 2: 1X10^7 cells/m^2 Dose level 3: 2.5X10^7 cells/m^2 Dose level 4: 5X10^7 cells/m^2 Dose level 5: 1x10^8 cells/m^2 Dose level 6: 2x10^8 cells/m^2~Six subjects will be enrolled at the MTD to better characterize safety at that dose level.~Cell Administration: CAR138 T cells will be given by intravenous injection over through either a peripheral or a central line.~The lymphodepletion regimen will consist of intravenous cyclophosphamide 300 mg/m^2 and fludarabine 30 mg/m^2 given once daily for three days."
55959113|NCT03016377|Biological|iC9-CAR19 cells|Three dose levels are being evaluated: dose level -1 (1 x 10^5), dose level 1 (5 x 10^5), and dose level 2 ( 1x 10^6)
55959114|NCT03016377|Drug|Rimiducid|Subjects with CRS and ICAN will assign one of two dose levels (DL)s of rimiducid with the standard treatment: 0.05 mg/kg or 0.1 mg/kg for subjects with CRS and 0.01mg/kg or 0.1mg/kg for subjects with ICAN. Subjects will first be enrolled on DL 1 and then enrolled on DL 2, and 0.4mg/kg rimiducid will be given to subjects who did not respond to the initial dose.
55959115|NCT03016377|Drug|Cyclophosphamide|900 mg/m^2 IV over 1 hour on day 4 of lymphodepleting chemotherapy.
55959116|NCT03016377|Drug|Fludarabine|25 mg/m^2/day IV over 30 minutes administered for 3 consecutive days.
55959648|NCT03050190|Genetic|Therapeutic 4SCAR19 cells|Autologous 4th generation withdrawal lentiviral-transduced 4S CAR-T19
55960214|NCT04121273|Biological|CAR-T cell immunotherapy|"Patients enrolled will recieve three different doses of the CAR-T cell every two weeks as follows:~Dose 1: 1x10^7/m2~Dose 2: 3x10^7/m2~Dose 3: 1x10^8/m2~The cell numbers are calculated according to CAR-positive T cells."
55960390|NCT04884984|Biological|anti-CLL1 CART|Split intravenous infusion of anti-CLL1 CAR T cells [dose escalating infusion of (5-20)x10^6 anti-CLL1 CAR T cells/kg].
55960443|NCT03825731|Biological|GC022|GC022 is a bispecific CAR-T cell immunotherapy that targeted CD19 and CD22. The subjects will receive one dose of GC022 infusion. The dosage ranges from 3×10^5 to 1×10^7 CAR+T/Kg.
55960730|NCT04863066|Biological|CAR-T cells|The presence of latent infected cells remains a key barrier to HIV-1 functional cure. Current approach to reducing the latent HIV reservoir is to reactivate virus-containing cells to make them be detected and eliminated by host defense. Endogenous cytotoxic T-lymphocytes (CTL) may not be adequate because of cellular exhaustion and immune escape of virus. We have designed a kind of CAR-T cell based on CTL engineered to express a scFv of a broadly neutralizing anti-HIV antibody. According to our preclinical studies, CAR-T cells strongly eradicated HIV-1-infected target cells making them a particularly suitable candidate to reach a functional HIV cure. In this clinical trial, we mainly intend to evaluate the safety of CAR-T-Cell therapy on HIV patients whose plasma HIV has been successfully suppressed after antiviral therapy.
55962302|NCT04822974|Other|blood collection|longitudinally collection of blood samples for each patient included.
55962701|NCT04780529|Biological|gucy2c cart cells|Patients with advanced malignant gastrointestinal tumors were injected with CART cells
55963207|NCT04796688|Drug|Fludarabine + Cyclophosphamide + CAR-NK-CD19 Cells|fludarabine 30 mg/kg on day -5, -4, and -3; cyclophosphamide 300 mg/kg on day -5, -4, and -3; CAR-NK-CD19 Cells on day 0.
55963512|NCT02247609|Genetic|Anti-CD19 CAR T cells|Autologous 4th generation withdrawable lentiviral-transduced anti-CD19-CAR T cells
55963781|NCT05613348|Biological|CD19 CAR T-Cell(CAT19T2)|Drug: Fludarabine， Administered intravenously Drug: Cyclophosphamide， Administered intravenously
55964639|NCT01897415|Biological|Autologous T cells transfected with chimeric anti-mesothelin immunoreceptor SS1|
55965493|NCT05123001|Device|Biostrap arm band|The Biostrap mobile app will connect with the Biostrap arm band and temperature sensor.
56580763|NCT03321123|Drug|MB-CART19.1|Miltenyi Biotec has established a semi-automated manufacturing process that can be made available to academic settings for systematic exploration of CAR strategies in advanced clinical studies. Closed-system operation, improved robustness, simplified work flows, and reduced labor intensity, while maintaining strict adherence to regulatory guidelines, allows for decentralized manufacturing. In this study, we will explore autologous 2nd generation CD19 CAR T cell products in patients with relapsed and refractory disease incurable with standard therapies.
55965655|NCT05577000|Biological|Manufactured Anti-BCMA CAR-T cells|Given IV
55965656|NCT05577000|Drug|Fludarabine|Given IV
55965657|NCT05577000|Drug|Cyclophosphamide|Given IV
56423618|NCT05170568|Biological|T cell injection targeting CD7 chimeric antigen receptor|The subjects, who sign the informed consent forms and been screened by inclusion/exclusion criteria, will be assigned into 0.5 × 106, 2.0 × 106 and 4.0 × 106 CAR-T/kg groups in order of sequence. And the subjects will be administered once.
55965875|NCT04767308|Biological|CT125A cells|Subjects will undergo leukapheresis to isolate peripheral blood mononuclear cells (PBMCs) to manufacture CT125A cells, during which cyclophosphamide and fludarabine will be administered for the purpose of lymphocytes depletion. After lymphodepletion, subjects will receive one dose treatment with CT125A cells by intravenous (IV) infusion. The initial dose of 1×10^6 CAR+ T cells/kg will be infused on day 0.
55965876|NCT04767308|Drug|Cyclophosphamide, fludarabine|Subjects will be given IV infusion of cyclophosphamide 500 mg/m2/day and fludarabine 30 mg/m2/day on days -4, -3 and -2
55968449|NCT05287165|Drug|IM96 CAR-T cells|treatment with anti-GUCY2C chimeric antigen receptor T-cell infusion
56114967|NCT01864889|Biological|anti-CD19-CAR vector-transduced T cells|genetically engineered lymphocyte therapy
56114968|NCT01864902|Biological|CART33 cells|genetically modified lymphocyte therapy
56114969|NCT01864902|Biological|anti-CD33 CART|
56114970|NCT01864902|Biological|anti-CD33 CAR T cells|
55969487|NCT04318327|Biological|PHE885|Infusion
55969638|NCT03241940|Biological|Chimeric Antigen Receptor T-Cell Therapy|Given CD19/CD22-CAR T cells IV
55969639|NCT03241940|Drug|Cyclophosphamide|Given IV
55969640|NCT03241940|Drug|Fludarabine Phosphate|Given IV
55969641|NCT03241940|Other|Laboratory Biomarker Analysis|Correlative studies
55969642|NCT03241940|Other|Questionnaire Administration|Ancillary studies
55969643|NCT03233854|Biological|Chimeric Antigen Receptor T-Cell Therapy|Given CD19/CD22 CAR T cells IV
55969644|NCT03233854|Drug|Cyclophosphamide|Given IV
55969645|NCT03233854|Drug|Fludarabine Phosphate|Given IV
55969646|NCT03233854|Other|Laboratory Biomarker Analysis|Correlative studies
55969647|NCT03233854|Other|Questionnaire Administration|Ancillary studies
55969648|NCT03233854|Drug|NKTR-255|Given IV
55969741|NCT00085930|Biological|EBV specific CTLs|CTLs: 2x10e7 cells/m2
55969955|NCT04766840|Drug|CAR-T cells|Drug: IM73 CAR-T Cells Drug: Fludarabine Two days before cell infusion, patient will be treated with fludarabine for 3 days Drug: Cyclophosphamide: Two days before cell infusion, patient will be treated with Cyclophosphamide for 3 days
56265957|NCT04204161|Biological|CAR-T19/CAR-T22|According to tumor burden and other conditions, patients will be treated with cyclophosphamide or fludarabine,then,CAR-T cells will be infused 48-72 hours later.The recommand dose is 1x10^5/kg-2.5x10^8/kg .
56116081|NCT05510596|Other|Magnetic Resonance Imaging with contrast injection|Magnetic Resonance Imaging with contrast injection
56116082|NCT05510596|Other|Blood withdrawal|Blood withdrawal : serum, plasma, cytokine assay
56116083|NCT05510596|Other|Neuropsychological tests|Neuropsychological tests
56116203|NCT05225363|Biological|Chimeric Antigen Receptor T-cells|Receive TAG72-CAR T cells IP
56116204|NCT05225363|Drug|Cyclophosphamide|Given IV
56116205|NCT05225363|Drug|Fludarabine|Given IV
56424735|NCT05239702|Biological|CD7 CAR T-cells|Each subject receive CD7 CAR T-cells by intravenous infusion
56116513|NCT04074330|Drug|TAK-981|TAK-981 intravenous infusion.
56116514|NCT04074330|Drug|Rituximab|Rituximab intravenous infusion.
55973019|NCT03086954|Biological|The Chimeric Antigen Receptor T Cell Immunotherapy (CAR-T)|This study have only one arm that is CAR-T experimental arm. Firstly all participators will be attended the screening, who passed the screening for the treatment of CAR-T cells, the CAR-CD19-modified T cells can recognize and kill tumor cells in the body，follow-up 35 months.
55973783|NCT03084380|Biological|Retroviral vector-transduced autologous T cells to express anti-GPC3 CARs|transcatheter arterial chemoembolization + CAR-T infusion
55973784|NCT03084380|Drug|Fludarabine|Fludarabine will be administered at dose of 25mg/m2/d
55973785|NCT03084380|Drug|Cyclophosphamide|Cyclophosphamide will be administered at dose of 40mg/kg for 1 day and then fludarabine will be given for the next 5 days and then the T cells will be administered
56118043|NCT01886976|Biological|CART-138 cells|
56266820|NCT02728882|Biological|CD19-targeted CAR-T cells|This study have only one arm that is CAR-T experimental arm. Firstly all participators will be attended the screening, who passed the screening for the treatment of CAR-T cells, the CAR-CD19-modified T cells can recognize and kill tumor cells in the body，follow-up 35 months.
56425512|NCT05620706|Biological|GPC3 CAR-T cells|patients treated with GPC3 CAR-T cells
56582135|NCT02981628|Procedure|Biospecimen Collection|Undergo blood sample collection
56582136|NCT02981628|Procedure|Bone Marrow Aspiration and Biopsy|Undergo a bone marrow aspiration and biopsy
56582137|NCT02981628|Drug|Calaspargase Pegol|Given IV
56582138|NCT02981628|Drug|Cyclophosphamide|Given IV
56582139|NCT02981628|Drug|Cytarabine|Given IV or SC
56582140|NCT02981628|Procedure|Diagnostic Imaging|Undergo imaging
56582141|NCT02981628|Biological|Inotuzumab Ozogamicin|Given IV
56582142|NCT02981628|Drug|Leucovorin Calcium|Given PO or IV
56582143|NCT02981628|Procedure|Lumbar Puncture|Undergo lumbar puncture
56582144|NCT02981628|Drug|Methotrexate|Given IT
56582145|NCT02981628|Drug|Pegaspargase|Given IV or IM
56582146|NCT02981628|Drug|Vincristine|Given IV
56267068|NCT02713984|Biological|Anti-HER2 CAR-T|HER-2-targeting CAR-T cells infusion in HER2 positive cancers
55977825|NCT05370430|Biological|BAFFR-CAR T cells|First-in-human trial examining the safety and preliminary efficacy of BAFFR-CAR T cells in participants with r/r B-NHL
56582271|NCT05334823|Biological|pCAR-19B cells|Drug: pCAR-19B cells； Administration method: intravenous infusion； Subjects will be treated with Fludarabine and Cyclophosphamide before cell infusion.
55978145|NCT04381741|Biological|CD19-7×19 CAR-T plus PD1 monoclonal antibody|Three different doses of CD19-7×19 CAR-T (1×106/kg、2×106/kg、3×106/kg) plus 200mg Tislelizumab every 3 weeks for 6 times
56425975|NCT03778346|Biological|CAR-T therapy in Relapsed/Refractory multiple myeloma|Integrin β7, BCMA, CS1, CD38 and CD138 as the Single or Compound Targets for the Fourth Genenation of CAR-T Cells to treat Relapsed/Refractory multiple myeloma
55981310|NCT02980315|Other|CAR-T cells|the patients treat with CAR-T cells
56267813|NCT05333302|Biological|CD19 CAR-T-cells|One dose of CD19 CAR-T cells (1*10e6 CAR+ T-cells/kg) by intravenous infusion.
56267814|NCT05333302|Drug|Tocilizumab|Before 1h of CAR-T cells infusion a patient receive tocilizumab (8 mg/kg).
55981818|NCT03030001|Biological|PD-1 antibody expressing mesothelin specific CAR-T cells|Patients will receive an IV infusion of PD-1 antibody expressing mesothelin specific CAR engineered peripheral blood leukocyte. On day 21, cells will be infused intravenously (i.v.) on the Patient Care Unit over 20 to 30 minutes.
55982013|NCT05583201|Biological|KD-496|Autologous genetically modified anti-NKG2DL/CLDN18.2 CAR transduced T cells
55982780|NCT05241392|Biological|B7-H3-targeting CAR-T cells|Patients will be treated with anti-B7-H3 autologous CAR-T cells that are delivered into the intracranial tumor resection cavity or ventricular system using an Ommaya device.
56123784|NCT04693676|Biological|Prizloncabtagene Autoleucel|Autologous 2nd generation CD19/CD20-directed CAR-T cells, single infusion intravenously
56123980|NCT03117751|Drug|Prednisone|Given orally (PO).
56123981|NCT03117751|Drug|Vincristine|Given intravenously (IV).
56123982|NCT03117751|Drug|Daunorubicin|Given IV.
56123983|NCT03117751|Drug|Pegaspargase|Given IV or intramuscularly (IM) .
56123984|NCT03117751|Drug|Erwinase®|To be used in case of hypersensitivity or intolerance to Pegaspargase or if Pegaspargase is not available. Given IV or intramuscularly (IM).
56123985|NCT03117751|Drug|Cyclophosphamide|Given IV.
56123986|NCT03117751|Drug|Cytarabine|Given IV or by subcutaneous injection (SQ).
56123987|NCT03117751|Drug|Mercaptopurine|Given PO.
56123988|NCT03117751|Drug|Dasatinib|Given PO.
56123989|NCT03117751|Drug|Methotrexate|Given IV.
56123990|NCT03117751|Drug|Blinatumomab|Given IV.
56123991|NCT03117751|Drug|Ruxolitinib|Given PO.
56123992|NCT03117751|Drug|Bortezomib|Given IV or subcutaneously (SQ).
56123993|NCT03117751|Drug|Dexamethasone|Given PO.
56123994|NCT03117751|Drug|Doxorubicin|Given IV.
56123995|NCT03117751|Drug|Etoposide|Given IV.
56123996|NCT03117751|Drug|Clofarabine|Given IV.
56123997|NCT03117751|Drug|Vorinostat|Given PO.
56123998|NCT03117751|Drug|Idarubicin|Given IV.
56123999|NCT03117751|Drug|Nelarabine|Given IV.
56124000|NCT03117751|Drug|Thioguanine|Participants with mercaptopurine-related pancreatitis. Given PO.
56124001|NCT03117751|Drug|Asparaginase Erwinia chrysanthemi (recombinant)-rywn|To be used in case of hypersensitivity or intolerance to Pegaspargase or if Pegaspargase is not available. Given intramuscularly (IM).
56124002|NCT03117751|Drug|Calaspargase Pegol|To be used in case of hypersensitivity or intolerance to Pegaspargase or if Pegaspargase is not available. Given IV.
56124078|NCT01840566|Drug|Carmustine|
56124079|NCT01840566|Drug|Etoposide|
56124080|NCT01840566|Drug|Cytarabine|
56124081|NCT01840566|Drug|Melphalan|
56124082|NCT01840566|Biological|Pegfilgrastim|
56124083|NCT01840566|Biological|19-28z T CELLS|
56124084|NCT01840566|Procedure|Autologous Stem Cell Transplantation|
55985479|NCT05509530|Other|anti-BCMA/GPRC5D CAR-T CELL|anti-BCMA/GPRC5D autologous CAR T cells will be infused at a dose ranging from 1 - 2 x 10^6/kg CAR+ T cells after receiving lymphodepleting chemotherapy
55986695|NCT04544592|Drug|CD19CAR-CD3Zeta-4-1BB-Expressing Autologous T-Lymphocyte Cells|The CD19 CAR used in this study consists of three main components: the variable regions of the anti-CD19 monoclonal antibody FMC63 71, linked to the TNFRSF19-derived transmembrane domain, the 4-1BB costimulatory molecule, and the signaling domain of the CD3-zeta molecule. The DNA encoding this receptor was cloned into a lentiviral vector (LV) backbone.
56269660|NCT02685670|Biological|anti-CD19 CAR-T|Ex vivo-expanded autologous T cells modified to express CD19 CAR
56269661|NCT02685670|Drug|Fludarabine|
56269662|NCT02685670|Drug|Cyclophosphamide|
56583505|NCT03302403|Genetic|CAR-CD19 T cell|"Self-controlled dose escalation and classic 3+3 dose escalation will be applied."
56583506|NCT03302403|Genetic|CAR-BCMA T cell|"Self-controlled dose escalation and classic 3+3 dose escalation will be applied."
56583507|NCT03302403|Genetic|CAR-GPC3 T cell|"Self-controlled dose escalation and classic 3+3 dose escalation will be applied."
56583508|NCT03302403|Genetic|CAR-CLD18 T cell|"Self-controlled dose escalation and classic 3+3 dose escalation will be applied."
56583509|NCT03302403|Drug|Fludarabine|Fludarabine is used for lymphodepletion.
56583510|NCT03302403|Drug|Cyclophosphamide|Cyclophosphamide is used for lymphodepletion.
55988982|NCT04394650|Biological|CC-98633|"Subjects will undergo leukapheresis to isolate peripheral blood mononuclear cells (PBMCs) to produce CC-98633.~During CC-98633 production, subjects may receive bridging chemotherapy for disease control. Upon successful generation of CC-98633 product, subjects will receive treatment with CC-98633 therapy.~Study treatment will include lymphodepleting chemotherapy followed by one dose of CC-98633 administered by intravenous (IV) injection."
55989022|NCT03081910|Genetic|Autologous CD5.CAR/28zeta CAR T cells|"Three dose levels will be evaluated:~Dose level one: 1×10^7 cells/m2~Dose level two: 5×10^7 cells/m2~Dose level three: 1×10^8 cells/m2"
55989023|NCT03081910|Genetic|Allogeneic CD5.CAR/28zeta CAR T cells|"Three dose levels will be evaluated:~Dose level one: 1×10^7 cells/m2~Dose level two: 5×10^7 cells/m2~Dose level three: 1×10^8 cells/m2"
55990373|NCT04605666|Biological|CD19-CAR-T2 Cells|CD19-CAR-T2 T cells will be infused over 10-15 minutes on Day 0.
55990377|NCT04531046|Drug|axicabtagene ciloleucel|Patient-specific (autologous) product cryopreserved in cryostorage bag
56270700|NCT04169932|Biological|CD20 CAR-T|The maximum dose was determined according to the dose escalation test. Based on the number of CART cells per kg body weight which was proved to be safe and effective, all the subjects were treated with one single dose of CD20 CART cells per treatment course. The dose escalation test was designed to evaluate the four dose levels of CD20-CART (1 × 10 ^ 6 cells/kg,2 × 10 ^ 6 cells/kg,4 × 10 ^ 6 cells/kg,8 × 10 ^ 6 cells/kg).
56271091|NCT02652910|Drug|CD19.CAR-T cells|Retroviral vector-transduced autologous T cells to express CD19-specific CARs
56001729|NCT03013712|Biological|CAR-T cell immunotherapy|This CAR-T cell immunotherapy with a novel specific Chimeric antigen receptor aiming at EpCAM antigen.
56271945|NCT04163302|Biological|CD19-PD1-CART Cell|This study was a single-center, open-label, single-arm, non-randomized clinical trial, which has 3 groups by infusion dose level. Firstly, each dose group has 3 patients. The pretreatment regimen of cyclophosphamide (25mg/m2 for 3 consecutive days) and fludarabine (10mg/kg for 3 consecutive days) was given before CART cells were reinfused. CART cells were reinfused on the third day after the pretreatment. If no serious side effects emerges in the group, then the next group uses the subsequent higher dose. If serious side effects emerges in a single patients in any dose level, 3 more patients will be enrolled to the same dose level. After 9 or more patients, the investigators select the safest dose and recruit more patients for CART test to explore its effectiveness.
56272051|NCT04289220|Biological|Anti-CD19 CAR-T Cells Injection|Dosage form：injection Dosage:1-2.5x10^6 cells/kg, 100ml/time, The CAR-T cells will be administered by i.v. injection over 20-30 minutes, Frequency: total one time
56134925|NCT03765177|Biological|CLIC-1901|Participants will undergo (a) lymphodepletion with cyclophosphamide and fludarabine, followed by (b) infusion of autologous CLIC-1901 CAR-T cells. All treatments will be delivered intravenously.
55993069|NCT05621096|Radiation|Bridging radiation therapy|Days -20 to -7: Patients will receive 2 fractions of 2 gray (Gy) for a total of 4 Gy received.
55993070|NCT05621096|Biological|Liso-cel|"Day 0: Patients will receive an infusion of liso-cel CAR T-cell product.~Prior to the liso-cell infusion (Days -5 to -3), patients will receive lymphodepleting chemotherapy using fludarabine 30mg/m2 and cyclophosphamide 300mg/m2 per institutional standard procedures."
55993071|NCT05621096|Radiation|Post-infusion radiation|Days 30 to 80: Patients eligible for post-infusion radiation will receive a total dose of up to 32 Gy.
56135731|NCT03682744|Biological|anti-CEA CAR-T cells|Intraperitoneal delivery of anti-CEA CAR-T cells
56136117|NCT05638828|Drug|RD14-01 Cell injection|RD14-01 Cell injection
56136696|NCT05618041|Biological|CAR-T Autologous T cell injection|Biological: CAR-T; Drug: Cyclophosphamide,Fludarabine；Procedure: Leukapheresis
56138206|NCT05641428|Drug|ARI-0001|Infusion with a single target dose of 2.0 x 10^6 Point of Care CAR T-cells/kg BW (range 1 -2.0x 10^6 CAR T-cells /kg BW).
56138207|NCT05641428|Drug|Axi-cel|Infusion with a single target dose of 2.0 x 10^6 Standard of Care CAR T-cells/kg BW (range 1 -2.0x 10^6 CAR T-cells /kg BW).
