id|nct_id|status|name|city|state|zip|country
214983986|NCT03706326|Recruiting|Professor Size Chen|Guangzhou|Guangdong|510080|China
214985065|NCT03064269|Recruiting|The First Affiliated Hospital of Soochow University|Suzhou|||China
214986634|NCT04903080||Ann & Robert H. Lurie Children's Hospital of Chicago|Chicago|Illinois|60611|United States
214986635|NCT04903080||Memorial Sloan Kettering Cancer Center|New York|New York|10065|United States
214986636|NCT04903080||Cincinnati Children's Hospital Medical Center|Cincinnati|Ohio|45229|United States
214986637|NCT04903080||Pittsburgh Children's Hospital of UPMC|Pittsburgh|Pennsylvania|15224|United States
214986638|NCT04903080||Texas Children's Cancer Center|Houston|Texas|77030|United States
214987145|NCT03767725|Recruiting|Shenzhen Second People's Hospital,The first affiliated hospital of Shenzhen University|Shenzhen|Guangdong|518035|China
214987363|NCT03916679|Recruiting|The Second Affiliated hospital of Zhejiang University School of Medicine|Hangzhou|Zhejiang|310009|China
214989735|NCT04697290||Beijing Tsinghua Changgung Hospital|Beijing|Beijing||China
214990927|NCT03289455||Great Ormond Street Hospital for Children NHS Foundation Trust|London|||United Kingdom
214990928|NCT03289455||University College London Hospitals NHS Foundation Trust|London|||United Kingdom
214990929|NCT03289455||Royal Manchester Children's Hospital|Manchester|||United Kingdom
213825946|NCT04691284|Recruiting|National Cancer Institute|Bratislava||83310|Slovakia
213825961|NCT04691713|Recruiting|Bin Hu Hospital|Hefei|Anhui|230601|China
214992050|NCT05275062|Recruiting|Chinese PLA GENERAL HOSPITAL|Beijing|Beijing||China
213827773|NCT05667506|Recruiting|Institute of Hematology & Blood Diseases Hospital|Tianjin|Tianjin||China
213827866|NCT05266950|Recruiting|Beijing Gaobo Boren Hospital|Beijing|Beijing|100070|China
213827969|NCT05098613|Recruiting|University of Colorado Hospital|Aurora|Colorado|80045|United States
214997679|NCT05181501||Anhui Provincial Cancer Hospital|Hefei|Anhui||China
214997680|NCT05181501||The First People's Hospital of Changzhou|Changzhou|Jiangsu||China
214997681|NCT05181501||Jiangsu Province Hospital|Nanjing|Jiangsu||China
214997682|NCT05181501||Nanjing Drum Tower Hospital|Nanjing|Jiangsu||China
213231971|NCT05577091||Beijing Tiantan Hospital|Beijing|Beijing|100070|China
213832104|NCT04723914|Recruiting|Shenzhen University General hospital|Shenzhen|Guangdong|518055|China
214397721|NCT02624258||Children's Hospital of Philadelphia|Philadelphia|Pennsylvania|19104|United States
213832676|NCT02937844|Recruiting|Sanbo Brain Hospital Capital Medical University|Beijing||100093|China
213832695|NCT02937103|Recruiting|Southwest Hospital of Third Millitary Medical University|Chongqing|Chongqing|400000|China
213832786|NCT02935153|Recruiting|Southwest Hospital of Third Millitary Medical University|Chongqing|Chongqing|400000|China
215001856|NCT03370198||Institut Jules Bordet|Brussels||1000|Belgium
213833643|NCT02919046|Recruiting|Nanjing Children's Hospital|Nanjing|Jiangsu|210008|China
213833644|NCT02919046|Recruiting|Children's Hospital of Fudan University|Shanghai|Shanghai|201102|China
215002787|NCT03356782|Recruiting|Shenzhen Geno-immune Medical Institute|Shenzhen|Guangdong|518000|China
215002916|NCT05239689|Recruiting|The first affiliated hospital of medical college of zhejiang university|Hangzhou|Zhejiang|310003|China
214400941|NCT04182581|Recruiting|First affiliated hospital of air force military medical university(i.e., Xijing Hopital)|Xi'an|Shanxi|710000|China
215008697|NCT03840317||Hebei Yanda Ludaopei Hospital|Langfang|Hebei|065000|China
214402352|NCT02672501|Recruiting|Shanghai Changhai Hospital，The Second Military Medical University|Shanghai|Shanghai|200090|China
215555956|NCT04981691|Recruiting|Department of Oncology, Ruijin Hospital|Shanghai||200025|China
214404771|NCT02644655|Recruiting|Eastern Hepatobiliary Surgery Hospital|Shanghai||200438|China
213236535|NCT05312411|Recruiting|Seattle Children's Hospital|Seattle|Washington|98105|United States
215013775|NCT03811457||Liaocheng People Hospital|Liaocheng|Shandong|252000|China
215014572|NCT05463640||Mingming Zhang Zhang|Hangzhou|||China
213236975|NCT05105152|Recruiting|Seattle Children's Hospital|Seattle|Washington|98105|United States
215556517|NCT05106907|Recruiting|The Affiliated Hospital of Xuzhou Medical University|Xuzhou|Jiangsu||China
215014853|NCT03798509|Recruiting|Shanghai General Hospital|Shanghai|Shanghai|200080|China
215015049|NCT03799913|Recruiting|The Second Affiliated hospital of Zhejiang University School of Medicine|Hangzhou|Zhejiang|310009|China
213839209|NCT05415475|Recruiting|The Second People's Hospital of Shandong Province|Jinan|Shandong|250000|China
213839592|NCT05075603|Recruiting|City of Hope|Duarte|California|91010|United States
213839593|NCT05075603|Recruiting|Barbara Ann Karmanos Cancer Hospital dba Karmanos Cancer Center|Detroit|Michigan|48201|United States
213839594|NCT05075603|Recruiting|Washington University in St. Louis|Saint Louis|Missouri|63110|United States
213839595|NCT05075603|Recruiting|Duke Cancer Institute|Durham|North Carolina|27710|United States
214407598|NCT04160195||National Institutes of Health Clinical Center|Bethesda|Maryland|20892|United States
215017012|NCT03720457|Recruiting|The Second Affiliated Hospital of Nanchang University|Nanchang|Jiangxi|330006|China
215017013|NCT03720457|Recruiting|Fudan University Zhongshan Hospital|Shanghai|Shanghai|200000|China
215017014|NCT03720457|Recruiting|The First Affilicated Hospital of Wenzhou Medical University|Wenzhou|Zhejiang|325003|China
213841418|NCT03768310||Houston Methodist Hosptial|Houston|Texas|77030|United States
213841419|NCT03768310||Texas Children's Hospital|Houston|Texas|77030|United States
213238838|NCT04571138|Recruiting|Children's Hospital Los Angeles|Los Angeles|California|90027|United States
213238839|NCT04571138|Recruiting|Children's National Hospital|Washington|District of Columbia|20010|United States
213238840|NCT04571138|Recruiting|Riley Hospital for Children|Indianapolis|Indiana|46202|United States
213238841|NCT04571138|Recruiting|Texas Children's Hospital|Houston|Texas|77030|United States
213238842|NCT04571138|Recruiting|Seattle Children's Hospital|Seattle|Washington|98105|United States
214409051|NCT05096234|Recruiting|Stanford University, School of Medicine|Stanford|California|94305|United States
215558158|NCT04436029||Center for Cancer and Blood Disorders|Bethesda|Maryland|20817|United States
215558159|NCT04436029||Hackensack University Medical Center|Hackensack|New Jersey|07601|United States
215558160|NCT04436029||Stephenson Cancer Center Oklahoma University Health Science Centers|Oklahoma City|Oklahoma|73104|United States
215558161|NCT04436029||Medical College of Wisconsin|Madison|Wisconsin|53226|United States
215558340|NCT05123209|Recruiting|Chinese PLA GENERAL HOSPITAL|Beijing|Beijing|100039|China
213239527|NCT04450069||City of Hope National Medical Center|Duarte|California|91010|United States
213239528|NCT04450069||University of California at San Diego|San Diego|California|92093|United States
213239529|NCT04450069||University of Chicago|Chicago|Illinois|60637|United States
213239530|NCT04450069||Masonic Cancer Center, University of Minnesota|Minneapolis|Minnesota|55455|United States
213239531|NCT04450069||Weill Cornell Medical College - New York Presbyterian Hospital|New York|New York|10065|United States
213239532|NCT04450069||Wake Forest Baptist Health|Winston-Salem|North Carolina|27157|United States
213239533|NCT04450069||Sarah Cannon Research Institute - Tennessee Oncology|Nashville|Tennessee|37203|United States
213239534|NCT04450069||Sarah Cannon Research Institute - Texas Transplant Institute|San Antonio|Texas|78229|United States
215019565|NCT03628612||University College London Hospitals NHS Foundation Trust|London|||United Kingdom
215019566|NCT03628612||Manchester Royal Infirmary Hospital|Manchester|||United Kingdom
215019567|NCT03628612||Royal Manchester Children's Hospital|Manchester|||United Kingdom
215019568|NCT03628612||Freeman Hospital, The Newcastle upon Tyne Hospitals NHS Foundation Trust|Newcastle Upon Tyne|||United Kingdom
215022192|NCT03198052|Recruiting|The First Affiliated Hospital of Sun Yat-sen University|Guangzhou|Guangdong|510072|China
215022193|NCT03198052|Recruiting|The Second Affiliated Hospital of Guangzhou Medical University|Guangzhou|Guangdong|510260|China
213847824|NCT05022849||City of Hope Cancer Center|Duarte|California|91010|United States
213847825|NCT05022849||Norton Cancer Institute|Louisville|Kentucky|40207|United States
213847826|NCT05022849||University Of Minnesota|Minneapolis|Minnesota|55455|United States
213847827|NCT05022849||Icahn School of Medicine at Mount Sinai|New York|New York|10029|United States
213847828|NCT05022849||Columbia University Medical Center|New York|New York|10032|United States
213847829|NCT05022849||Levine Cancer Institute|Charlotte|North Carolina|28204|United States
213847830|NCT05022849||University of Pennsylvania|Philadelphia|Pennsylvania|19104|United States
213847831|NCT05022849||University of Utah Huntsman Cancer Institute|Salt Lake City|Utah|84112|United States
213848541|NCT04923893|Recruiting|UCSF|San Francisco|California|94143|United States
213848542|NCT04923893|Recruiting|Yale Cancer Center|New Haven|Connecticut|06510|United States
213848543|NCT04923893|Recruiting|University of Miami Health System|Miami|Florida|33136|United States
213848544|NCT04923893|Recruiting|AdventHealth Cancer Institute|Orlando|Florida|32832|United States
213848545|NCT04923893|Recruiting|University of Iowa Hospitals & Clinics|Iowa City|Iowa|52242|United States
213848546|NCT04923893|Recruiting|University of Kentucky|Lexington|Kentucky|40536-0293|United States
213848547|NCT04923893|Recruiting|Norton Cancer Institute|Louisville|Kentucky|40207|United States
213848548|NCT04923893|Recruiting|University Of Maryland Medical Center|Baltimore|Maryland|21201-1595|United States
213848549|NCT04923893|Recruiting|Beth Israel Deaconess Medical Center|Boston|Massachusetts|02215|United States
213848550|NCT04923893|Recruiting|Barbara Ann Karmanos Cancer Institute|Detroit|Michigan|48201|United States
213848551|NCT04923893|Recruiting|Henry Ford Cancer Institute|Detroit|Michigan|48202-2608|United States
213848552|NCT04923893|Recruiting|Columbia University Medical Center|New York|New York|10032|United States
213848553|NCT04923893|Recruiting|Memorial Sloan-Kettering Cancer Center|New York|New York|10065|United States
213848554|NCT04923893|Recruiting|New York Presbyterian-Weill Cornell Medical College|New York|New York|10065|United States
213848555|NCT04923893|Recruiting|Levine Cancer Institute|Charlotte|North Carolina|28204|United States
213848556|NCT04923893|Recruiting|Thomas Jefferson University|Philadelphia|Pennsylvania|19107|United States
213848557|NCT04923893|Recruiting|University of Pittsburgh Medical Center|Pittsburgh|Pennsylvania|15232|United States
213848558|NCT04923893|Recruiting|University of Virginia|Charlottesville|Virginia|22903|United States
213848559|NCT04923893|Recruiting|Medical College Of Wisconsin|Milwaukee|Wisconsin|53226|United States
213848560|NCT04923893|Recruiting|Hospital Aleman|Buenos Aires||C1118AAT|Argentina
213848561|NCT04923893|Recruiting|Hospital Italiano de Buenos Aires|Buenos Aires||C1199ABD|Argentina
213848562|NCT04923893|Recruiting|Hospital Privado Centro Medico de Cordoba|Cordoba||X5016KEH|Argentina
213848563|NCT04923893|Recruiting|Royal Prince Alfred Hospital|Camperdown||2050|Australia
213848564|NCT04923893|Recruiting|St. Vincent's Hospital Melbourne|Fitzroy||3065|Australia
213848565|NCT04923893|Recruiting|Austin Health|Heidelberg||3084|Australia
213848566|NCT04923893|Recruiting|Royal Brisbane and Womens Hospital|Herston||4029|Australia
213848567|NCT04923893|Recruiting|Alfred Health|Melbourne||3004|Australia
213848568|NCT04923893|Recruiting|Peter MacCallum Cancer Centre|Melbourne||8006|Australia
213848569|NCT04923893|Recruiting|Fiona Stanley Hospital|Murdoch||6150|Australia
213848570|NCT04923893|Recruiting|Calvary Mater Newcastle Hospital|Waratah||2298|Australia
213848571|NCT04923893|Recruiting|Western Sydney Local Health District|Westmead||2145|Australia
213848572|NCT04923893|Recruiting|Medizinische Universität Graz, LKH-Univ.Klinikum Graz, Klinische Abteilung für Hämatologie|Graz||8036|Austria
213848573|NCT04923893|Recruiting|Krankenhaus der Elisabethinen Linz|Linz||4020|Austria
213848574|NCT04923893|Recruiting|LKH - Universitätsklinikum der PMU Salzburg|Salzburg||5020|Austria
213848575|NCT04923893|Recruiting|Medical University of Vienna,Universitätsklinik für Innere Medizin I|Vienna||1090|Austria
213848576|NCT04923893|Recruiting|Universitair Ziekenhuis - Antwerpen|Antwerp||2650|Belgium
213848577|NCT04923893|Recruiting|AZ St.-Jan Brugge-Oostende AV|Brugge||8000|Belgium
213848578|NCT04923893|Recruiting|UZ Gent|Gent||9000|Belgium
213848579|NCT04923893|Completed|UZ Leuven|Leuven||3000|Belgium
213848580|NCT04923893|Recruiting|Centre Hospitalier Universitaire de Liege Domaine Universitaire du Sart Tilman|Liege||B-4000|Belgium
213848581|NCT04923893|Recruiting|Hospital Sao Rafael|Salvador||41253-190|Brazil
213848582|NCT04923893|Recruiting|Fundacao Antonio Prudente - A.C. Camargo Cancer Center|Sao Paulo||01509900|Brazil
213848583|NCT04923893|Recruiting|Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein|São Paulo||05652-900|Brazil
213848584|NCT04923893|Recruiting|Tom Baker Cancer Centre|Calgary|Alberta|T2N 4N2|Canada
213848585|NCT04923893|Recruiting|Vancouver General Hospital|Vancouver|British Columbia|V5Z 1M9|Canada
213848586|NCT04923893|Recruiting|Juravinski Cancer Centre|Hamilton|Ontario|L8V5C2|Canada
213848587|NCT04923893|Recruiting|Princess Margaret Cancer Centre University Health Network|Toronto|Ontario|M5G2M9|Canada
213848588|NCT04923893|Recruiting|Hopital Maisonneuve-Rosemont|Montréal|Quebec|H1T 2M4|Canada
213848589|NCT04923893|Recruiting|Fakultni nemocnice Brno|Brno||625 00|Czechia
213848590|NCT04923893|Recruiting|Fakultni nemocnice Hradec Kralove|Hradec Kralove||500 05|Czechia
213848591|NCT04923893|Recruiting|Fakultni nemocnice Ostrava|Ostrava - Poruba||708 52|Czechia
213848592|NCT04923893|Recruiting|Vseobecna fakultni nemocnice v Praze|Praha 2||128 08|Czechia
213848593|NCT04923893|Recruiting|Aarhus University Hospital|Aarhus C||8000|Denmark
213848594|NCT04923893|Recruiting|Rigshospitalet|Copenhagen||2100|Denmark
213848595|NCT04923893|Recruiting|Odense Universitetshospital|Odense C||5000|Denmark
213848596|NCT04923893|Recruiting|Helsinki University Hospital|Helsinki||00029 HUS|Finland
213848597|NCT04923893|Recruiting|Oulu University Hospital|Oulu||90220|Finland
213848598|NCT04923893|Recruiting|Turku University Hospital|Turku||20520|Finland
213848599|NCT04923893|Recruiting|Centre Hospitalier Régional Universitaire de Lille, Hôpital Claude Huriez|Lille Cedex||59000|France
213848600|NCT04923893|Recruiting|C.H.U. Hotel Dieu - France|Nantes||44093|France
213848601|NCT04923893|Recruiting|Hopital Saint-Louis|Paris cedex 10||75475|France
213848602|NCT04923893|Recruiting|CHU Poitiers - Hôpital la Milétrie|Poitiers||86021|France
213848603|NCT04923893|Recruiting|Institut Universitaire du cancer de Toulouse-Oncopole|Toulouse cedex 9||31059|France
213848604|NCT04923893|Recruiting|Charité - Universitätsmedizin Berlin, Campus Benjamin Franklin|Berlin||12203|Germany
213848605|NCT04923893|Recruiting|Universitaetsklinikum Carl Gustav Carus TU Dresden|Dresden||01307|Germany
213848606|NCT04923893|Recruiting|Universitatsklinikum Freiburg|Freiburg||79106|Germany
213848607|NCT04923893|Recruiting|Universitaetsklinikum Hamburg Eppendorf|Hamburg||20246|Germany
213848608|NCT04923893|Recruiting|Universitaetsklinikum Heidelberg|Heidelberg||69120|Germany
213848609|NCT04923893|Recruiting|Universitaetsklinikum Leipzig|Leipzig||04103|Germany
213848610|NCT04923893|Recruiting|Universitätsmedizin der Johannes Gutenberg-Universität Mainz|Mainz||55131|Germany
213848611|NCT04923893|Recruiting|Klinikum Großhadern der Ludwig-Maximilians-Universität|München||81377|Germany
213848612|NCT04923893|Recruiting|Universitaetsklinikum Regensburg|Regensburg||93053|Germany
213848613|NCT04923893|Recruiting|Klinikum der Eberhard-Karls-Universität/Abt. für innere Med. II/Hämatologie/Onkologie-Germany|Tübingen||72076|Germany
213848614|NCT04923893|Recruiting|Universitätsklinikum Würzburg|Würzburg||97080|Germany
213848615|NCT04923893|Recruiting|Alexandra General Hospital of Athens|Athens||11528|Greece
213848616|NCT04923893|Recruiting|Attikon University General Hospital of Attica|Athens||12462|Greece
213848617|NCT04923893|Recruiting|G.Papanikolaou|Thessaloniki||57010|Greece
213848618|NCT04923893|Recruiting|Dél-pesti Centrumkórház - Országos Hematológiai és Infektológiai Intézet, Szent László Telephely|Budapest||1097|Hungary
213848619|NCT04923893|Recruiting|Debreceni Egyetem Klinikai Kozpont|Debrecen||4032|Hungary
213848620|NCT04923893|Recruiting|St James Hospital|Dublin||D08 NHY1|Ireland
213848621|NCT04923893|Recruiting|Hadassah University Hospita - Ein Kerem|Jerusalem||P.O.B. 12000|Israel
213848622|NCT04923893|Recruiting|Sheba Medical Center Tel Hashomer|Ramat Gan||52621|Israel
213848623|NCT04923893|Recruiting|Tel Aviv Sourasky Medical Center|Tel Aviv||64239|Israel
213848624|NCT04923893|Recruiting|Juntendo University Hospital|Bunkyo-Ku||113-8431|Japan
213848625|NCT04923893|Recruiting|Kyushu University Hospital|Fukuoka||812-8582|Japan
213848626|NCT04923893|Recruiting|Hyogo Medical University Hospital|Hyôgo||663-8501|Japan
213848627|NCT04923893|Recruiting|Kanazawa University Hospital|Kanazawa||920-8641|Japan
213848628|NCT04923893|Recruiting|University Hospital Kyoto Perfectural University of Medicine|Kyoto||602-8566|Japan
213848629|NCT04923893|Recruiting|Nagoya City University Hospital|Nagoya||467-8602|Japan
213848630|NCT04923893|Recruiting|Okayama University Hospital|Okayama||700-8558|Japan
213848631|NCT04923893|Recruiting|Hokkaido University Hospital|Sapporo||060-8648|Japan
213848632|NCT04923893|Recruiting|Tohoku University Hospital|Sendai||980-8574|Japan
213848633|NCT04923893|Recruiting|Japanese Red Cross Medical Center|Shibuya||150-8935|Japan
213848634|NCT04923893|Recruiting|Chonnam National University Hwasun Hospital|Jeollanam-do||58128|Korea, Republic of
213848635|NCT04923893|Recruiting|Seoul National University Hospital|Seoul||03080|Korea, Republic of
213848636|NCT04923893|Recruiting|Severance Hospital, Yonsei University Health System|Seoul||03722|Korea, Republic of
213848637|NCT04923893|Recruiting|Asan Medical Center|Seoul||05505|Korea, Republic of
213848638|NCT04923893|Recruiting|Samsung Medical Center|Seoul||06351|Korea, Republic of
213848639|NCT04923893|Recruiting|The Catholic University of Korea Seoul St. Mary's Hospital|Seoul||06591|Korea, Republic of
213848640|NCT04923893|Recruiting|University Medical Center Groningen|Groningen||9713 GZ|Netherlands
213848641|NCT04923893|Recruiting|UMC Radboud|Nijmegen||6500 HB|Netherlands
213848642|NCT04923893|Recruiting|Erasmus MC|Rotterdam||3075 EA|Netherlands
213848643|NCT04923893|Recruiting|Oslo universitetssykehus HF, Rikshospitalet|Oslo||0372|Norway
213848644|NCT04923893|Recruiting|Uniwersyteckie Centrum Kliniczne|Gdansk||80-214|Poland
213848645|NCT04923893|Recruiting|Narodowy Instytut Onkologii im.Marii Sklodowskiej Curie Panstwowy Instytut BadawczyOddz. w Gliwicach|Gliwice||44102|Poland
213848646|NCT04923893|Recruiting|Centrum Onkologii Ziemi Lubelskiej im. św. Jana z Dukli|Lublin||20-090|Poland
213848647|NCT04923893|Recruiting|Uniwersytecki Szpital Kliniczny w Poznaniu|Poznan||60-569|Poland
213848648|NCT04923893|Recruiting|Instytut Hematologii i Transfuzjologii|Warszawa||02-776|Poland
213848649|NCT04923893|Recruiting|Uniwersytecki Szpital Kliniczny im. Jana Mikulicza-Radeckiego we Wroclawiu|Wroclaw||52-007|Poland
213848650|NCT04923893|Recruiting|Instituto Portugues de Oncologia|Lisboa||1099-023|Portugal
213848651|NCT04923893|Recruiting|Instituto Portugues de Oncologia|Porto||4200072|Portugal
213848652|NCT04923893|Recruiting|Hosp. de La Santa Creu I Sant Pau|Barcelona||08025|Spain
213848653|NCT04923893|Recruiting|Hosp. Univ. Vall D Hebron|Barcelona||8035|Spain
213848654|NCT04923893|Recruiting|Instituto Catalan Deoncologia Hospital Duran I Reynals|L'Hospitalet de Llobregat||08908|Spain
213848655|NCT04923893|Recruiting|Hosp. Gral. Univ. Gregorio Maranon|Madrid||28007|Spain
213848656|NCT04923893|Recruiting|Hosp. Univ. 12 de Octubre|Madrid||28041|Spain
213848657|NCT04923893|Recruiting|Hosp. Univ. Virgen de La Arrixaca|Murcia||30120|Spain
213848658|NCT04923893|Recruiting|Clinica Univ. de Navarra|Pamplona||31008|Spain
213848659|NCT04923893|Recruiting|Hosp. Clinico Univ. de Salamanca|Salamanca||37007|Spain
213848660|NCT04923893|Recruiting|Hosp. Univ. Marques de Valdecilla|Santander||39008|Spain
213848661|NCT04923893|Recruiting|Hosp. Virgen Del Rocio|Sevilla||41013|Spain
213848662|NCT04923893|Recruiting|Hosp. Univ. I Politecni La Fe|Valencia||46026|Spain
213848663|NCT04923893|Completed|Sahlgrenska University Hospital|Goteborg||413 45|Sweden
213848664|NCT04923893|Recruiting|Universitetssjukhuset|Linköping||58185|Sweden
213848665|NCT04923893|Recruiting|Skane University Hospital|Lund||221 85|Sweden
213848666|NCT04923893|Recruiting|Universitatsspital Basel|Basel||4031|Switzerland
213848667|NCT04923893|Recruiting|INSELSPITAL, Universitätsspital Bern|Bern||3010|Switzerland
213848668|NCT04923893|Recruiting|Kantonsspital St.Gallen|St. Gallen||9007|Switzerland
213848669|NCT04923893|Recruiting|University Hospitals Birmingham NHS Trust,|Birmingham||B15 2TH|United Kingdom
213848670|NCT04923893|Recruiting|Bristol Royal Infirmary|Bristol||BS2 8BJ|United Kingdom
213848671|NCT04923893|Recruiting|Leeds Teaching Hospitals NHS Trust|Leeds,||LS9 7TF|United Kingdom
213848672|NCT04923893|Recruiting|University College Hospital|London||NW1 2BU|United Kingdom
213848673|NCT04923893|Recruiting|King's College Hospital|London||SE5 9RS|United Kingdom
213848674|NCT04923893|Recruiting|Manchester Royal Infirmary|Manchester||M13 9WL|United Kingdom
213848675|NCT04923893|Recruiting|The Royal Marsden NHS Trust Sutton|Surrey||SM2 5PT|United Kingdom
215024445|NCT02456350|Recruiting|Shenzhen Second People's Hospital, The First Affiliated Hospital of Shenzhen University|Shenzhen|Guangdong|518035|China
214411271|NCT04153799|Recruiting|Sun Yat-sen University Cancer Center|Guangzhou|Guangdong|510060|China
215027143|NCT03207178|Recruiting|Shanghai Longyao Biotechnology Inc., Ltd.|Shanghai|Jingan|200072|China
215028289|NCT03118180|Recruiting|the First Affiliated Hospital,School of Medicine, Zhejiang University|Hangzhou|Zhejiang|310003|China
215029109|NCT03185494||Biotherapeutic Department and Pediatrics Department of Chinese PLA General Hospital|Beijing|Beijing|100853|China
213850209|NCT04662099|Recruiting|Union Hospital, Tongji Medical College, Huazhong University of Science and Technology|Wuhan|Hubei|430022|China
215031819|NCT05008575|Recruiting|Department of Hematology, Xinqiao Hospital|Chongqing|Chongqing|400037|China
215033558|NCT03361748||Local Institution - 108|San Francisco|California|94143|United States
215033559|NCT03361748||Local Institution - 103|Atlanta|Georgia|30322|United States
215033560|NCT03361748||Local Institution - 107|Boston|Massachusetts|02114|United States
215033561|NCT03361748||Local Institution - 106|Boston|Massachusetts|02215|United States
215033562|NCT03361748||Local Institution - 105|Rochester|Minnesota|55905|United States
215033563|NCT03361748||Local Institution - 102|Hackensack|New Jersey|07601|United States
215033564|NCT03361748||Local Institution - 109|New York|New York|10029|United States
215033565|NCT03361748||Local Institution - 101|Nashville|Tennessee|37203|United States
215033566|NCT03361748||Local Institution - 104|Dallas|Texas|75390|United States
215033567|NCT03361748||Local Institution - 201|Leuven||B-3000|Belgium
215033568|NCT03361748||Local Institution - 301|Toronto|Ontario|M5G 2M9|Canada
215033569|NCT03361748||Local Institution - 402|Lille||59037|France
215033570|NCT03361748||Local Institution - 401|Nantes||44093|France
215033571|NCT03361748||Local Institution - 502|Heidelberg||69120|Germany
215033572|NCT03361748||Local Institution - 503|Tübingen||72076|Germany
215033573|NCT03361748||Local Institution - 501|Würzburg||97080|Germany
215033574|NCT03361748||Local Institution - 602|Bergamo||24128|Italy
215033575|NCT03361748||Local Institution - 601|Bologna||40138|Italy
215033576|NCT03361748||Local Institution - 803|Isehara City, Kanagawa||259-1193|Japan
215033577|NCT03361748||Local Institution - 801|Shibuya-ku||150-8935|Japan
215033578|NCT03361748||Local Institution - 802|Shimotsuke||329-0498|Japan
215033579|NCT03361748||Local Institution - 804|Shinjuku City||162-8666|Japan
215033580|NCT03361748||Local Institution - 702|Badalona (Barcelona)||08916|Spain
215033581|NCT03361748||Local Institution - 701|Pamplona||31008|Spain
214413344|NCT05574114|Recruiting|Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities)|Basking Ridge|New Jersey|07920|United States
214413345|NCT05574114|Recruiting|Memorial Sloan Kettering Monmouth (Limited Protocol Activities)|Middletown|New Jersey|07748|United States
214413346|NCT05574114|Recruiting|Memorial Sloan Kettering Bergen (Limited Protocol Activities)|Montvale|New Jersey|07645|United States
214413347|NCT05574114|Recruiting|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities)|Commack|New York|11725|United States
214413348|NCT05574114|Recruiting|Memorial Sloan Kettering Westchester (Limited Protocol Activities)|Harrison|New York|10604|United States
214413349|NCT05574114|Recruiting|Memorial Sloan Kettering Cancer Center|New York|New York|10065|United States
214413350|NCT05574114|Recruiting|Memorial Sloan Kettering Nassau (Limited Protocol Activities)|Uniondale|New York|11553|United States
214413368|NCT05535855|Recruiting|University of Colorado Hospital|Aurora|Colorado|80045|United States
