id|nct_id|mesh_term|downcase_mesh_term|mesh_type
103672519|NCT04581473|Antineoplastic Agents, Phytogenic|antineoplastic agents, phytogenic|mesh-ancestor
103672520|NCT04581473|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103672521|NCT04581473|Tubulin Modulators|tubulin modulators|mesh-ancestor
103672522|NCT04581473|Antimitotic Agents|antimitotic agents|mesh-ancestor
103672523|NCT04581473|Mitosis Modulators|mitosis modulators|mesh-ancestor
103672524|NCT04581473|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103672525|NCT04581473|Immunologic Factors|immunologic factors|mesh-ancestor
103672526|NCT04581473|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103672527|NCT04581473|Topoisomerase I Inhibitors|topoisomerase i inhibitors|mesh-ancestor
103672528|NCT04581473|Topoisomerase Inhibitors|topoisomerase inhibitors|mesh-ancestor
103672529|NCT04581473|Enzyme Inhibitors|enzyme inhibitors|mesh-ancestor
103672530|NCT04581473|Protein Kinase Inhibitors|protein kinase inhibitors|mesh-ancestor
103677461|NCT02443831|Cyclophosphamide|cyclophosphamide|mesh-list
103677462|NCT02443831|Fludarabine|fludarabine|mesh-list
103677463|NCT02443831|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103677464|NCT02443831|Immunologic Factors|immunologic factors|mesh-ancestor
103677465|NCT02443831|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103677466|NCT02443831|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103677467|NCT02443831|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103677468|NCT02443831|Alkylating Agents|alkylating agents|mesh-ancestor
103677469|NCT02443831|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103677470|NCT02443831|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103677471|NCT02443831|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103677644|NCT05202782|Zanubrutinib|zanubrutinib|mesh-list
103677645|NCT05202782|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103677646|NCT05202782|Protein Kinase Inhibitors|protein kinase inhibitors|mesh-ancestor
103677647|NCT05202782|Enzyme Inhibitors|enzyme inhibitors|mesh-ancestor
103677648|NCT05202782|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103677824|NCT05191472|Pembrolizumab|pembrolizumab|mesh-list
103677825|NCT05191472|Antineoplastic Agents, Immunological|antineoplastic agents, immunological|mesh-ancestor
103677826|NCT05191472|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103677827|NCT05191472|Immune Checkpoint Inhibitors|immune checkpoint inhibitors|mesh-ancestor
103677828|NCT05191472|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103680387|NCT04577326|Cyclophosphamide|cyclophosphamide|mesh-list
103680388|NCT04577326|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103680389|NCT04577326|Immunologic Factors|immunologic factors|mesh-ancestor
103680390|NCT04577326|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103680391|NCT04577326|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103680392|NCT04577326|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103680393|NCT04577326|Alkylating Agents|alkylating agents|mesh-ancestor
103680394|NCT04577326|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103680395|NCT04577326|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103680396|NCT04577326|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103388431|NCT05352828|Nivolumab|nivolumab|mesh-list
103612886|NCT03648697|Alkylating Agents|alkylating agents|mesh-ancestor
103615285|NCT03615313|Antibodies|antibodies|mesh-list
103616345|NCT03612739|Azacitidine|azacitidine|mesh-list
103529714|NCT04881240|Immunologic Factors|immunologic factors|mesh-ancestor
103692599|NCT03593109|Immunomodulating Agents|immunomodulating agents|mesh-list
103692600|NCT03593109|Immunologic Factors|immunologic factors|mesh-ancestor
103692601|NCT03593109|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103695722|NCT04412889|Immunomodulating Agents|immunomodulating agents|mesh-list
103695723|NCT04412889|Immunologic Factors|immunologic factors|mesh-ancestor
103695724|NCT04412889|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103697139|NCT03380039|Cyclophosphamide|cyclophosphamide|mesh-list
103697140|NCT03380039|Fludarabine|fludarabine|mesh-list
103697141|NCT03380039|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103697142|NCT03380039|Immunologic Factors|immunologic factors|mesh-ancestor
103697143|NCT03380039|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103697144|NCT03380039|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103697145|NCT03380039|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103697146|NCT03380039|Alkylating Agents|alkylating agents|mesh-ancestor
103697147|NCT03380039|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103697148|NCT03380039|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103697149|NCT03380039|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103420404|NCT04442022|Hormones|hormones|mesh-ancestor
103701277|NCT03322735|Cyclophosphamide|cyclophosphamide|mesh-list
103701278|NCT03322735|Fludarabine|fludarabine|mesh-list
103701279|NCT03322735|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103701280|NCT03322735|Immunologic Factors|immunologic factors|mesh-ancestor
103701281|NCT03322735|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103701282|NCT03322735|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103701283|NCT03322735|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103701284|NCT03322735|Alkylating Agents|alkylating agents|mesh-ancestor
103701285|NCT03322735|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103701286|NCT03322735|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103701287|NCT03322735|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103706333|NCT03344705|Cyclophosphamide|cyclophosphamide|mesh-list
103706334|NCT03344705|Fludarabine|fludarabine|mesh-list
103706335|NCT03344705|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103706336|NCT03344705|Immunologic Factors|immunologic factors|mesh-ancestor
103706337|NCT03344705|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103706338|NCT03344705|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103706339|NCT03344705|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103706340|NCT03344705|Alkylating Agents|alkylating agents|mesh-ancestor
103706341|NCT03344705|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103706342|NCT03344705|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103706343|NCT03344705|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103707636|NCT05016063|Fludarabine|fludarabine|mesh-list
103707637|NCT05016063|Cyclophosphamide|cyclophosphamide|mesh-list
103707638|NCT05016063|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103707639|NCT05016063|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103707640|NCT05016063|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103707641|NCT05016063|Immunologic Factors|immunologic factors|mesh-ancestor
103707642|NCT05016063|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103707643|NCT05016063|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103707644|NCT05016063|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103707645|NCT05016063|Alkylating Agents|alkylating agents|mesh-ancestor
103707646|NCT05016063|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103712357|NCT05179603|Pembrolizumab|pembrolizumab|mesh-list
103712358|NCT05179603|Antineoplastic Agents, Immunological|antineoplastic agents, immunological|mesh-ancestor
103712359|NCT05179603|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103712360|NCT05179603|Immune Checkpoint Inhibitors|immune checkpoint inhibitors|mesh-ancestor
103712361|NCT05179603|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103718166|NCT04745559|Heptavalent Pneumococcal Conjugate Vaccine|heptavalent pneumococcal conjugate vaccine|mesh-list
103718167|NCT04745559|Immunologic Factors|immunologic factors|mesh-ancestor
103718168|NCT04745559|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103718251|NCT01318317|Plerixafor|plerixafor|mesh-list
103718252|NCT01318317|Rituximab|rituximab|mesh-list
103718253|NCT01318317|Antineoplastic Agents, Immunological|antineoplastic agents, immunological|mesh-list
103718254|NCT01318317|Antibodies|antibodies|mesh-list
103718255|NCT01318317|Immunoglobulins|immunoglobulins|mesh-list
103718256|NCT01318317|Antibodies, Monoclonal|antibodies, monoclonal|mesh-list
103718257|NCT01318317|Lenograstim|lenograstim|mesh-list
103718258|NCT01318317|Immunologic Factors|immunologic factors|mesh-ancestor
103718259|NCT01318317|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103718260|NCT01318317|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103718261|NCT01318317|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103718262|NCT01318317|Adjuvants, Immunologic|adjuvants, immunologic|mesh-ancestor
103718263|NCT01318317|Anti-HIV Agents|anti-hiv agents|mesh-ancestor
103718264|NCT01318317|Anti-Retroviral Agents|anti-retroviral agents|mesh-ancestor
103718265|NCT01318317|Antiviral Agents|antiviral agents|mesh-ancestor
103718266|NCT01318317|Anti-Infective Agents|anti-infective agents|mesh-ancestor
103721566|NCT05515185|Cyclophosphamide|cyclophosphamide|mesh-list
103721567|NCT05515185|Fludarabine|fludarabine|mesh-list
103721568|NCT05515185|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103721569|NCT05515185|Immunologic Factors|immunologic factors|mesh-ancestor
103721570|NCT05515185|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103721571|NCT05515185|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103721572|NCT05515185|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103721573|NCT05515185|Alkylating Agents|alkylating agents|mesh-ancestor
103721574|NCT05515185|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103721575|NCT05515185|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103721576|NCT05515185|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103721862|NCT03173417|Cyclophosphamide|cyclophosphamide|mesh-list
103721863|NCT03173417|Fludarabine|fludarabine|mesh-list
103721864|NCT03173417|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103721865|NCT03173417|Immunologic Factors|immunologic factors|mesh-ancestor
103721866|NCT03173417|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103721867|NCT03173417|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103721868|NCT03173417|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103721869|NCT03173417|Alkylating Agents|alkylating agents|mesh-ancestor
103721870|NCT03173417|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103721871|NCT03173417|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103721872|NCT03173417|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103724018|NCT05422521|Fluorodeoxyglucose F18|fluorodeoxyglucose f18|mesh-list
103724019|NCT05422521|Radiopharmaceuticals|radiopharmaceuticals|mesh-ancestor
103724020|NCT05422521|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103727622|NCT03182803|Antibodies|antibodies|mesh-list
103727623|NCT03182803|Immunologic Factors|immunologic factors|mesh-ancestor
103727624|NCT03182803|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103728340|NCT05385263|Nivolumab|nivolumab|mesh-list
103728341|NCT05385263|Antineoplastic Agents, Immunological|antineoplastic agents, immunological|mesh-ancestor
103728342|NCT05385263|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103728343|NCT05385263|Immune Checkpoint Inhibitors|immune checkpoint inhibitors|mesh-ancestor
103728344|NCT05385263|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103729770|NCT02659943|Cyclophosphamide|cyclophosphamide|mesh-list
103729771|NCT02659943|Fludarabine|fludarabine|mesh-list
103729772|NCT02659943|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103729773|NCT02659943|Immunologic Factors|immunologic factors|mesh-ancestor
103729774|NCT02659943|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103729775|NCT02659943|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103729776|NCT02659943|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103729777|NCT02659943|Alkylating Agents|alkylating agents|mesh-ancestor
103729778|NCT02659943|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103729779|NCT02659943|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103729780|NCT02659943|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103737948|NCT05633615|Cyclophosphamide|cyclophosphamide|mesh-list
103737949|NCT05633615|Fludarabine|fludarabine|mesh-list
103737950|NCT05633615|Tisagenlecleucel|tisagenlecleucel|mesh-list
103737951|NCT05633615|Axicabtagene ciloleucel|axicabtagene ciloleucel|mesh-list
103737952|NCT05633615|Antibodies|antibodies|mesh-list
103737953|NCT05633615|Immunoglobulins|immunoglobulins|mesh-list
103737954|NCT05633615|Antibodies, Monoclonal|antibodies, monoclonal|mesh-list
103737955|NCT05633615|Antibodies, Bispecific|antibodies, bispecific|mesh-list
103737956|NCT05633615|Immunoconjugates|immunoconjugates|mesh-list
103737957|NCT05633615|Polatuzumab vedotin|polatuzumab vedotin|mesh-list
103737958|NCT05633615|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103737959|NCT05633615|Immunologic Factors|immunologic factors|mesh-ancestor
103737960|NCT05633615|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103737961|NCT05633615|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103737962|NCT05633615|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103737963|NCT05633615|Alkylating Agents|alkylating agents|mesh-ancestor
103737964|NCT05633615|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103737965|NCT05633615|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103737966|NCT05633615|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103737967|NCT05633615|Antineoplastic Agents, Immunological|antineoplastic agents, immunological|mesh-ancestor
103740256|NCT05442580|Cyclophosphamide|cyclophosphamide|mesh-list
103740257|NCT05442580|Fludarabine|fludarabine|mesh-list
103740258|NCT05442580|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103740259|NCT05442580|Immunologic Factors|immunologic factors|mesh-ancestor
103740260|NCT05442580|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103740261|NCT05442580|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103740262|NCT05442580|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103740263|NCT05442580|Alkylating Agents|alkylating agents|mesh-ancestor
103740264|NCT05442580|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103740265|NCT05442580|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103740266|NCT05442580|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103740846|NCT04877613|Cyclophosphamide|cyclophosphamide|mesh-list
103740847|NCT04877613|Fludarabine|fludarabine|mesh-list
103740848|NCT04877613|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103740849|NCT04877613|Immunologic Factors|immunologic factors|mesh-ancestor
103740850|NCT04877613|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103740851|NCT04877613|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103740852|NCT04877613|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103740853|NCT04877613|Alkylating Agents|alkylating agents|mesh-ancestor
103740854|NCT04877613|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103740855|NCT04877613|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103740856|NCT04877613|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103741273|NCT04484012|Acalabrutinib|acalabrutinib|mesh-list
103741274|NCT04484012|Tyrosine Protein Kinase Inhibitors|tyrosine protein kinase inhibitors|mesh-list
103741275|NCT04484012|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103741276|NCT04484012|Protein Kinase Inhibitors|protein kinase inhibitors|mesh-ancestor
103741277|NCT04484012|Enzyme Inhibitors|enzyme inhibitors|mesh-ancestor
103741278|NCT04484012|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103753079|NCT04796675|Cyclophosphamide|cyclophosphamide|mesh-list
103753080|NCT04796675|Fludarabine|fludarabine|mesh-list
103753081|NCT04796675|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103753082|NCT04796675|Immunologic Factors|immunologic factors|mesh-ancestor
103753083|NCT04796675|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103753084|NCT04796675|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103753085|NCT04796675|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103753086|NCT04796675|Alkylating Agents|alkylating agents|mesh-ancestor
103753087|NCT04796675|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103753088|NCT04796675|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103753089|NCT04796675|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103760293|NCT04134325|Pembrolizumab|pembrolizumab|mesh-list
103760294|NCT04134325|Nivolumab|nivolumab|mesh-list
103760295|NCT04134325|Antineoplastic Agents, Immunological|antineoplastic agents, immunological|mesh-ancestor
103760296|NCT04134325|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103760297|NCT04134325|Immune Checkpoint Inhibitors|immune checkpoint inhibitors|mesh-ancestor
103760298|NCT04134325|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103761617|NCT04892277|Cyclophosphamide|cyclophosphamide|mesh-list
103761618|NCT04892277|Bendamustine Hydrochloride|bendamustine hydrochloride|mesh-list
103761619|NCT04892277|Fludarabine|fludarabine|mesh-list
103761620|NCT04892277|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103761621|NCT04892277|Immunologic Factors|immunologic factors|mesh-ancestor
103761622|NCT04892277|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103761623|NCT04892277|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103761624|NCT04892277|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103761625|NCT04892277|Alkylating Agents|alkylating agents|mesh-ancestor
103761626|NCT04892277|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103761627|NCT04892277|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103761628|NCT04892277|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103762134|NCT05528887|Cyclophosphamide|cyclophosphamide|mesh-list
103762135|NCT05528887|Fludarabine|fludarabine|mesh-list
103762136|NCT05528887|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103762137|NCT05528887|Immunologic Factors|immunologic factors|mesh-ancestor
103762138|NCT05528887|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103762139|NCT05528887|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103762140|NCT05528887|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103762141|NCT05528887|Alkylating Agents|alkylating agents|mesh-ancestor
103762142|NCT05528887|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103762143|NCT05528887|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103762144|NCT05528887|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103762366|NCT05523661|Dasatinib|dasatinib|mesh-list
103762367|NCT05523661|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103762368|NCT05523661|Protein Kinase Inhibitors|protein kinase inhibitors|mesh-ancestor
103762369|NCT05523661|Enzyme Inhibitors|enzyme inhibitors|mesh-ancestor
103762370|NCT05523661|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103776553|NCT02348216|Cyclophosphamide|cyclophosphamide|mesh-list
103776554|NCT02348216|Fludarabine|fludarabine|mesh-list
103776555|NCT02348216|Axicabtagene ciloleucel|axicabtagene ciloleucel|mesh-list
103776556|NCT02348216|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103776557|NCT02348216|Immunologic Factors|immunologic factors|mesh-ancestor
103776558|NCT02348216|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103776559|NCT02348216|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103776560|NCT02348216|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103776561|NCT02348216|Alkylating Agents|alkylating agents|mesh-ancestor
103776562|NCT02348216|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103776563|NCT02348216|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103776564|NCT02348216|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103776565|NCT02348216|Antineoplastic Agents, Immunological|antineoplastic agents, immunological|mesh-ancestor
103782692|NCT03651128|Dexamethasone|dexamethasone|mesh-list
103782693|NCT03651128|Lenalidomide|lenalidomide|mesh-list
103782694|NCT03651128|Bortezomib|bortezomib|mesh-list
103782695|NCT03651128|Daratumumab|daratumumab|mesh-list
103782696|NCT03651128|Pomalidomide|pomalidomide|mesh-list
103782697|NCT03651128|Ixazomib|ixazomib|mesh-list
103782698|NCT03651128|Elotuzumab|elotuzumab|mesh-list
103782699|NCT03651128|Anti-Inflammatory Agents|anti-inflammatory agents|mesh-ancestor
103782700|NCT03651128|Antiemetics|antiemetics|mesh-ancestor
103782701|NCT03651128|Autonomic Agents|autonomic agents|mesh-ancestor
103782702|NCT03651128|Peripheral Nervous System Agents|peripheral nervous system agents|mesh-ancestor
103782703|NCT03651128|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103782704|NCT03651128|Gastrointestinal Agents|gastrointestinal agents|mesh-ancestor
103782705|NCT03651128|Glucocorticoids|glucocorticoids|mesh-ancestor
103782706|NCT03651128|Hormones|hormones|mesh-ancestor
103782707|NCT03651128|Hormones, Hormone Substitutes, and Hormone Antagonists|hormones, hormone substitutes, and hormone antagonists|mesh-ancestor
103782708|NCT03651128|Antineoplastic Agents, Hormonal|antineoplastic agents, hormonal|mesh-ancestor
103782709|NCT03651128|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103782710|NCT03651128|Immunologic Factors|immunologic factors|mesh-ancestor
103782711|NCT03651128|Angiogenesis Inhibitors|angiogenesis inhibitors|mesh-ancestor
103782712|NCT03651128|Angiogenesis Modulating Agents|angiogenesis modulating agents|mesh-ancestor
103782713|NCT03651128|Growth Substances|growth substances|mesh-ancestor
103782714|NCT03651128|Growth Inhibitors|growth inhibitors|mesh-ancestor
103782715|NCT03651128|Protease Inhibitors|protease inhibitors|mesh-ancestor
103782716|NCT03651128|Enzyme Inhibitors|enzyme inhibitors|mesh-ancestor
103782717|NCT03651128|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103786584|NCT04150913|Axicabtagene ciloleucel|axicabtagene ciloleucel|mesh-list
103786585|NCT04150913|Interleukin 1 Receptor Antagonist Protein|interleukin 1 receptor antagonist protein|mesh-list
103786586|NCT04150913|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103786587|NCT04150913|Antineoplastic Agents, Immunological|antineoplastic agents, immunological|mesh-ancestor
103786588|NCT04150913|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103787812|NCT01454596|Aldesleukin|aldesleukin|mesh-list
103787813|NCT01454596|Cyclophosphamide|cyclophosphamide|mesh-list
103787814|NCT01454596|Fludarabine|fludarabine|mesh-list
103787815|NCT01454596|Mitogens|mitogens|mesh-list
103787816|NCT01454596|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103787817|NCT01454596|Immunologic Factors|immunologic factors|mesh-ancestor
103787818|NCT01454596|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103787819|NCT01454596|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103787820|NCT01454596|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103787821|NCT01454596|Alkylating Agents|alkylating agents|mesh-ancestor
103787822|NCT01454596|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
