id|nct_id|document_type|has_protocol|has_icf|has_sap|document_date|url
2815115|NCT02030847|Study Protocol and Statistical Analysis Plan|t|f|t|2017-04-14|https://ClinicalTrials.gov/ProvidedDocs/47/NCT02030847/Prot_SAP_001.pdf
2799111|NCT05404048|Study Protocol and Statistical Analysis Plan|t|f|t|2022-01-12|https://ClinicalTrials.gov/ProvidedDocs/48/NCT05404048/Prot_SAP_000.pdf
2782678|NCT03019055|Study Protocol and Statistical Analysis Plan|t|f|t|2019-06-18|https://ClinicalTrials.gov/ProvidedDocs/55/NCT03019055/Prot_SAP_000.pdf
2782679|NCT03019055|Informed Consent Form|f|t|f|2019-07-09|https://ClinicalTrials.gov/ProvidedDocs/55/NCT03019055/ICF_001.pdf
2800567|NCT03338972|Study Protocol and Statistical Analysis Plan|t|f|t|2020-10-07|https://ClinicalTrials.gov/ProvidedDocs/72/NCT03338972/Prot_SAP_000.pdf
2817108|NCT02348216|Study Protocol|t|f|f|2019-02-11|https://ClinicalTrials.gov/ProvidedDocs/16/NCT02348216/Prot_000.pdf
2817109|NCT02348216|Statistical Analysis Plan|f|f|t|2019-07-08|https://ClinicalTrials.gov/ProvidedDocs/16/NCT02348216/SAP_001.pdf
2782968|NCT05032820|Study Protocol and Statistical Analysis Plan|t|f|t|2022-03-10|https://ClinicalTrials.gov/ProvidedDocs/20/NCT05032820/Prot_SAP_000.pdf
2782969|NCT05032820|Informed Consent Form: Informed Consent to Participate in Research|f|t|f|2022-07-11|https://ClinicalTrials.gov/ProvidedDocs/20/NCT05032820/ICF_001.pdf
2782970|NCT05032820|Informed Consent Form: Pregnancy Partner Informed Consent Form|f|t|f|2022-03-03|https://ClinicalTrials.gov/ProvidedDocs/20/NCT05032820/ICF_002.pdf
2800778|NCT03287804|Study Protocol|t|f|f|2018-06-27|https://ClinicalTrials.gov/ProvidedDocs/04/NCT03287804/Prot_000.pdf
2800779|NCT03287804|Statistical Analysis Plan|f|f|t|2020-04-21|https://ClinicalTrials.gov/ProvidedDocs/04/NCT03287804/SAP_001.pdf
2817876|NCT01454596|Study Protocol and Statistical Analysis Plan|t|f|t|2018-06-28|https://ClinicalTrials.gov/ProvidedDocs/96/NCT01454596/Prot_SAP_000.pdf
2817877|NCT01454596|Informed Consent Form|f|t|f|2018-07-10|https://ClinicalTrials.gov/ProvidedDocs/96/NCT01454596/ICF_001.pdf
2817887|NCT02215967|Study Protocol and Statistical Analysis Plan|t|f|t|2017-09-21|https://ClinicalTrials.gov/ProvidedDocs/67/NCT02215967/Prot_SAP_000.pdf
2817888|NCT02215967|Informed Consent Form|f|t|f|2017-10-16|https://ClinicalTrials.gov/ProvidedDocs/67/NCT02215967/ICF_001.pdf
2809725|NCT02601313|Study Protocol|t|f|f|2018-10-29|https://ClinicalTrials.gov/ProvidedDocs/13/NCT02601313/Prot_000.pdf
2809726|NCT02601313|Statistical Analysis Plan|f|f|t|2019-07-08|https://ClinicalTrials.gov/ProvidedDocs/13/NCT02601313/SAP_001.pdf
2792209|NCT01218867|Study Protocol and Statistical Analysis Plan|t|f|t|2015-07-01|https://ClinicalTrials.gov/ProvidedDocs/67/NCT01218867/Prot_SAP_000.pdf
2792210|NCT01218867|Informed Consent Form|f|t|f|2015-07-15|https://ClinicalTrials.gov/ProvidedDocs/67/NCT01218867/ICF_001.pdf
2775385|NCT03049449|Study Protocol and Statistical Analysis Plan|t|f|t|2020-10-19|https://ClinicalTrials.gov/ProvidedDocs/49/NCT03049449/Prot_SAP_000.pdf
2775386|NCT03049449|Informed Consent Form|f|t|f|2020-10-09|https://ClinicalTrials.gov/ProvidedDocs/49/NCT03049449/ICF_001.pdf
2810053|NCT02706392|Study Protocol and Statistical Analysis Plan|t|f|t|2021-09-16|https://ClinicalTrials.gov/ProvidedDocs/92/NCT02706392/Prot_SAP_000.pdf
2783459|NCT02028455|Study Protocol|t|f|f|2020-06-04|https://ClinicalTrials.gov/ProvidedDocs/55/NCT02028455/Prot_000.pdf
2783460|NCT02028455|Statistical Analysis Plan|f|f|t|2021-02-09|https://ClinicalTrials.gov/ProvidedDocs/55/NCT02028455/SAP_001.pdf
2810117|NCT02535364|Study Protocol|t|f|f|2016-07-14|https://ClinicalTrials.gov/ProvidedDocs/64/NCT02535364/Prot_000.pdf
2810118|NCT02535364|Statistical Analysis Plan|f|f|t|2016-11-09|https://ClinicalTrials.gov/ProvidedDocs/64/NCT02535364/SAP_001.pdf
2775613|NCT01583686|Study Protocol and Statistical Analysis Plan|t|f|t|2018-04-12|https://ClinicalTrials.gov/ProvidedDocs/86/NCT01583686/Prot_SAP_000.pdf
2775614|NCT01583686|Informed Consent Form|f|t|f|2018-05-01|https://ClinicalTrials.gov/ProvidedDocs/86/NCT01583686/ICF_001.pdf
2784124|NCT02650999|Study Protocol and Statistical Analysis Plan|t|f|t|2018-10-21|https://ClinicalTrials.gov/ProvidedDocs/99/NCT02650999/Prot_SAP_000.pdf
2784125|NCT02650999|Informed Consent Form|f|t|f|2018-12-20|https://ClinicalTrials.gov/ProvidedDocs/99/NCT02650999/ICF_001.pdf
2792870|NCT00902044|Informed Consent Form|f|t|f|2020-03-30|https://ClinicalTrials.gov/ProvidedDocs/44/NCT00902044/ICF_000.pdf
2793183|NCT03624036|Study Protocol|t|f|f|2021-09-01|https://ClinicalTrials.gov/ProvidedDocs/36/NCT03624036/Prot_000.pdf
2793184|NCT03624036|Statistical Analysis Plan|f|f|t|2021-01-21|https://ClinicalTrials.gov/ProvidedDocs/36/NCT03624036/SAP_001.pdf
2801886|NCT00924326|Study Protocol and Statistical Analysis Plan|t|f|t|2018-08-23|https://ClinicalTrials.gov/ProvidedDocs/26/NCT00924326/Prot_SAP_000.pdf
2801887|NCT00924326|Informed Consent Form|f|t|f|2020-06-24|https://ClinicalTrials.gov/ProvidedDocs/26/NCT00924326/ICF_002.pdf
2793591|NCT03483103|Study Protocol|t|f|f|2021-08-16|https://ClinicalTrials.gov/ProvidedDocs/03/NCT03483103/Prot_000.pdf
2793592|NCT03483103|Statistical Analysis Plan|f|f|t|2021-07-29|https://ClinicalTrials.gov/ProvidedDocs/03/NCT03483103/SAP_001.pdf
