id|nct_id|role|name|affiliation
31430608|NCT02917083|Principal Investigator|Carlos A Ramos, MD|Baylor College of Medicine
31348365|NCT02958384|Principal Investigator|Cheng Qian, MD, PhD|Biotherapy Center of Southwest Hospital
31430757|NCT04303247|Principal Investigator|Xi Zhang, MD phD|Xinqiao Hospital of Chongqing
31431327|NCT04295018|Principal Investigator|Daobin Zhou|Peking Union Medical College Hospital
31431328|NCT04295096|Principal Investigator|Jun Zhu, M.D.|Zhaxin Hospital of Integrated Traditional Chinese and Western Medicine, Shanghai
31431418|NCT02575261|Study Chair|Lizhi Niu, PhD|Fuda Cancer Hospital
31431831|NCT03483103|Study Director|Bristol-Myers Squibb|Bristol-Myers Squibb
31608687|NCT04473937|Principal Investigator|Chirayu G Patel, MD, MPH|Massachusetts General Hospital
31432024|NCT04093648|Principal Investigator|Andras Heczey, MD|Baylor College of Medicine
31351351|NCT02963038|Principal Investigator|Jianmin Luo, PhD & MD|The Second Hospital of Hebei Medical University
31351762|NCT02968472|Study Chair|Huang Jianzhang, Doctor|Shenzhen immune gene therapy research institute
31249822|NCT03030001|Study Chair|Qijun Qian, PhD|Shanghai Cell Therapy Engineering Research Institute
31516909|NCT03690011|Principal Investigator|Rayne Rouce, MD|Pediatrics, Baylor College of Medicine
31516910|NCT03690011|Principal Investigator|LaQuisa Hill, MD|Baylor College of Medicine
31516911|NCT03690011|Principal Investigator|Maksim Mamonkin, PhD|Baylor College of Medicine
31516953|NCT02431988|Study Chair|Karl Peggs|University College, London
31433250|NCT05451212|Study Chair|Medical Director|Cabaletta Bio
31433340|NCT05077527|Principal Investigator|Ariela Noy|AIDS Malignancy Consortium
31433543|NCT03635632|Principal Investigator|Bilal Omer, MD|Baylor College of Medicine
31250332|NCT05241392|Principal Investigator|Nan Ji, Dr.|Beijing Tiantan Hospital
31517289|NCT05666700|Principal Investigator|Simon Harrison|Peter MacCallum Cancer Centre, Australia
31517427|NCT03854994|Study Director|Peixian Zhang|Kunming Yan'an Hospital
31354794|NCT02958410|Principal Investigator|Cheng Qian, MD, PhD|Biotherapy Center of Southwest Hospital
31354957|NCT02965092|Principal Investigator|Yu Hu, M.D., Ph.D|Wuhan Union Hospital, China
31435604|NCT03744676|Study Director|Bristol-Myers Squibb|Bristol-Myers Squibb
31435691|NCT04162353|Principal Investigator|Hongyu Zhang, MD/PhD|Peking University Shenzhen Hospital, China
31435692|NCT04162353|Principal Investigator|Fang Liu, MD/PhD|Chengdu Military General Hospital
31435711|NCT04162119|Study Chair|Quanshun Wang|Hainan Hospital of Chinese PLA General Hospital
31435712|NCT04162119|Study Director|Wenshuai Zheng|Hainan Hospital of Chinese PLA General Hospital
31435713|NCT04162119|Study Director|Lixun Guan|Hainan Hospital of Chinese PLA General Hospital
31435714|NCT04162119|Principal Investigator|Lu Wang|Hainan Hospital of Chinese PLA General Hospital
31435715|NCT04162119|Principal Investigator|Yuanyuan Xu|Hainan Hospital of Chinese PLA General Hospital
31435716|NCT04162119|Principal Investigator|Zhenyang Guan|Hainan Hospital of Chinese PLA General Hospital
31435878|NCT04156269|Principal Investigator|Hongyu Zhang, MD, PhD|Peking University Shenzhen Hospital
31435879|NCT04156269|Principal Investigator|Fang Liu, MD, PhD|Chengdu Military General Hospital
31356249|NCT05518253|Principal Investigator|Weijia Fang, M.D|The First Affiliated Hospital, Zhejiang University
31356282|NCT05468190|Principal Investigator|Quanli Gao, M.D|Henan Cancer Hospital
31356296|NCT05442515|Principal Investigator|Nirali N Shah, M.D.|National Cancer Institute (NCI)
31356312|NCT05420545|Principal Investigator|Jianfeng Bi, M.D|The Second People's Hospital of Shandong Province
31356313|NCT05420519|Principal Investigator|Jianfeng Bi, M.D|The Second People's Hospital of Shandong Province
31356328|NCT05400109|Principal Investigator|Changchun Deng, MD|University Hospitals Cleveland Medical Center, Case Comprehensive Cancer Center
31356511|NCT05035407|Principal Investigator|Scott M Norberg, D.O.|National Cancer Institute (NCI)
31356525|NCT05003895|Principal Investigator|Tim F Greten, M.D.|National Cancer Institute (NCI)
31356740|NCT04420754|Study Director|Sonal Gupta, MD PhD|AffyImmune Therapeutics, Inc.
31610330|NCT01953900|Principal Investigator|Lisa L Wang, MD|Baylor College of Medicine
31610331|NCT01953900|Principal Investigator|Sarah Whittle, MD|Pediatrics, Baylor College of Medicine
31610332|NCT01953900|Principal Investigator|Cliona Rooney, PhD|Baylor College of Medicine
31356874|NCT04029038|Principal Investigator|Jin S Im|M.D. Anderson Cancer Center
31436921|NCT03741127|Study Director|Rajesh Belani, M.D.|Sponsor Executive Medical Director
31357181|NCT02315612|Principal Investigator|Nirali N Shah, M.D.|National Cancer Institute (NCI)
31436930|NCT03601078|Study Director|Bristol-Myers Squibb|Bristol-Myers Squibb
31437260|NCT05286164|Principal Investigator|Ron Ram, Prof.|Sourasky Medical Center
31610553|NCT03927261|Study Director|Amy R. Lankford, PhD|Precigen, Inc
31437817|NCT03614858|Principal Investigator|Xiaowen Tang, Ph.D.|The First Affiliated Hospital of Soochow University
31437851|NCT05064787|Principal Investigator|Sherry Adkins, MSN|The University of Texas MD Anderson Cancer Center
31358545|NCT01853631|Principal Investigator|Carlos A Ramos, MD|Baylor College of Medicine
31610964|NCT04581473|Principal Investigator|Lin Shen, Professor|Peking University Cancer Hospital & Institute
31610965|NCT04581473|Principal Investigator|Xianjun Yu, Professor|Fudan University
31438808|NCT03617198|Principal Investigator|Pablo Tebas, MD|University of Pennsylvania
31438826|NCT02844062|Principal Investigator|Zhixiong Lin, MD|Capital Medical University
31518399|NCT05404048|Principal Investigator|Tom van Meerten, MD,PhD|UMCG
31358940|NCT04316624|Principal Investigator|Dehui Zou|Institute of Hematology & Blood Diseases Hostipal
31358984|NCT04036019|Principal Investigator|Aibin Liang, MD,Ph.D.|Shanghai Tongji Hospital, Tongji University School of Medicine
31439727|NCT05627323|Study Director|Jason Litten, MD|Chimeric Therapeutics
31439821|NCT05117008|Principal Investigator|Meera Mohan, MD, MS|Medical College of Wisconsin
31439835|NCT04984356|Study Director|Jan Davidson, MD|Wugen, Inc.
31440734|NCT05168748|Study Director|Novartis Pharmaceuticals|Novartis Pharmaceuticals
31251740|NCT05509530|Principal Investigator|Kailin Xu, M.D., Ph.D.|Xuzhou Medical University
31442251|NCT02537977|Principal Investigator|Aibin Liang, MD,Ph.D.|Shanghai Tongji Hospital, Tongji University School of Medicine
31611801|NCT03497533|Principal Investigator|Ming Zhou|Hunan Provincial People's Hospital
31442305|NCT05379569|Principal Investigator|Xianmin Song, MD|Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine
31442704|NCT05639972|Principal Investigator|Christian S Hinrichs, MD|Rutgers Cancer Institute of New Jersey
31520444|NCT04288726|Principal Investigator|Carlos Ramos, MD|Baylor College of Medicine
31520573|NCT03685786|Principal Investigator|Weihong Chen, M.D., Ph.D.|The second people's hospital of Shenzhen, The first affiliated hospital of Shenzhen University
31520574|NCT03685786|Principal Investigator|Xin Du, M.D., Ph.D.|The second people's hospital of Shenzhen, The first affiliated hospital of Shenzhen University
31520575|NCT03685786|Principal Investigator|Xiaochun Wan, Ph.D.|Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences
31443374|NCT05588440|Principal Investigator|Michael Wang|MD Anderson
31443375|NCT05588440|Principal Investigator|Matthew Wei|City of Hope Medical Center
31252372|NCT04544592|Principal Investigator|Amy Keating, MD|Children's Hospital Colorado
31612635|NCT02443831|Study Chair|Persis Amrolia|UCL Institute of Child Health
31522257|NCT03932565|Principal Investigator|Bingmu Fang, M.D|Lishui Country People's Hospital
31612681|NCT05202782|Principal Investigator|Reem Karmali, MD|Northwestern University
31522535|NCT03642496|Principal Investigator|He Peng cheng, Doctor|First Affiliated Hospital of Xian JiaotongUniversity
31612740|NCT05191472|Principal Investigator|Alfred Chung, MD|University of California, San Francisco
31444704|NCT05172596|Study Director|Novartis Pharmaceuticals|Novartis Pharmaceuticals
31523315|NCT03574168|Principal Investigator|Peihua Lu, MD, PhD|Hebei Yanda Ludaopei Hospital
31363259|NCT03085173|Principal Investigator|Jae Park, MD|Memorial Sloan Kettering Cancer Center
31523649|NCT03907527|Study Director|Amy R. Lankford, PhD|Precigen, Inc
31523818|NCT03893019|Principal Investigator|Peter Borchmann, Prof.|Universitätsklinikum Köln
31613157|NCT04219163|Principal Investigator|LaQuisa Hill, MD|Cell and Gene Therapy, Baylor College of Medicine
31523944|NCT03338972|Principal Investigator|Damian J. Green|Fred Hutch/University of Washington Cancer Consortium
31524043|NCT03884751|Principal Investigator|Qin shukui, Pro|The 81st Hospital of PLA
31524044|NCT03884751|Principal Investigator|Zhai bo, Pro|RenJi Hospital
31253479|NCT04394650|Study Director|Bristol-Myers Squibb|Bristol-Myers Squibb
31253501|NCT03081910|Principal Investigator|Rayne Rouce, MD|Baylor College of Medicine
31613497|NCT05206357|Study Director|ABBVIE INC.|AbbVie
31524386|NCT03563326|Principal Investigator|Jian-Kun Hu, M.D. Ph.D.|West China Hospital
31613585|NCT04577326|Principal Investigator|Roisin O'Cearbhaill, MD|Memorial Sloan Kettering Cancer Center
31613685|NCT03792633|Principal Investigator|Shannon Maude, MD, PhD|Children's Hospital of Philadelphia
31446212|NCT03666000|Study Chair|Monika Vainorius, MD|Precision BioSciences, Inc.
31364141|NCT04514029|Principal Investigator|Joseph Maakaron, MD|Masonic Cancer Center, University of Minnesota
31525143|NCT05103631|Principal Investigator|Tannaz Armaghany, MD|Baylor College of Medicine
31525144|NCT05094206|Principal Investigator|Nirav Shah, MD|Medical College of Wisconsin
31525217|NCT04633148|Principal Investigator|Ralf Bargou, Prof.|Wuerzburg University Hospital
31525240|NCT04464200|Principal Investigator|Jae Park, MD|Memorial Sloan Kettering Cancer Center
31525273|NCT04196491|Study Director|Bristol-Myers Squibb|Bristol-Myers Squibb
31254094|NCT04605666|Principal Investigator|Qi-fa Liu, MD|Nanfang Hospital, Southern Medical University
31254100|NCT04531046|Principal Investigator|Roch Houot, PhD|Rennes University Hospital, Rennes, France
31254101|NCT04531046|Principal Investigator|François Lemonnier, PhD|Henri Mondor Hospital, Créteil, France
31525330|NCT03448393|Principal Investigator|Haneen Shalabi, D.O.|National Cancer Institute (NCI)
31446839|NCT04185038|Study Chair|Nick Vitanza, MD|Seattle Children's Hospital
31446985|NCT02723942|Study Chair|Lizhi Niu, PhD|Fuda Cancer Hospital
31446998|NCT02715362|Principal Investigator|Xu Aimin, Doctor|RenJi Hospital
31447244|NCT02706782|Principal Investigator|Xu Aimin, Doctor|RenJi Hospital
31525987|NCT03287804|Study Director|Autolus Limited|Sponsor GmbH
31615129|NCT03323944|Principal Investigator|Mark O'Hara, MD|Assistant Professor of Medicine, Penn Medicine
31449587|NCT02813837|Study Director|Yu Hu, Ph.D|Union Hospital,Tong Ji Medical College,Huazhong University of Science and Technology
31449588|NCT02813837|Study Director|He Huang, Ph.D|The First Affiliated Hospital of the College of Medicine, Zhejiang University
31366456|NCT04691284|Study Chair|Luboš Drgoňa, Assoc. Prof.|National Cancer Institute, Slovakia
31366457|NCT04691284|Study Chair|Michal Mego, prof.|National Cancer Institute, Slovakia
31255588|NCT05621096|Principal Investigator|Christopher D'Angelo, MD|University of Nebraska
31616355|NCT03497819|Principal Investigator|Mengtao Zhou, MD|First Affiliated Hospital of Wenzhou Medical University
31366976|NCT05667506|Principal Investigator|Xiaofan Zhu, M.D|Institute of Hematology & Blood Diseases Hospital
31450047|NCT02794961|Principal Investigator|KaiLin Xu, MD. Ph.D.|Xuzhou Medical University
31367026|NCT05266950|Principal Investigator|Jing Pan, MD/PhD|Beijing Gaobo Boren Hospital
31367056|NCT05098613|Principal Investigator|Manali Kamdar, MD|University of Colorado, Denver
31617118|NCT01865617|Principal Investigator|Jordan Gauthier|Fred Hutch/University of Washington Cancer Consortium
31617363|NCT05320081|Principal Investigator|Jianfeng Zhou|Huazhong University of Science and Technology
31617409|NCT04938115|Principal Investigator|Peihua MD Lu, PhD|Hebei Yanda Ludaopei Hospital
31617567|NCT03593109|Principal Investigator|Aili He, MD, PhD|Second Affiliated Hospital of Xi'an Jiaotong University
31617761|NCT04928105|Principal Investigator|Peihua MD Lu, PhD|Hebei Yanda Ludaopei Hospital
31367454|NCT04723914|Principal Investigator|Li Yu, Dr|Shenzhen University General Hospital
31528200|NCT05268172|Principal Investigator|quan liu, doctor|Affiliated Hospital of Jiangnan University
31528201|NCT05268172|Study Director|liu quan, doctor|Affiliated Hospital of Jiangnan University
31367660|NCT02937103|Study Chair|Cheng Qian, MD, PhD|Biotherapy Center of Southwest Hospital
31367708|NCT02935153|Study Chair|Cheng Qian, MD, PhD|Biotherapy Center of Southwest Hospital
31256410|NCT05070156|Principal Investigator|Qing Xu|Shanghai 10th People's Hospital
31256420|NCT05013372|Principal Investigator|Xiaojun Huang, MD. PhD.|Peking University People's Hospital
31256428|NCT04214886|Principal Investigator|Nasheed Hossain, MD|Loyola University
31256445|NCT05621486|Principal Investigator|Jin Li, MD, PhD|Shanghai East Hospital
31451414|NCT02765243|Principal Investigator|Lihua Yang, M.D., Ph.D.|Southern Medical University, China
31451415|NCT02765243|Study Director|Lung-Ji Chang, Ph.D.|Shenzhen Genoimmune Medical Institute
31368022|NCT02919046|Principal Investigator|Yongjun Fang, Ph.D|Nanjing Children's Hospital
31368023|NCT02919046|Principal Investigator|Kuiran Dong, Ph.D|Children's Hospital of Fudan University
31618578|NCT04412889|Principal Investigator|Peihua Lu, PhD&MD|Hebei Yanda Ludaopei Hospital
31618620|NCT04447573|Principal Investigator|Peihua Lu, PhD&MD|Beijing Lu Daopei Hospital
31452604|NCT02735291|Principal Investigator|Zhimin Zhai, Professor|Chief physician
31452605|NCT02735291|Study Director|Hui Liao, Doctor|Chief physician
31618910|NCT03904069|Study Director|MD|Amgen
31452729|NCT02737085|Principal Investigator|Jieping Chen, MD,PhD|Department of Hematology, Southwest Hospital, Third Military Medical University
31618959|NCT04506983|Study Director|Gong Li, M.A.|Beijing Tsinghua Changgeng Hospital
31619059|NCT03380039|Principal Investigator|Siguo Hao, MD|Xin Hua Hospital of Shanghai Jiao Tong University of Medicine
31453487|NCT05260957|Principal Investigator|Lazaros Lekakis, MD|University of Miami
31453760|NCT04162340|Principal Investigator|Hongyu Zhang, MD/PhD|Peking University Shenzhen Hospital, China
31453761|NCT04162340|Principal Investigator|Fang Liu, MD/PhD|Chengdu Military Hospital
31529544|NCT02186860|Principal Investigator|Liangding Hu, M.D.|Affiliated Hospital to Academy of Military Medical Sciences
31218906|NCT05204160|Principal Investigator|Ajay K Nooka, MD,MPH,FACP|Emory University
31453950|NCT05263817|Principal Investigator|He Huang, PhD|First Affiliated Hospital of Zhejiang University
31619529|NCT05127135|Principal Investigator|Wang Xingbing|The First Affiliated Hospital of USTC (Anhui Provincial Hospital)
31369285|NCT05415475|Principal Investigator|Jingwang Bi, M.D|The Second People's Hospital of Shandong Province
31454518|NCT02617134|Principal Investigator|Lin Yang, Ph.D.|PersonGen BioTherapeutics (Suzhou) Co., Ltd.
31619686|NCT03349255|Principal Investigator|Qibin Song, M.D./Ph.D.|Renmin Hospital of Wuhan University
31258440|NCT05431608|Principal Investigator|Sham Mailankody, MBBS|Memorial Sloan Kettering Cancer Center
31454834|NCT04156178|Principal Investigator|Hongyu Zhang, MD, PhD|Peking University Shenzhen Hospital
31454835|NCT04156178|Principal Investigator|Fang Liu, MD, PhD|Chengdu Military General Hospital
31530192|NCT02259556|Study Chair|Weidong Han, Ph.D|Chinese PLA General Hospital
31369866|NCT03768310|Principal Investigator|Rayne H Rouce, MD|Baylor College of Medicine
31455331|NCT04151186|Study Chair|Helong Zhang, professor|IEC of Institution for National Drug Clinical Trials ,Tangdu Hospital
31259548|NCT02663297|Principal Investigator|Natalie Grover, MD|Clinical Director of Cellular Therapy Program
31259560|NCT02159495|Principal Investigator|Lihua E. Budde|City of Hope Medical Center
31530582|NCT05239676|Principal Investigator|He Huang, PhD|First Affiliated Hospital of Zhejiang University
31370533|NCT05022849|Study Director|Janssen Research & Development, LLC Clinical Trial|Janssen Research & Development, LLC
31370555|NCT04923893|Study Director|Janssen Research & Development, LLC Clinical Trial|Janssen Research & Development, LLC
31370615|NCT04662099|Principal Investigator|Heng Mei, M.D., Ph.D|Wuhan Union Hospital, China
31455878|NCT02624258|Principal Investigator|Susan Rheingold, MD|Children's Hospital of Philadelphia
31370723|NCT04181827|Study Director|Janssen Research & Development, LLC Clinical Trial|Janssen Research & Development, LLC
31370731|NCT04133636|Study Director|Janssen Research & Development, LLC Clinical Trial|Janssen Research & Development, LLC
31260276|NCT03013712|Study Chair|Xiao-an Li, PhD|First Affiliated Hospital of Chengdu Medical College
31370912|NCT01430390|Principal Investigator|Kevin Curran, MD|Memorial Sloan Kettering Cancer Center
31456373|NCT04182581|Principal Investigator|Xiequn Chen, Doctor|First affiliated hospital of air force military medical university(i.e., Xijing Hopital)
31620531|NCT03322735|Principal Investigator|Yongping Song|Henan Cancer Hospital
31456589|NCT02672501|Principal Investigator|Jianmin Yang, Doctor|Shanghai Changhai Hospital，The Second Military Medical University
31531331|NCT01109095|Principal Investigator|Nabil Ahmed, MD|Baylor College of Medicine - Texas Children's Hospital
31457034|NCT02644655|Study Chair|Qijun Qian, PHD|Eastern Hepatobiliary Surgery Hospital
31261020|NCT03602612|Principal Investigator|James N Kochenderfer, M.D.|National Cancer Institute (NCI)
31457379|NCT04160195|Principal Investigator|James N Kochenderfer, M.D.|National Cancer Institute (NCI)
31371392|NCT04723901|Principal Investigator|Li Yu, Dr|Shenzhen University General Hospital
31457675|NCT05096234|Principal Investigator|David Miklos, MD, PhD|Stanford University
31531759|NCT05371093|Study Director|Kite Study Director|Kite, A Gilead Company
31531760|NCT05364424|Study Director|Clinical Trials|Hoffmann-La Roche
31531829|NCT04989803|Study Director|Kite Study Director|Kite, A Gilead Company
31531844|NCT04897321|Principal Investigator|Chris DeRenzo, MD|St. Jude Children's Research Hospital
31458495|NCT05574114|Principal Investigator|Lia Palomba, MD|Memorial Sloan Kettering Cancer Center
31458500|NCT05535855|Principal Investigator|Marc Schwartz, MD|University of Colorado, Denver
31372068|NCT04655677|Principal Investigator|Daobin Zhou, PhD&MD|Peking Union Medical College Hospital
31458572|NCT05010564|Principal Investigator|Bahey Salem, MD|Baylor College of Medicine
31458573|NCT05010564|Principal Investigator|Nabil Ahmed, MD|Baylor College of Medicine
31531939|NCT04196413|Principal Investigator|Michelle Monje|Stanford University
31458620|NCT04555551|Principal Investigator|Sham Mailankody, MBBS|Memorial Sloan Kettering Cancer Center
31372134|NCT04653493|Principal Investigator|Tahereh Rostami, M.D|Research Institute for Oncology- Hematology and Cell Therapy (RIOHCT), Tehran University of Medical Sciences, Tehran, Iran
31372135|NCT04653493|Study Director|Naser Ahmadbeigi, PhD|Gene Therapy Research Center, Shariati hospital, Tehran University of Medical Sciences, Tehran, Iran
31261843|NCT02050347|Principal Investigator|Carlos A Ramos, MD|Baylor College of Medicine
31621084|NCT03312205|Study Chair|Peggy Lu, PhD & MD|Hebei Yanda Ludaopei Hospital
31621198|NCT05044039|Principal Investigator|Armin Ghobadi, M.D.|Washington University School of Medicine
31372271|NCT04637269|Study Chair|Xi Zhang|Xinqiao Hospital of Chongqing
31262141|NCT05445765|Principal Investigator|Peihua Lu, MD|Hebei Yanda Lu Daopei Hospital
31621534|NCT03281551|Principal Investigator|Shengdian Wang|Insitute of Biophysics,Chinese Academy of Sciences
31621626|NCT03356795|Principal Investigator|Lung-Ji Chang, PhD|Shenzhen Geno-Immune Medical Institute
31262739|NCT05141253|Principal Investigator|Qinglei Gao, MD. PhD|Tongji Hospital
31461875|NCT04094766|Principal Investigator|Aili He, MD, PhD|Second Affiliated Hospital of Xi'an Jiaotong University
31263593|NCT03029273|Principal Investigator|Shiyue Li, MD|Guangzhou Institute of Respiratory Disease, The First Affiliated Hospital of Guangzhou Medical University
31263594|NCT03029273|Principal Investigator|Chengzhi Zhou, MD|Guangzhou Institute of Respiratory Disease, The First Affiliated Hospital of Guangzhou Medical University
31463047|NCT02587689|Principal Investigator|Lin Yang, Ph.D.|PersonGen BioTherapeutics (Suzhou) Co., Ltd.
31533618|NCT03874897|Principal Investigator|Lin Shen|Peking University Cancer Hospital & Institute
31622029|NCT04500431|Principal Investigator|Aibin Liang, MD, Ph.D|Shanghai Tongji Hospital, Tongji University School of Medicine
31263911|NCT04499573|Principal Investigator|Michael Maschan|National Research Center for Pediatric Hematology , Moscow, Russian Federation
31533718|NCT03929107|Principal Investigator|Wenbin Qian, MD，PhD|Zhejiang University
31622075|NCT03121625|Principal Investigator|Lihong Liu, PhD & MD|Hebei Medical University Fourth Hospital
31464835|NCT03740256|Principal Investigator|Bora Lim, MD|Baylor College of Medicine
31622224|NCT03344705|Principal Investigator|Hongmei Jing, MD|Peking University Third Hospital
31264365|NCT04351022|Principal Investigator|Xiaowen Tang, Ph.D|The First Affiliated Hospital of Soochow University
31264429|NCT04835519|Principal Investigator|Jing Pan, MD/PhD|Beijing Boren Hospital
31466124|NCT02631044|Study Director|Bristol-Myers Squibb|Bristol-Myers Squibb
31466852|NCT04067414|Principal Investigator|Lugui Qiu, MD|Institute of Hematology & Blood Diseases Hospital
31265412|NCT02959151|Principal Investigator|Wentao Li, doctor|Fudan University
31467266|NCT04561557|Principal Investigator|Wei Wang, MD|Tongji Hospital
31265564|NCT05362331|Principal Investigator|Rahul Banerjee, MD|University of California, San Francisco
31534887|NCT00924326|Principal Investigator|Steven A Rosenberg, M.D., Ph.D.|National Cancer Institute (NCI)
31266058|NCT02445222|Study Director|Novartis Pharmaceuticals|Novartis Pharmaceuticals
31622677|NCT05016063|Principal Investigator|xi zhang, PhD/MD|Department of Hematology, Xinqiao Hospital
31266098|NCT02976857|Principal Investigator|Jianyong Li|The First Affiliated Hospital with Nanjing Medical University
31266177|NCT04003649|Principal Investigator|Behnam Badie|City of Hope Medical Center
31469149|NCT00889954|Principal Investigator|Stepehen Gottschalk, MD|Baylor College of Medicine - Texas Children's Hospital
31469220|NCT04037566|Principal Investigator|Guangxun GAO, Dr.|Xijing Hospital
31266245|NCT02975687|Principal Investigator|Jianxiang Wang, Dr.|Institute of Hematology & Blood Diseases Hospital
31535317|NCT03483688|Principal Investigator|Daobin Zhou|Peking Union Medical College Hospital
31535654|NCT03716856|Principal Investigator|Jie Jin, MD|First Affiliated Hospital of Zhejiang University
31535655|NCT03716856|Principal Investigator|Haitao Meng, MD|First Affiliated Hospital of Zhejiang University
31535680|NCT03902197|Principal Investigator|Zhiguo Chen, PhD|Xuanwu Hospital, Beijing
31535681|NCT03902197|Principal Investigator|Huyong Zheng, MD, PhD|Beijing Children's Hospital
31266721|NCT03430011|Study Director|Ronald Dubowy, MD|Bristol-Myers Squibb
31622964|NCT03076437|Principal Investigator|Mingjun Wang, MD,PhD|Shenzhen Institute for Innovation and Translational Medicine
31622965|NCT03076437|Principal Investigator|Yirong Jiang, MD|Dongguan People's Hospital
31535982|NCT03881761|Study Chair|Yongping Song, Dr.|Henan Cancer Hospital
31471365|NCT05350852|Principal Investigator|He Huang, Doctor|The first hospital affiliated Zhejiang University
31471417|NCT03825718|Principal Investigator|Peihua Lu, MD/PHD|HeiBei YanDa Ludaopei hospital
31472038|NCT05201781|Study Director|Janssen Research & Development, LLC Clinical Trial|Janssen Research & Development, LLC
31536731|NCT03711864|Principal Investigator|Daobin Zhou, M.D.|Peking Union Medical College Hospital
31624182|NCT05179603|Study Director|Clinical Sciences & Operations|Sanofi
31624215|NCT03283631|Principal Investigator|Daniel Landi, MD|Duke University
31624216|NCT03283631|Principal Investigator|David Ashley, MBBS, FRACP, PhD|Duke University
31624331|NCT03267173|Study Director|Wei Yunwei, Dctor|First Affiliated Hospital of Harbin Medical University
31472776|NCT04008394|Principal Investigator|Heng Mei, M.D. Ph.D|Wuhan Union Hospital, China
31267926|NCT00586391|Principal Investigator|Carlos Ramos, MD|Baylor College of Medicine
31268058|NCT05445011|Principal Investigator|Heng Mei|Wuhan Union Hospital, China
31473094|NCT04048434|Principal Investigator|Sascha David, MD|Hannover Medical School
31268426|NCT05326243|Study Chair|Chen-Lung Lin, MD|Pell Bio-Med Technology Co., Ltd.
31538210|NCT04823091|Principal Investigator|Heng Mei|Wuhan Union Hospital, China
31538618|NCT03814447|Principal Investigator|Hui Zhao, doctor|Shanghai 6th People's Hospital
31538629|NCT05164042|Principal Investigator|Li Yu, Dr|Shenzhen University General Hospital
31268964|NCT03019055|Principal Investigator|Nirav Shah, MD|Medical College of Wisconsin
31475718|NCT03573700|Principal Investigator|Aimee C. Talleur, MD|St. Jude Children's Research Hospital
31539383|NCT05176275|Principal Investigator|Liyan Miao|The First Affiliated Hospital of Soochow University
31476425|NCT02547948|Study Chair|Lizhi Niu, PhD|Fuda Cancer Hospital
31476437|NCT04010877|Principal Investigator|Lung-Ji Chang, Ph.D|Shenzhen Geno-Immune Medical Institute
31539490|NCT03790891|Principal Investigator|Yao Hongxia|Hainan General Hospital
