id|nct_id|ctgov_group_code|result_type|title|description
59010248|NCT01583686|FG004|Participant Flow|Arm A05 Anti-mesothelin CAR PBL 1x10^8 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010249|NCT01583686|OG000|Outcome|Arm A01 Anti-mesothelin CAR PBL 1x10^6 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010250|NCT01583686|OG001|Outcome|Arm A02 Anti-mesothelin CAR PBL 3x10^6 + IL-2|"1/Phase I:~Drug: Fludarabine Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010251|NCT01583686|OG002|Outcome|Arm A03 Anti-mesothelin CAR PBL 1x10^7 + IL-2|"1/Phase I:~Drug: Fludarabine Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010252|NCT01583686|OG003|Outcome|Arm A04 Anti-mesothelin CAR PBL 3x10^7 + IL-2|"1/Phase I:~Drug: Fludarabine Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010253|NCT01583686|OG004|Outcome|Arm A05 Anti-mesothelin CAR PBL 1x10^8 + IL-2|"1/Phase I:~Drug: Fludarabine Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010254|NCT01583686|OG000|Outcome|Arm A01 Anti-mesothelin CAR PBL 1x10^6 + IL-2|"1/Phase I:~Drug: Fludarabine Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010255|NCT01583686|OG001|Outcome|Arm A02 Anti-mesothelin CAR PBL 3x10^6 + IL-2|"1/Phase I:~Drug: Fludarabine Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010256|NCT01583686|OG002|Outcome|Arm A03 Anti-mesothelin CAR PBL 1x10^7 + IL-2|"1/Phase I:~Drug: Fludarabine Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010257|NCT01583686|EG000|Reported Event|Arm A01 Anti-mesothelin CAR PBL 1x10^6 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010258|NCT01583686|EG001|Reported Event|Arm A02 Anti-mesothelin CAR PBL 3x10^6 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010259|NCT01583686|EG002|Reported Event|Arm A03 Anti-mesothelin CAR PBL 1x10^7 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010260|NCT01583686|EG003|Reported Event|Arm A04 Anti-mesothelin CAR PBL 3x10^7 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010261|NCT01583686|EG004|Reported Event|Arm A05 Anti-mesothelin CAR PBL 1x10^8 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59165641|NCT03019055|BG000|Baseline|CAR-20/19-T Cells (1.0 x10^5 CAR-20/19-T Cells/kg)|"Dose Escalation Phase: CAR-20/19-T transduced with a lentiviral vector to express an anti CD19 and anti CD20 tandem receptor coupled to CD3ζ and 4-1BB signaling domains will be administered by IV injection. Patients will receive one of four dose levels based the study protocol. Cells will be given over 2 days, 30% of cells infused on Day 0 and 70% of cells infused on Day 1 in the Phase 1 portion and as a single infusion in the Phase 1b portion.~CAR-20/19-T cells (1.0 x10^5 CAR-20/19-T cells/kg): CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection.~Phase 1 Dose Level 0: 2.5 x10^5 CAR-20/19-T cells/kg (starting dose level)"
59165642|NCT03019055|BG001|Baseline|CAR-20/19-T Cells (2.5 x10^5 CAR-20/19-T Cells/kg)|"Dose Escalation Phase: CAR-20/19-T transduced with a lentiviral vector to express an anti CD19 and anti CD20 tandem receptor coupled to CD3ζ and 4-1BB signaling domains will be administered by IV injection. Patients will receive one of four dose levels based the study protocol. Cells will be given over 2 days, 30% of cells infused on Day 0 and 70% of cells infused on Day 1 in the Phase 1 portion and as a single infusion in the Phase 1b portion.~CAR-20/19-T cells (2.5 x10^5 CAR-20/19-T cells/kg): CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection.~Phase 1 Dose Level 1: 7.5 x10^5 CAR-20/19-T cells/kg"
59165643|NCT03019055|BG002|Baseline|CAR-20/19-T Cells (7.5 x10^5 CAR-20/19-T Cells/kg)|"Dose Escalation Phase: CAR-20/19-T transduced with a lentiviral vector to express an anti CD19 and anti CD20 tandem receptor coupled to CD3ζ and 4-1BB signaling domains will be administered by IV injection. Patients will receive one of four dose levels based the study protocol. Cells will be given over 2 days, 30% of cells infused on Day 0 and 70% of cells infused on Day 1 in the Phase 1 portion and as a single infusion in the Phase 1b portion.~CAR-20/19-T cells (7.5 x10^5 CAR-20/19-T cells/kg): CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection.~Phase 1 Dose Level 2: 2.5 x10^6 CAR-20/19-T cells/kg (goal cell dose)~Phase 1b Expansion Dose Level: 2.5 x 10^6 cells/kg (single infusion)"
59165644|NCT03019055|BG003|Baseline|CAR-20/19-T Cells (2.5 x10^6 CAR-20/19-T Cells/kg)|"Dose Escalation Phase: CAR-20/19-T transduced with a lentiviral vector to express an anti CD19 and anti CD20 tandem receptor coupled to CD3ζ and 4-1BB signaling domains will be administered by IV injection. Patients will receive one of four dose levels based the study protocol. Cells will be given over 2 days, 30% of cells infused on Day 0 and 70% of cells infused on Day 1 in the Phase 1 portion and as a single infusion in the Phase 1b portion.~CAR-20/19-T cells (2.5 x10^6 CAR-20/19-T cells/kg): CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection."
59165645|NCT03019055|BG004|Baseline|Total|Total of all reporting groups
59165646|NCT03019055|FG000|Participant Flow|CAR-20/19-T Cells (1.0 x10^5 CAR-20/19-T Cells/kg)|"Dose Escalation Phase: CAR-20/19-T transduced with a lentiviral vector to express an anti CD19 and anti CD20 tandem receptor coupled to CD3ζ and 4-1BB signaling domains will be administered by IV injection. Patients will receive one of four dose levels based the study protocol. Cells will be given over 2 days, 30% of cells infused on Day 0 and 70% of cells infused on Day 1 in the Phase 1 portion and as a single infusion in the Phase 1b portion.~CAR-20/19-T cells (1.0 x10^5 CAR-20/19-T cells/kg): CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection.~Phase 1 Dose Level 0: 2.5 x10^5 CAR-20/19-T cells/kg (starting dose level)"
59165647|NCT03019055|FG001|Participant Flow|CAR-20/19-T Cells (2.5 x10^5 CAR-20/19-T Cells/kg)|"Dose Escalation Phase: CAR-20/19-T transduced with a lentiviral vector to express an anti CD19 and anti CD20 tandem receptor coupled to CD3ζ and 4-1BB signaling domains will be administered by IV injection. Patients will receive one of four dose levels based the study protocol. Cells will be given over 2 days, 30% of cells infused on Day 0 and 70% of cells infused on Day 1 in the Phase 1 portion and as a single infusion in the Phase 1b portion.~CAR-20/19-T cells (2.5 x10^5 CAR-20/19-T cells/kg): CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection.~Phase 1 Dose Level 1: 7.5 x10^5 CAR-20/19-T cells/kg"
59165648|NCT03019055|FG002|Participant Flow|CAR-20/19-T Cells (7.5 x10^5 CAR-20/19-T Cells/kg)|"Dose Escalation Phase: CAR-20/19-T transduced with a lentiviral vector to express an anti CD19 and anti CD20 tandem receptor coupled to CD3ζ and 4-1BB signaling domains will be administered by IV injection. Patients will receive one of four dose levels based the study protocol. Cells will be given over 2 days, 30% of cells infused on Day 0 and 70% of cells infused on Day 1 in the Phase 1 portion and as a single infusion in the Phase 1b portion.~CAR-20/19-T cells (7.5 x10^5 CAR-20/19-T cells/kg): CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection.~Phase 1 Dose Level 2: 2.5 x10^6 CAR-20/19-T cells/kg (goal cell dose)~Phase 1b Expansion Dose Level: 2.5 x 10^6 cells/kg (single infusion)"
59165649|NCT03019055|FG003|Participant Flow|CAR-20/19-T Cells (2.5 x10^6 CAR-20/19-T Cells/kg)|"Dose Escalation Phase: CAR-20/19-T transduced with a lentiviral vector to express an anti CD19 and anti CD20 tandem receptor coupled to CD3ζ and 4-1BB signaling domains will be administered by IV injection. Patients will receive one of four dose levels based the study protocol. Cells will be given over 2 days, 30% of cells infused on Day 0 and 70% of cells infused on Day 1 in the Phase 1 portion and as a single infusion in the Phase 1b portion.~CAR-20/19-T cells (2.5 x10^6 CAR-20/19-T cells/kg): CAR-20/19-T cells will be administered either fresh or thawed after cryopreservation by IV injection."
