id|nct_id|outcome_id|result_group_id|ctgov_group_code|classification|category|title|description|units|param_type|param_value|param_value_num|dispersion_type|dispersion_value|dispersion_value_num|dispersion_lower_limit|dispersion_upper_limit|explanation_of_na
251559718|NCT03049449|32887600|59002689|OG003|||Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0)|Here is the number of participants with serious and/or non-serious adverse events assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Participants|Count of Participants|5|5.0||||||
251559719|NCT03049449|32887600|59002692|OG004|||Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0)|Here is the number of participants with serious and/or non-serious adverse events assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Participants|Count of Participants|3|3.0||||||
251559720|NCT03049449|32887600|59002693|OG005|||Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0)|Here is the number of participants with serious and/or non-serious adverse events assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Participants|Count of Participants|1|1.0||||||
251559721|NCT03049449|32887601|59002686|OG000|Grade 3 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559722|NCT03049449|32887601|59002687|OG001|Grade 3 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559723|NCT03049449|32887601|59002688|OG002|Grade 3 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559724|NCT03049449|32887601|59002689|OG003|Grade 3 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559725|NCT03049449|32887601|59002694|OG004|Grade 3 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559726|NCT03049449|32887601|59002693|OG005|Grade 3 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559727|NCT03049449|32887601|59002686|OG000|Grade 3 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559728|NCT03049449|32887601|59002687|OG001|Grade 3 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559729|NCT03049449|32887601|59002688|OG002|Grade 3 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559730|NCT03049449|32887601|59002689|OG003|Grade 3 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559731|NCT03049449|32887601|59002694|OG004|Grade 3 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559732|NCT03049449|32887601|59002693|OG005|Grade 3 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559733|NCT03049449|32887601|59002686|OG000|Grade 3 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559734|NCT03049449|32887601|59002687|OG001|Grade 3 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559735|NCT03049449|32887601|59002688|OG002|Grade 3 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559736|NCT03049449|32887601|59002689|OG003|Grade 3 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559737|NCT03049449|32887601|59002694|OG004|Grade 3 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559738|NCT03049449|32887601|59002693|OG005|Grade 3 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559739|NCT03049449|32887601|59002686|OG000|Grade 4 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559740|NCT03049449|32887601|59002687|OG001|Grade 4 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559741|NCT03049449|32887601|59002688|OG002|Grade 4 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559742|NCT03049449|32887601|59002689|OG003|Grade 4 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|1|1.0||||||
251559743|NCT03049449|32887601|59002694|OG004|Grade 4 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559744|NCT03049449|32887601|59002693|OG005|Grade 4 possibly related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559745|NCT03049449|32887601|59002686|OG000|Grade 4 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559746|NCT03049449|32887601|59002687|OG001|Grade 4 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559747|NCT03049449|32887601|59002688|OG002|Grade 4 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559748|NCT03049449|32887601|59002689|OG003|Grade 4 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|1|1.0||||||
251559749|NCT03049449|32887601|59002694|OG004|Grade 4 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559750|NCT03049449|32887601|59002693|OG005|Grade 4 probably related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559751|NCT03049449|32887601|59002686|OG000|Grade 4 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559752|NCT03049449|32887601|59002687|OG001|Grade 4 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559753|NCT03049449|32887601|59002688|OG002|Grade 4 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559754|NCT03049449|32887601|59002689|OG003|Grade 4 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559755|NCT03049449|32887601|59002694|OG004|Grade 4 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
251559756|NCT03049449|32887601|59002693|OG005|Grade 4 definitely related||Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|Participants|Count of Participants|0|0.0||||||
