id|nct_id|name|downcase_name
56306255|NCT04828174|Angioimmunoblastic T-cell Lymphoma|angioimmunoblastic t-cell lymphoma
56306256|NCT04828174|Anaplastic Lymphoma|anaplastic lymphoma
56306257|NCT04828174|Acute T Cell Leukemia|acute t cell leukemia
56306258|NCT04828174|T-lymphoblastic Lymphoma|t-lymphoblastic lymphoma
56307061|NCT02081937|Hematopoietic/Lymphoid Cancer|hematopoietic/lymphoid cancer
56307062|NCT02081937|Non-hodgkin Lymphoma,B Cell|non-hodgkin lymphoma,b cell
56307063|NCT02081937|Mantle Cell Lymphoma|mantle cell lymphoma
56307626|NCT05472610|Large B-cell Lymphoma|large b-cell lymphoma
56308227|NCT05243212|Multiple Myeloma|multiple myeloma
56308228|NCT05243212|Relapse Multiple Myeloma|relapse multiple myeloma
56308260|NCT05128786|SAR|sar
56308377|NCT04782193|B Cell Lymphoma|b cell lymphoma
56308379|NCT04776330|Multiple Myeloma|multiple myeloma
56308380|NCT04776330|Neoplasm, Plasma Cell|neoplasm, plasma cell
56308381|NCT04776330|Multiple Myeloma in Relapse|multiple myeloma in relapse
56308481|NCT04649983|Leukemia, B-cell|leukemia, b-cell
56308482|NCT04649983|Lymphoma, B-Cell|lymphoma, b-cell
56308483|NCT04648475|Leukemia, B-cell|leukemia, b-cell
56308484|NCT04648475|Lymphoma, B-Cell|lymphoma, b-cell
56308521|NCT04511871|Solid Tumor|solid tumor
56308522|NCT04511871|Gastric Cancer|gastric cancer
56308523|NCT04511871|Breast Cancer|breast cancer
56308524|NCT04511871|Ovarian Cancer|ovarian cancer
56308525|NCT04511871|Sarcoma|sarcoma
56308572|NCT04348643|Solid Tumor|solid tumor
56308573|NCT04348643|Lung Cancer|lung cancer
56308574|NCT04348643|Colorectal Cancer|colorectal cancer
56308575|NCT04348643|Liver Cancer|liver cancer
56308576|NCT04348643|Pancreatic Cancer|pancreatic cancer
56308577|NCT04348643|Gastric Cancer|gastric cancer
56308578|NCT04348643|Breast Cancer|breast cancer
56308591|NCT04272151|Multiple Myeloma|multiple myeloma
56308592|NCT04272151|Multiple Myeloma in Relapse|multiple myeloma in relapse
56308593|NCT04272151|Neoplasm, Plasma Cell|neoplasm, plasma cell
56308594|NCT04272125|Leukemia|leukemia
56308595|NCT04272125|Leukemia, Myeloid|leukemia, myeloid
56308596|NCT04272125|Leukemia, Myeloid, Acute|leukemia, myeloid, acute
56308597|NCT04271800|Leukemia|leukemia
56308598|NCT04271800|Lymphoma|lymphoma
56308599|NCT04271800|Leukemia, B-Cell|leukemia, b-cell
56308600|NCT04271800|Leukemia, Lymphocytic, Chronic, B-Cell|leukemia, lymphocytic, chronic, b-cell
56308601|NCT04271644|Multiple Myeloma|multiple myeloma
56308602|NCT04271644|Neoplasm, Plasma Cell|neoplasm, plasma cell
56308603|NCT04271644|Multiple Myeloma in Relapse|multiple myeloma in relapse
56308604|NCT04271410|Leukemia|leukemia
56308605|NCT04271410|Lymphoma, Large B-Cell, Diffuse|lymphoma, large b-cell, diffuse
56308606|NCT04271410|Leukemia, B-cell|leukemia, b-cell
56308607|NCT04271410|Lymphoma, B-Cell|lymphoma, b-cell
56308608|NCT04271410|Leukemia, Lymphocytic, Chronic, B-Cell|leukemia, lymphocytic, chronic, b-cell
56308609|NCT04265963|Leukemia|leukemia
56308610|NCT04265963|Leukemia, Myeloid|leukemia, myeloid
56308611|NCT04265963|Leukemia, Myeloid, Acute|leukemia, myeloid, acute
56309030|NCT04788472|B-Cell Acute Lymphoblastic Leukemia, Adult|b-cell acute lymphoblastic leukemia, adult
56312222|NCT02915445|Malignant Neoplasm of Nasopharynx TNM Staging Distant Metastasis (M)|malignant neoplasm of nasopharynx tnm staging distant metastasis (m)
56312223|NCT02915445|Breast Cancer Recurrent|breast cancer recurrent
56312224|NCT02915445|Gastric Cancer With Metastasis|gastric cancer with metastasis
56312709|NCT04703686|Diffuse Large B-Cell Lymphoma Refractory|diffuse large b-cell lymphoma refractory
56312710|NCT04703686|Refractory Indolent Adult Non-Hodgkin Lymphoma|refractory indolent adult non-hodgkin lymphoma
56312711|NCT04703686|Refractory Transformed B-cell Non-Hodgkin Lymphoma|refractory transformed b-cell non-hodgkin lymphoma
56312712|NCT04703686|Refractory Primary Mediastinal Large B-Cell Cell Lymphoma|refractory primary mediastinal large b-cell cell lymphoma
56312713|NCT04703686|Refractory Mantle Cell Lymphoma|refractory mantle cell lymphoma
56313263|NCT03366350|Acute Lymphoblastic Leukemia|acute lymphoblastic leukemia
56313264|NCT03366350|B Cell Lymphoma|b cell lymphoma
56314076|NCT04503980|Colorectal Cancer|colorectal cancer
56314077|NCT04503980|Ovarian Cancer|ovarian cancer
56315345|NCT03488160|Lymphoma|lymphoma
56315433|NCT03540303|Relapsed Non Hodgkin Lymphoma|relapsed non hodgkin lymphoma
56316955|NCT05459870|Autoimmune Diseases|autoimmune diseases
56317192|NCT05585996|Relapsed and Refractory B-cell Lymphoma|relapsed and refractory b-cell lymphoma
56317273|NCT04706936|Relapsed or Refractory Multiple Myeloma|relapsed or refractory multiple myeloma
56318435|NCT05393804|Multiple Myeloma|multiple myeloma
56318572|NCT04952584|Extranodal Natural Killer/T-Cell Lymphoma, Nasal Type|extranodal natural killer/t-cell lymphoma, nasal type
56318573|NCT04952584|Classical Hodgkin Lymphoma|classical hodgkin lymphoma
56319004|NCT02601313|Relapsed/Refractory Mantle Cell Lymphoma|relapsed/refractory mantle cell lymphoma
56319421|NCT03473496|Relapsed/Refractory Multiple Myeloma(MM)|relapsed/refractory multiple myeloma(mm)
56320560|NCT04489862|Non-small-cell Lung Cancer|non-small-cell lung cancer
56320561|NCT04489862|Mesothelioma|mesothelioma
56320773|NCT05398614|T-ALL|t-all
56320774|NCT05398614|Lymphoma, T-Cell|lymphoma, t-cell
56321125|NCT03710421|Recurrent Plasma Cell Myeloma|recurrent plasma cell myeloma
56321126|NCT03710421|Refractory Plasma Cell Myeloma|refractory plasma cell myeloma
56321740|NCT03919526|MRD-positive|mrd-positive
56321741|NCT03919526|Acute Lymphoblastic Leukemia|acute lymphoblastic leukemia
56321745|NCT05488132|Acute Myeloid Leukemia Refractory|acute myeloid leukemia refractory
56321746|NCT05488132|Acute Myeloid Leukemia, in Relapse|acute myeloid leukemia, in relapse
56321800|NCT03265106|Relapsed B-cell Acute Lymphoblastic Leukemia, Childhood|relapsed b-cell acute lymphoblastic leukemia, childhood
56321801|NCT03265106|Refractory B-cell Acute Lymphoblastic Leukemia, Childhood|refractory b-cell acute lymphoblastic leukemia, childhood
56321802|NCT03265106|Relapsed/Refractory B-cell Lymphoma, Childhood|relapsed/refractory b-cell lymphoma, childhood
56321860|NCT03262298|Leukemia|leukemia
56321861|NCT03262298|Lymphoma|lymphoma
56322446|NCT05211557|Ovarian Cancer|ovarian cancer
56322467|NCT05477446|Langerhans Cell Histiocytosis|langerhans cell histiocytosis
56322812|NCT03222674|Acute Myeloid Leukemia|acute myeloid leukemia
56323354|NCT03208556|Relapsed or Refractory B-cell Lymphoma|relapsed or refractory b-cell lymphoma
56323590|NCT02303821|Acute Lymphoblastic Leukemia (ALL)|acute lymphoblastic leukemia (all)
56324035|NCT05194709|Advanced Solid Tumors|advanced solid tumors
56324408|NCT02439788|Neuroblastoma|neuroblastoma
56324909|NCT03182816|Advanced Solid Tumor|advanced solid tumor
56324922|NCT03185468|Bladder Cancer|bladder cancer
56324923|NCT03185468|Urothelial Carcinoma Bladder|urothelial carcinoma bladder
56325327|NCT02706392|Hematopoietic and Lymphoid Cell Neoplasm|hematopoietic and lymphoid cell neoplasm
56325328|NCT02706392|Malignant Solid Neoplasm|malignant solid neoplasm
56325329|NCT02706392|Metastatic Lung Non-Small Cell Carcinoma|metastatic lung non-small cell carcinoma
56325330|NCT02706392|Metastatic Triple-Negative Breast Carcinoma|metastatic triple-negative breast carcinoma
56325331|NCT02706392|Recurrent Acute Lymphoblastic Leukemia|recurrent acute lymphoblastic leukemia
56325332|NCT02706392|Recurrent Mantle Cell Lymphoma|recurrent mantle cell lymphoma
56325333|NCT02706392|Refractory Chronic Lymphocytic Leukemia|refractory chronic lymphocytic leukemia
56325334|NCT02706392|Stage III Lung Non-Small Cell Cancer AJCC v7|stage iii lung non-small cell cancer ajcc v7
56325335|NCT02706392|Stage IIIA Lung Non-Small Cell Cancer AJCC v7|stage iiia lung non-small cell cancer ajcc v7
56325336|NCT02706392|Stage IIIB Lung Non-Small Cell Cancer AJCC v7|stage iiib lung non-small cell cancer ajcc v7
56325337|NCT02706392|Stage IV Breast Cancer AJCC v6 and v7|stage iv breast cancer ajcc v6 and v7
56325338|NCT02706392|Stage IV Lung Non-Small Cell Cancer AJCC v7|stage iv lung non-small cell cancer ajcc v7
56325339|NCT02706392|Unresectable Lung Non-Small Cell Carcinoma|unresectable lung non-small cell carcinoma
56325346|NCT02416466|Liver Metastases|liver metastases
56326681|NCT02535364|Acute Lymphoblastic Leukemia|acute lymphoblastic leukemia
56326965|NCT03070327|Multiple Myeloma|multiple myeloma
56328941|NCT03672305|Primary Hepatocellular Carcinoma|primary hepatocellular carcinoma
56329637|NCT03473457|Relapsed/Refractory Acute Myeloid Leukemia(AML)|relapsed/refractory acute myeloid leukemia(aml)
56329714|NCT05155215|Lymphoma|lymphoma
56329715|NCT05155215|Lymphoma, Mantle-Cell|lymphoma, mantle-cell
56329716|NCT05155215|Neoplasms by Histologic Type|neoplasms by histologic type
56329717|NCT05155215|Neoplasms|neoplasms
56329718|NCT05155215|Lymphoproliferative Disorders|lymphoproliferative disorders
56329911|NCT03672851|Acute Leukemia|acute leukemia
56329912|NCT03672851|Acute Leukemia in Relapse|acute leukemia in relapse
56329913|NCT03672851|Acute Myeloid Leukemia|acute myeloid leukemia
56329914|NCT03672851|Relapsed or Refractory Acute Leukemia|relapsed or refractory acute leukemia
56330620|NCT04684563|Chronic Lymphocytic Leukemia|chronic lymphocytic leukemia
56330621|NCT04684563|Non-hodgkin Lymphoma|non-hodgkin lymphoma
56330622|NCT04684563|Acute Lymphoblastic Leukemia|acute lymphoblastic leukemia
56331694|NCT03664661|Relapsed/Refractory Myeloma|relapsed/refractory myeloma
56332010|NCT03658655|Type2 Diabetes|type2 diabetes
56332593|NCT03648697|Nasopharyngeal Carcinoma|nasopharyngeal carcinoma
56333278|NCT03468153|Lymphoma|lymphoma
56333356|NCT02529813|Acute Biphenotypic Leukemia|acute biphenotypic leukemia
56333357|NCT02529813|Acute Lymphoblastic Leukemia|acute lymphoblastic leukemia
56333358|NCT02529813|Blasts 5 Percent or More of Bone Marrow Nucleated Cells|blasts 5 percent or more of bone marrow nucleated cells
56333359|NCT02529813|CD19 Positive|cd19 positive
56333360|NCT02529813|Minimal Residual Disease|minimal residual disease
56333361|NCT02529813|Non-Hodgkin Lymphoma|non-hodgkin lymphoma
56333362|NCT02529813|Small Lymphocytic Lymphoma|small lymphocytic lymphoma
56333363|NCT02529813|Stage III Chronic Lymphocytic Leukemia|stage iii chronic lymphocytic leukemia
56333364|NCT02529813|Stage IV Chronic Lymphocytic Leukemia|stage iv chronic lymphocytic leukemia
56334132|NCT03649529|Malignant Melanoma|malignant melanoma
56334428|NCT03615313|Advanced Solid Tumor|advanced solid tumor
56335214|NCT03612739|AML, Adult|aml, adult
56335215|NCT03612739|Myelodysplastic Syndromes|myelodysplastic syndromes
56335500|NCT03146234|Hepatocellular Carcinoma|hepatocellular carcinoma
56336010|NCT03398967|B Cell Leukemia|b cell leukemia
56336011|NCT03398967|B Cell Lymphoma|b cell lymphoma
56336016|NCT03125577|B-cell Malignancies|b-cell malignancies
56145632|NCT05393986|Pancreatic Cancer|pancreatic cancer
56336742|NCT03939026|Relapsed/Refractory Large B Cell Lymphoma|relapsed/refractory large b cell lymphoma
56336743|NCT03939026|Relapsed/Refractory Follicular Lymphoma|relapsed/refractory follicular lymphoma
56336948|NCT03142646|Leukemia|leukemia
56338036|NCT05396300|Colorectal Cancer|colorectal cancer
56338037|NCT05396300|Esophageal Cancer|esophageal cancer
56338038|NCT05396300|Stomach Cancer|stomach cancer
56338039|NCT05396300|Pancreatic Cancer|pancreatic cancer
56338040|NCT05396300|Metastatic Tumor|metastatic tumor
56338041|NCT05396300|Recurrent Cancer|recurrent cancer
56179509|NCT03881774|Refractory|refractory
56338285|NCT05089266|Colorectal Cancer|colorectal cancer
56338329|NCT04768608|Castrate-Resistant Prostate Cancer|castrate-resistant prostate cancer
56338361|NCT04652219|Malignant Neoplasms of Digestive Organs|malignant neoplasms of digestive organs
56338537|NCT03618381|Pediatric Solid Tumor|pediatric solid tumor
56338538|NCT03618381|Germ Cell Tumor|germ cell tumor
56338539|NCT03618381|Retinoblastoma|retinoblastoma
56338540|NCT03618381|Hepatoblastoma|hepatoblastoma
56338541|NCT03618381|Wilms Tumor|wilms tumor
56338542|NCT03618381|Rhabdoid Tumor|rhabdoid tumor
56338543|NCT03618381|Carcinoma|carcinoma
56338544|NCT03618381|Osteosarcoma|osteosarcoma
56338545|NCT03618381|Ewing Sarcoma|ewing sarcoma
56338546|NCT03618381|Rhabdomyosarcoma|rhabdomyosarcoma
56338547|NCT03618381|Synovial Sarcoma|synovial sarcoma
56338548|NCT03618381|Clear Cell Sarcoma|clear cell sarcoma
56338549|NCT03618381|Malignant Peripheral Nerve Sheath Tumors|malignant peripheral nerve sheath tumors
56338550|NCT03618381|Desmoplastic Small Round Cell Tumor|desmoplastic small round cell tumor
56338551|NCT03618381|Soft Tissue Sarcoma|soft tissue sarcoma
56338552|NCT03618381|Neuroblastoma|neuroblastoma
56222032|NCT04897321|Melanoma|melanoma
56235412|NCT05176275|Lymphoma|lymphoma
56339405|NCT04545762|Refractory Non-Hodgkin Lymphoma|refractory non-hodgkin lymphoma
56339406|NCT04545762|Burkitt Lymphoma|burkitt lymphoma
56339407|NCT04545762|Mantle Cell Lymphoma|mantle cell lymphoma
56339408|NCT04545762|Follicular Lymphoma|follicular lymphoma
56339409|NCT04545762|Lymphoplasmacytic Lymphoma|lymphoplasmacytic lymphoma
56339410|NCT04545762|Primary Mediastinal Large B Cell Lymphoma|primary mediastinal large b cell lymphoma
56339411|NCT04545762|Diffuse Large B Cell Lymphoma|diffuse large b cell lymphoma
56339412|NCT04545762|Small Lymphocytic Lymphoma|small lymphocytic lymphoma
56339413|NCT04545762|Transformed Lymphoma|transformed lymphoma
56339445|NCT04419909|Lymphoma, B-Cell|lymphoma, b-cell
56340182|NCT02850536|Liver Metastases|liver metastases
56342809|NCT05117138|Melanoma|melanoma
56342810|NCT05117138|Non-small Cell Lung Cancer|non-small cell lung cancer
56342811|NCT05117138|Head and Neck Squamous Cell Carcinoma|head and neck squamous cell carcinoma
56342909|NCT03327285|Acute Lymphoblastic Leukemia(ALL)|acute lymphoblastic leukemia(all)
56343380|NCT03321123|Precursor B-Lymphoblastic Lymphoma/Leukaemia Refractory|precursor b-lymphoblastic lymphoma/leukaemia refractory
56009209|NCT04483778|Wilms Tumor|wilms tumor
56344845|NCT02981628|Recurrent B Acute Lymphoblastic Leukemia|recurrent b acute lymphoblastic leukemia
56344846|NCT02981628|Recurrent B Lymphoblastic Lymphoma|recurrent b lymphoblastic lymphoma
56344847|NCT02981628|Refractory B Acute Lymphoblastic Leukemia|refractory b acute lymphoblastic leukemia
56344848|NCT02981628|Refractory B Lymphoblastic Lymphoma|refractory b lymphoblastic lymphoma
56344964|NCT05334823|Acute Lymphoblastic Leukemia|acute lymphoblastic leukemia
56344965|NCT05334823|Relapsed Pediatric ALL|relapsed pediatric all
56344966|NCT05334823|Refractory Acute Lymphoblastic Leukemia|refractory acute lymphoblastic leukemia
56346171|NCT03302403|B Cell Lymphoma|b cell lymphoma
56346172|NCT03302403|B Cell Leukemia|b cell leukemia
56346173|NCT03302403|Myeloma|myeloma
56346174|NCT03302403|Hepatocellular Carcinoma|hepatocellular carcinoma
56346175|NCT03302403|Pancreatic Carcinoma|pancreatic carcinoma
56346176|NCT03302403|Adenocarcinoma of Esophagogastric Junction|adenocarcinoma of esophagogastric junction
56347855|NCT04935580|Multiple Myeloma|multiple myeloma
56349738|NCT03252171|GD2 Positive Glioma|gd2 positive glioma
56349739|NCT03252171|CAR-T Cell Immunotherapy|car-t cell immunotherapy
56350654|NCT05354375|Immunotherapy|immunotherapy
56351437|NCT04855253|DLBCL|dlbcl
56351438|NCT04855253|Diffuse Large B Cell Lymphoma|diffuse large b cell lymphoma
56351439|NCT04855253|High-grade B-cell Lymphoma|high-grade b-cell lymphoma
56351440|NCT04855253|DLBCL Arising From Follicular Lymphoma|dlbcl arising from follicular lymphoma
56351520|NCT04715191|Liver Cancer|liver cancer
56351521|NCT04715191|Rhabdomyosarcoma|rhabdomyosarcoma
56351522|NCT04715191|Malignant Rhabdoid Tumor|malignant rhabdoid tumor
56351523|NCT04715191|Liposarcoma|liposarcoma
56351524|NCT04715191|Wilms Tumor|wilms tumor
56351525|NCT04715191|Yolk Sac Tumor|yolk sac tumor
56351613|NCT04377932|Liver Cancer|liver cancer
56351614|NCT04377932|Rhabdomyosarcoma|rhabdomyosarcoma
56351615|NCT04377932|Malignant Rhabdoid Tumor|malignant rhabdoid tumor
56351616|NCT04377932|Liposarcoma|liposarcoma
56351617|NCT04377932|Wilms Tumor|wilms tumor
56351618|NCT04377932|Yolk Sac Tumor|yolk sac tumor
56351672|NCT04240808|Non Hodgkin Lymphoma|non hodgkin lymphoma
56351704|NCT04049383|Acute Lymphoblastic Leukemia, in Relapse|acute lymphoblastic leukemia, in relapse
56351705|NCT04049383|Acute Lymphoblastic Leukemia With Failed Remission|acute lymphoblastic leukemia with failed remission
56351706|NCT04049383|Acute Lymphoblastic Leukemia Recurrent|acute lymphoblastic leukemia recurrent
56351707|NCT04049383|Acute Lymphoblastic Leukemia Not Having Achieved Remission|acute lymphoblastic leukemia not having achieved remission
56351708|NCT04049383|Acute Lymphoblastic Leukemia, Pediatric|acute lymphoblastic leukemia, pediatric
56351709|NCT04049383|Acute Lymphoblastic Leukemia|acute lymphoblastic leukemia
56352036|NCT03564977|Lymphoma, B-Cell|lymphoma, b-cell
56352037|NCT03564977|Leukemia, B-Cell|leukemia, b-cell
56352038|NCT03564977|Minimal Disease, Residual|minimal disease, residual
56352421|NCT03545815|Solid Tumor, Adult|solid tumor, adult
56353864|NCT03060356|Malignant Melanoma|malignant melanoma
56353865|NCT03060356|Breast Cancer|breast cancer
56354326|NCT03559439|B-cell Malignancy|b-cell malignancy
56354327|NCT03559439|B-cell Lymphoma|b-cell lymphoma
56354328|NCT03559439|B-Cell Acute Lymphoblastic Leukaemia|b-cell acute lymphoblastic leukaemia
56354551|NCT04934774|T-cell Acute Lymphoblastic Leukemia|t-cell acute lymphoblastic leukemia
56354552|NCT04934774|T-cell Acute Lymphoblastic Lymphoma|t-cell acute lymphoblastic lymphoma
56354553|NCT04934774|T-cell Non-Hodgkin Lymphoma|t-cell non-hodgkin lymphoma
56355860|NCT04888442|Acute Lymphoblastic Leukemia, in Relapse|acute lymphoblastic leukemia, in relapse
56355861|NCT04888442|Refractory Acute Lymphoblastic Leukemia|refractory acute lymphoblastic leukemia
56358224|NCT04412174|B-cell Non Hodgkin Lymphoma|b-cell non hodgkin lymphoma
56359522|NCT02706405|Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|diffuse large b-cell lymphoma, not otherwise specified
56359523|NCT02706405|Recurrent Diffuse Large B-Cell Lymphoma|recurrent diffuse large b-cell lymphoma
56359524|NCT02706405|Recurrent Primary Mediastinal (Thymic) Large B-Cell Lymphoma|recurrent primary mediastinal (thymic) large b-cell lymphoma
56359525|NCT02706405|Refractory Diffuse Large B-Cell Lymphoma|refractory diffuse large b-cell lymphoma
56359526|NCT02706405|Refractory High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements|refractory high grade b-cell lymphoma with myc, bcl2, and bcl6 rearrangements
56359527|NCT02706405|Refractory Primary Mediastinal (Thymic) Large B-Cell Lymphoma|refractory primary mediastinal (thymic) large b-cell lymphoma
56359658|NCT03179007|Advanced Solid Tumor|advanced solid tumor
56359677|NCT02761915|Relapsed or Refractory Neuroblastoma|relapsed or refractory neuroblastoma
56361845|NCT05626322|Diffuse Large B-Cell Lymphoma|diffuse large b-cell lymphoma
56361943|NCT05396885|Multiple Myeloma|multiple myeloma
56362729|NCT02107963|Sarcoma|sarcoma
56362730|NCT02107963|Osteosarcoma|osteosarcoma
56362731|NCT02107963|Neuroblastoma|neuroblastoma
56362732|NCT02107963|Melanoma|melanoma
56365128|NCT02203825|Acute Myeloid Leukemia|acute myeloid leukemia
56365129|NCT02203825|Myelodysplastic Syndrome|myelodysplastic syndrome
56365130|NCT02203825|Multiple Myeloma|multiple myeloma
56367714|NCT04473937|Hematologic Malignancy|hematologic malignancy
56367715|NCT04473937|Refractory Lymphoma|refractory lymphoma
56368049|NCT04923919|Acute Myeloid Leukemia|acute myeloid leukemia
56370820|NCT01953900|Neuroblastoma|neuroblastoma
56370875|NCT03528421|Non Hodgkin Lymphoma|non hodgkin lymphoma
56371219|NCT03927261|Acute Myeloid Leukemia|acute myeloid leukemia
56371220|NCT03927261|Myelodysplastic Syndromes|myelodysplastic syndromes
56371936|NCT04581473|Gastric Adenocarcinoma|gastric adenocarcinoma
56371937|NCT04581473|Pancreatic Cancer|pancreatic cancer
56371938|NCT04581473|Gastroesophageal Junction Adenocarcinoma|gastroesophageal junction adenocarcinoma
56373239|NCT03497533|Non-hodgkin Lymphoma,B Cell|non-hodgkin lymphoma,b cell
56374771|NCT02443831|Acute Lymphoblastic Leukemia|acute lymphoblastic leukemia
56374772|NCT02443831|Burkitt Lymphoma|burkitt lymphoma
56374873|NCT05202782|Diffuse Large B-Cell Lymphoma Associated With Chronic Inflammation|diffuse large b-cell lymphoma associated with chronic inflammation
56374874|NCT05202782|EBV-Positive Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|ebv-positive diffuse large b-cell lymphoma, not otherwise specified
56374875|NCT05202782|High Grade B-Cell Lymphoma, Not Otherwise Specified|high grade b-cell lymphoma, not otherwise specified
56374876|NCT05202782|Large B-Cell Lymphoma With IRF4 Rearrangement|large b-cell lymphoma with irf4 rearrangement
56374877|NCT05202782|Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type|primary cutaneous diffuse large b-cell lymphoma, leg type
56374878|NCT05202782|Recurrent Aggressive B-Cell Non-Hodgkin Lymphoma|recurrent aggressive b-cell non-hodgkin lymphoma
56374879|NCT05202782|Recurrent Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|recurrent diffuse large b-cell lymphoma, not otherwise specified
56374880|NCT05202782|Recurrent High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements|recurrent high grade b-cell lymphoma with myc, bcl2, and bcl6 rearrangements
56374881|NCT05202782|Recurrent Intravascular Large B-Cell Lymphoma|recurrent intravascular large b-cell lymphoma
56374882|NCT05202782|Recurrent Primary Mediastinal (Thymic) Large B-Cell Lymphoma|recurrent primary mediastinal (thymic) large b-cell lymphoma
56374883|NCT05202782|Recurrent T-Cell/Histiocyte-Rich Large B-Cell Lymphoma|recurrent t-cell/histiocyte-rich large b-cell lymphoma
56374884|NCT05202782|Recurrent Transformed B-Cell Non-Hodgkin Lymphoma|recurrent transformed b-cell non-hodgkin lymphoma
56374885|NCT05202782|Refractory Aggressive B-Cell Non-Hodgkin Lymphoma|refractory aggressive b-cell non-hodgkin lymphoma
56374886|NCT05202782|Refractory Diffuse Large B-Cell Lymphoma, Not Otherwise Specified|refractory diffuse large b-cell lymphoma, not otherwise specified
56374887|NCT05202782|Refractory High Grade B-Cell Lymphoma With MYC, BCL2, and BCL6 Rearrangements|refractory high grade b-cell lymphoma with myc, bcl2, and bcl6 rearrangements
56374888|NCT05202782|Refractory Intravascular Large B-Cell Lymphoma|refractory intravascular large b-cell lymphoma
56374889|NCT05202782|Refractory Primary Mediastinal (Thymic) Large B-Cell Lymphoma|refractory primary mediastinal (thymic) large b-cell lymphoma
56374890|NCT05202782|Refractory T-Cell/Histiocyte-Rich Large B-Cell Lymphoma|refractory t-cell/histiocyte-rich large b-cell lymphoma
56374891|NCT05202782|Refractory Transformed B-Cell Non-Hodgkin Lymphoma|refractory transformed b-cell non-hodgkin lymphoma
56375000|NCT05191472|Multiple Myeloma|multiple myeloma
56375001|NCT05191472|Multiple Myeloma in Relapse|multiple myeloma in relapse
56375002|NCT05191472|Multiple Myeloma, Refractory|multiple myeloma, refractory
56375003|NCT05191472|Recurrent Plasma Cell Myeloma|recurrent plasma cell myeloma
56375004|NCT05191472|Refractory Plasma Cell Myeloma|refractory plasma cell myeloma
56375808|NCT04219163|Acute Myeloid Leukemia|acute myeloid leukemia
56376550|NCT05206357|Non-hodgkin Lymphoma|non-hodgkin lymphoma
56376781|NCT04577326|Malignant Pleural Mesothelioma (MPM)|malignant pleural mesothelioma (mpm)
56377148|NCT03792633|Acute Lymphoid Leukemia|acute lymphoid leukemia
56380355|NCT03323944|Pancreatic Cancer|pancreatic cancer
56380356|NCT03323944|Cancer of the Pancreas|cancer of the pancreas
56380539|NCT04795882|Multiple Myeloma|multiple myeloma
