id|nct_id|allocation|intervention_model|observational_model|primary_purpose|time_perspective|masking|masking_description|intervention_model_description|subject_masked|caregiver_masked|investigator_masked|outcomes_assessor_masked
32650099|NCT02958410|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32650163|NCT04717999|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32650228|NCT02965092|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32913786|NCT01953900|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32913818|NCT03528421|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32727894|NCT05451212|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32651665|NCT05518253|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32651691|NCT05489991|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32651711|NCT05468190|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32651730|NCT05442515|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32651750|NCT05420545|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32651751|NCT05420519|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32651768|NCT05400109|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32914029|NCT03927261|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32651985|NCT05035407|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32652004|NCT05003895|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32546739|NCT02980315|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32727979|NCT05077527|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32652265|NCT04420754|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32652267|NCT04416984|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32652325|NCT04227275|N/A|Sequential Assignment||Treatment||None (Open Label)||Sequential dose escalation||||
32652400|NCT04029038|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32547042|NCT03030001|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32652726|NCT02315612|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32547167|NCT05583201|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32914471|NCT04581473|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32653711|NCT05539430|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32728088|NCT04340154|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32654032|NCT01853631|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32547619|NCT05241392|N/A|Sequential Assignment||Treatment||None (Open Label)||"a 3+3 design is used to determine Maximum Tolerated Dose (MTD) and the recommended phase 2 dose (RP2D)"||||
32825713|NCT02186860|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32728158|NCT03635632|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32654463|NCT04601831|N/A|Single Group Assignment||Treatment||None (Open Label)||Single-arm, open label, seamless phase I/II study||||
32654497|NCT04316624|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32654537|NCT04036019|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32728480|NCT04283006|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32819577|NCT03907527|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32657127|NCT05373147|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32942261|NCT05091541|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32915312|NCT03497533|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32658277|NCT03085173|N/A|Single Group Assignment||Treatment||None (Open Label)||"A Phase I Trial of CD19-Targeted EGFRt/19-28z/4-1BBL Armored Chimeric Antigen Receptor (CAR) Modified T Cells in Patients with Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL)"||||
32549119|NCT05509530|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32659024|NCT04514029|N/A|Single Group Assignment||Prevention||None (Open Label)||||||
32549858|NCT04544592|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32819763|NCT03893019|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32661238|NCT04691284|N/A|Single Group Assignment||Basic Science||None (Open Label)||||||
32661251|NCT04691713|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32551059|NCT04394650|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32661790|NCT05667506|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32551077|NCT03081910|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32819887|NCT03338972|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32661853|NCT05266950|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32661879|NCT05098613|N/A|Single Group Assignment||Treatment||None (Open Label)||The study is a prospective single arm Phase 1/1b with four dose levels. Phase 1 will be the dose finding phase aimed at determining the maximum tolerated dose using a standard 3+3 dose-escalation strategy. Phase 1b will be an expansion phase designed to evaluate the clinical activity of CD19x22 CAR T in CD19 CAR-treated and CAR-naïve B-NHL patients at the maximum tolerated dose.||||
32730367|NCT03744676|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32662235|NCT04723914|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32730452|NCT04162353|N/A|Sequential Assignment||Treatment||None (Open Label)||Dose escalation phase: BCMA-CD19 cCAR T cells transduced with a lentiviral vector to express two distinct units of BCMA and CD19 CARs on a T cell with an escalation approach, 2e6 to 10e6 CAR-T cells/kg||||
32730476|NCT04162119|N/A|Single Group Assignment||Treatment||None (Open Label)||This study was a single-center, open-label, single-arm, non-randomized clinical trial, which was divided into 3 groups by infusion dose level. Firstly, each dose group has 3 patients. The pretreatment regimen of cyclophosphamide (25mg/m2 for 3 consecutive days) and fludarabine (10mg/kg for 3 consecutive days) was given before CART cells were reinfused. CART cells were reinfused on the third day after the pretreatment. If no serious side effects emerges in the group, then the next group uses the subsequent higher dose. If serious side effects emerges in a single patient in any dose level, 3 more patients will be enrolled to the same dose level. After 9 or more patients, we select the safest dose and recruit more patients for CART test to explore its effectiveness.||||
32819988|NCT03884751|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32662433|NCT02937844|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32662451|NCT02937103|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32662504|NCT02935153|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32730635|NCT04156269|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32662809|NCT02919046|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32551726|NCT04605666|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32551729|NCT04531046|N/A|Single Group Assignment||Treatment||None (Open Label)||open-label, multicenter study||||
32916214|NCT02443831|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32663905|NCT05415475|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32664107|NCT05075603|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32916262|NCT05202782|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32664509|NCT03768310|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32916329|NCT05191472|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32731706|NCT03741127|N/A|Single Group Assignment||Other||None (Open Label)||||||
32731716|NCT03601078|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32665223|NCT05022849|Non-Randomized|Sequential Assignment||Other||None (Open Label)||||||
32665248|NCT04923893|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32665308|NCT04662099|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32665407|NCT04181827|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32665415|NCT04133636|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32665584|NCT01430390|N/A|Single Group Assignment||Treatment||None (Open Label)||This is a phase I trial designed to identify tolerable and clinically active doses of allogeneic Epstein - Barr virus specific cytotoxic T lymphocytes (EBV-CTLs) genetically modified to target the B-cell antigen CD19 when administered to patients with CD19+||||
32732066|NCT05286164|N/A|Single Group Assignment||Treatment||None (Open Label)||Patients with bone marrow aplasia for more than 3 weeks after CART administration will receive eltrombopag treatment at a dose of 150 mg for 8 weeks.||||
32666079|NCT04723901|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32916789|NCT04219163|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32666725|NCT04655677|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32732618|NCT03614858|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32666772|NCT04653649|N/A|Single Group Assignment||Treatment||None (Open Label)||"Experimental: HSP-CAR30 (anti-CD30 CAR T cells)~Dose escalation phase:~Phase I:~Ten patients will be treated with HSP-CAR30 (anti-CD30 CAR T-cells) with an escalation approach to define maximum tolerated dose (MTD) from 3 x 106/kg to 10 x 106/kg.~Phase IIa:~Twenty patients will be treated with HSP-CAR30 at MTD to evaluate efficacy."||||
32666774|NCT04653493|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32732659|NCT05064787|N/A|Single Group Assignment||Supportive Care||None (Open Label)||A single cohort of 50 individuals receiving chimeric antigen receptor T cell therapy will be enrolled in the study, all of which will be enrolled in a 6-month digital health coaching program. Individuals will be enrolled from a single site, The University of Texas MD Anderson Cancer Center.||||
32666822|NCT04650724|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32703438|NCT05625594|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32666874|NCT04637503|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32666889|NCT04637269|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32553129|NCT05621096|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32732991|NCT04712864|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32820354|NCT03563326|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32917186|NCT05206357|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32733734|NCT03617198|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32733755|NCT02844062|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32917284|NCT04577326|N/A|Single Group Assignment||Treatment||None (Open Label)||This is a phase I dose-escalation trial.||||
32917383|NCT03792633|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32703491|NCT05352542|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32734313|NCT04237428|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32669252|NCT04666168|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32669273|NCT04665076|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32669361|NCT04661020|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32669660|NCT04626739|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32553931|NCT05070156|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32553942|NCT05013372|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32670072|NCT04610125|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32553949|NCT04214886|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||Autologous peripheral blood mononuclear cell (PBMC) will be obtained by leukapheresis over one day. Daily intravenous (IV) infusion of fludarabine and cyclophosphamide for total of 3 days (Days -5, -4, -3). The dose of cyclophosphamide will be given at 500mg/m2. The dose of fludarabine will be given at 30mg/m2. CD19-CD34 CAR transduced T cells administration will follow a Phase I dose escalation design. Each Cohort will start will with the goal of accruing three participants to determine the dose limiting toxicities. Once the maximum tolerated dose is established, an expansion cohort will be treated to include a total of 6 participants.||||
32553967|NCT05621486|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32670402|NCT04594135|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32670498|NCT04213469|N/A|Sequential Assignment||Treatment||None (Open Label)||Patients will receive one of the three doses of 2*10^6/kg, 4*10^6/kg,6*10^6/kg.||||
32734795|NCT05627323|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||Two dose levels investigated, with both dose levels proceeding in parallel. Expansion or de-escalation decision rules are based on a traditional 3+3 clinical study design.||||
32734907|NCT05117008|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32734928|NCT04984356|N/A|Sequential Assignment||Treatment||None (Open Label)||"There are two parts to this study. Phase 1 will comprise of Dose Escalation, and Phase 2 Cohort Expansion.~Phase 1 will determine the safety and tolerability of a single dose of WU-CART-007 and define the RP2D.~The Cohort Expansion Phase, will further define the safety and evaluate the initial efficacy of WU-CART-007 at the dose established from the Phase 1 Dose Escalation segment."||||
32671965|NCT04546906|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32672007|NCT04541368|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32735870|NCT05168748|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32672689|NCT04532281|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32672692|NCT04532203|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32673116|NCT04718883|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32736245|NCT02772198|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32918906|NCT03323944|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32909055|NCT02107963|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32919003|NCT04795882|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||Rolling 6 trial design||||
32737409|NCT05659628|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32737443|NCT02537977|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32737505|NCT05379569|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32737763|NCT05382377|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32676635|NCT04715217|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32676919|NCT04714827|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32821223|NCT05103631|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32821224|NCT05094206|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32737960|NCT05639972|N/A|Single Group Assignment||Treatment||None (Open Label)||This is a single-arm feasibility study.||||
32677183|NCT04714593|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||According to the sequence from the low dose group to the high dose group||||
32920225|NCT03497819|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32821297|NCT04633148|N/A|Sequential Assignment||Treatment||None (Open Label)||Initial dose escalation followed an adaptive design. Further dose escalation includes 2 additional TMpPSMA dose levels and follows a 3+3 design.||||
32821321|NCT04464200|N/A|Single Group Assignment||Treatment||None (Open Label)||This is a standard phase I open-label dose-escalation trial. Cohorts of 3-6 patients will be infused with escalating doses of 19(T2)28z1XX CAR T cells to establish the MTD. There are 4 planned dose levels with one additional de-escalation dose level. A 3+3 design will be used to establish the RP2D. Once the RP2D is determined, the study will open to Dose Expansion phase and up to 12 patients with B-cell non-Hodgkin lymphoma (same eligibility criteria as the dose-escalation phase).||||
32821323|NCT04442022|Randomized|Sequential Assignment||Treatment||Double|Phase 2 Portion of the Study: open label; Phase 3 Portion of the Study: double blinded||t||t|
32826316|NCT02259556|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32555963|NCT05431608|Non-Randomized|Factorial Assignment||Treatment||None (Open Label)||||||
32555975|NCT05397496|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32738756|NCT05588440|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32678657|NCT03271515|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32678727|NCT03271632|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32678968|NCT04702841|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32921141|NCT01865617|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32703786|NCT00840853|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32921427|NCT05320081|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32921487|NCT04938115|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32679672|NCT04700319|N/A|Single Group Assignment||Prevention||None (Open Label)||||||
32821348|NCT04196491|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32921670|NCT03593109|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32740097|NCT05172596|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32680135|NCT02893189|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32821400|NCT03448393|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32921934|NCT04928105|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32681261|NCT04516551|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32681289|NCT04324996|Randomized|Parallel Assignment||Treatment||Quadruple|||t|t|t|t
32681456|NCT04513431|N/A|Single Group Assignment||Prevention||None (Open Label)||||||
32681648|NCT05639179|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32557214|NCT02663297|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32557234|NCT02159495|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32682128|NCT02954445|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32682207|NCT02274584|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32741716|NCT03666000|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||"In each cohort (NHL and B-ALL), up to 6 dose levels will be enrolled and treated sequentially. Within each dose level, up to 6 subjects will be treated with PBCAR0191 using a standard 3 + 3 design. The starting dose of PBCAR0191 will be 3 × 10^5 CAR T cells/kg body weight. Subsequent dose groups will be treated with escalating doses to a maximum dose of 9 × 10^6 CAR T cells/kg. In the absence of DLTs, the dose will be increased using a fixed dose scheme.~Additionally, an expansion cohort is introduced into Phase 1 of the protocol to assess safety, tolerability, and clinical benefit of PBCAR0191 treatment regimens in subjects with aggressive CD19+ r/r B-cell NHLs treated with an autologous CAR T product that failed to achieve durable treatment response."||||
32742391|NCT04185038|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32682963|NCT05143151|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32682966|NCT05143112|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32742559|NCT02723942|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32742562|NCT05015972|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32742579|NCT02715362|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32683122|NCT05149391|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32683199|NCT04692948|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32557959|NCT03013712|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32922958|NCT04412889|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32742854|NCT02706782|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32683455|NCT04691349|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32923002|NCT04447573|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32743054|NCT04154709|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32743172|NCT05344664|N/A|Single Group Assignment||Treatment||Single|||t|||
32923335|NCT03904069|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32923392|NCT04506983|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32923507|NCT03380039|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32923755|NCT03383965|N/A|Single Group Assignment||Treatment||None (Open Label)|None (Open Label)|||||
32685023|NCT05594797|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32685041|NCT02933775|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32685109|NCT05467254|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32744308|NCT04033302|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32685327|NCT05467202|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32924049|NCT05127135|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32558563|NCT05544526|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32744892|NCT04169022|Non-Randomized|Parallel Assignment||Screening||None (Open Label)||||||
32744903|NCT04186052|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32685891|NCT04206943|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32924249|NCT03349255|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32686024|NCT05562024|N/A|Single Group Assignment||Treatment||None (Open Label)||Single group of qualified subjects used TAA06 injection||||
32745397|NCT04184414|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32745448|NCT02813837|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32745777|NCT05652920|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32745790|NCT04236011|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32745947|NCT02794961|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32558770|NCT03602612|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32924685|NCT05430945|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32925204|NCT03322735|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32925900|NCT03312205|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32926037|NCT05044039|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32822059|NCT03287804|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32747380|NCT02765243|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32926432|NCT03281551|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32687974|NCT05664217|Randomized|Sequential Assignment||Treatment||Quadruple|This is a double-blinded study. The Investigator, the patients, and all study site and Nektar personnel involved in study activities, other than those involved in dispensing the study drugs, conducting PK, PD sample analyses, and personnel supporting unblinded monitoring for drug accountability, must remain blinded to each patient's treatment assignment.|The study is conducted in two stages, with routine safety monitoring being conducted by the Data Monitoring Committee (DMC) on a regular basis. An enrollment pause will be implemented at the end of Stage 1 (ie, after approximately 56 patients are randomized), and the DMC will review safety and efficacy data from all available cohorts to make go/no-go and dose selection recommendations for Stage 2. The study team will be unblinded at the end of Stage 1 to review totality of the data including efficacy, safety, PK, and PD data before the study proceeds to Stage 2. The protocol will be updated with, at least, an identification of the selected dose and its justification prior to Stage 2 activation.|t|t|t|t
32687998|NCT05621291|N/A|Single Group Assignment||Diagnostic||None (Open Label)||||||
32926548|NCT03356795|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32688201|NCT04960579|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32688265|NCT04637763|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||"The CB10A clinical study consists of (Part A) 3 + 3 design with three dose levels.~(Part B) Expansion portion patients will receive CB-010 at the dose determined in Part A."||||
32688289|NCT04530565|Randomized|Crossover Assignment||Treatment||None (Open Label)||||||
32688357|NCT04099797|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32688363|NCT04013802|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32559546|NCT02050347|Non-Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32688465|NCT02830724|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32688804|NCT04639739|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32942484|NCT04981691|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32559721|NCT03287817|N/A|Single Group Assignment||Treatment||None (Open Label)||A dose escalation and expansion phase (Phase I) followed by Phase II||||
32748602|NCT02735291|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32559844|NCT05445765|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
32689425|NCT02930993|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32748736|NCT02737085|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32927040|NCT04500431|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32690160|NCT04670055|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32749127|NCT02721407|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32690252|NCT04657965|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32690254|NCT04658004|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32927103|NCT03121625|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32690357|NCT04665063|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32822971|NCT03767751|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32927284|NCT03344705|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32749476|NCT05260957|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32560463|NCT05141253|N/A|Single Group Assignment||Treatment||None (Open Label)||"The study is a single center, open label, non-controlled, exploratory study. The 3+3 dose escalation design will be implemented to evaluate the safety and tolerability of RD133 in the treatment of subjects with relapsed/refractory MSLN-positive solid tumors."||||
32927833|NCT05016063|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
