id|nct_id|id_source|id_value|id_type|id_type_description|id_link
42936450|NCT04205409|secondary_id|NCI-2019-08192|Registry Identifier|NCI / CTRP|
42936451|NCT04205409|secondary_id|10388|Other Identifier|Fred Hutch/University of Washington Cancer Consortium|
42937125|NCT05568680|org_study_id|STAR-101|||
42937326|NCT03548207|org_study_id|CR108480|||
42937327|NCT03548207|secondary_id|2018-000121-32|EudraCT Number||
42937328|NCT03548207|secondary_id|68284528MMY2001|Other Identifier|Janssen Research & Development, LLC|
43056776|NCT04670055|org_study_id|hBCMA-ZhejiangU|||
42815403|NCT04268706|org_study_id|TESSCAR001|||
43056886|NCT04657965|org_study_id|LMP1-001|||
43056888|NCT04658004|org_study_id|NKG2D-001|||
43057008|NCT04665063|org_study_id|2020103|||
43301954|NCT02915445|org_study_id|SKLB-083|||
42939310|NCT03585517|org_study_id|YMCART201806|||
42939518|NCT05028933|org_study_id|IMC001-CT04|||
42939581|NCT03975907|org_study_id|CT053-MM-01|||
43302320|NCT04703686|org_study_id|BiCAR|||
43302710|NCT03366350|org_study_id|CART-CD19-02|||
43058031|NCT04638270|org_study_id|FasT CAR-T for NHL|||
42817568|NCT05108805|org_study_id|VICC CTT 2109|||
43058257|NCT03455972|org_study_id|myeloma-03|||
43303246|NCT04503980|org_study_id|BZDS1901|||
43058549|NCT04627740|org_study_id|TCRCureALPPCART|||
43058586|NCT04626765|org_study_id|CAR-T for Childhood B-ALL|||
43058596|NCT04626726|org_study_id|CAR-T for adult B-ALL|||
42818546|NCT03110640|org_study_id|20170316|||
43058732|NCT02903810|org_study_id|XZCJ20160001|||
42818679|NCT03393936|org_study_id|CCT301-mRCC01; Phase I/II|||
42818724|NCT05085444|org_study_id|CD19/BCMA-002|||
42818928|NCT04287660|org_study_id|BiRd-01|||
42818967|NCT04270461|org_study_id|JiujiangUH|||
42943603|NCT05596266|org_study_id|202001|||
42819160|NCT04088864|org_study_id|IRB-50878|||
42819161|NCT04088864|secondary_id|CCT6003|Other Identifier|OnCore|
42819162|NCT04088864|secondary_id|IRB-50878|Other Identifier|Stanford IRB|
42819163|NCT04088864|secondary_id|NCI-2019-07285|Other Identifier|NCI Trial Identifier|
42943716|NCT05137275|org_study_id|IBR854-03|||
42819241|NCT04007029|org_study_id|18-001989|||
42819242|NCT04007029|secondary_id|NCI-2019-03190|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
42819243|NCT04007029|secondary_id|18-001989|Other Identifier|UCLA / Jonsson Comprehensive Cancer Center|
42819508|NCT04194931|org_study_id|2018028|||
43059170|NCT04890236|org_study_id|STUDY00001001|||
43059171|NCT04890236|secondary_id|NCI-2020-06380|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43059172|NCT04890236|secondary_id|Winship5085-20|Other Identifier|Emory University|
43059173|NCT04890236|secondary_id|P30CA138292|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/P30CA138292
43304065|NCT03488160|org_study_id|sinobiowayCT|||
43304138|NCT03540303|org_study_id|HenanCH CAR 2-1|||
43059539|NCT04601181|org_study_id|ThisCART22|||
43059618|NCT04599543|org_study_id|CD123-001|||
43060003|NCT04603872|org_study_id|DASA001|||
42821589|NCT05066022|org_study_id|CT0590-CG6012|||
43060022|NCT04626908|org_study_id|GC022F-ZhejiangU|||
43060028|NCT04626752|org_study_id|CAR-T for Multiple myeloma|||
42821634|NCT04662294|org_study_id|CD70-001|||
42822063|NCT04014894|org_study_id|ET019003-T|||
42822301|NCT03155191|org_study_id|1501-01|||
43060453|NCT04617704|org_study_id|GBF003|||
42823357|NCT05066646|org_study_id|XL-LCYJ-0007|||
42946008|NCT04359784|org_study_id|RG1006866|||
42946009|NCT04359784|secondary_id|NCI-2020-01861|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
42946010|NCT04359784|secondary_id|10373|Other Identifier|Fred Hutch/University of Washington Cancer Consortium|
42824295|NCT04488354|org_study_id|CBR-sCAR19-3002|||
43060954|NCT04595162|org_study_id|PGC0005|||
43305186|NCT05459870|org_study_id|GIMI-IRB-22010|||
42824538|NCT05310591|org_study_id|APHP200132|||
42825046|NCT05063682|org_study_id|6678EGFRvIII|||
42825128|NCT05060796|org_study_id|ZZBGCART-014|||
42825283|NCT03097770|org_study_id|CHN-PLAGH-BT-020|||
42946420|NCT03373097|org_study_id|GD2CAR01|||
42825505|NCT03599375|org_study_id|FJLU-002|||
42946477|NCT05437341|org_study_id|GIMI-IRB-22004|||
42946478|NCT05437328|org_study_id|GIMI-IRB-22006|||
42946479|NCT05437315|org_study_id|GIMI-IRB-22003|||
42825597|NCT03407859|org_study_id|2016-XYNK-002|||
42946500|NCT05436509|org_study_id|GIMI-IRB-22009|||
42946501|NCT05436496|org_study_id|GIMI-IRB-22008|||
43305337|NCT05585996|org_study_id|2022-0160|||
42825868|NCT04191941|org_study_id|2019-24.1|||
43305398|NCT04706936|org_study_id|IR2020001474|||
42826747|NCT04249947|org_study_id|P-PSMA-101-001|||
42826767|NCT05619861|org_study_id|2022/11/09|||
42827277|NCT03154775|org_study_id|CBMG-C2017003|||
42827613|NCT03018093|org_study_id|CBMG2016003|||
43179067|NCT05225831|org_study_id|SL19+22 for B-ALL|||
43061961|NCT04609241|org_study_id|CD79b-001|||
42828451|NCT05105867|org_study_id|GC011-411|||
42828802|NCT03915184|org_study_id|CT053-MM-02 (LUMMICAR STUDY 2)|||
42830093|NCT03818165|org_study_id|SOR-CART-CEA-001|||
42830471|NCT04129099|org_study_id|PGC0006|||
43062784|NCT04572308|org_study_id|CD7 CAR-T for T-ALL/T-LBL|||
42831290|NCT04916860|org_study_id|SenL-T7 for CD7+leukemia/T-LBL|||
43306232|NCT05393804|org_study_id|22-118|||
43179859|NCT05393986|org_study_id|CT048-CG4001|||
42831884|NCT04943016|org_study_id|202103150MINC|||
43306341|NCT04952584|org_study_id|H-49736 TESTA|||
42832223|NCT02744287|org_study_id|BP-012|||
42832254|NCT04037241|org_study_id|STI-CEA-201|||
43063275|NCT04991948|org_study_id|CYAD-101-002|||
43063276|NCT04991948|secondary_id|KEYNOTE-B79|Other Identifier|Celyad Oncology|
43063518|NCT04546893|org_study_id|1904B for B-ALL|||
42833449|NCT05634785|org_study_id|LCCC2048-ATL|||
42833549|NCT05366179|org_study_id|LCCC2059-ATL|||
42833704|NCT04995003|org_study_id|H-49271 HEROS 3.0|||
42833705|NCT04995003|secondary_id|R01CA276684|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/R01CA276684
42833715|NCT04977024|org_study_id|21163|||
42833716|NCT04977024|secondary_id|NCI-2021-05556|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
42833717|NCT04977024|secondary_id|21163|Other Identifier|City of Hope Medical Center|
42833718|NCT04977024|secondary_id|P30CA033572|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/P30CA033572
43063595|NCT04539444|org_study_id|CCPD-1 in lymphoma|||
42834066|NCT03721068|org_study_id|LCCC 1743-ATL|||
42834079|NCT03672318|org_study_id|LCCC 1603-ATL|||
42834195|NCT03016377|org_study_id|LCCC 1541-ATL|||
42949213|NCT01735604|org_study_id|CHN-PLAGH-BT-001|||
43063894|NCT04532268|org_study_id|hCD19-001|||
43306597|NCT02601313|org_study_id|KTE-C19-102|||
43306598|NCT02601313|secondary_id|2015-005008-27|EudraCT Number||
42834661|NCT03050190|org_study_id|GIMI-IRB-16001|||
43180250|NCT05458297|org_study_id|2140-006|||
43180251|NCT05458297|secondary_id|MK-2140-006|Other Identifier|Merck|
43180252|NCT05458297|secondary_id|jRCT2011230019|Registry Identifier|Japan Registry of Clinical Trials (jRCT)|
43180253|NCT05458297|secondary_id|2021-004450-36|EudraCT Number||
43180274|NCT05377827|org_study_id|202306200|||
43180279|NCT05353530|org_study_id|IRB202200057|||
43064141|NCT04553393|org_study_id|CHN-PLAGH-BT-060|||
42835069|NCT04121273|org_study_id|v1.0 20180620|||
43180362|NCT05081479|org_study_id|21-386|||
42835180|NCT04884984|org_study_id|UnicarTherapy2021001|||
42835205|NCT03825731|org_study_id|PGC0003|||
43180421|NCT04778579|org_study_id|CART19-BE-02|||
42835403|NCT04863066|org_study_id|2020-HIV-001|||
43064330|NCT04550663|org_study_id|2020-172-01|||
43180526|NCT04404660|org_study_id|FELIX (AUTO1-AL1)|||
43180527|NCT04404660|secondary_id|2019-001937-16|EudraCT Number||
43306915|NCT03473496|org_study_id|2017-XYNK-003|||
43064862|NCT04537442|org_study_id|Immunochina|||
42836622|NCT04822974|org_study_id|TTV-CART-IPC 2020-063|||
43180753|NCT03144583|org_study_id|CART19-BE-01|||
42836942|NCT04780529|org_study_id|ICT-GC|||
42837316|NCT04796688|org_study_id|Universal AT19 cells|||
42837525|NCT02247609|org_study_id|19273-4SCAR|||
42837734|NCT05613348|org_study_id|2022-KY-094|||
43065089|NCT04534634|org_study_id|IFN-α+CAR-T|||
42838388|NCT01897415|org_study_id|UPCC 08212|||
42839105|NCT05123001|org_study_id|IRB-60459|||
42839106|NCT05123001|secondary_id|CCT5049|Other Identifier|OnCore|
42839107|NCT05123001|secondary_id|NCI-2022-00603|Registry Identifier|CTRP|
42839227|NCT05577000|org_study_id|22702|||
42839228|NCT05577000|secondary_id|22-37359|Other Identifier|University of California, San Francisco|
43181118|NCT04696432|org_study_id|0702-021|||
43181128|NCT04648046|org_study_id|20-31976|||
43181163|NCT04557436|org_study_id|18IC07|||
42839398|NCT04767308|org_study_id|CT125ACI001|||
43181177|NCT04510051|org_study_id|19130|||
43181178|NCT04510051|secondary_id|NCI-2020-05158|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43181179|NCT04510051|secondary_id|19130|Other Identifier|City of Hope Comprehensive Cancer Center|
43181180|NCT04510051|secondary_id|P30CA033572|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/P30CA033572
43066102|NCT03853616|org_study_id|M-2017-322|||
43066103|NCT03853616|secondary_id|2017-002848-32|EudraCT Number||
43307776|NCT04489862|org_study_id|BZDS1901|||
42841440|NCT05287165|org_study_id|YMCART9601|||
43307952|NCT05398614|org_study_id|SENL101 for CD7+|||
42842198|NCT04318327|org_study_id|CADPT07A12101|||
42842322|NCT03241940|org_study_id|IRB-41383|||
42842323|NCT03241940|secondary_id|NCI-2017-01415|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
42842324|NCT03241940|secondary_id|PEDSCCT5007|Other Identifier|Stanford Cancer Institute|
42842325|NCT03241940|secondary_id|IRB-41383|Other Identifier|Stanford IRB|
42842326|NCT03233854|org_study_id|IRB-41382|||
42842327|NCT03233854|secondary_id|41382|Other Identifier|Stanford IRB|
42842328|NCT03233854|secondary_id|CCT5001|Other Identifier|OnCore|
42842422|NCT00085930|org_study_id|13149-NESTLES|||
42842423|NCT00085930|nct_alias|NCT00609206|||
42842424|NCT00085930|secondary_id|NESTLES|Other Identifier|BCM CAGT|
42842585|NCT04766840|org_study_id|YMCART202005|||
43308241|NCT03710421|org_study_id|17403|||
43308242|NCT03710421|secondary_id|NCI-2018-02022|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43308243|NCT03710421|secondary_id|17403|Other Identifier|City of Hope Medical Center|
43182357|NCT03502577|org_study_id|9952|||
43182358|NCT03502577|secondary_id|NCI-2018-00514|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43182359|NCT03502577|secondary_id|9952|Other Identifier|Fred Hutch/University of Washington Cancer Consortium|
43182360|NCT03502577|secondary_id|RG9218033|Other Identifier|Fred Hutch/University of Washington Cancer Consortium|
43182996|NCT04014881|org_study_id|WHUH-CART-CD123-01|||
43308676|NCT03919526|org_study_id|SHSYXY-CAR-T MRD+ALL|||
43308679|NCT05488132|org_study_id|XYFY2022-KL119-01|||
43308715|NCT03265106|org_study_id|2017FDEK-BinD19|||
43308758|NCT03262298|org_study_id|307-B-22-CAR-T|||
43309173|NCT05211557|org_study_id|XYFY2021-KL184-01|||
43309189|NCT05477446|org_study_id|BRYY-IIT-LCYJ-2022-002|||
43069951|NCT04322292|org_study_id|QT-2019007-EC-2|||
43309418|NCT03222674|org_study_id|GIMI-IRB-17015|||
43070346|NCT01218867|org_study_id|110013|||
43070347|NCT01218867|secondary_id|11-C-0013|||
42844832|NCT03086954|org_study_id|WM-CART-02|||
43070673|NCT04317885|org_study_id|0702-015|||
43184541|NCT05350787|org_study_id|FT400-004|||
42845409|NCT03084380|org_study_id|GPC3CAR|||
43071465|NCT02792114|org_study_id|16-040|||
43309823|NCT03208556|org_study_id|2017YJZ13|||
43309992|NCT02303821|org_study_id|CFZ008|||
43309993|NCT02303821|secondary_id|2014-001633-84|EudraCT Number||
43184969|NCT04008251|org_study_id|CART-huCD19-01|||
43185032|NCT04011293|org_study_id|HY001003|||
43072724|NCT04264039|org_study_id|antiCD19-UCAR-T|||
43073153|NCT04844866|org_study_id|M-2020-371|||
43073157|NCT04815356|org_study_id|210019|||
43073158|NCT04815356|secondary_id|21-C-0019|||
43073212|NCT04483778|org_study_id|STRIvE-02|||
43310280|NCT05194709|org_study_id|IBR854-T01|||
43310281|NCT05194709|secondary_id|WX-IBR-8|Other Identifier|Wuxi People's Hospital|
43310520|NCT02439788|org_study_id|H-33272, GINAKIT|||
43073754|NCT05625594|org_study_id|22240|||
43073755|NCT05625594|secondary_id|NCI-2022-09152|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43073756|NCT05625594|secondary_id|22240|Other Identifier|City of Hope Medical Center|
43073757|NCT05625594|secondary_id|P30CA033572|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/P30CA033572
43073758|NCT05625594|secondary_id|R01CA266611|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/R01CA266611
43073827|NCT05352542|org_study_id|BM2L202005|||
42848373|NCT05370430|org_study_id|PMB-102|||
42848374|NCT05370430|secondary_id|PMB-BAFFR-102|Other Identifier|PeproMeneBio|
42848576|NCT04381741|org_study_id|IR2020001132|||
43074280|NCT00840853|org_study_id|23637-MULTIPRAT|||
43074281|NCT00840853|secondary_id|MultiPRAT|Other Identifier|Baylor College of Medicine|
43310871|NCT03182816|org_study_id|H2017-03-P01|||
43310883|NCT03185468|org_study_id|GIMI-IRB-17004|||
42956641|NCT01864889|org_study_id|CHN-PLAGH-BT-005|||
42956642|NCT01864902|org_study_id|CHN-PLAGH-BT-006|||
43311183|NCT02706392|org_study_id|9330|||
43311184|NCT02706392|secondary_id|NCI-2015-01753|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43311185|NCT02706392|secondary_id|9330|Other Identifier|Fred Hutch/University of Washington Cancer Consortium|
43311186|NCT02706392|secondary_id|RG9215045|Other Identifier|Fred Hutch/University of Washington Cancer Consortium|
43311187|NCT02706392|secondary_id|2R01CA114536|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/2R01CA114536
43311196|NCT02416466|org_study_id|383-74|||
42850872|NCT02980315|org_study_id|2016-ky-o43|||
42851249|NCT03030001|org_study_id|H2017-01-P01|||
42957516|NCT05510596|org_study_id|RECHMPL20_0424|||
42957611|NCT05225363|org_study_id|20034|||
42957612|NCT05225363|secondary_id|NCI-2021-10838|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
42957613|NCT05225363|secondary_id|20034|Other Identifier|City of Hope Medical Center|
42957614|NCT05225363|secondary_id|P30CA033572|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/P30CA033572
42957615|NCT05225363|secondary_id|R01CA266874|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/R01CA266874
42851406|NCT05583201|org_study_id|KD-496-XJM|||
42957879|NCT04074330|org_study_id|TAK-981-1501|||
42957880|NCT04074330|secondary_id|U1111-1236-0243|Registry Identifier|WHO|
42957881|NCT04074330|secondary_id|2020-003946-36|EudraCT Number||
43187676|NCT03980691|org_study_id|20171126V1|||
43076421|NCT02862028|org_study_id|SIMC-20160101/02/03|||
42851967|NCT05241392|org_study_id|TX103T-IG005|||
43076679|NCT05199961|org_study_id|2021C0141|||
43076874|NCT05654077|org_study_id|BR-EB-10|||
42959116|NCT01886976|org_study_id|CHN-PLAGH-BT-008|||
43077621|NCT02782351|org_study_id|XYFY2016-KL002-01|||
43077678|NCT05340829|org_study_id|FT400-006|||
43077750|NCT04975555|org_study_id|IRB-300007103|||
43077794|NCT04226989|org_study_id|BHCT-CT-RD06-03|||
43312213|NCT02535364|org_study_id|015001|||
42853862|NCT05509530|org_study_id|XYFY2022-KL118-01|||
43079048|NCT04860817|org_study_id|GUT03|||
42854764|NCT04544592|org_study_id|18-2424.cc|||
42854765|NCT04544592|secondary_id|P30CA046934|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/P30CA046934
43312420|NCT03070327|org_study_id|17-025|||
43079919|NCT05323201|org_study_id|XYFY2021-KL272-02|||
43080750|NCT04264078|org_study_id|antiCD7-UCAR-T|||
42856668|NCT04394650|org_study_id|CC-98633-MM-001|||
42856669|NCT04394650|secondary_id|U1111-1251-3435|Other Identifier|WHO|
42856695|NCT03081910|org_study_id|H-40466, MAGENTA|||
43191004|NCT03980288|org_study_id|CISLD-4|||
43081615|NCT04205838|org_study_id|19-000604|||
43081616|NCT04205838|secondary_id|NCI-2019-02887|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43081617|NCT04205838|secondary_id|19-000604|Other Identifier|UCLA / Jonsson Comprehensive Cancer Center|
43082379|NCT04844086|org_study_id|Eden 2020-01|||
43082974|NCT05252572|org_study_id|CLL1-001|||
42963591|NCT04693676|org_study_id|0702-025|||
42857993|NCT04605666|org_study_id|CAR-T-ALL-2020|||
42857994|NCT04605666|secondary_id|NFEC-2020-098|Other Identifier|Nanfang Hospital-Ethics Committee|
42857997|NCT04531046|org_study_id|ALYCANTE|||
42963751|NCT03117751|org_study_id|TOT17|||
42963752|NCT03117751|secondary_id|NCI-2017-00582|Registry Identifier|NCI Clinical Trial Registration Program|
42963804|NCT01840566|org_study_id|12-117|||
43083710|NCT02846584|org_study_id|Southwest Hospital，China|||
43083819|NCT00902044|org_study_id|24489-HEROS|||
43083820|NCT00902044|secondary_id|HEROS|Other Identifier|Baylor College of Medicine|
43083985|NCT02842138|org_study_id|2016YJZ12|||
43313779|NCT03672305|org_study_id|JGZNO1|||
43084309|NCT04156243|org_study_id|ICG134-001|||
43084597|NCT05016778|org_study_id|POLARIS|||
43084982|NCT02822326|org_study_id|No.GDREC2016198H|||
43192962|NCT05371132|org_study_id|21221|||
43192963|NCT05371132|secondary_id|NCI-2022-02037|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43192964|NCT05371132|secondary_id|21221|Other Identifier|City of Hope Medical Center|
43192965|NCT05371132|secondary_id|P30CA033572|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/P30CA033572
42860404|NCT05621096|org_study_id|0770-22-FB|||
43314204|NCT03473457|org_study_id|2017-XYNK-002|||
43193492|NCT03931720|org_study_id|AsclepiusTCG|||
43314273|NCT05155215|org_study_id|SD46|||
43314438|NCT03672851|org_study_id|anti-CD123 CAR-T therapy|||
43193794|NCT03919240|org_study_id|SZ4601|||
42861507|NCT05070156|org_study_id|B010-A-001|||
42861518|NCT05013372|org_study_id|CD147-CAR T for R/R T-NHL|||
42861533|NCT04214886|org_study_id|212594|||
42861558|NCT05621486|org_study_id|B4T2-PRC-IIT-001|||
43087316|NCT04204161|org_study_id|2019XY-BDB011|||
43314816|NCT04684563|org_study_id|UPCC15420; IRB# 844955|||
43087941|NCT02728882|org_study_id|ACCO-2015-06-02|||
43088112|NCT02713984|org_study_id|TMMU-BTC-005|||
43088676|NCT05333302|org_study_id|CD19CAR-T_LL_children|||
43195263|NCT03879382|org_study_id|HRain-POMES01|||
42864265|NCT05431608|org_study_id|22-052|||
42864283|NCT05397496|org_study_id|CPIT565A12101|||
42864284|NCT05397496|secondary_id|2022-000367-45|EudraCT Number||
43315638|NCT03664661|org_study_id|HenanCH CAR 2-2|||
43315883|NCT03658655|org_study_id|KTLC001|||
42865871|NCT02663297|org_study_id|LCCC 1524-ATL|||
42865872|NCT02663297|secondary_id|R01HL114564|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/R01HL114564
42865895|NCT02159495|org_study_id|13272|||
42865896|NCT02159495|secondary_id|NCI-2014-01147|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
42865897|NCT02159495|secondary_id|13272|Other Identifier|City of Hope Medical Center|
43090073|NCT02685670|org_study_id|DHHUTCM20160106|||
43196911|NCT03796390|org_study_id|Daopei CD123CAR-T|||
43316282|NCT03648697|org_study_id|HXYT-001|||
42866822|NCT03013712|org_study_id|CARTEPC-001|||
43090799|NCT04169932|org_study_id|20191023V1.1|||
43197033|NCT05620732|org_study_id|HEM-ONCO-025|||
43091069|NCT02652910|org_study_id|20151117|||
42972668|NCT03765177|org_study_id|CLIC-01 Study|||
43197145|NCT05495464|org_study_id|2020-0872|||
43197146|NCT05495464|secondary_id|NCI-2022-06281|Other Identifier|NCI-CTRP Clinical Trials Reporting Registry|
43091666|NCT04163302|org_study_id|HNYY-XYK-02|||
42867609|NCT05544526|org_study_id|UCL/ 150853|||
43316738|NCT03468153|org_study_id|Ruijin-CAR-01|||
43091746|NCT04289220|org_study_id|2019-1-N-25318000002027|||
43197532|NCT03993743|org_study_id|Chen Zhinan-1|||
43316790|NCT02529813|org_study_id|2013-1018|||
43316791|NCT02529813|secondary_id|NCI-2015-01492|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43316792|NCT02529813|secondary_id|20152145|||
43316793|NCT02529813|secondary_id|1159157|||
43316794|NCT02529813|secondary_id|2013-1018|Other Identifier|M D Anderson Cancer Center|
42867909|NCT03602612|org_study_id|180125|||
42867910|NCT03602612|secondary_id|18-C-0125|||
42973661|NCT03682744|org_study_id|340-74|||
43317342|NCT03649529|org_study_id|T2018-7|||
42974160|NCT05638828|org_study_id|BHCT-RD14-01-03|||
43092746|NCT03624036|org_study_id|KTE-C19-108|||
43092747|NCT03624036|secondary_id|2018-001923-38|EudraCT Number||
43092766|NCT05210907|org_study_id|SNUH_CART_CD19ALL|||
43317531|NCT03615313|org_study_id|SHSY-IEC-4.0/18-09/02|||
42974767|NCT05618041|org_study_id|20221019|||
42868943|NCT02050347|org_study_id|H-33133 CARPASCIO|||
42868944|NCT02050347|secondary_id|CARPASCIO|Other Identifier|Baylor College of Medicine|
42869168|NCT03287817|org_study_id|AUTO3-DB1|||
42869169|NCT03287817|secondary_id|2016-004682-11|EudraCT Number||
42869317|NCT05445765|org_study_id|ICG165-001|||
43318076|NCT03612739|org_study_id|CYAD-N2T-006|||
43093715|NCT03275493|org_study_id|UnicarTherapy201701|||
42870095|NCT05141253|org_study_id|2021-TJ-CART|||
43318295|NCT03146234|org_study_id|CG1006|||
42976487|NCT05641428|org_study_id|HO161|||
42976488|NCT05641428|secondary_id|2021-000937-15|EudraCT Number||
43318691|NCT03398967|org_study_id|CHN-PLAGH-BT-026|||
43318697|NCT03125577|org_study_id|GIMI-IRB-17005|||
42871147|NCT03029273|org_study_id|2016-63|||
42871582|NCT04499573|org_study_id|NCPHOI-2020-07|||
42977720|NCT02958397|org_study_id|TMMU-BTC-011|||
43319208|NCT03939026|org_study_id|ALLO-501-201|||
42872113|NCT04351022|org_study_id|UnicarTherapy2020001|||
42872226|NCT04835519|org_study_id|BRYY-IIT-LCYJ-2021-003|||
43200811|NCT05631912|org_study_id|CHN-PLAGH-BT-073|||
43319327|NCT03142646|org_study_id|001|||
43200967|NCT05397184|org_study_id|19IC17|||
43201067|NCT05169489|org_study_id|CRC-403|||
43096871|NCT02876978|org_study_id|CG1003|||
43096908|NCT04303520|org_study_id|Anti-CD19/CD22 CAR-T|||
43201331|NCT04539366|org_study_id|NCI-2020-06646|||
43201332|NCT04539366|secondary_id|NCI-2020-06646|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43201333|NCT04539366|secondary_id|PED-CITN-02|Other Identifier|Cancer Immunotherapy Trials Network|
43201334|NCT04539366|secondary_id|PED-CITN-02|Other Identifier|CTEP|
43201335|NCT04539366|secondary_id|P30CA015704|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/P30CA015704
43201336|NCT04539366|secondary_id|U24CA224309|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/U24CA224309
43201337|NCT04539366|secondary_id|UM1CA154967|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/UM1CA154967
43201366|NCT04404595|org_study_id|CT041-ST-02|||
43201416|NCT04231747|org_study_id|CC-97540-NHL-001|||
43201417|NCT04231747|secondary_id|U1111-1244-9049|Registry Identifier|UTN|
42873561|NCT02959151|org_study_id|CAR-T for liver cancer|||
42873731|NCT05362331|org_study_id|212527|||
42873732|NCT05362331|secondary_id|NCI-2022-03845|Registry Identifier|NCI Clinical Trials Reporting Program (CTRP)|
43320013|NCT05396300|org_study_id|PBC039|||
43098870|NCT02873390|org_study_id|NBWYKY2016-06-001/002/003|||
43201774|NCT02414269|org_study_id|15-007|||
43320068|NCT05089266|org_study_id|BZDS1901-C-01|||
